고객번호,성별,연령대,거주지역,1번품목구매비율(%),2번품목구매비율(%),3번품목구매비율(%),4번품목구매비율(%),경쟁사이용횟수,멤버쉽보유,온라인이용횟수,1기구매비율(%),2기구매비율(%),3기구매비율(%),4기구매비율(%),5기구매비율(%),6기구매비율(%),7기구매비율(%),8기구매비율(%),분기증감확인
4069,0,3,0,29.81,70.19,0.0,0.0,0.0,0.0,0.0,10.97,11.43,13.24,9.92,14.18,12.88,15.0,12.38,0
4070,0,3,0,21.87,50.05,0.0,28.08,8.0,0.0,7.0,16.39,13.08,15.25,11.03,10.74,10.58,11.45,11.46,0
4071,1,3,0,6.78,23.87,0.0,69.35,3.0,0.0,0.0,11.65,15.16,14.84,9.56,12.28,14.38,12.01,10.12,1
4072,0,3,1,2.71,16.21,78.39,2.69,2.0,0.0,0.0,13.98,11.46,20.51,8.75,14.9,7.44,12.32,10.64,0
4073,1,3,0,2.53,19.16,75.09,3.22,3.0,0.0,0.0,13.37,12.09,10.59,11.11,13.12,18.77,8.53,12.43,0
4074,0,3,0,3.95,83.03,0.0,13.03,1.0,1.0,27.0,4.64,60.59,6.93,4.47,4.86,5.51,6.35,6.66,1
4075,0,3,1,1.96,10.45,83.38,4.21,0.0,1.0,0.0,9.33,10.45,12.18,11.67,10.71,10.94,26.91,7.8,0
4076,0,3,1,15.32,62.88,0.0,21.8,0.0,1.0,0.0,9.89,12.09,13.1,11.18,14.11,11.51,12.51,15.6,1
4077,0,3,0,5.05,86.08,0.0,8.87,1.0,0.0,0.0,14.53,8.5,7.19,17.53,11.75,10.7,19.43,10.37,1
4078,0,3,0,13.67,32.94,41.84,11.55,0.0,1.0,3.0,11.72,12.32,14.82,12.32,11.17,12.75,14.59,10.3,0
4079,0,3,1,7.18,15.27,73.85,3.7,0.0,1.0,0.0,11.17,10.27,12.52,17.75,6.59,7.6,25.3,8.79,1
4080,0,3,0,16.96,54.55,0.0,28.49,0.0,0.0,0.0,12.19,13.18,13.46,10.24,13.16,13.75,13.47,10.55,1
4081,0,3,1,5.71,21.5,70.44,2.35,0.0,1.0,4.0,12.45,19.8,16.45,9.57,9.96,9.57,12.51,9.69,1
4082,0,3,1,6.1,49.2,34.18,10.53,13.0,0.0,0.0,13.85,10.62,11.04,8.0,12.27,19.8,10.67,13.75,0
4083,0,3,1,0.75,18.68,79.14,1.44,1.0,0.0,17.0,28.53,9.57,6.82,8.15,7.79,6.51,11.08,21.55,0
4084,0,3,1,4.67,36.75,50.92,7.65,2.0,0.0,0.0,17.49,9.62,9.27,10.88,13.66,9.31,19.02,10.76,1
4085,0,3,1,7.89,81.78,0.0,10.33,0.0,0.0,0.0,34.98,10.25,7.51,7.9,13.84,9.56,8.25,7.71,0
4086,0,3,0,3.08,41.38,43.23,12.31,0.0,1.0,0.0,13.69,13.28,11.76,7.61,11.84,13.06,16.43,12.33,1
4087,0,3,1,10.52,69.68,0.0,19.81,0.0,0.0,0.0,13.7,10.69,14.08,11.45,11.74,14.83,11.49,12.02,1
4088,0,3,3,7.37,66.93,0.0,25.7,11.0,1.0,12.0,16.57,11.67,13.2,9.26,12.84,11.22,11.59,13.66,0
4089,0,3,1,8.73,55.39,22.65,13.23,10.0,0.0,0.0,5.91,10.4,9.41,11.37,34.76,9.33,8.14,10.69,1
4090,1,3,1,0.73,10.39,86.7,2.18,0.0,0.0,0.0,11.42,26.95,15.18,9.0,9.17,10.1,6.12,12.07,0
4091,0,3,0,0.81,7.54,89.81,1.83,0.0,1.0,0.0,9.97,13.28,15.66,13.25,7.18,24.52,7.86,8.28,0
4092,1,3,3,2.37,11.72,80.43,5.49,0.0,0.0,38.0,11.79,9.89,12.22,10.27,16.77,13.83,15.21,10.02,0
4093,0,3,1,7.06,74.61,0.0,18.34,7.0,1.0,0.0,35.5,13.57,10.74,6.1,11.47,8.81,7.53,6.29,1
4094,0,3,1,3.3,49.99,11.58,35.13,0.0,0.0,37.0,8.02,30.7,19.53,14.85,6.62,9.5,5.0,5.79,0
4095,0,3,0,0.23,3.37,96.15,0.25,0.0,0.0,16.0,8.21,42.08,8.32,7.04,8.29,14.95,5.14,5.96,1
4096,1,3,1,13.86,39.25,0.0,46.88,0.0,2.0,19.0,13.31,23.24,10.98,9.62,7.75,13.32,11.93,9.85,1
4097,1,3,1,0.76,16.15,72.07,11.02,0.0,0.0,9.0,2.21,11.62,19.36,27.29,9.65,26.32,2.18,1.37,0
4098,0,3,1,6.17,30.38,52.8,10.65,0.0,0.0,25.0,11.49,17.19,15.32,8.11,8.91,10.74,15.85,12.39,1
4099,0,3,1,8.9,80.99,0.0,10.12,0.0,1.0,15.0,8.13,10.87,13.83,11.39,12.48,19.66,14.64,9.01,0
4100,0,3,0,10.06,58.06,0.0,31.89,0.0,1.0,4.0,13.1,18.04,11.39,11.12,11.16,12.8,11.7,10.7,0
4101,1,3,1,5.21,54.04,31.83,8.92,5.0,0.0,0.0,18.04,12.13,11.8,10.69,9.91,12.74,12.13,12.56,0
4102,0,3,0,7.61,35.38,46.98,10.03,0.0,0.0,38.0,8.45,11.41,14.14,11.38,13.99,9.59,16.85,14.2,1
4103,0,3,1,4.97,78.44,0.0,16.59,0.0,0.0,0.0,15.05,12.2,12.25,11.77,14.56,12.34,12.09,9.75,0
4104,0,3,0,1.66,21.3,75.14,1.9,0.0,0.0,5.0,15.44,10.97,11.49,18.84,12.87,9.65,8.1,12.64,0
4105,0,3,0,7.4,32.72,39.18,20.7,0.0,0.0,13.0,12.92,11.58,15.87,12.45,11.41,13.88,11.22,10.67,0
4106,0,3,0,0.57,4.06,89.74,5.62,0.0,0.0,0.0,8.58,27.54,12.81,9.98,8.66,12.61,12.46,7.36,1
4107,0,3,0,10.53,68.58,0.0,20.89,0.0,1.0,34.0,10.01,11.38,13.7,11.78,13.12,12.98,15.12,11.9,1
4108,0,3,0,10.29,79.38,0.0,10.32,3.0,0.0,0.0,11.49,9.92,13.31,10.92,14.11,12.93,14.65,12.67,0
4109,0,3,0,2.04,14.91,79.79,3.25,5.0,0.0,1.0,9.04,10.4,9.36,17.19,17.1,10.73,17.58,8.6,0
4110,0,3,1,1.42,16.04,80.79,1.75,0.0,1.0,0.0,11.74,12.65,14.87,15.46,11.08,16.15,10.98,7.07,0
4111,0,3,1,10.88,47.43,24.86,16.83,0.0,0.0,0.0,22.26,13.18,9.79,5.11,13.38,10.09,18.39,7.8,0
4112,0,3,1,2.5,36.46,56.67,4.37,15.0,0.0,0.0,9.0,10.71,13.42,11.48,10.75,8.81,23.29,12.54,1
4113,0,3,0,6.93,61.18,0.0,31.9,1.0,0.0,22.0,9.23,10.25,11.36,12.64,16.07,13.85,10.86,15.74,1
4114,0,3,0,7.54,92.46,0.0,0.0,1.0,0.0,0.0,11.77,17.3,15.04,10.44,13.95,11.73,11.45,8.32,0
4115,0,3,1,1.12,9.33,86.22,3.33,1.0,0.0,0.0,5.57,9.74,7.5,10.0,15.32,11.69,15.09,25.09,1
4116,0,3,0,9.12,67.62,0.0,23.26,0.0,0.0,0.0,9.47,11.39,14.62,8.8,9.89,19.41,12.42,14.0,1
4117,0,3,0,5.13,71.01,19.15,4.72,0.0,0.0,0.0,16.06,16.44,6.7,16.73,9.24,7.67,11.08,16.09,0
4118,0,3,1,9.27,90.73,0.0,0.0,0.0,0.0,0.0,9.18,12.98,12.41,8.54,11.46,10.84,20.22,14.37,1
4119,0,3,1,7.26,41.49,47.55,3.7,5.0,1.0,0.0,8.93,15.32,14.07,17.32,12.55,13.34,6.75,11.72,1
4120,0,3,1,2.01,33.41,58.61,5.98,0.0,0.0,1.0,13.17,8.07,12.82,15.33,12.92,13.14,10.03,14.51,0
4121,0,3,1,1.52,18.86,78.98,0.65,17.0,0.0,0.0,12.29,4.6,13.7,22.95,8.23,17.61,8.69,11.93,0
4122,0,3,1,1.57,22.49,69.28,6.66,1.0,0.0,4.0,7.99,7.68,6.49,10.64,17.36,17.11,11.58,21.17,1
4123,0,3,0,5.24,42.54,0.0,52.23,0.0,1.0,0.0,17.66,11.68,13.89,10.23,16.85,10.39,11.58,7.71,0
4124,0,3,0,9.11,65.27,0.0,25.62,1.0,0.0,32.0,9.31,10.71,15.46,9.68,13.81,13.12,13.35,14.56,1
4125,0,3,0,12.55,33.65,51.2,2.6,1.0,0.0,0.0,12.08,8.42,20.67,10.95,12.71,7.85,16.34,10.98,1
4126,0,3,0,5.86,74.67,0.0,19.47,16.0,0.0,28.0,15.16,18.84,10.18,12.97,14.1,11.17,7.32,10.26,1
4127,0,3,0,10.82,77.18,0.0,12.0,1.0,0.0,0.0,15.41,11.08,10.08,4.73,8.73,10.18,10.54,29.25,1
4128,0,3,0,4.53,50.91,32.75,11.81,0.0,1.0,0.0,8.01,10.47,11.29,11.33,10.73,11.6,26.33,10.23,1
4129,0,3,1,3.12,66.19,27.58,3.11,0.0,0.0,0.0,61.03,5.65,4.39,5.51,7.57,4.17,6.16,5.52,0
4130,1,3,0,11.55,58.62,0.0,29.82,0.0,0.0,4.0,10.01,14.78,12.09,11.6,11.57,16.97,12.34,10.66,0
4131,0,3,1,2.99,62.08,26.78,8.16,15.0,0.0,0.0,8.76,13.0,20.37,13.24,15.09,11.34,9.61,8.6,0
4132,0,3,0,30.92,69.08,0.0,0.0,0.0,1.0,0.0,10.66,12.58,13.28,12.34,13.47,13.77,13.33,10.57,1
4133,0,3,0,5.94,47.7,34.99,11.37,0.0,0.0,1.0,11.47,9.91,12.63,10.8,11.47,14.57,7.11,22.03,1
4134,0,3,0,1.1,42.01,54.66,2.23,0.0,1.0,0.0,12.8,6.93,12.23,12.63,7.93,10.85,20.32,16.31,1
4135,0,3,1,0.56,6.02,92.55,0.87,3.0,0.0,0.0,19.12,5.04,13.93,24.55,12.18,14.38,6.91,3.89,0
4136,0,3,2,1.34,14.62,81.29,2.75,0.0,0.0,0.0,14.22,11.94,10.7,13.16,10.0,10.79,11.44,17.74,0
4137,0,3,1,5.64,56.48,22.26,15.63,0.0,0.0,24.0,13.74,10.58,10.88,12.02,11.29,10.93,16.18,14.37,1
4138,0,3,1,1.05,18.99,78.41,1.55,6.0,0.0,7.0,10.29,10.93,8.84,17.52,10.99,15.32,8.59,17.52,1
4139,1,3,1,3.29,31.36,59.81,5.55,1.0,1.0,6.0,20.86,15.22,11.2,9.9,6.49,6.8,7.75,21.79,1
4140,0,3,1,2.61,29.82,63.94,3.63,0.0,0.0,0.0,7.67,9.74,11.59,14.69,15.39,10.37,10.79,19.76,1
4141,0,3,1,0.34,6.79,92.29,0.58,0.0,0.0,0.0,4.7,7.23,11.0,8.73,20.49,11.49,8.26,28.1,1
4142,0,3,1,7.89,77.65,7.12,7.34,0.0,1.0,6.0,11.27,16.13,12.45,23.09,9.26,10.3,7.33,10.18,0
4143,0,3,0,2.6,90.71,0.0,6.69,9.0,0.0,0.0,18.29,11.28,11.38,10.36,6.76,13.38,14.44,14.1,0
4144,0,3,0,9.19,75.31,0.0,15.5,0.0,0.0,13.0,7.82,18.92,9.43,15.11,10.46,13.42,13.62,11.22,0
4145,0,3,0,9.51,44.04,0.0,46.45,0.0,0.0,122.0,9.49,9.41,11.23,16.39,13.58,15.08,14.2,10.62,0
4146,0,3,3,3.4,30.04,42.33,24.23,0.0,0.0,22.0,7.92,7.56,14.91,11.97,13.01,12.22,9.01,23.41,1
4147,0,3,0,9.92,69.73,0.0,20.35,0.0,1.0,6.0,12.07,9.76,10.18,10.66,17.22,17.03,8.6,14.49,0
4148,0,3,1,6.99,77.12,0.0,15.89,0.0,1.0,0.0,16.99,15.2,6.2,6.17,12.71,12.85,15.05,14.83,1
4149,0,3,1,5.3,75.6,0.0,19.1,1.0,0.0,12.0,10.86,11.21,17.09,10.27,11.68,12.72,16.18,9.98,0
4150,0,3,0,5.66,38.44,23.08,32.82,0.0,1.0,4.0,7.81,11.81,10.94,14.59,14.93,14.35,11.91,13.64,1
4151,0,3,0,2.36,5.12,0.0,92.52,0.0,0.0,7.0,11.87,11.37,15.11,10.97,15.56,11.21,13.83,10.09,0
4152,0,3,0,7.36,45.89,23.46,23.3,0.0,1.0,0.0,12.13,21.06,13.0,9.97,9.01,12.73,12.38,9.72,1
4153,0,3,0,2.0,23.19,68.3,6.51,6.0,0.0,0.0,8.6,11.54,14.06,17.42,15.21,12.31,10.43,10.44,0
4154,0,3,0,5.9,70.02,0.0,24.07,0.0,0.0,0.0,16.55,10.06,12.62,11.92,11.24,13.43,12.76,11.41,0
4155,0,3,1,1.6,10.61,85.98,1.8,0.0,0.0,0.0,9.78,16.14,9.54,8.69,17.37,13.16,5.77,19.55,1
4156,1,3,1,1.53,11.38,85.68,1.4,0.0,1.0,0.0,5.19,20.66,9.71,18.47,6.33,9.14,22.02,8.48,1
4157,0,3,1,0.76,14.12,68.63,16.49,0.0,0.0,76.0,11.07,15.78,7.02,9.13,8.77,8.67,8.23,31.32,1
4158,0,3,0,5.37,45.86,43.0,5.76,0.0,0.0,0.0,20.15,15.85,9.08,10.67,8.35,9.35,19.5,7.05,0
4159,0,3,1,7.13,68.1,0.0,24.77,0.0,0.0,0.0,13.81,12.56,14.63,13.74,11.42,12.23,11.7,9.93,0
4160,0,3,1,2.59,28.18,0.0,69.24,0.0,0.0,0.0,10.73,12.87,19.47,11.94,10.94,11.18,13.8,9.07,0
4161,1,3,1,11.44,75.48,0.0,13.08,1.0,0.0,0.0,9.86,10.22,5.69,11.38,10.89,14.33,11.91,25.72,1
4162,0,3,1,5.21,84.43,0.0,10.36,3.0,1.0,1.0,11.62,25.02,19.98,8.88,7.47,9.36,8.41,9.26,0
4163,0,3,1,10.01,36.58,41.97,11.43,0.0,1.0,2.0,15.78,13.55,14.5,10.9,13.43,10.71,12.05,9.08,1
4164,0,3,0,8.01,91.99,0.0,0.0,1.0,0.0,2.0,10.04,12.6,12.62,10.92,15.26,11.35,13.25,13.97,1
4165,0,3,2,1.92,35.95,58.09,4.04,0.0,0.0,0.0,19.82,16.14,8.37,7.14,14.28,13.45,11.8,9.0,1
4166,0,3,0,7.88,66.91,0.0,25.21,9.0,1.0,2.0,8.12,4.58,2.8,5.83,3.07,6.98,64.96,3.66,0
4167,0,3,1,1.5,42.81,52.15,3.55,3.0,1.0,0.0,24.83,10.63,9.66,28.18,6.87,9.8,4.15,5.88,0
4168,1,3,0,0.48,2.05,94.74,2.73,0.0,1.0,46.0,28.19,9.17,10.28,6.15,8.1,11.2,17.06,9.85,0
4169,0,3,1,5.64,42.97,45.38,6.01,0.0,0.0,0.0,10.38,10.4,17.47,22.53,12.04,6.7,9.96,10.52,1
4170,0,3,0,9.93,67.29,0.0,22.79,0.0,0.0,0.0,11.54,12.37,14.06,11.93,11.36,12.7,12.82,13.22,0
4171,0,3,1,22.5,56.28,0.0,21.22,0.0,0.0,5.0,9.13,11.99,20.58,6.87,3.23,11.77,21.79,14.64,1
4172,0,3,1,2.54,36.42,0.0,61.03,1.0,1.0,15.0,8.02,18.38,7.91,13.15,21.34,10.36,9.24,11.61,1
4173,0,3,0,12.35,58.06,0.0,29.59,0.0,0.0,2.0,8.86,10.27,9.75,11.97,14.76,12.79,22.02,9.57,1
4174,0,3,0,0.89,48.47,45.12,5.52,0.0,1.0,0.0,19.45,7.29,19.05,7.72,19.03,11.79,8.2,7.45,0
4175,0,3,1,5.24,61.77,17.59,15.4,0.0,0.0,0.0,5.87,15.46,11.51,20.25,17.85,6.64,14.35,8.05,0
4176,0,3,1,21.1,43.53,0.0,35.37,0.0,0.0,0.0,11.09,10.31,13.12,8.87,11.47,18.45,12.01,14.68,0
4177,0,3,1,2.16,24.81,70.56,2.47,1.0,0.0,0.0,6.69,10.87,8.61,15.52,9.76,13.49,11.56,23.5,1
4178,0,3,1,0.84,6.39,91.83,0.94,1.0,0.0,0.0,14.77,33.51,6.78,7.33,8.33,7.7,7.34,14.24,1
4179,0,3,1,6.34,60.01,23.52,10.13,2.0,0.0,14.0,9.14,11.81,13.3,9.58,12.92,18.86,11.14,13.24,0
4180,0,3,0,13.47,57.9,0.0,28.63,0.0,1.0,4.0,9.65,11.58,11.4,10.13,14.12,14.53,18.5,10.09,0
4181,0,3,1,9.31,51.58,28.34,10.76,0.0,1.0,89.0,10.63,22.07,14.8,8.53,9.04,12.57,14.11,8.25,0
4182,0,3,1,2.85,55.42,33.61,8.11,4.0,0.0,0.0,6.12,11.12,11.84,13.9,9.91,16.8,11.63,18.67,1
4183,1,3,0,28.55,51.94,0.0,19.51,0.0,1.0,0.0,9.64,8.83,13.44,8.75,16.39,14.34,15.79,12.81,1
4184,0,3,1,2.13,14.71,78.64,4.52,0.0,0.0,0.0,2.7,6.92,8.7,19.89,14.7,18.17,16.53,12.38,1
4185,0,3,0,15.89,57.09,0.0,27.02,4.0,1.0,0.0,13.01,12.49,12.14,13.72,13.57,11.32,14.19,9.56,0
4186,0,3,1,12.23,87.77,0.0,0.0,0.0,1.0,0.0,18.57,14.2,13.12,8.11,9.36,10.91,14.84,10.89,0
4187,0,3,0,10.37,46.51,24.6,18.52,0.0,0.0,0.0,9.21,23.99,21.63,12.76,6.06,7.89,9.96,8.5,0
4188,0,3,0,3.68,43.11,35.76,17.46,4.0,1.0,0.0,22.68,7.67,17.89,10.92,9.42,11.85,10.46,9.11,0
4189,0,3,1,4.06,31.37,41.11,23.46,0.0,1.0,0.0,9.04,7.69,21.59,15.6,9.3,11.44,15.37,9.98,1
4190,0,3,0,6.91,42.16,22.71,28.22,0.0,0.0,0.0,11.59,7.53,8.65,13.19,10.74,17.96,17.36,12.97,0
4191,0,3,0,3.72,11.33,77.62,7.32,0.0,0.0,13.0,9.82,13.51,12.4,12.87,13.51,12.6,13.4,11.89,0
4192,0,3,0,6.78,23.27,61.12,8.83,0.0,1.0,0.0,12.77,6.92,11.83,9.95,23.68,14.45,9.98,10.43,0
4193,1,3,1,2.72,15.63,78.5,3.15,1.0,0.0,2.0,10.59,18.77,9.41,10.42,7.22,17.28,11.85,14.47,0
4194,0,3,1,6.07,43.71,50.21,0.0,0.0,0.0,0.0,11.08,10.79,12.94,11.29,13.32,14.44,13.78,12.36,1
4195,0,3,1,7.47,42.8,21.86,27.87,0.0,2.0,47.0,15.99,9.78,25.12,7.59,8.72,9.43,14.36,9.01,0
4196,0,3,0,15.64,40.6,0.0,43.76,0.0,1.0,20.0,10.93,16.46,12.04,13.73,13.75,10.1,13.7,9.29,1
4197,0,3,1,8.78,75.6,0.0,15.62,0.0,1.0,0.0,21.67,12.12,9.46,5.77,13.75,16.07,7.05,14.12,0
4198,1,3,1,4.93,35.37,50.95,8.76,1.0,0.0,4.0,10.48,8.56,13.27,8.75,21.51,13.92,13.4,10.12,0
4199,1,3,1,0.47,7.4,91.44,0.68,1.0,0.0,0.0,5.11,11.62,4.19,9.33,36.94,12.02,12.2,8.6,0
4200,0,3,1,1.48,30.61,66.11,1.8,0.0,0.0,17.0,8.56,10.87,6.84,8.0,7.12,16.54,12.38,29.69,1
4201,0,3,1,2.27,17.96,77.83,1.95,0.0,1.0,0.0,8.18,15.02,14.4,12.67,11.15,24.94,8.59,5.04,0
4202,0,3,0,3.09,15.53,0.0,81.38,0.0,0.0,0.0,10.17,11.69,13.48,11.15,13.66,12.28,14.64,12.92,0
4203,1,3,1,9.03,82.83,0.0,8.14,0.0,0.0,32.0,9.22,7.18,11.78,15.79,17.4,10.71,15.43,12.5,1
4204,0,3,1,6.53,62.29,23.46,7.73,0.0,1.0,0.0,12.54,8.59,9.02,11.47,14.94,23.44,9.48,10.53,1
4205,0,3,0,14.47,66.49,0.0,19.04,1.0,0.0,0.0,11.81,9.1,12.91,10.24,12.25,11.06,12.47,20.16,1
4206,0,3,0,16.83,61.94,0.0,21.23,1.0,0.0,1.0,12.21,12.53,14.08,11.55,16.4,11.15,13.07,9.02,1
4207,0,3,0,5.36,25.42,67.06,2.16,0.0,0.0,0.0,13.4,10.36,14.46,13.51,11.83,12.68,12.84,10.92,0
4208,0,3,0,12.86,87.14,0.0,0.0,5.0,0.0,25.0,15.7,15.24,13.24,9.74,13.69,9.8,13.25,9.35,0
4209,0,3,1,8.49,77.55,0.0,13.96,1.0,0.0,0.0,14.04,12.12,12.01,8.53,16.89,10.15,6.6,19.65,1
4210,0,3,1,7.98,36.7,45.53,9.79,0.0,0.0,0.0,33.36,10.93,8.65,8.27,11.92,7.82,13.93,5.12,0
4211,0,3,0,11.26,54.25,8.3,26.19,1.0,2.0,0.0,10.5,11.73,13.58,10.51,15.24,14.15,12.82,11.47,0
4212,0,3,1,1.88,49.3,44.13,4.69,0.0,0.0,12.0,8.85,11.74,8.88,7.13,13.06,4.39,35.19,10.75,1
4213,0,3,0,14.56,67.69,0.0,17.75,0.0,0.0,0.0,11.74,11.55,13.23,12.09,12.86,11.72,15.72,11.09,0
4214,0,3,1,15.53,57.34,21.43,5.71,10.0,0.0,0.0,8.46,8.73,7.16,13.76,16.84,9.18,13.59,22.28,1
4215,0,3,1,1.66,23.43,69.65,5.27,4.0,0.0,0.0,19.0,17.73,12.14,13.89,11.18,7.13,9.61,9.32,0
4216,0,3,1,5.23,13.29,3.46,78.02,0.0,1.0,16.0,10.6,14.02,14.2,16.3,8.97,13.89,11.88,10.14,1
4217,1,3,1,0.66,6.45,90.69,2.19,7.0,2.0,0.0,9.3,10.13,12.33,12.3,12.12,14.27,20.22,9.33,1
4218,0,3,0,11.11,57.97,0.0,30.92,0.0,0.0,12.0,8.51,14.09,10.29,10.04,11.91,15.77,16.88,12.51,0
4219,0,3,0,10.66,44.59,0.0,44.75,6.0,1.0,0.0,11.68,9.29,14.65,12.62,15.96,11.52,12.0,12.29,0
4220,1,3,0,5.09,37.26,48.06,9.58,0.0,0.0,0.0,7.9,8.91,15.24,6.81,10.99,20.27,17.55,12.33,1
4221,1,3,0,15.77,60.46,0.0,23.77,0.0,0.0,0.0,12.68,12.82,13.78,14.11,12.36,11.24,11.07,11.93,0
4222,0,3,1,3.15,20.23,71.28,5.34,0.0,0.0,0.0,11.09,7.2,10.56,32.31,9.75,9.86,8.59,10.63,1
4223,0,3,0,37.08,62.92,0.0,0.0,0.0,0.0,0.0,13.06,12.6,14.42,11.83,12.8,12.61,12.99,9.69,0
4224,1,3,1,8.24,53.91,29.85,7.99,1.0,0.0,0.0,11.56,11.06,17.74,10.61,10.9,15.01,10.82,12.31,0
4225,0,3,1,4.66,52.62,0.0,42.72,0.0,0.0,0.0,14.08,13.08,13.75,12.02,11.81,11.23,12.31,11.73,1
4226,0,3,1,1.58,17.67,77.44,3.31,0.0,0.0,0.0,9.99,15.51,14.17,10.83,12.49,17.25,8.86,10.88,1
4227,0,3,0,17.58,64.81,0.0,17.61,1.0,0.0,0.0,12.55,12.24,10.81,12.07,13.67,15.24,8.12,15.3,0
4228,0,3,1,0.81,15.3,80.89,3.0,0.0,1.0,0.0,14.79,33.73,21.98,4.34,5.89,6.66,5.56,7.05,0
4229,0,3,1,3.07,21.28,71.85,3.79,0.0,0.0,16.0,15.44,12.73,10.3,10.3,12.08,14.01,12.97,12.16,1
4230,0,3,1,0.43,6.88,91.99,0.69,0.0,1.0,0.0,7.34,6.02,15.77,11.23,10.01,25.44,12.34,11.84,1
4231,0,3,0,10.45,80.67,0.0,8.88,0.0,0.0,0.0,12.0,10.41,11.03,16.66,9.42,13.69,12.68,14.12,0
4232,0,3,1,0.42,11.05,86.95,1.59,1.0,1.0,0.0,7.6,6.96,5.15,49.13,16.52,6.5,4.24,3.9,0
4233,1,3,0,10.15,72.34,0.0,17.51,0.0,0.0,0.0,17.84,12.05,13.07,11.84,9.27,14.46,13.14,8.34,0
4234,0,3,1,4.08,73.98,14.67,7.27,2.0,1.0,0.0,5.85,8.0,19.48,8.61,5.27,11.8,25.82,15.17,1
4235,0,3,0,9.78,70.41,0.0,19.82,0.0,0.0,2.0,11.21,9.59,12.21,7.02,11.3,14.67,14.03,19.99,1
4236,0,3,0,1.99,8.94,85.86,3.21,10.0,0.0,7.0,12.42,15.82,12.21,10.97,10.17,11.09,15.95,11.36,0
4237,0,3,0,2.34,52.52,38.98,6.15,0.0,0.0,3.0,4.05,3.97,49.82,3.34,7.6,6.34,13.19,11.69,1
4238,0,3,1,1.13,93.12,0.0,5.75,0.0,1.0,0.0,8.0,18.7,27.63,7.32,8.75,16.44,7.23,5.93,0
4239,1,3,1,8.78,81.64,0.0,9.58,1.0,0.0,73.0,10.98,12.14,20.84,12.2,8.46,14.41,12.39,8.58,1
4241,0,3,0,7.98,33.89,36.12,22.01,0.0,0.0,0.0,10.57,11.57,16.33,10.95,9.65,15.31,12.86,12.75,1
4242,0,3,1,2.49,90.31,0.0,7.2,0.0,1.0,0.0,9.26,10.95,10.89,8.69,12.24,9.65,10.93,27.38,1
4243,0,3,0,1.32,15.51,81.57,1.61,0.0,1.0,1.0,14.28,12.45,15.93,17.42,11.56,10.97,8.22,9.18,0
4244,0,3,0,2.18,12.43,62.96,22.43,0.0,0.0,1.0,18.44,14.52,12.57,13.83,8.39,14.24,8.65,9.35,0
4245,0,3,0,8.21,58.95,0.0,32.85,0.0,0.0,11.0,11.48,10.63,13.89,12.41,14.0,14.1,13.01,10.47,0
4246,1,3,0,1.33,14.9,81.98,1.8,0.0,0.0,0.0,11.62,9.49,9.61,10.34,13.57,11.61,14.42,19.35,1
4247,1,3,1,11.36,73.09,0.0,15.56,0.0,0.0,0.0,10.21,11.78,14.89,10.85,15.18,11.79,12.6,12.7,1
4248,0,3,1,9.53,70.61,0.0,19.86,0.0,0.0,0.0,14.69,10.43,11.19,12.55,15.7,12.45,13.16,9.82,1
4249,0,3,0,6.25,39.92,19.18,34.65,0.0,0.0,35.0,10.0,11.35,12.47,14.77,10.64,10.98,13.5,16.3,1
4250,0,3,0,15.08,58.54,0.0,26.38,3.0,1.0,0.0,16.69,11.61,14.73,10.32,13.0,12.09,12.64,8.92,0
4251,0,3,0,42.71,35.01,0.0,22.28,0.0,0.0,0.0,7.93,17.65,15.32,10.51,17.01,14.68,6.65,10.25,1
4252,0,3,1,4.64,87.67,0.0,7.69,0.0,0.0,4.0,6.35,11.61,7.2,17.63,10.89,13.07,21.68,11.57,1
4253,0,3,0,5.82,61.15,4.57,28.46,0.0,1.0,17.0,6.42,7.48,15.7,19.31,14.92,16.67,9.78,9.73,1
4254,0,3,0,12.48,68.15,0.0,19.37,0.0,0.0,17.0,14.02,12.07,14.3,10.13,11.09,10.46,11.78,16.14,1
4255,0,3,2,0.37,4.76,94.5,0.37,0.0,0.0,0.0,4.3,38.47,2.39,13.11,3.99,4.14,7.16,26.42,1
4256,0,3,0,9.79,48.34,0.0,41.87,0.0,0.0,20.0,13.83,14.69,15.57,10.08,12.95,11.84,13.18,7.87,0
4257,0,3,0,10.66,83.0,0.0,6.34,17.0,1.0,50.0,13.54,12.16,12.98,11.69,14.74,12.43,13.72,8.75,0
4258,0,3,1,3.03,20.06,73.77,3.13,10.0,0.0,0.0,11.33,7.91,16.66,8.47,10.91,16.28,13.42,15.03,1
4259,1,3,0,2.84,33.01,61.22,2.93,0.0,0.0,0.0,6.59,12.64,10.29,21.15,7.28,15.42,15.16,11.46,0
4260,1,3,1,1.39,23.16,73.68,1.77,3.0,0.0,0.0,20.42,5.45,10.16,10.46,9.36,12.58,15.54,16.02,0
4261,0,3,1,1.99,27.84,63.98,6.2,8.0,2.0,0.0,6.14,10.06,9.86,14.22,12.83,10.13,19.39,17.37,1
4262,0,3,0,5.05,56.49,30.05,8.42,0.0,0.0,0.0,16.24,15.03,16.73,18.07,16.28,6.19,6.97,4.5,0
4263,0,3,1,8.43,44.77,36.01,10.8,0.0,0.0,0.0,10.22,11.98,13.16,8.14,10.14,14.15,13.16,19.05,1
