고객번호,성별,연령대,거주지역,경쟁사이용횟수,멤버쉽보유,온라인이용횟수,1번품목구매비율(%),2번품목구매비율(%),3번품목구매비율(%),4번품목구매비율(%),편의품구매횟수,선매품구매횟수,전문품구매횟수,기타구매횟수,편의품구매등급,선매품구매등급,전문품구매등급,기타구매등급,1기구매비율(%),2기구매비율(%),3기구매비율(%),4기구매비율(%),5기구매비율(%),6기구매비율(%),7기구매비율(%),8기구매비율(%),1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,8기구매등급,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,7기구매횟수,8기구매횟수,A제휴사구매비율(%),B제휴사구매비율(%),C제휴사구매비율(%),D번제휴사구매비율(%),A_구매횟수,B_구매횟수,C_구매횟수,D_구매횟수,A_총구매액,B_총구매액,C_총구매액,D_총구매액,분기증감확인
1989,0,4,1,0,1,0,1.95,23.99,72.08,1.98,1032,392,9,38,4,2,2,6,9.88,12.81,9.66,24.12,15.19,7.81,10.32,10.2,2,2,2,1,1,3,2,2,197,146,167,167,206,183,225,180,89.17,7.17,3.66,0,581,828,62,0,2,4,4,8,0
1990,0,4,1,0,0,0,8.56,69.88,14.19,7.37,403,151,1,48,2,2,5,2,11.51,12.53,8.64,10.14,14.91,18.73,13.58,9.96,1,2,4,2,1,1,3,2,92,60,46,106,87,92,48,72,84.23,11.82,3.95,0,555,19,29,0,2,8,5,8,0
1991,1,4,0,0,1,0,7.22,85.29,0,7.49,707,47,0,59,9,6,6,6,11.77,19.18,21.72,7.99,10.36,7.7,12.94,8.35,8,7,8,10,10,9,9,10,119,97,85,90,101,157,98,66,90.66,7.62,1.71,0,26,784,3,0,6,4,9,8,0
1992,1,4,1,0,0,4,3.02,37.76,57.75,1.47,433,470,15,47,3,1,1,5,10.1,14.17,15.73,9.59,12.61,10.66,8.48,18.66,1,1,1,1,1,1,1,1,134,91,50,155,95,166,93,181,93.42,3.05,0,3.53,849,115,0,1,1,7,10,2,1
1993,0,4,0,15,1,0,0.86,12.93,83.65,2.56,636,255,5,19,6,2,2,5,18.08,7.49,9.05,12.66,13.14,12.72,10.67,16.18,1,3,2,1,2,2,3,1,120,128,115,146,92,104,90,120,72.33,5.82,20.77,1.08,898,14,1,2,2,9,8,2,0
1994,0,4,1,1,0,12,7.01,83.53,0,9.46,2950,43,0,105,2,7,6,5,10.4,11.85,15.21,9.66,12.23,12.46,20.36,7.83,5,7,5,7,5,5,4,9,473,331,369,373,439,456,404,253,93.97,3.99,2.04,0,16,3073,9,0,7,1,8,8,0
1995,0,4,0,1,0,0,7.81,73.11,0,19.08,987,79,0,4,1,4,6,8,29.5,13.31,4.71,9.3,8.38,12.92,12.69,9.18,3,4,8,6,4,2,3,4,74,120,119,91,163,230,137,136,79.17,13.81,7.01,0,663,389,18,0,3,5,6,8,0
1996,0,4,1,0,0,0,7.86,54.79,18.87,18.48,1416,230,2,63,1,3,5,2,14.52,14.68,15.47,8.58,9.31,17.13,7.36,12.95,2,2,2,3,8,3,3,3,198,314,225,275,68,126,336,169,54.91,17.22,4.66,23.21,697,991,22,1,3,2,6,2,0
1997,1,4,0,7,0,0,7.29,48.64,0,44.07,2262,91,0,19,2,6,6,5,16.56,13.83,13.05,11.28,12,11.69,12.9,8.69,4,5,5,5,5,5,5,6,249,257,291,303,306,370,305,291,79,12.89,8.12,0,3,2368,1,0,9,1,9,8,0
1998,0,4,1,0,1,0,2.49,41.15,53.1,3.27,496,268,4,131,7,1,3,1,12.75,3.23,4.98,17.61,7.96,14.59,12.45,26.43,1,3,3,1,4,1,2,1,102,187,120,87,54,126,109,114,90.75,7.74,1.51,0,614,281,4,0,2,5,9,8,1
1999,0,4,1,10,0,0,13.04,57,22.42,7.54,295,224,1,45,9,4,5,6,9.66,8.82,12.47,10.26,10.62,13.27,23.62,11.29,3,4,8,5,4,4,4,4,114,102,34,61,75,65,42,72,62.54,16.53,8.18,12.75,472,85,6,2,4,7,7,2,0
2000,1,4,0,7,0,0,7.84,25.89,0,66.26,2906,14,0,3,5,10,6,9,9.96,9.74,10.73,9.93,11.56,13.33,17.37,17.39,7,7,9,8,8,7,9,10,479,571,350,427,394,481,212,9,83.04,11.72,5.24,0,3,137,2783,0,9,7,2,8,0
2001,0,4,0,0,0,0,27.55,61.05,0,11.4,968,33,0,15,1,8,6,8,7.33,10.93,11.54,11.03,10.45,15.24,19.56,13.91,5,4,3,3,4,6,4,9,165,165,174,177,152,71,78,34,68.06,15.94,16,0,2,73,941,0,9,6,1,8,0
2002,1,4,0,0,2,64,0.5,10.3,88.27,0.93,1424,407,61,114,1,1,1,1,9.14,8.39,30.05,24.58,6.53,9.83,4.21,7.27,1,1,1,1,1,1,1,1,239,172,250,215,256,323,282,269,95.4,3.02,1.58,0,802,1194,10,0,1,1,6,8,0
2003,0,4,1,0,0,0,9.89,90.11,0,0,1088,5,0,0,7,10,6,10,8.96,11.46,12.77,14.15,16.2,14.49,14.27,7.7,9,9,9,9,8,9,9,10,152,135,150,141,162,161,136,56,80.57,11.58,7.86,0,4,4,1085,0,9,10,2,8,0
2004,0,4,0,0,0,0,9.88,55.88,0,34.24,970,181,0,7,6,5,6,8,26.84,17.09,17.68,10.78,8.43,8.53,6.8,3.84,3,3,3,5,9,10,9,10,162,204,204,191,101,73,131,92,64.32,24.73,10.95,0,669,112,377,0,4,7,3,8,0
2005,1,4,0,0,0,58,8.9,42.62,0,48.49,894,41,0,31,9,9,6,4,9.19,12.37,14.89,10,16.03,10.51,15.7,11.31,9,9,8,10,8,10,8,9,147,118,151,116,124,69,148,93,66.21,18.26,15.52,0,8,895,63,0,9,4,4,8,0
2006,0,4,1,0,0,0,0.59,17.09,81.62,0.7,774,237,26,19,7,1,1,8,6.7,20.78,9.66,12.4,12.77,21.68,6.6,9.41,2,1,1,1,1,1,2,1,141,108,175,129,117,121,135,130,93.02,5.9,1.08,0,832,220,4,0,1,6,9,8,1
2007,0,4,1,7,0,0,1.69,27.42,67.6,3.29,415,253,8,135,8,1,2,1,8.11,11.21,9.27,17.36,13.83,15.93,11.54,12.76,1,1,2,1,1,2,1,2,144,125,99,83,111,76,109,64,92.35,5.08,2.57,0,549,232,30,0,1,6,5,8,0
2008,0,4,1,1,0,0,4.35,67.95,25.59,2.12,1115,217,7,32,1,1,3,6,4.2,6.01,6.77,21.55,17.49,18.18,5.2,20.61,3,2,1,1,1,1,5,1,123,191,274,223,228,173,72,87,85.23,7.56,2.62,4.59,1085,252,26,8,1,6,6,1,1
2009,0,4,1,0,0,5,0.23,7,92.28,0.49,1982,336,2,119,2,1,2,2,13.13,13.49,11.42,13.8,10.64,10.52,14.43,12.57,1,1,1,1,1,1,1,1,246,332,306,250,336,370,306,293,90.81,4.77,4.42,0,1113,1149,177,0,1,5,4,8,1
2010,0,4,1,1,0,0,1.68,27.34,67.37,3.61,1059,290,6,45,3,2,2,3,9.41,10.7,11.85,15.27,10.66,13.47,17.77,10.88,2,2,1,1,2,1,1,2,144,165,206,185,160,199,158,183,71.46,6.15,4.46,17.92,1305,3,90,2,2,10,4,1,1
2011,0,4,1,0,0,45,4.28,50.22,38.13,7.37,907,58,1,30,9,6,5,7,7.86,16.3,10.47,16.07,15.38,15.25,9.16,9.52,10,7,9,6,9,10,10,8,121,133,140,144,98,70,135,155,92.63,4.98,2.39,0,23,972,1,0,6,4,9,8,1
2012,0,4,0,0,0,0,4.51,49.18,38.3,8,855,97,2,26,4,4,4,5,11.08,7.95,9.37,8.82,26.33,14.35,9.37,12.73,5,5,6,7,2,4,5,4,107,165,106,93,130,116,139,124,73.7,19.13,7.17,0,898,62,20,0,4,8,7,8,1
2013,0,4,0,0,0,0,11.47,81.71,0,6.82,490,264,0,64,1,1,6,2,6.62,7.12,10.09,11.17,11.55,15.86,18.38,19.22,2,2,1,1,1,1,1,1,83,99,112,158,81,115,76,94,88.23,3.04,2.42,6.31,786,12,16,4,1,9,6,1,1
2014,1,4,0,0,0,0,12.64,57.9,0,29.46,1366,71,0,65,7,8,6,4,15.36,10.77,14.84,13.97,13.09,10.73,11.06,10.18,7,8,9,7,7,9,10,8,183,199,160,208,219,176,168,189,63.48,21.43,15.09,0,42,1457,3,0,8,3,8,8,0
2015,0,4,0,4,0,2,5.8,84.76,0,9.43,2628,86,0,23,2,5,6,8,7.75,8.6,9.65,9.09,10.36,17.59,9.06,27.89,6,5,4,4,5,4,7,3,333,365,473,436,329,283,275,243,94.47,4.64,0,0.89,56,2680,0,1,5,1,10,2,1
2016,0,4,1,3,0,0,1.51,34.93,61.67,1.89,263,313,20,28,9,1,1,5,6.68,6.23,17.02,20.24,12.3,17.51,13.99,6.02,2,1,1,1,1,1,1,2,38,74,77,57,80,108,125,65,94.53,2.72,0.55,2.2,607,8,3,6,1,9,9,1,1
2017,0,4,1,0,0,0,0.9,16.09,81.82,1.19,762,301,34,51,2,1,1,3,5.5,12.89,16.93,6.13,6.35,21.93,22.43,7.84,2,1,1,1,1,1,1,2,128,133,138,144,185,163,177,80,94.29,3.53,2.18,0,674,129,345,0,1,6,3,8,0
2018,0,4,0,0,1,4,4.04,61.21,25.02,9.73,1615,76,1,15,4,5,5,7,23.65,9.21,9.91,11.92,16,8.68,9.24,11.39,3,6,7,6,4,7,5,5,162,214,196,179,235,235,305,181,87.52,8.94,3.55,0,141,1565,1,0,5,3,9,8,0
2020,0,4,0,1,0,2,9.75,84.83,0,5.43,1772,62,0,1,2,6,6,10,13.54,16.77,11.09,9.96,12.18,13,11.94,11.52,6,5,8,6,5,5,4,5,154,193,171,246,259,237,325,250,85.81,5.98,8.2,0,49,7,1779,0,6,10,1,8,1
2021,0,4,0,0,1,0,4.82,39.45,40.37,15.36,1794,73,6,9,4,6,4,8,9.42,10.2,13.02,14.21,10.48,17.27,16.72,8.67,6,6,6,5,6,5,8,8,290,266,232,256,298,229,144,167,86.78,8.92,4.3,0,52,1467,363,0,6,3,3,8,0
2022,0,4,1,0,1,19,4.59,82.73,0,12.68,2037,136,0,8,3,4,6,8,12.27,8.65,10.32,11.66,9.11,16.66,13.22,18.11,4,4,5,4,5,3,4,3,242,332,240,285,286,296,253,247,85.9,6.35,7.75,0,107,1936,138,0,5,1,3,8,1
2023,1,4,0,6,0,0,3.65,35.86,53.21,7.29,438,339,21,47,5,1,2,2,9.32,16.68,11.48,14.72,22.41,9.63,9.71,6.06,1,1,2,1,1,1,1,4,117,92,75,97,113,142,159,50,77.45,10.7,11.84,0,818,23,4,0,1,8,6,8,0
2024,0,4,1,9,0,0,5.12,87.95,0,6.93,2358,146,0,32,2,4,6,7,10.04,9.73,15.24,6.36,18.61,15.53,9.61,14.89,5,5,3,5,2,3,4,3,232,232,301,348,354,335,383,351,71.16,12.25,8.65,7.94,596,1190,736,14,4,4,3,1,1
2025,0,4,0,0,0,0,11.63,62.58,21.44,4.34,153,512,1,35,3,1,4,3,14.91,7.33,13.51,13.67,15.89,11.29,12.23,11.16,1,1,1,1,1,1,1,1,44,63,61,73,85,123,126,126,96.77,1.75,1.48,0,578,114,9,0,1,7,6,8,1
2026,0,4,1,0,1,0,3.83,27.8,45.2,23.17,1379,103,1,10,2,5,4,5,12.69,19.32,13.19,8.54,9.54,14.23,14.49,7.99,4,3,3,7,7,6,4,6,207,190,303,148,149,136,188,172,81.15,11.24,7.61,0,35,1439,19,0,6,1,5,8,0
2027,0,4,0,1,0,0,1.08,17.43,74.29,7.19,1267,257,10,5,2,2,1,6,17.83,20.52,9.67,8.91,15.6,11.52,6.46,9.49,1,1,2,3,2,2,5,3,195,250,265,168,176,224,121,140,90.58,4,5.41,0,281,167,1091,0,2,6,1,8,0
2028,0,4,0,0,0,4,13.29,60.35,0,26.36,1310,89,0,39,5,7,6,6,12.11,12.89,24.42,9.15,10.06,10.15,11.39,9.83,10,10,8,8,8,7,5,4,68,70,83,159,186,224,327,321,79.19,13.39,7.42,0,56,1354,28,0,6,3,5,8,1
2029,0,4,0,0,1,0,2.26,75.49,0,22.25,1647,300,0,18,1,1,6,2,16.72,16.87,9.33,14.15,18.66,13.97,6.91,3.38,1,1,2,1,1,1,2,3,212,214,175,278,258,304,266,258,92.2,5.03,2.77,0,588,389,988,0,1,5,2,8,0
2030,0,4,1,0,0,50,3.22,45.2,39.87,11.71,1425,75,1,17,6,5,5,7,20.32,9.29,11.1,16.36,12.97,7.31,13.86,8.8,4,8,7,5,6,9,6,6,161,183,208,163,174,196,185,248,92.01,5.95,2.04,0,55,1462,1,0,5,3,9,8,0
2031,0,4,0,0,0,53,5.28,52.02,0,42.7,1427,33,0,15,7,8,6,5,36.77,7.88,12.96,7.49,8.78,9.04,10.06,7.01,6,10,8,9,8,9,9,9,85,66,177,213,289,246,199,200,96.19,1.09,2.72,0,4,1469,2,0,7,4,8,8,0
2032,0,4,1,0,0,32,5.98,50.94,0,43.07,1722,42,0,10,3,7,6,6,11.93,12.53,18.77,10.12,12.88,8.22,14.99,10.56,6,6,5,7,6,6,4,5,177,184,166,192,197,312,264,282,86.23,12.22,1.55,0,48,1725,1,0,6,2,9,8,1
2033,0,4,1,0,0,4,3.69,26.59,61.94,7.78,1145,87,4,70,5,6,3,3,8.97,19.08,14.65,10.21,8.48,11.79,13.14,13.7,7,5,5,7,7,6,7,5,160,121,192,144,214,174,152,149,64.55,19.58,15.88,0,554,750,2,0,5,5,9,8,1
2034,0,4,1,0,1,44,6.76,81.65,0,11.59,2206,121,0,104,2,4,6,3,20.67,12.28,12.39,11.95,6.96,13.14,12.52,10.11,3,4,3,3,5,3,5,5,258,284,355,353,388,334,234,225,58.95,14.67,0,26.38,394,2035,0,2,5,1,10,1,0
2035,0,4,0,0,0,0,1.13,18.66,78.41,1.79,268,295,16,15,9,1,1,6,9.04,6.5,15.62,8.16,26.18,21.89,5.57,7.05,1,2,1,2,1,1,1,3,68,86,71,54,64,108,111,32,100,0,0,0,594,0,0,0,1,10,10,8,0
2036,0,4,1,0,0,0,12.75,63.21,16.33,7.71,393,183,1,46,1,2,5,3,10.57,10.07,13.05,10.97,13.91,26.91,8.06,6.46,2,2,2,2,2,1,3,4,79,86,74,75,80,87,79,63,87.96,8.11,3.93,0,546,37,40,0,2,8,5,8,0
2037,0,4,0,0,0,0,2.45,37.33,55.07,5.16,297,305,1,25,10,2,4,5,9.05,11.53,19.82,9.72,9.45,11.08,13.13,16.2,3,2,2,2,3,3,2,1,76,96,64,91,80,64,71,86,85.36,5.38,4.92,4.34,510,113,2,3,2,7,8,2,1
2038,0,4,1,0,0,0,1.26,19.28,78.33,1.13,337,152,12,57,7,2,1,4,11.9,10.68,10.15,7.69,5.38,16.71,28.51,8.98,1,3,2,3,4,1,1,2,86,40,58,52,53,98,63,108,96.29,0,0,3.71,554,0,0,4,2,10,10,2,0
2039,0,4,1,0,0,1,8.71,74.72,0,16.58,2583,61,0,9,2,7,6,9,11.4,12.74,12.81,12.04,9.28,13.38,15.95,12.4,6,5,4,5,7,4,5,6,298,312,425,330,340,404,321,223,72.02,15.09,12.89,0,32,2594,27,0,7,1,5,8,0
2040,1,4,1,14,1,0,2.14,30,64.02,3.84,1306,126,3,22,3,4,3,7,21.93,13.21,17.09,7.88,12.78,15.81,6.76,4.55,3,3,3,4,3,3,8,7,117,205,154,208,232,224,145,172,69.59,18.84,11.57,0,803,86,568,0,4,7,3,8,0
2041,0,4,0,0,0,26,12.29,66.98,0,20.72,1457,73,0,17,3,6,6,7,9.48,10.4,12.98,15.33,15.97,11.74,15.74,8.35,8,9,5,5,4,6,5,7,161,101,236,195,246,224,204,180,91.58,6.71,1.7,0,13,1517,17,0,7,2,7,8,0
2042,1,4,1,0,0,0,5.3,63.21,19.46,12.03,875,81,3,28,7,5,5,6,25.49,13.9,12.69,14.15,15.21,9.19,5.52,3.85,3,5,6,5,5,8,10,10,138,131,116,122,122,119,111,128,66.2,12.13,0,21.67,116,868,0,3,5,3,10,1,0
2043,0,4,0,0,0,7,5.67,76.24,0,18.09,1099,70,0,37,5,5,6,4,11.12,22.9,14.1,12.97,8.24,7.43,12.65,10.6,5,2,5,6,8,8,6,6,145,230,156,124,127,144,154,126,47.89,16,36.11,0,723,481,2,0,4,5,7,8,0
2044,0,4,1,0,0,0,12.85,73.25,0,13.9,897,15,0,23,9,10,6,8,13.09,10.81,13.86,11.58,10.99,11.06,17.43,11.19,10,10,10,10,10,10,9,9,99,97,107,131,119,128,126,128,88.14,8.29,3.58,0,6,927,2,0,9,5,9,8,1
2045,0,4,0,1,1,0,12.65,33.33,40.65,13.37,353,430,2,13,2,2,4,5,13.34,7.12,12.95,10.85,24.71,9.94,12.65,8.45,2,3,1,2,1,2,2,3,95,99,130,114,85,121,89,65,79.75,18.83,1.43,0,760,37,1,0,2,7,9,8,0
2046,0,4,1,0,0,0,1.32,16.22,80.4,2.06,184,596,9,40,10,1,1,3,18.23,11.73,11.35,13.3,10.74,9.83,11.45,13.37,1,1,1,1,1,1,1,1,83,53,100,93,99,134,126,141,89.13,7.44,3.44,0,768,23,38,0,1,8,4,8,1
2047,0,4,0,0,0,0,8.19,35.02,45.66,11.14,865,38,1,6,8,9,5,9,17.19,11.36,12.12,16.43,9.2,10.08,12.27,11.35,8,9,9,10,10,9,8,7,94,133,111,64,50,149,157,152,83.72,10.81,5.47,0,2,717,191,0,9,4,3,8,1
2048,0,4,0,2,0,12,13.23,62.22,0,24.55,1276,59,0,18,6,8,6,8,11.07,14.44,14.76,11.35,12.11,13.19,11.88,11.2,8,7,7,8,9,9,7,9,181,175,193,160,151,138,234,121,64.89,35.11,0,0,22,1331,0,0,9,3,10,8,0
2049,0,4,0,13,0,16,3.91,24,68.09,4,181,406,18,21,8,1,1,5,20.86,11.24,9.7,12.53,11.16,11.3,8.38,14.83,1,1,1,1,1,1,2,1,36,63,73,89,111,109,63,82,80.72,7.2,2.14,9.94,588,20,16,2,1,8,6,1,1
2050,0,4,1,0,0,0,1.79,59.52,34.46,4.23,1009,413,5,64,5,1,3,3,10.48,7.21,19.65,10.96,22.2,9.9,11.66,7.93,1,1,1,1,1,1,1,2,275,276,174,179,138,177,132,140,88.28,8.43,3.29,0,746,81,664,0,1,6,3,8,0
2051,0,4,0,2,2,0,10.92,35.52,46.93,6.63,116,361,58,55,6,1,1,1,14.49,8.44,12.24,19.3,12.32,12.14,10.43,10.63,1,2,2,1,1,1,1,1,47,67,53,118,56,95,80,74,76.23,0,1.58,22.2,584,0,2,4,1,10,9,1,1
2052,0,4,1,0,0,0,3.95,52.64,34.95,8.46,1642,214,3,34,2,3,4,5,9.1,17.56,17.31,11.22,10.31,15.54,10.84,8.12,5,2,2,3,3,2,2,4,149,216,206,220,223,310,391,178,70.54,24.06,5.4,0,601,184,1108,0,3,5,2,8,1
2053,1,4,0,0,0,0,6.59,48.05,0,45.36,2321,58,0,5,4,8,6,8,13.76,15.69,11.8,10.53,10.86,13.11,13.16,11.09,6,6,8,9,8,6,7,7,303,265,293,235,281,369,323,315,75.3,12.76,11.95,0,59,2313,12,0,7,3,6,8,0
2054,0,4,1,0,0,0,1.7,65.92,28.49,3.9,835,317,6,58,4,1,3,2,9.24,16.25,5.36,10.38,21.68,8.5,5.71,22.88,1,1,2,2,1,1,2,1,127,118,143,89,204,245,151,139,95.23,2.8,1.97,0,609,414,193,0,1,5,3,8,1
2055,0,4,1,0,1,0,14.32,60.1,0,25.58,1768,78,0,13,3,7,6,8,11.14,13.17,17.13,10.22,11.71,11.44,13.92,11.27,7,6,5,7,7,6,5,7,198,236,241,203,218,306,281,176,85.45,8.51,6.03,0,1,1817,41,0,10,1,5,8,0
2056,1,4,0,9,0,0,16.07,59.38,0,24.55,486,287,0,12,2,2,6,5,16.12,16.12,21.82,5.68,12.79,12.26,5.01,10.2,2,2,2,3,1,3,7,2,79,83,69,133,165,86,63,107,86.93,6.99,6.08,0,560,213,12,0,2,6,6,8,0
2057,0,4,0,1,0,1,2.33,36.73,49.94,11,1514,499,3,66,5,2,4,2,8.9,10.38,8.45,10.07,10.68,14.33,19.82,17.37,2,2,2,2,2,2,2,2,270,259,333,311,356,226,166,161,90.3,5.12,4.58,0,635,1427,20,0,2,4,6,8,1
2058,0,4,1,0,0,0,4.32,41.85,45.25,8.58,294,284,5,39,6,1,3,1,26.75,7.58,9.78,13.67,17.23,7.76,5.89,11.35,1,3,1,1,1,3,3,2,48,66,91,103,117,68,60,69,88.52,7.05,4.43,0,576,39,7,0,1,8,6,8,0
2059,0,4,0,6,1,0,3.11,27.43,48.3,21.16,1270,86,1,1,8,6,5,9,19.55,9.1,13.19,8.82,12.28,15.19,13.97,7.9,5,9,7,8,7,8,10,10,201,185,218,211,232,156,48,107,73.09,17.16,9.76,0,122,190,1046,0,6,6,2,8,0
2060,0,4,0,11,0,0,0.94,5.87,92.38,0.81,480,261,6,7,6,3,1,9,3.65,5.65,34.96,11.84,4.68,16.53,7.59,15.1,6,4,1,2,7,2,3,3,95,124,69,148,61,112,100,45,33.42,27.99,0,38.59,749,4,0,1,3,8,10,1,1
2061,0,4,0,0,1,0,2.65,54.07,0,43.28,1877,23,0,10,5,7,6,4,10.33,9.89,15.18,13.49,13.88,14.21,9.71,13.31,7,8,7,7,6,7,9,7,273,261,229,209,254,240,259,185,83.01,13.46,3.53,0,25,22,1863,0,6,8,2,8,0
2062,1,4,0,0,0,0,1.51,20.05,73.94,4.5,1512,533,10,46,3,2,2,4,9.87,15.76,10.07,11.27,9.48,13.63,20.73,9.2,2,1,1,3,2,2,2,2,260,343,356,188,246,285,127,296,66.05,9.26,3.44,21.25,808,701,589,3,2,4,3,1,1
2063,0,4,1,0,0,0,15.02,74.04,0,10.94,721,79,0,73,6,6,6,5,17,13.63,10.31,12.67,8.98,10.95,16.54,9.91,4,6,9,7,9,8,6,7,128,109,101,101,102,118,111,103,66.46,12.34,9.51,11.69,109,756,7,1,5,4,7,2,0
2064,0,4,1,0,0,0,2.92,22.55,72.06,2.47,229,365,49,11,1,1,1,5,22.32,15.1,8.3,12.1,9.86,9.01,15.97,7.32,1,1,1,1,1,1,1,1,77,74,95,74,76,87,83,88,97.07,1.66,1.27,0,611,29,14,0,1,8,6,8,0
2065,1,4,0,0,0,0,20.89,79.11,0,0,1056,14,0,0,6,10,6,10,16.64,10.5,13.64,8.6,10.74,12.2,14.97,12.71,10,10,10,9,8,7,10,7,64,86,94,183,197,203,88,155,77.43,0,22.57,0,1,0,1069,0,10,10,2,8,1
2066,1,4,3,0,1,0,14.4,27.41,0,58.19,805,47,0,33,5,9,6,2,8.92,16.58,20.28,11.44,12.1,15.7,6.43,8.55,7,6,4,7,8,7,10,10,162,119,136,131,108,115,99,15,86.71,9.94,3.35,0,3,804,78,0,9,2,4,8,0
2067,0,4,0,14,0,6,0.42,34.04,63.71,1.84,185,472,3,4,10,1,2,9,7.39,12.22,10.57,16.15,19.14,8.81,11.64,14.08,2,1,1,1,1,1,1,1,40,32,50,90,124,97,123,108,95.98,3.02,1,0,647,5,12,0,1,9,7,8,1
2068,0,4,0,3,0,0,8.84,61.01,21.25,8.9,570,211,3,48,6,3,5,5,10.98,13.8,15.21,10.88,15.88,8.6,11.44,13.21,4,4,3,5,3,3,4,3,82,80,98,80,113,180,98,101,77.58,13.23,0,9.19,699,131,0,2,3,7,10,2,1
2069,0,4,0,0,0,0,6.23,70.42,0,23.35,2521,79,0,11,3,6,6,8,11.22,12.15,14.65,16.71,12.67,12.67,9.88,10.04,8,4,5,4,4,6,7,7,167,414,328,334,444,330,345,249,36.84,49.55,13.61,0,1,532,2078,0,10,3,1,8,1
2070,1,4,1,5,0,0,4.25,27.99,65.57,2.19,662,422,5,58,1,1,2,3,6.82,11.19,24.42,24.39,11.25,8.44,5.77,7.72,2,1,1,1,1,1,3,1,104,123,142,174,155,183,90,176,59.04,4.05,0,36.91,1060,85,0,2,1,7,10,1,1
2071,0,4,0,0,0,1,2.54,42.97,48.59,5.9,571,384,4,54,8,1,3,3,12.82,10.59,17.39,12.86,7.71,8,19.47,11.16,1,2,1,2,3,2,1,2,132,142,108,102,119,140,133,137,91.76,5.63,2.61,0,789,218,6,0,2,6,8,8,0
2072,0,4,0,13,1,15,8.78,73.47,0,17.75,917,96,0,62,4,4,6,2,8.56,7.96,6.81,6.88,24.49,13.41,9.33,22.56,6,6,9,7,2,5,5,3,131,145,108,125,156,121,178,111,83.54,11.96,4.5,0,61,889,125,0,5,1,4,8,1
2073,0,4,1,1,0,0,1.99,16.72,75.95,5.35,1906,224,6,208,2,4,2,1,11.31,14.8,12.38,21.32,8.22,11.16,11.08,9.72,4,2,2,2,4,3,3,3,201,315,364,270,279,321,317,277,89.35,6.06,3.27,1.32,69,2269,4,2,5,1,7,2,1
2074,0,4,0,0,0,0,1.98,43.79,43.63,10.6,1655,270,4,27,4,2,3,4,8.62,11.23,15.53,11.54,8.45,13.08,13.71,17.85,4,3,2,2,3,2,2,2,197,189,199,289,243,266,294,279,87.18,7.02,5.8,0,647,879,430,0,3,5,3,8,1
2075,0,4,2,0,0,42,8.53,73.4,0,18.07,1064,49,0,17,8,7,6,8,10.03,15.66,11.16,18.58,10.28,13.44,11.75,9.1,10,8,10,6,10,8,9,7,76,115,132,157,139,161,137,213,82.25,3.9,0,13.85,8,1119,0,3,7,4,10,1,1
2076,0,4,0,0,0,0,2.54,60,34.16,3.31,869,233,1,66,5,1,4,4,8.1,6.5,13.47,33.1,13.4,7.15,7.32,10.97,2,2,4,1,2,3,2,1,183,196,48,95,107,162,163,215,84.95,8.86,6.19,0,627,538,4,0,2,4,7,8,1
2077,1,4,0,0,1,6,9.71,67.28,0,23.01,1828,116,0,9,2,5,6,8,15.29,11.95,11.63,10.2,11.96,11.36,14.94,12.67,4,5,5,6,6,5,4,4,221,244,292,209,207,252,279,249,92.85,7.15,0,0,14,1939,0,0,7,1,10,8,0
2078,0,4,1,0,0,25,4.68,50.79,40.67,3.86,973,144,2,142,7,4,4,4,17.36,25.71,11.32,8.7,12.12,3.94,16.38,4.47,4,2,4,7,4,10,10,10,151,207,240,159,252,97,50,105,86.17,10.92,2.91,0,157,1084,20,0,5,3,7,8,0
2079,0,4,1,0,1,8,4.06,50.73,35.01,10.2,1367,103,3,79,6,5,4,3,14.2,13.68,11.35,14.25,8.2,16.15,12.23,9.94,3,4,7,5,8,6,7,6,296,216,182,197,164,149,176,172,83.33,7.99,8.68,0,80,1470,2,0,5,2,8,8,0
2080,0,4,1,0,1,3,3.24,65.64,28.34,2.78,670,193,3,4,9,3,4,10,24.69,10.96,7.23,17.86,5.44,13.24,6.22,14.37,2,4,5,3,8,3,5,2,97,103,109,101,81,125,135,119,92.77,5.18,2.05,0,189,580,101,0,3,5,4,8,0
2081,1,4,2,22,1,30,5.16,85.07,5.42,4.35,2720,101,1,40,1,4,6,7,14.11,13.18,14.08,12.28,11.66,15.46,10.45,8.79,3,3,3,3,3,3,6,3,380,340,342,388,415,335,233,429,88.02,4.53,7.45,0,83,2778,1,0,5,1,8,8,0
2082,0,4,0,0,0,0,11.82,72.71,0,15.46,1680,44,0,32,6,8,6,8,11.75,15,12.36,11.42,12.52,13.37,13.96,9.62,10,8,9,8,8,7,8,8,119,193,195,229,242,277,251,250,79.07,11.35,9.59,0,19,1736,1,0,8,3,9,8,1
2083,0,4,3,0,0,21,15.27,58.25,0,26.47,330,72,0,25,9,6,6,5,11,23.59,13.13,9.83,8.29,9.38,11.58,13.2,7,4,7,9,10,8,10,9,64,62,71,54,39,70,41,26,79.32,17.52,3.17,0,8,416,3,0,8,3,8,8,0
