고객번호,A제휴사(%),B제휴사(%),C제휴사(%),D제휴사(%),편의품(%),선매품(%),전문품(%),기타(%)
3406,83.42,12.68,3.9,0.0,2.18,23.93,70.55,3.34
3407,82.54,3.81,0.0,13.65,35.51,38.04,20.53,5.92
3408,86.71,0.0,13.29,0.0,7.52,74.48,0.0,18.0
3409,60.45,39.55,0.0,0.0,11.47,64.42,0.0,24.12
3410,90.31,9.69,0.0,0.0,7.79,81.67,0.0,10.54
3411,81.19,11.81,7.0,0.0,1.66,12.58,82.93,2.84
3412,96.54,1.4,2.06,0.0,4.27,86.23,0.0,9.5
3413,70.39,19.31,10.29,0.0,6.83,16.83,0.0,76.33
3414,82.6,8.69,8.71,0.0,5.45,81.03,0.0,13.51
3415,87.89,10.93,0.0,1.19,7.67,56.44,0.0,35.89
3416,73.08,11.0,11.58,4.34,10.06,53.89,19.44,16.61
3417,28.91,36.08,35.01,0.0,19.81,58.06,0.0,22.13
3418,85.48,4.45,10.07,0.0,4.82,62.05,0.0,33.13
3419,90.6,9.4,0.0,0.0,4.43,84.86,0.0,10.7
3420,0.0,60.46,39.54,0.0,26.77,73.23,0.0,0.0
3421,77.38,18.53,4.09,0.0,10.36,73.68,0.0,15.97
3422,74.12,10.54,4.38,10.97,4.02,33.11,57.85,5.02
3423,92.94,7.06,0.0,0.0,7.57,79.81,0.0,12.62
3424,72.49,13.57,13.94,0.0,2.86,31.1,63.68,2.36
3425,68.49,15.47,2.0,14.04,8.48,44.33,0.0,47.19
3426,95.87,0.0,4.13,0.0,0.9,11.91,86.42,0.78
3427,72.99,16.92,10.09,0.0,7.52,71.17,0.0,21.31
3428,51.64,18.64,9.18,20.54,7.29,63.21,0.0,29.5
3429,61.26,10.07,6.77,21.89,8.58,58.7,27.01,5.71
3431,48.65,15.21,6.65,29.49,19.3,54.22,0.0,26.49
3432,73.03,19.1,7.87,0.0,1.95,13.51,81.03,3.5
3433,87.73,6.92,5.35,0.0,3.74,43.59,33.76,18.91
3434,77.5,15.29,7.21,0.0,2.19,16.32,79.46,2.03
3435,43.78,18.0,17.7,20.52,6.36,54.44,26.49,12.71
3436,86.3,8.48,5.22,0.0,8.07,79.95,0.0,11.98
3437,47.04,6.56,46.39,0.0,1.34,8.28,89.45,0.92
3438,86.17,10.98,2.85,0.0,14.07,78.25,0.0,7.68
3439,77.66,18.34,3.99,0.0,5.88,15.12,0.0,79.01
3440,63.82,10.29,25.89,0.0,9.58,46.93,31.81,11.68
3441,83.28,11.41,5.31,0.0,0.47,7.26,91.18,1.08
3442,37.6,49.16,13.24,0.0,14.15,70.93,0.0,14.92
3443,88.77,11.23,0.0,0.0,2.91,19.55,73.55,3.99
3444,79.4,18.2,2.41,0.0,10.09,59.76,0.0,30.15
3445,67.94,21.06,11.0,0.0,4.86,62.51,24.62,8.0
3446,79.96,11.34,8.7,0.0,2.08,10.36,85.18,2.38
3447,86.34,8.48,5.18,0.0,7.09,75.9,0.0,17.01
3448,95.81,3.09,1.1,0.0,1.08,37.68,59.07,2.17
3450,28.57,71.43,0.0,0.0,7.59,82.26,0.0,10.16
3451,78.4,13.53,8.07,0.0,3.63,56.59,16.73,23.05
3452,95.7,4.3,0.0,0.0,0.31,7.28,91.97,0.43
3453,71.79,14.13,14.08,0.0,2.71,14.82,72.15,10.33
3454,96.78,0.0,3.22,0.0,1.43,37.28,58.92,2.37
3455,69.78,13.2,4.84,12.18,7.11,76.39,0.0,16.5
3456,77.8,14.23,7.96,0.0,8.78,27.61,0.0,63.62
3457,96.31,3.69,0.0,0.0,1.71,50.96,45.23,2.11
3458,61.55,10.19,28.26,0.0,3.24,71.89,18.08,6.79
3459,76.72,14.55,8.72,0.0,1.39,24.0,70.79,3.82
3460,74.96,17.92,7.12,0.0,6.16,78.52,0.0,15.32
3461,64.54,19.93,15.53,0.0,7.99,21.83,0.0,70.18
3462,74.16,13.7,12.13,0.0,12.88,77.91,0.0,9.21
3463,59.0,32.11,8.89,0.0,10.12,53.68,9.77,26.43
3464,95.01,4.99,0.0,0.0,3.87,46.23,47.32,2.59
3465,81.5,13.59,4.91,0.0,6.68,44.73,0.0,48.59
3466,0.0,76.09,23.91,0.0,9.22,24.17,0.0,66.62
3467,93.76,6.24,0.0,0.0,1.43,41.44,54.74,2.39
3468,0.0,54.81,45.19,0.0,10.62,30.41,49.59,9.38
3469,69.01,30.99,0.0,0.0,5.48,57.73,0.0,36.79
3470,84.61,10.21,5.18,0.0,8.12,58.4,13.06,20.41
3471,80.49,7.67,6.39,5.44,2.73,36.07,42.04,19.16
3472,89.65,7.28,0.0,3.08,1.79,29.95,63.58,4.68
3473,78.45,19.25,2.3,0.0,1.3,31.38,0.0,67.32
3474,72.37,27.63,0.0,0.0,5.01,22.87,67.51,4.6
3475,67.48,19.79,12.73,0.0,9.81,67.27,0.0,22.92
3476,87.55,8.12,4.33,0.0,8.34,43.83,0.0,47.83
3477,70.58,25.37,4.06,0.0,8.37,91.63,0.0,0.0
3478,82.38,10.94,6.69,0.0,9.05,25.37,31.67,33.9
3479,92.74,2.87,4.4,0.0,13.67,69.98,0.0,16.36
3480,89.91,7.97,2.11,0.0,9.6,76.67,0.0,13.73
3481,87.15,12.85,0.0,0.0,6.42,30.11,0.0,63.47
3482,71.27,21.44,7.29,0.0,5.37,68.57,19.21,6.86
3483,90.16,9.84,0.0,0.0,1.26,18.45,79.03,1.27
3484,57.93,35.22,6.85,0.0,7.77,63.8,0.0,28.43
3485,86.62,7.45,5.93,0.0,4.21,55.15,0.0,40.64
3486,92.15,6.41,1.44,0.0,11.71,59.73,0.0,28.56
3487,87.06,7.58,5.36,0.0,2.93,49.29,30.14,17.64
3488,96.09,2.41,1.5,0.0,10.07,83.13,0.0,6.8
3489,82.72,14.36,2.92,0.0,2.72,32.65,50.2,14.43
3490,59.46,17.75,9.69,13.09,8.48,54.04,0.0,37.48
3491,73.67,18.87,7.46,0.0,3.25,21.84,72.06,2.86
3492,63.29,23.68,13.03,0.0,2.93,27.32,65.06,4.69
3493,67.83,10.88,7.53,13.76,13.18,66.07,0.0,20.75
3494,0.0,41.6,58.4,0.0,25.57,26.6,0.0,47.83
3495,74.81,25.19,0.0,0.0,19.6,58.68,0.0,21.73
3496,89.49,5.76,1.6,3.15,1.11,13.12,79.19,6.59
3497,94.78,0.0,5.22,0.0,1.14,17.47,76.68,4.72
3498,88.54,7.43,4.03,0.0,2.35,73.4,0.0,24.25
3499,62.75,19.54,17.71,0.0,16.54,72.98,0.0,10.48
3500,56.38,24.04,9.37,10.21,4.64,52.79,28.3,14.27
3501,54.49,27.69,17.82,0.0,8.14,34.59,0.0,57.28
3502,47.21,18.22,8.04,26.54,6.88,66.88,0.0,26.24
3503,94.25,4.2,1.55,0.0,10.34,82.39,0.0,7.27
3504,90.87,1.1,8.03,0.0,1.42,26.18,69.91,2.49
3505,93.46,5.32,0.0,1.22,16.13,77.0,0.0,6.86
3506,64.57,28.96,6.47,0.0,6.77,45.57,17.25,30.41
3507,55.42,23.35,21.23,0.0,15.15,55.88,0.0,28.97
3508,86.21,8.39,5.4,0.0,7.32,76.83,0.0,15.84
3509,84.76,11.33,0.0,3.91,4.29,32.1,57.2,6.42
3510,100.0,0.0,0.0,0.0,2.73,44.55,41.65,11.07
3511,92.55,4.98,2.47,0.0,8.22,60.68,0.0,31.1
3512,91.45,3.37,5.18,0.0,1.45,13.83,83.16,1.56
3513,87.28,8.87,3.84,0.0,8.59,48.29,0.0,43.12
3514,94.49,4.1,1.42,0.0,0.97,14.5,83.54,0.99
3515,78.57,14.66,6.78,0.0,12.14,87.86,0.0,0.0
3516,97.19,0.0,2.81,0.0,3.55,24.72,67.89,3.84
3517,89.85,5.52,4.63,0.0,2.37,27.43,21.63,48.57
3518,71.29,23.4,5.32,0.0,3.73,26.36,64.92,5.0
3519,69.21,19.92,10.87,0.0,6.73,86.3,0.0,6.97
3520,96.8,0.0,3.2,0.0,5.07,94.93,0.0,0.0
3521,83.11,11.55,5.34,0.0,4.31,95.69,0.0,0.0
3522,96.34,3.23,0.43,0.0,0.67,3.27,90.55,5.51
3523,90.71,5.63,3.65,0.0,3.13,77.02,0.0,19.85
3524,71.77,28.23,0.0,0.0,31.91,54.49,0.0,13.6
3525,64.47,32.64,2.89,0.0,1.99,10.9,83.22,3.89
3526,93.97,0.0,0.0,6.03,0.92,21.49,74.55,3.04
3527,57.25,25.96,16.79,0.0,14.26,54.2,0.0,31.54
3528,96.41,2.83,0.76,0.0,9.57,46.74,0.0,43.69
3529,0.0,72.27,27.73,0.0,10.83,66.44,0.0,22.73
3530,78.94,21.06,0.0,0.0,8.26,80.71,0.0,11.03
3531,93.56,4.77,1.67,0.0,14.3,55.95,0.0,29.75
3532,84.74,10.55,4.71,0.0,6.6,58.93,0.0,34.47
3533,78.18,15.29,6.53,0.0,4.59,95.41,0.0,0.0
3534,86.77,11.13,2.1,0.0,2.23,16.51,60.98,20.28
3535,46.56,32.27,0.0,21.18,14.71,64.33,0.0,20.96
3536,80.6,13.32,0.0,6.07,2.46,79.08,12.3,6.16
3537,79.49,12.37,8.14,0.0,6.85,51.39,25.13,16.62
3538,80.32,11.65,8.03,0.0,14.26,52.08,0.0,33.66
3539,55.85,14.77,0.0,29.38,3.11,25.19,69.12,2.59
3540,93.06,3.39,3.55,0.0,7.77,27.92,51.79,12.51
3541,91.02,5.83,0.0,3.15,1.18,31.71,64.95,2.15
3543,63.94,21.36,14.7,0.0,12.79,73.15,0.0,14.06
3544,69.37,18.3,12.33,0.0,22.14,43.97,0.0,33.88
3545,87.6,6.74,5.66,0.0,10.79,31.2,54.13,3.88
3546,90.93,3.38,1.54,4.15,0.97,20.49,68.81,9.72
3547,92.68,0.0,7.32,0.0,8.29,91.71,0.0,0.0
3548,91.03,8.97,0.0,0.0,9.09,81.02,0.0,9.9
3549,0.0,83.77,16.23,0.0,25.4,74.6,0.0,0.0
3550,75.69,13.84,10.48,0.0,18.44,70.75,0.0,10.81
3551,0.0,77.88,0.0,22.12,7.04,42.16,0.0,50.8
3552,59.85,15.5,0.0,24.64,6.31,45.37,31.42,16.9
3553,88.29,7.3,4.42,0.0,1.09,33.04,43.78,22.1
3554,100.0,0.0,0.0,0.0,8.38,34.64,0.0,56.98
3555,88.35,7.0,4.65,0.0,5.6,29.26,61.78,3.36
3556,86.63,8.27,5.1,0.0,5.51,72.37,14.13,7.99
3557,85.95,6.48,7.56,0.0,9.64,48.41,20.46,21.49
3558,90.38,5.63,3.99,0.0,0.85,18.93,71.82,8.41
3559,92.87,7.13,0.0,0.0,10.43,72.81,0.0,16.75
3560,69.25,18.86,11.89,0.0,8.14,61.31,10.93,19.62
3561,28.71,60.6,10.69,0.0,38.7,46.75,0.0,14.55
3562,94.74,3.17,2.09,0.0,0.39,11.87,86.9,0.84
3563,85.77,7.71,6.52,0.0,3.86,83.28,0.0,12.86
3564,94.52,2.62,0.0,2.86,0.57,15.52,82.73,1.18
3565,69.36,6.28,3.37,20.98,3.94,57.42,0.0,38.64
3566,95.91,1.69,2.41,0.0,0.28,41.88,57.1,0.75
3567,88.64,7.34,4.03,0.0,6.99,38.22,44.16,10.63
3568,83.3,12.38,4.32,0.0,10.74,62.52,0.0,26.74
3569,91.24,4.01,4.75,0.0,0.64,6.28,92.5,0.58
3570,86.86,0.0,4.39,8.76,9.15,90.85,0.0,0.0
3571,67.89,21.03,11.09,0.0,16.68,56.17,0.0,27.15
3572,84.11,6.88,9.01,0.0,7.13,66.28,13.4,13.19
3573,83.46,9.15,7.39,0.0,1.07,13.14,85.79,0.0
3574,0.0,100.0,0.0,0.0,13.29,73.7,0.0,13.01
3575,68.63,24.6,6.77,0.0,2.31,19.49,75.52,2.68
3576,84.42,10.04,5.54,0.0,1.28,10.27,87.01,1.43
3577,68.6,20.75,10.64,0.0,6.45,29.99,54.08,9.49
3578,78.63,10.87,10.5,0.0,1.37,18.22,68.97,11.44
3579,79.71,15.02,5.28,0.0,2.9,24.87,59.4,12.83
3580,37.3,10.24,4.34,48.11,0.96,5.92,91.01,2.11
3581,85.44,10.94,3.62,0.0,6.2,55.27,32.59,5.93
3582,70.71,23.58,5.71,0.0,4.09,26.73,53.7,15.49
3583,96.46,2.36,1.19,0.0,13.14,64.67,0.0,22.19
3584,76.79,15.17,8.04,0.0,6.79,34.88,0.0,58.33
3585,90.71,5.86,3.43,0.0,4.3,61.01,0.0,34.69
3586,93.94,3.79,2.28,0.0,0.78,8.89,89.97,0.36
3587,95.59,2.51,1.9,0.0,4.28,37.64,53.87,4.21
3588,94.62,3.77,1.61,0.0,2.71,37.42,57.89,1.98
3589,91.87,6.15,1.98,0.0,32.4,30.02,33.99,3.59
3590,69.3,11.56,3.53,15.62,2.17,31.19,42.42,24.22
3591,91.14,6.48,2.39,0.0,4.54,77.11,0.0,18.35
3592,85.05,11.84,3.11,0.0,3.0,63.66,30.67,2.67
3593,73.65,15.68,10.67,0.0,4.95,29.32,33.04,32.69
3594,77.71,17.33,4.96,0.0,3.1,20.4,64.67,11.83
3595,80.79,10.16,9.05,0.0,3.28,20.07,70.68,5.96
3596,93.61,0.0,6.39,0.0,3.74,55.89,0.0,40.37
3597,84.4,10.08,0.0,5.52,6.66,67.86,0.0,25.49
3598,53.86,12.57,33.58,0.0,41.19,58.81,0.0,0.0
3599,60.26,25.56,14.19,0.0,7.52,36.89,26.53,29.06
3600,83.95,5.91,6.4,3.73,3.17,46.45,46.25,4.12
3601,17.53,81.61,0.86,0.0,3.68,91.14,0.0,5.18
3602,75.46,16.89,7.64,0.0,7.0,87.3,0.0,5.71
3603,84.57,11.21,4.23,0.0,3.19,56.41,0.0,40.4
3604,96.67,2.45,0.88,0.0,2.32,83.74,7.63,6.31
3605,84.94,11.61,3.45,0.0,0.5,6.85,89.64,3.0
3606,37.56,51.86,10.59,0.0,5.9,39.12,0.0,54.97
3607,25.27,3.99,3.45,67.29,5.93,55.6,27.29,11.19
3608,63.75,24.87,11.38,0.0,9.5,29.84,0.0,60.66
3609,100.0,0.0,0.0,0.0,1.09,20.47,77.38,1.06
3610,84.28,13.38,2.34,0.0,0.54,6.47,92.32,0.67
3611,85.93,9.37,4.7,0.0,11.46,66.82,0.0,21.73
3612,91.05,6.51,2.43,0.0,12.49,54.92,0.0,32.59
3613,99.39,0.61,0.0,0.0,7.31,72.85,0.0,19.84
3614,85.18,10.58,2.07,2.18,1.46,21.27,73.86,3.4
3615,84.78,6.4,8.82,0.0,9.12,90.88,0.0,0.0
3616,94.94,4.53,0.53,0.0,7.07,20.09,62.86,9.98
3617,88.64,9.52,1.84,0.0,7.66,66.11,0.0,26.23
3618,51.98,43.95,4.07,0.0,4.18,54.28,0.0,41.54
3619,86.93,7.6,5.47,0.0,1.03,25.07,72.22,1.69
3620,97.76,0.0,2.24,0.0,0.66,28.55,60.51,10.29
3621,91.97,6.32,0.0,1.71,12.52,70.4,0.0,17.08
3622,75.23,14.13,10.64,0.0,26.03,73.97,0.0,0.0
3623,70.19,20.94,8.87,0.0,4.34,21.24,65.17,9.26
3624,96.06,2.37,1.57,0.0,0.27,6.24,93.09,0.4
3625,91.55,4.71,3.74,0.0,0.8,12.44,85.94,0.82
3626,0.0,84.16,15.84,0.0,6.33,71.66,0.0,22.01
3627,74.56,17.37,8.08,0.0,8.2,82.05,0.0,9.75
3628,64.34,25.37,10.29,0.0,5.14,70.69,0.0,24.17
3629,87.18,12.82,0.0,0.0,10.63,77.69,0.0,11.68
3630,90.13,5.75,4.13,0.0,10.99,43.52,0.0,45.49
3631,85.72,6.83,4.73,2.71,2.18,23.79,62.68,11.35
3632,96.09,3.91,0.0,0.0,1.54,19.9,73.74,4.82
3633,94.03,5.97,0.0,0.0,1.48,20.33,74.27,3.91
3634,84.53,8.97,6.5,0.0,11.28,69.37,0.0,19.35
3635,77.92,17.24,4.83,0.0,6.26,28.04,47.34,18.37
3636,67.07,14.93,5.94,12.06,6.75,77.46,0.0,15.79
3637,90.54,6.2,3.26,0.0,1.41,21.84,68.2,8.55
3638,91.13,7.97,0.9,0.0,17.88,66.07,0.0,16.04
3639,77.07,12.88,10.04,0.0,4.76,49.52,30.85,14.87
3640,91.73,8.27,0.0,0.0,15.79,75.18,0.0,9.03
3641,87.47,11.36,1.17,0.0,8.46,75.93,0.0,15.61
3642,87.26,0.0,12.74,0.0,9.27,67.46,0.0,23.27
3643,81.27,10.72,8.01,0.0,7.38,92.62,0.0,0.0
3644,49.0,28.32,22.68,0.0,10.92,52.04,0.0,37.04
3645,87.0,9.04,3.96,0.0,9.42,67.9,0.0,22.67
3646,64.3,15.91,0.0,19.79,11.49,62.18,0.0,26.32
3647,55.37,29.11,15.52,0.0,13.8,50.65,0.0,35.55
3648,92.53,0.0,7.47,0.0,5.0,23.26,67.21,4.54
3649,90.45,9.55,0.0,0.0,6.02,33.59,46.38,14.01
3650,87.71,7.53,4.76,0.0,7.49,69.28,0.0,23.23
3651,91.67,6.23,2.1,0.0,6.23,50.19,0.0,43.57
3652,96.48,3.52,0.0,0.0,5.46,76.56,0.0,17.98
3653,73.65,22.86,3.49,0.0,1.91,13.66,82.24,2.19
3654,92.96,3.31,3.72,0.0,5.48,26.23,65.89,2.4
3655,57.86,13.48,5.12,23.53,3.3,37.62,51.05,8.03
3656,87.73,7.18,5.09,0.0,3.5,50.48,35.1,10.92
3657,79.25,12.76,7.99,0.0,3.24,41.82,48.43,6.5
3658,62.78,32.59,4.63,0.0,3.8,84.95,0.0,11.25
3659,90.36,5.26,4.38,0.0,5.02,66.89,0.0,28.09
3660,90.8,9.2,0.0,0.0,1.45,12.7,84.66,1.19
3661,95.28,4.06,0.66,0.0,3.54,89.08,0.0,7.38
3662,80.41,11.21,8.38,0.0,4.31,47.54,38.59,9.56
3663,91.92,0.0,8.08,0.0,13.91,72.83,0.0,13.26
3664,80.38,5.72,5.36,8.54,1.84,21.95,71.99,4.23
3665,81.09,15.91,2.99,0.0,0.51,4.21,94.16,1.12
3666,58.15,17.82,0.0,24.03,3.34,17.87,74.54,4.24
3667,78.62,13.15,8.23,0.0,9.45,45.99,34.46,10.09
3668,87.25,7.27,5.49,0.0,6.4,79.43,0.0,14.17
3669,61.53,22.93,15.55,0.0,11.36,27.72,0.0,60.92
3670,56.38,26.41,17.21,0.0,14.62,55.8,0.0,29.58
3671,85.43,6.21,8.36,0.0,5.16,94.84,0.0,0.0
3672,92.08,3.67,4.25,0.0,0.99,16.18,81.36,1.47
3673,48.5,12.97,7.82,30.72,6.89,71.41,0.0,21.71
3674,85.97,7.07,6.95,0.0,1.31,14.36,80.53,3.79
3675,91.48,0.0,8.52,0.0,8.7,85.38,0.0,5.92
3676,49.61,50.39,0.0,0.0,4.31,75.67,12.22,7.8
3677,87.1,9.93,2.97,0.0,5.71,70.61,19.04,4.64
3678,69.89,15.08,0.0,15.03,1.14,7.02,90.42,1.42
3679,93.96,6.04,0.0,0.0,1.31,49.17,48.17,1.35
3680,87.68,7.45,4.86,0.0,2.68,13.14,0.0,84.18
3681,87.21,8.45,4.34,0.0,10.42,71.2,0.0,18.39
3682,77.53,16.75,5.72,0.0,5.39,61.09,22.39,11.13
3683,83.43,8.63,4.68,3.25,1.6,28.58,66.16,3.66
3684,80.66,12.82,6.52,0.0,11.31,68.77,0.0,19.92
3685,46.32,0.0,9.93,43.75,9.96,49.21,31.56,9.26
3686,88.22,11.78,0.0,0.0,3.45,45.05,45.05,6.44
3687,42.05,8.16,49.8,0.0,13.51,46.86,0.0,39.62
3688,80.77,14.01,5.22,0.0,10.94,75.72,0.0,13.34
3689,80.09,12.55,7.37,0.0,10.71,50.47,23.2,15.62
3690,85.2,14.8,0.0,0.0,1.24,11.85,84.16,2.76
3691,23.41,25.41,51.19,0.0,8.91,61.32,0.0,29.77
3692,61.57,26.69,11.74,0.0,19.51,58.09,0.0,22.39
3693,90.2,7.5,2.31,0.0,3.34,58.94,27.29,10.43
3694,84.59,11.7,3.71,0.0,15.36,58.29,0.0,26.35
3695,61.41,23.55,15.04,0.0,18.27,53.29,0.0,28.44
3696,30.61,49.08,20.31,0.0,21.16,68.53,0.0,10.31
3697,88.37,8.07,3.56,0.0,3.65,36.24,56.14,3.97
3698,71.08,20.04,8.89,0.0,6.62,77.54,0.0,15.85
3699,100.0,0.0,0.0,0.0,1.32,29.82,67.63,1.23
3700,84.24,7.59,8.16,0.0,3.86,61.91,24.88,9.35
3701,76.74,20.27,2.99,0.0,3.74,96.26,0.0,0.0
3702,68.36,19.64,12.01,0.0,5.83,73.24,0.0,20.93
3703,92.99,4.3,2.71,0.0,7.55,73.34,0.0,19.11
3704,84.57,9.32,6.11,0.0,9.7,61.54,0.0,28.76
3706,69.04,23.6,7.36,0.0,13.91,43.87,0.0,42.22
3707,53.88,35.63,10.49,0.0,13.86,51.3,0.0,34.84
3708,86.52,9.55,3.93,0.0,10.6,80.35,0.0,9.05
3709,93.97,3.21,2.81,0.0,1.04,24.63,0.0,74.33
3710,76.93,13.46,0.0,9.61,3.44,31.54,58.92,6.1
3711,81.4,18.6,0.0,0.0,2.85,21.55,71.82,3.78
3712,90.84,9.16,0.0,0.0,1.07,11.87,85.91,1.16
3713,86.64,9.44,3.92,0.0,20.39,52.76,0.0,26.85
3714,82.66,14.56,2.78,0.0,1.78,27.8,58.29,12.13
3715,85.13,9.34,5.53,0.0,8.88,61.22,0.0,29.89
3716,85.35,10.31,4.34,0.0,1.33,16.6,0.0,82.07
3717,85.86,8.37,5.77,0.0,4.28,44.91,42.92,7.9
3718,98.39,0.87,0.74,0.0,0.74,1.35,0.0,97.91
3719,69.37,20.35,10.28,0.0,4.42,24.25,55.14,16.19
3720,78.05,20.18,1.76,0.0,1.13,7.67,88.96,2.24
3721,91.74,8.26,0.0,0.0,2.31,17.17,77.74,2.78
3722,86.95,10.38,0.0,2.67,1.44,6.21,88.67,3.68
3723,61.68,8.67,0.0,29.65,1.83,15.68,81.1,1.38
3724,67.36,20.86,11.78,0.0,10.88,74.96,0.0,14.16
3725,69.94,18.69,11.37,0.0,7.96,76.47,0.0,15.57
3726,94.65,5.35,0.0,0.0,4.69,30.01,57.89,7.4
3727,86.57,7.11,6.32,0.0,10.04,18.0,0.0,71.96
3728,74.82,16.84,8.34,0.0,6.03,68.71,0.0,25.26
3729,87.74,3.91,0.0,8.35,1.62,18.43,79.04,0.91
3730,90.22,8.98,0.79,0.0,7.67,67.72,0.0,24.61
3731,83.64,16.36,0.0,0.0,4.19,45.77,34.78,15.26
3732,84.21,5.83,9.95,0.0,9.18,79.37,0.0,11.45
3733,71.18,17.55,11.27,0.0,9.09,63.27,0.0,27.64
3734,88.68,6.19,5.13,0.0,18.44,66.5,0.0,15.06
3735,64.76,20.75,14.49,0.0,6.03,48.55,23.39,22.02
3736,69.53,30.47,0.0,0.0,5.69,21.08,66.7,6.53
3737,74.71,9.0,16.28,0.0,3.88,25.38,56.64,14.09
3738,81.49,13.07,3.88,1.56,4.77,15.95,75.35,3.93
3739,87.7,12.3,0.0,0.0,2.31,37.63,15.59,44.47
3740,81.55,6.83,11.61,0.0,5.45,80.99,0.0,13.57
3741,93.49,4.74,1.77,0.0,7.71,81.04,0.0,11.25
3742,65.27,10.26,24.47,0.0,2.64,16.91,74.01,6.45
3743,85.95,8.8,5.25,0.0,0.39,2.91,96.39,0.32
3744,82.85,4.95,0.0,12.21,1.12,13.17,83.93,1.78
3745,76.29,17.96,5.75,0.0,1.8,16.06,78.67,3.47
3746,73.96,18.59,7.46,0.0,7.68,67.81,0.0,24.51
3747,80.85,7.29,0.0,11.86,1.19,11.81,84.45,2.54
3748,93.15,5.59,1.26,0.0,3.11,65.05,12.32,19.52
3749,82.38,10.2,2.71,4.71,7.51,68.87,0.0,23.62
3750,85.88,0.0,14.12,0.0,22.09,77.91,0.0,0.0
3751,79.69,15.63,4.68,0.0,5.66,34.81,0.0,59.52
3752,91.12,2.68,0.0,6.2,2.63,43.36,50.65,3.36
3754,63.94,19.68,16.39,0.0,15.85,64.26,0.0,19.89
3755,95.27,1.11,0.74,2.88,0.29,45.44,53.6,0.68
3756,86.6,7.47,5.93,0.0,7.25,51.87,32.05,8.84
3757,70.09,18.93,10.98,0.0,5.51,29.02,40.59,24.88
3758,71.25,20.39,8.36,0.0,8.7,35.97,42.96,12.37
3759,88.47,9.41,2.12,0.0,5.61,59.55,0.0,34.84
3760,51.43,44.03,4.54,0.0,0.58,7.41,90.37,1.64
3761,65.0,35.0,0.0,0.0,28.57,47.3,0.0,24.14
3762,85.5,14.5,0.0,0.0,7.44,35.71,0.0,56.86
3763,39.78,53.77,6.45,0.0,28.3,50.89,0.0,20.82
3764,95.35,3.17,1.49,0.0,3.22,88.38,0.0,8.41
3765,78.31,16.41,5.28,0.0,13.67,31.2,38.58,16.54
3766,81.92,13.13,4.95,0.0,14.6,85.4,0.0,0.0
3767,84.4,8.42,7.17,0.0,23.84,76.16,0.0,0.0
3768,0.0,55.18,44.82,0.0,5.0,45.84,43.78,5.38
3769,64.38,12.0,23.62,0.0,8.76,68.71,0.0,22.53
3770,77.27,9.97,2.71,10.04,0.88,20.32,75.7,3.1
3771,84.6,11.19,4.21,0.0,0.76,14.1,83.36,1.78
3772,82.66,14.52,2.82,0.0,0.65,11.7,80.36,7.29
3773,61.53,23.07,15.4,0.0,7.76,78.19,0.0,14.05
3774,98.6,0.0,1.4,0.0,2.11,36.81,56.64,4.44
3775,43.77,40.34,15.89,0.0,25.03,74.97,0.0,0.0
3776,85.96,5.98,8.07,0.0,11.53,43.55,0.0,44.92
3777,39.33,57.23,3.44,0.0,5.67,49.95,35.45,8.93
3778,87.68,12.32,0.0,0.0,10.95,37.96,28.7,22.38
3779,46.74,29.88,23.38,0.0,19.64,66.55,0.0,13.81
3780,83.56,10.59,5.85,0.0,12.02,63.15,0.0,24.83
3781,94.13,5.87,0.0,0.0,3.42,49.43,38.91,8.24
3782,92.26,7.74,0.0,0.0,8.58,50.26,0.0,41.16
3783,81.95,12.6,1.58,3.87,4.9,20.56,0.0,74.54
3784,82.32,13.15,4.53,0.0,3.79,52.85,0.0,43.36
3785,82.81,11.28,5.91,0.0,9.02,82.98,0.0,8.01
3786,72.19,20.03,7.78,0.0,5.63,41.18,42.46,10.73
3787,65.07,15.08,4.25,15.6,3.12,30.63,54.2,12.05
3788,79.46,9.63,10.91,0.0,1.5,13.73,80.59,4.18
3789,83.76,12.25,3.99,0.0,0.86,22.43,74.41,2.3
3790,14.63,69.44,15.93,0.0,6.48,53.24,0.0,40.27
3791,73.92,14.42,11.67,0.0,2.8,16.42,75.19,5.6
3792,76.77,5.09,0.0,18.13,1.92,20.07,76.45,1.55
3793,72.99,21.89,5.12,0.0,8.95,91.05,0.0,0.0
3794,91.27,5.79,2.95,0.0,3.63,38.86,25.36,32.14
3795,94.17,3.47,2.36,0.0,0.67,12.36,86.15,0.81
3796,61.77,29.34,8.89,0.0,4.52,57.04,20.49,17.95
3797,79.67,20.33,0.0,0.0,8.47,78.11,0.0,13.42
3798,99.51,0.37,0.12,0.0,3.51,32.19,60.58,3.72
3799,94.02,3.96,2.02,0.0,13.04,30.6,0.0,56.36
3800,83.43,10.01,6.56,0.0,16.93,64.46,0.0,18.61
3801,77.3,18.32,4.37,0.0,3.44,78.13,0.0,18.43
3802,62.71,37.29,0.0,0.0,12.23,57.8,0.0,29.97
3803,81.73,12.1,6.17,0.0,6.41,62.45,31.13,0.0
3804,59.92,18.5,7.99,13.59,17.84,47.97,0.0,34.18
3805,48.78,15.8,6.13,29.3,0.86,19.8,75.78,3.55
3806,97.13,1.8,1.07,0.0,0.39,8.08,87.75,3.78
3807,87.25,8.28,3.57,0.91,5.01,90.67,0.0,4.32
3808,77.73,18.92,3.35,0.0,5.83,94.17,0.0,0.0
