고객번호,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,A객단가등급,B객단가등급,변동률
1372,72.0,116.0,103.0,125.0,90.0,81.0,5,4,5,4,4,6,9,4,4
1373,188.0,147.0,178.0,209.0,187.0,148.0,6,9,6,5,7,3,7,2,6
1374,123.0,134.0,161.0,135.0,170.0,211.0,9,8,9,8,6,5,1,7,4
1375,189.0,210.0,157.0,202.0,167.0,150.0,1,1,2,1,3,1,2,1,4
1376,80.0,170.0,218.0,267.0,319.0,165.0,9,6,3,5,3,5,3,3,5
1377,127.0,176.0,199.0,147.0,174.0,261.0,4,5,3,3,4,5,1,8,6
1378,218.0,182.0,110.0,134.0,96.0,138.0,1,1,1,1,1,1,7,5,0
1380,92.0,80.0,99.0,105.0,108.0,98.0,6,8,6,7,8,7,7,6,4
1381,118.0,116.0,104.0,120.0,93.0,79.0,2,2,1,1,3,2,6,5,3
1382,117.0,132.0,124.0,85.0,67.0,128.0,4,2,3,2,2,1,7,2,3
1383,410.0,324.0,465.0,341.0,467.0,46.0,4,5,3,5,3,10,9,1,7
1384,172.0,219.0,190.0,181.0,202.0,217.0,5,6,4,6,5,5,10,9,6
1385,53.0,71.0,70.0,73.0,66.0,125.0,3,2,3,3,2,2,8,2,4
1386,77.0,31.0,90.0,89.0,149.0,173.0,8,10,9,5,5,6,10,7,2
1387,129.0,195.0,200.0,199.0,215.0,134.0,9,9,8,7,7,7,3,3,6
1388,231.0,233.0,222.0,211.0,164.0,173.0,4,4,5,6,4,5,6,6,6
1389,286.0,161.0,189.0,169.0,144.0,200.0,4,5,6,1,4,6,6,4,10
1390,135.0,183.0,204.0,98.0,94.0,125.0,8,8,8,10,10,10,1,2,5
1391,144.0,112.0,45.0,92.0,47.0,88.0,1,1,1,1,1,1,1,4,0
1392,134.0,161.0,127.0,151.0,136.0,116.0,8,8,8,8,7,10,1,8,7
1393,11.0,3.0,2.0,2.0,44.0,252.0,9,10,10,10,10,10,5,2,10
1394,67.0,68.0,104.0,114.0,164.0,134.0,10,1,1,2,1,1,1,10,9
1395,112.0,92.0,77.0,111.0,251.0,280.0,4,4,7,7,3,3,1,1,4
1396,177.0,151.0,253.0,318.0,310.0,308.0,3,2,2,2,2,2,3,7,2
1397,220.0,241.0,227.0,246.0,247.0,291.0,9,9,9,9,9,9,5,6,2
1398,247.0,255.0,240.0,201.0,180.0,249.0,6,6,7,8,8,7,7,3,1
1399,132.0,83.0,107.0,102.0,129.0,177.0,3,8,6,5,5,4,2,3,3
1400,117.0,120.0,203.0,229.0,181.0,156.0,9,9,7,7,7,8,1,1,4
1401,154.0,177.0,206.0,208.0,162.0,167.0,8,9,7,8,10,9,1,5,7
1402,179.0,159.0,191.0,225.0,184.0,224.0,9,7,8,6,9,9,9,8,10
1403,126.0,127.0,47.0,56.0,230.0,59.0,1,1,4,3,2,5,9,1,4
1404,242.0,240.0,237.0,281.0,310.0,378.0,3,4,5,4,4,3,6,4,1
1405,156.0,162.0,133.0,124.0,128.0,153.0,9,8,8,9,10,9,1,1,5
1406,109.0,114.0,87.0,77.0,120.0,134.0,1,1,1,1,1,1,2,4,0
1407,107.0,135.0,88.0,82.0,87.0,96.0,1,1,1,1,1,1,4,5,0
1408,109.0,159.0,83.0,155.0,128.0,131.0,1,1,1,1,1,1,7,2,0
1409,161.0,237.0,150.0,139.0,208.0,234.0,3,2,3,3,2,2,6,10,1
1410,101.0,83.0,154.0,127.0,116.0,147.0,7,9,8,7,9,9,6,2,4
1411,192.0,146.0,202.0,182.0,214.0,264.0,1,1,1,1,1,1,9,7,2
1412,362.0,296.0,411.0,352.0,376.0,366.0,3,4,2,4,3,3,3,1,4
1413,308.0,271.0,307.0,270.0,209.0,193.0,2,2,2,3,2,3,9,1,0
1414,341.0,255.0,278.0,384.0,373.0,328.0,4,5,6,4,3,4,5,5,4
1415,196.0,232.0,200.0,173.0,170.0,199.0,1,1,2,1,2,3,9,6,3
1416,179.0,146.0,147.0,135.0,130.0,142.0,9,10,8,10,10,10,2,9,6
1417,94.0,140.0,88.0,145.0,149.0,165.0,2,1,1,2,1,2,7,6,2
1418,156.0,254.0,286.0,243.0,316.0,217.0,4,3,4,4,5,6,6,1,6
1419,131.0,167.0,171.0,186.0,115.0,148.0,4,3,4,3,3,3,9,1,2
1420,165.0,160.0,181.0,140.0,218.0,212.0,2,3,2,4,2,3,7,8,5
1421,194.0,170.0,165.0,197.0,221.0,171.0,1,1,1,1,1,1,8,4,2
1422,100.0,71.0,83.0,42.0,74.0,108.0,2,2,1,2,2,1,3,4,1
1423,162.0,217.0,238.0,152.0,215.0,188.0,5,5,5,5,4,7,9,8,3
1424,81.0,120.0,132.0,84.0,134.0,149.0,3,3,4,5,2,6,3,9,7
1425,131.0,103.0,87.0,110.0,56.0,29.0,5,2,2,3,6,8,1,7,6
1426,80.0,151.0,77.0,101.0,57.0,117.0,4,2,3,4,5,3,2,6,2
1427,113.0,132.0,74.0,129.0,96.0,170.0,7,8,10,9,10,7,1,2,5
1428,120.0,145.0,176.0,96.0,108.0,115.0,8,8,6,10,8,10,1,9,3
1429,58.0,68.0,84.0,101.0,74.0,59.0,8,9,6,7,9,10,1,6,3
1430,120.0,88.0,88.0,90.0,72.0,44.0,2,4,3,3,2,2,1,5,2
1431,126.0,109.0,121.0,120.0,192.0,143.0,3,6,4,8,5,7,4,1,4
1432,153.0,157.0,214.0,128.0,144.0,129.0,8,9,8,10,9,7,1,6,3
1433,169.0,240.0,177.0,156.0,75.0,68.0,2,2,2,1,6,10,1,1,9
1434,119.0,119.0,108.0,131.0,82.0,135.0,3,2,2,4,4,2,1,8,5
1435,185.0,159.0,129.0,154.0,146.0,150.0,7,7,9,7,9,9,6,2,4
1436,210.0,254.0,246.0,230.0,305.0,384.0,6,4,4,4,3,2,2,6,4
1437,182.0,173.0,159.0,212.0,186.0,163.0,3,3,4,3,5,4,6,7,2
1438,212.0,226.0,202.0,248.0,295.0,337.0,1,2,1,1,2,1,9,5,2
1439,90.0,106.0,101.0,63.0,94.0,83.0,4,6,8,10,9,9,3,1,4
1440,358.0,408.0,358.0,324.0,273.0,465.0,2,1,1,2,2,1,2,7,4
1441,190.0,262.0,247.0,302.0,231.0,204.0,2,2,2,1,1,1,2,7,5
1442,46.0,102.0,109.0,120.0,86.0,66.0,1,1,2,1,2,2,2,7,4
1443,89.0,80.0,49.0,114.0,44.0,58.0,1,2,1,1,1,1,3,6,0
1444,162.0,191.0,200.0,256.0,251.0,325.0,8,7,7,6,8,6,1,1,3
1445,121.0,80.0,99.0,215.0,117.0,282.0,2,2,2,1,2,1,2,9,2
1446,109.0,67.0,89.0,84.0,76.0,108.0,1,2,2,1,1,1,8,5,2
1447,119.0,90.0,123.0,109.0,106.0,124.0,2,3,4,2,1,4,4,3,7
1448,100.0,242.0,194.0,116.0,65.0,46.0,9,5,5,3,7,10,4,4,5
1449,41.0,113.0,82.0,87.0,88.0,75.0,1,1,1,1,2,3,3,2,1
1450,26.0,112.0,178.0,100.0,196.0,114.0,5,1,1,1,1,1,9,7,1
1451,73.0,80.0,88.0,78.0,52.0,67.0,3,4,3,5,4,4,5,2,4
1452,444.0,359.0,374.0,498.0,367.0,417.0,2,2,1,2,2,2,1,5,2
1453,55.0,86.0,68.0,62.0,55.0,90.0,9,7,1,5,8,5,8,1,8
1454,282.0,302.0,259.0,251.0,173.0,264.0,3,3,3,3,5,4,6,9,4
1455,96.0,97.0,92.0,54.0,70.0,63.0,1,1,3,2,4,4,3,1,5
1456,268.0,292.0,327.0,247.0,539.0,395.0,9,4,6,6,2,5,1,3,14
1457,60.0,62.0,49.0,45.0,70.0,76.0,1,7,1,4,4,3,8,8,9
1458,77.0,73.0,78.0,92.0,44.0,52.0,4,1,1,2,1,3,1,7,2
1459,44.0,109.0,97.0,88.0,56.0,68.0,3,1,1,2,3,3,6,2,1
1460,150.0,140.0,188.0,173.0,212.0,223.0,1,1,1,1,1,1,2,9,2
1461,236.0,271.0,382.0,408.0,294.0,410.0,1,1,1,1,1,1,7,7,5
1462,144.0,184.0,261.0,243.0,179.0,249.0,2,2,1,2,4,3,8,7,1
1463,334.0,301.0,286.0,263.0,250.0,273.0,4,7,7,7,6,8,6,4,6
1464,62.0,39.0,408.0,392.0,364.0,388.0,8,10,3,3,4,4,6,8,2
1465,114.0,180.0,138.0,134.0,137.0,150.0,2,2,2,3,4,1,3,2,5
1466,270.0,253.0,245.0,261.0,294.0,280.0,7,8,8,9,8,9,2,8,1
1467,66.0,116.0,119.0,118.0,80.0,96.0,2,2,3,2,3,3,2,5,4
1468,199.0,275.0,237.0,202.0,180.0,216.0,7,5,7,6,8,8,9,8,4
1469,76.0,205.0,183.0,138.0,152.0,210.0,10,8,7,7,9,9,7,6,5
1470,45.0,77.0,77.0,109.0,104.0,126.0,8,7,6,3,2,4,8,6,3
1471,50.0,83.0,72.0,113.0,52.0,135.0,2,3,2,2,6,1,4,7,6
1472,295.0,322.0,276.0,201.0,203.0,264.0,2,1,1,1,1,1,1,7,3
1473,41.0,77.0,91.0,82.0,60.0,62.0,8,4,5,6,7,8,2,3,2
1474,198.0,247.0,254.0,208.0,182.0,182.0,10,10,10,10,9,9,6,7,2
1475,56.0,87.0,197.0,127.0,81.0,119.0,9,7,6,8,10,9,8,7,1
1476,80.0,61.0,73.0,44.0,42.0,77.0,1,1,1,2,3,2,2,6,0
1477,128.0,90.0,300.0,185.0,175.0,198.0,8,10,5,7,8,5,10,8,4
1478,127.0,175.0,159.0,175.0,179.0,241.0,9,5,6,8,8,5,2,8,7
1479,49.0,109.0,84.0,110.0,105.0,83.0,5,3,5,2,4,3,7,2,7
1480,326.0,305.0,300.0,288.0,257.0,236.0,2,2,1,1,3,2,2,3,2
1481,440.0,366.0,333.0,311.0,360.0,337.0,4,5,4,5,3,5,6,2,6
1482,229.0,167.0,216.0,115.0,195.0,366.0,3,2,3,7,3,2,6,3,4
1483,184.0,142.0,165.0,154.0,185.0,138.0,3,6,6,7,6,9,6,6,2
1484,182.0,128.0,98.0,113.0,140.0,132.0,4,3,7,6,4,6,4,9,6
1485,144.0,258.0,275.0,278.0,384.0,418.0,10,7,8,5,6,5,4,6,7
1486,128.0,108.0,118.0,79.0,88.0,77.0,2,5,3,6,4,6,8,5,5
1487,95.0,127.0,116.0,157.0,140.0,165.0,10,10,9,9,7,8,4,3,6
1488,14.0,16.0,12.0,45.0,28.0,57.0,10,6,10,7,5,8,8,8,15
1489,63.0,66.0,109.0,27.0,49.0,80.0,3,2,2,5,3,1,4,5,3
1490,40.0,64.0,102.0,126.0,92.0,47.0,2,6,4,3,4,5,5,5,3
1491,51.0,69.0,88.0,121.0,106.0,123.0,9,8,5,4,6,3,8,4,3
1492,67.0,97.0,67.0,112.0,77.0,98.0,3,1,2,1,2,1,8,2,1
1493,263.0,313.0,253.0,293.0,258.0,191.0,6,5,7,5,7,6,2,2,5
1494,72.0,66.0,105.0,96.0,111.0,107.0,3,1,1,1,1,1,2,1,1
1495,55.0,55.0,55.0,38.0,58.0,80.0,7,8,8,10,6,8,2,1,7
1496,64.0,145.0,130.0,160.0,230.0,252.0,10,9,8,9,8,8,5,7,4
1497,279.0,259.0,233.0,303.0,308.0,359.0,3,5,5,3,4,4,8,9,3
1498,128.0,136.0,103.0,116.0,82.0,78.0,4,3,3,3,2,3,2,10,4
1499,46.0,74.0,84.0,76.0,54.0,114.0,3,4,3,4,6,4,1,8,3
1500,234.0,177.0,215.0,218.0,223.0,200.0,8,9,8,9,9,9,1,5,2
1501,96.0,143.0,125.0,98.0,83.0,122.0,1,1,1,2,3,3,5,2,2
1502,14.0,107.0,99.0,72.0,51.0,58.0,9,1,2,4,5,8,2,8,4
1503,153.0,210.0,136.0,161.0,144.0,184.0,7,6,8,7,8,6,3,3,0
1504,96.0,111.0,133.0,133.0,229.0,167.0,10,10,10,10,10,10,3,5,0
1505,58.0,74.0,60.0,88.0,106.0,84.0,4,5,5,5,8,5,5,7,4
1506,327.0,277.0,296.0,349.0,211.0,234.0,5,6,7,7,9,9,1,2,3
1507,309.0,347.0,295.0,314.0,307.0,295.0,5,6,6,4,4,6,2,1,5
1508,21.0,15.0,348.0,523.0,564.0,516.0,10,10,5,5,4,5,9,8,5
1509,133.0,140.0,117.0,97.0,99.0,103.0,5,4,5,5,5,4,1,8,1
1510,259.0,151.0,209.0,159.0,287.0,181.0,6,4,5,8,4,4,4,1,9
1511,175.0,152.0,134.0,118.0,142.0,169.0,6,4,9,8,6,8,3,5,11
1512,51.0,52.0,83.0,88.0,96.0,61.0,2,3,2,2,1,1,10,7,2
1513,115.0,96.0,113.0,109.0,164.0,173.0,3,2,5,3,5,3,7,8,9
1514,171.0,129.0,165.0,189.0,177.0,246.0,2,3,4,3,4,2,9,2,5
1515,248.0,266.0,326.0,290.0,261.0,297.0,2,3,4,3,6,4,5,7,6
1516,91.0,68.0,124.0,107.0,123.0,206.0,1,1,1,1,1,1,5,2,2
1517,80.0,117.0,73.0,90.0,106.0,141.0,3,1,1,1,2,1,8,3,4
1518,103.0,166.0,102.0,68.0,68.0,34.0,1,1,3,3,2,7,5,7,0
1519,59.0,108.0,50.0,81.0,82.0,90.0,2,1,3,1,1,2,7,2,0
1520,212.0,242.0,201.0,162.0,189.0,236.0,6,7,8,7,9,9,1,2,6
1521,48.0,113.0,91.0,99.0,105.0,146.0,2,2,2,3,1,2,6,8,4
1522,172.0,215.0,238.0,173.0,191.0,202.0,10,9,9,9,9,10,3,2,4
1523,145.0,164.0,114.0,107.0,123.0,149.0,1,1,1,2,1,1,1,9,3
1524,120.0,167.0,99.0,103.0,140.0,100.0,1,1,5,1,3,1,5,3,9
1525,309.0,236.0,284.0,244.0,249.0,260.0,6,8,7,8,8,8,4,2,3
1526,110.0,111.0,155.0,169.0,159.0,183.0,1,3,1,3,3,1,2,4,8
1527,106.0,87.0,183.0,134.0,181.0,108.0,7,9,7,6,8,6,10,7,7
1528,144.0,165.0,154.0,146.0,124.0,123.0,7,7,7,5,9,9,5,9,4
1529,310.0,339.0,377.0,325.0,326.0,354.0,6,5,5,6,5,6,5,3,0
1530,56.0,97.0,175.0,124.0,103.0,130.0,5,4,3,4,4,5,7,3,3
1531,180.0,225.0,157.0,181.0,317.0,210.0,8,8,8,8,6,8,2,1,2
1532,114.0,112.0,133.0,120.0,106.0,166.0,5,7,7,7,7,7,4,3,2
1533,138.0,175.0,140.0,121.0,109.0,184.0,2,2,3,2,3,2,1,10,3
1534,164.0,162.0,117.0,98.0,60.0,70.0,2,1,2,2,3,3,10,8,0
1535,108.0,197.0,210.0,224.0,290.0,170.0,9,9,8,9,8,10,3,6,2
1536,52.0,80.0,67.0,65.0,58.0,64.0,4,5,3,4,3,3,9,3,3
1537,138.0,89.0,178.0,148.0,124.0,93.0,2,3,3,2,3,3,6,3,7
1538,177.0,119.0,209.0,191.0,174.0,234.0,1,1,2,1,1,1,3,1,6
1539,238.0,204.0,330.0,229.0,240.0,304.0,4,7,5,7,7,4,8,10,5
1540,186.0,168.0,247.0,167.0,176.0,177.0,7,7,4,4,6,7,4,6,5
1541,254.0,154.0,238.0,269.0,229.0,237.0,6,6,8,8,8,8,5,9,8
1542,222.0,294.0,270.0,258.0,192.0,208.0,5,3,3,1,2,2,1,3,7
1543,109.0,129.0,103.0,81.0,102.0,101.0,10,10,10,10,8,10,3,8,10
1544,86.0,97.0,89.0,63.0,106.0,112.0,9,9,10,10,9,9,1,6,0
1545,109.0,81.0,139.0,156.0,162.0,134.0,2,3,1,1,1,2,4,7,3
1546,169.0,141.0,90.0,70.0,89.0,71.0,6,6,8,10,8,10,6,8,2
1547,888.0,558.0,498.0,614.0,432.0,598.0,4,4,3,4,5,4,3,3,5
1548,92.0,101.0,79.0,69.0,82.0,204.0,1,3,3,3,7,2,6,1,4
1549,206.0,126.0,161.0,185.0,178.0,217.0,9,10,9,7,9,8,3,8,6
1550,153.0,132.0,139.0,189.0,196.0,160.0,1,2,2,2,1,1,9,8,3
1551,211.0,233.0,228.0,227.0,193.0,218.0,6,6,5,4,5,7,2,6,5
1552,247.0,286.0,346.0,368.0,320.0,406.0,7,9,9,7,5,3,9,8,7
1553,129.0,120.0,115.0,132.0,182.0,149.0,9,9,9,10,9,9,8,9,3
1554,141.0,156.0,128.0,194.0,117.0,220.0,2,2,2,2,3,1,9,4,3
1555,129.0,145.0,140.0,204.0,228.0,306.0,6,7,9,7,7,6,6,1,4
1556,219.0,239.0,213.0,226.0,187.0,202.0,4,7,4,4,3,5,1,2,7
1557,245.0,290.0,270.0,187.0,251.0,227.0,5,4,5,6,5,5,3,2,0
1558,79.0,84.0,120.0,101.0,111.0,120.0,9,6,7,4,5,3,8,9,6
1559,339.0,303.0,354.0,327.0,300.0,356.0,4,6,4,6,6,4,2,4,6
1560,167.0,203.0,154.0,116.0,174.0,138.0,9,9,9,10,9,10,1,8,2
1561,60.0,68.0,42.0,65.0,61.0,112.0,1,2,1,1,1,1,8,6,0
1562,261.0,315.0,247.0,252.0,198.0,243.0,3,4,4,4,5,4,9,2,2
1563,68.0,54.0,97.0,75.0,48.0,77.0,2,2,1,1,2,2,3,5,0
1564,121.0,147.0,174.0,192.0,190.0,227.0,9,8,8,6,9,7,8,6,6
1565,361.0,331.0,315.0,334.0,267.0,380.0,6,6,8,6,8,5,1,4,5
1566,101.0,99.0,116.0,109.0,123.0,114.0,2,1,2,2,2,2,1,10,4
1567,132.0,125.0,163.0,222.0,196.0,220.0,6,7,5,5,6,2,4,2,4
1568,142.0,152.0,187.0,196.0,129.0,154.0,6,5,5,5,8,7,6,4,3
1569,69.0,80.0,71.0,89.0,82.0,53.0,3,2,1,2,2,2,3,2,3
1570,272.0,381.0,315.0,299.0,382.0,439.0,5,4,4,3,3,3,7,7,3
1571,110.0,106.0,138.0,139.0,101.0,129.0,2,2,2,2,2,1,9,1,0
1572,195.0,171.0,278.0,284.0,156.0,255.0,7,7,6,5,8,6,6,7,2
1573,169.0,188.0,208.0,179.0,99.0,128.0,6,6,7,6,8,8,9,6,4
1574,44.0,81.0,72.0,97.0,65.0,101.0,10,7,5,5,9,8,3,5,4
1575,58.0,83.0,83.0,119.0,76.0,155.0,9,4,5,3,4,1,5,6,4
1576,9.0,31.0,58.0,92.0,139.0,132.0,9,1,1,1,1,1,3,7,1
1577,103.0,146.0,202.0,97.0,58.0,87.0,1,1,1,2,2,3,8,4,3
1578,92.0,142.0,95.0,101.0,113.0,128.0,6,4,5,7,2,5,6,7,6
1579,104.0,55.0,73.0,59.0,83.0,117.0,1,2,1,2,1,1,4,2,0
1580,264.0,211.0,174.0,141.0,154.0,140.0,6,7,8,10,6,9,1,6,7
1581,46.0,55.0,53.0,81.0,81.0,102.0,7,8,7,4,5,4,2,8,2
1582,289.0,313.0,440.0,268.0,229.0,206.0,4,5,3,5,4,6,8,7,4
1583,96.0,116.0,171.0,127.0,103.0,107.0,4,6,3,4,3,4,1,6,5
1584,202.0,221.0,238.0,202.0,159.0,343.0,2,2,3,3,3,2,9,5,3
1585,77.0,125.0,116.0,119.0,125.0,129.0,1,1,1,2,1,1,5,5,2
1586,56.0,76.0,72.0,117.0,94.0,116.0,10,8,10,9,7,8,3,5,9
1587,140.0,197.0,166.0,179.0,157.0,202.0,1,1,1,3,2,2,1,2,4
1588,26.0,36.0,35.0,60.0,156.0,132.0,8,3,7,5,3,4,3,4,4
1589,158.0,97.0,113.0,205.0,157.0,171.0,1,3,2,1,1,1,2,8,4
1590,146.0,212.0,146.0,181.0,148.0,222.0,8,7,9,8,10,5,10,9,5
1591,180.0,178.0,236.0,244.0,212.0,175.0,7,5,5,4,5,7,9,2,5
1592,108.0,147.0,136.0,109.0,115.0,138.0,4,2,4,3,4,2,10,5,5
1593,168.0,285.0,268.0,290.0,330.0,319.0,4,2,4,5,3,5,2,7,6
1594,80.0,135.0,115.0,98.0,103.0,129.0,3,1,1,2,1,2,9,8,4
1595,162.0,181.0,184.0,199.0,212.0,189.0,9,10,10,10,10,10,3,9,1
1596,89.0,37.0,149.0,108.0,122.0,170.0,1,3,1,1,1,1,5,2,1
1597,297.0,211.0,253.0,265.0,293.0,316.0,3,4,3,4,4,3,1,3,2
1598,356.0,341.0,299.0,267.0,408.0,295.0,6,6,7,5,4,4,1,6,7
1599,196.0,210.0,205.0,196.0,155.0,222.0,1,2,1,2,3,2,9,5,5
1600,315.0,475.0,334.0,305.0,441.0,390.0,6,7,9,10,7,7,7,5,2
1601,50.0,104.0,68.0,70.0,39.0,62.0,2,1,2,2,3,2,9,2,0
1602,116.0,89.0,75.0,60.0,81.0,122.0,4,4,5,5,4,3,8,5,1
1603,90.0,63.0,85.0,104.0,78.0,40.0,1,1,1,1,1,3,5,1,0
1604,59.0,74.0,91.0,64.0,93.0,94.0,9,7,7,7,5,5,7,5,1
1605,76.0,143.0,140.0,156.0,220.0,222.0,6,2,3,4,2,3,6,4,4
1606,142.0,131.0,180.0,153.0,130.0,190.0,3,3,2,2,2,1,9,9,1
1607,99.0,150.0,105.0,76.0,95.0,108.0,1,1,1,1,1,1,8,9,0
1608,257.0,317.0,248.0,243.0,329.0,338.0,7,5,6,6,6,6,1,6,4
1609,64.0,118.0,34.0,79.0,72.0,92.0,1,1,2,3,2,1,3,10,2
1610,45.0,59.0,59.0,55.0,66.0,97.0,9,8,10,10,9,8,1,7,4
1611,164.0,152.0,126.0,131.0,185.0,269.0,7,6,6,6,6,5,5,9,3
1612,110.0,112.0,120.0,99.0,71.0,63.0,6,8,6,5,9,10,3,8,4
1613,253.0,234.0,277.0,265.0,275.0,302.0,3,4,2,3,5,4,7,3,5
1614,56.0,49.0,46.0,57.0,46.0,63.0,8,8,9,7,10,8,10,2,2
1615,263.0,377.0,424.0,306.0,321.0,438.0,1,1,1,1,2,1,3,4,3
1616,102.0,110.0,93.0,118.0,95.0,123.0,2,1,3,2,2,2,8,6,4
1617,56.0,41.0,51.0,54.0,117.0,136.0,1,2,1,1,1,1,2,3,0
1618,55.0,62.0,65.0,84.0,60.0,49.0,1,1,1,1,1,1,1,4,0
1619,218.0,181.0,191.0,169.0,167.0,161.0,3,4,5,5,3,3,5,1,3
1620,116.0,105.0,121.0,112.0,102.0,126.0,2,4,2,5,8,5,2,5,5
1621,190.0,256.0,231.0,193.0,181.0,174.0,4,3,4,3,3,4,1,9,1
1622,253.0,399.0,433.0,291.0,310.0,368.0,9,5,5,7,6,5,5,6,2
1623,166.0,173.0,138.0,112.0,78.0,146.0,8,8,9,9,10,8,9,4,1
1624,128.0,104.0,67.0,89.0,63.0,63.0,2,3,5,3,8,9,7,7,4
1625,242.0,197.0,188.0,178.0,176.0,239.0,4,5,6,3,7,5,10,2,6
1626,76.0,57.0,61.0,77.0,105.0,110.0,6,6,8,7,9,8,1,6,5
1627,151.0,154.0,128.0,95.0,124.0,144.0,7,7,8,10,9,8,6,8,3
1628,24.0,35.0,75.0,135.0,164.0,173.0,5,3,3,1,1,1,7,5,4
1629,293.0,212.0,327.0,331.0,293.0,331.0,9,10,7,5,5,5,5,3,6
1630,100.0,92.0,150.0,103.0,273.0,272.0,1,1,1,1,1,1,2,5,2
1631,98.0,105.0,91.0,99.0,70.0,107.0,5,6,3,6,6,2,2,2,6
1632,177.0,198.0,312.0,286.0,329.0,273.0,6,5,4,6,6,7,2,1,4
1633,361.0,378.0,416.0,329.0,374.0,424.0,6,5,5,7,8,8,4,1,3
1635,77.0,79.0,48.0,43.0,34.0,109.0,1,2,5,5,7,4,8,6,2
1636,173.0,180.0,219.0,270.0,321.0,350.0,9,8,8,7,6,7,2,7,4
1637,86.0,108.0,57.0,95.0,123.0,67.0,1,1,3,3,2,1,9,5,2
1638,83.0,47.0,129.0,94.0,70.0,98.0,1,1,1,1,2,1,6,5,0
1639,23.0,45.0,49.0,41.0,53.0,85.0,7,5,7,4,3,3,4,4,2
1640,102.0,113.0,65.0,64.0,73.0,73.0,1,1,3,2,2,3,2,10,3
1641,147.0,72.0,164.0,141.0,211.0,124.0,1,1,1,1,1,1,8,10,0
1642,142.0,157.0,188.0,144.0,112.0,94.0,2,2,3,3,3,3,3,7,3
1644,308.0,279.0,331.0,400.0,394.0,415.0,2,4,4,4,3,3,2,3,2
1645,186.0,192.0,228.0,206.0,171.0,226.0,9,9,9,10,10,10,1,5,2
1646,153.0,154.0,149.0,267.0,170.0,171.0,3,2,1,1,2,1,8,4,6
1647,169.0,196.0,195.0,195.0,160.0,132.0,3,4,3,2,5,5,5,9,4
1648,281.0,201.0,132.0,208.0,175.0,188.0,2,5,4,3,3,3,9,4,2
1649,394.0,395.0,500.0,495.0,407.0,271.0,5,7,6,5,7,9,2,3,3
1650,132.0,52.0,139.0,148.0,134.0,107.0,6,10,5,6,5,7,8,9,3
1651,231.0,200.0,177.0,188.0,230.0,124.0,7,6,6,4,6,5,6,3,6
1652,112.0,201.0,304.0,232.0,242.0,257.0,2,1,1,1,1,1,1,8,5
1653,78.0,133.0,147.0,146.0,104.0,173.0,5,4,2,1,3,2,4,3,5
1654,216.0,220.0,214.0,188.0,187.0,122.0,2,3,2,4,3,2,3,3,4
1655,318.0,342.0,463.0,368.0,251.0,322.0,7,7,5,6,9,7,2,1,2
1656,256.0,320.0,241.0,354.0,307.0,276.0,10,4,4,7,10,10,3,6,10
1657,165.0,157.0,168.0,145.0,129.0,69.0,4,4,3,5,5,8,5,6,2
1658,81.0,98.0,42.0,52.0,82.0,187.0,6,4,9,4,4,2,4,1,6
1659,166.0,230.0,255.0,248.0,293.0,342.0,2,2,2,2,2,2,5,5,1
1660,67.0,93.0,105.0,99.0,107.0,141.0,10,8,9,9,9,8,6,3,4
1661,138.0,203.0,207.0,256.0,232.0,224.0,9,8,8,6,8,6,9,5,7
1662,111.0,209.0,174.0,167.0,118.0,146.0,1,1,2,3,2,1,3,6,4
1663,500.0,536.0,535.0,507.0,509.0,524.0,2,3,2,3,1,3,2,7,9
1664,224.0,208.0,107.0,159.0,80.0,75.0,1,1,1,1,1,2,6,7,2
1665,289.0,275.0,182.0,150.0,174.0,224.0,5,5,9,9,8,5,3,8,4
1666,39.0,81.0,71.0,54.0,136.0,131.0,5,4,5,3,3,2,3,8,6
1667,159.0,293.0,237.0,209.0,240.0,258.0,4,4,3,4,4,6,3,3,5
1668,124.0,185.0,142.0,140.0,106.0,240.0,2,1,1,2,3,1,4,1,2
1669,134.0,230.0,211.0,203.0,211.0,238.0,8,5,6,6,5,8,1,2,7
1670,103.0,164.0,178.0,138.0,195.0,241.0,6,4,4,5,5,4,4,7,2
1671,67.0,104.0,130.0,99.0,88.0,141.0,1,3,1,2,1,2,2,10,5
1672,220.0,172.0,182.0,176.0,138.0,186.0,10,10,10,10,10,10,1,8,0
1673,49.0,48.0,88.0,68.0,102.0,67.0,3,4,1,3,2,2,9,9,3
1674,302.0,295.0,295.0,207.0,243.0,154.0,3,4,2,4,2,8,7,3,5
1675,41.0,58.0,79.0,67.0,68.0,106.0,3,3,3,3,2,1,5,8,2
1676,241.0,207.0,272.0,217.0,297.0,309.0,5,7,6,6,4,4,3,10,5
1677,186.0,221.0,195.0,178.0,192.0,206.0,6,5,5,3,3,7,3,4,4
1678,109.0,149.0,112.0,124.0,114.0,147.0,3,1,3,2,2,1,3,3,4
1679,116.0,145.0,147.0,100.0,110.0,91.0,2,3,2,2,3,3,1,6,3
1680,87.0,58.0,112.0,117.0,88.0,75.0,8,4,5,5,7,9,2,1,4
1681,82.0,76.0,94.0,82.0,38.0,115.0,2,3,2,3,1,1,9,6,2
1682,107.0,185.0,160.0,158.0,30.0,76.0,2,1,1,1,5,2,1,10,3
