,°í°´¹øÈ£,Æí_ÃÑ±¸¸ÅÈ½¼ö1,Æí_ÃÑ±¸¸ÅÈ½¼ö2,Æí_ÃÑ±¸¸ÅÈ½¼ö3,Æí_ÃÑ±¸¸ÅÈ½¼ö4,Æí_ÃÑ±¸¸ÅÈ½¼ö5,Æí_ÃÑ±¸¸ÅÈ½¼ö6,Æí_ÃÑ±¸¸ÅÈ½¼ö7,ÆíÀÇÇ°_Áõ°¨À²,ÆíÀÇÇ°_º¯µ¿À²,Æí_(Áõ°¨*0.8)+(º¯µ¿*0.2)
4198,4238,3,3,3,3,3,4,4,1,1,1
4199,4239,2,2,2,2,3,2,3,1,3,1.4
4200,4241,3,3,3,3,3,3,3,0,0,0
4201,4242,4,4,4,4,4,4,4,0,0,0
4202,4243,4,2,4,3,4,4,4,0,6,1.2
4203,4244,2,2,2,2,2,2,2,0,0,0
4204,4245,4,4,4,4,4,4,4,0,0,0
4205,4246,1,1,1,1,1,1,1,0,0,0
4206,4247,2,3,3,3,3,3,3,1,1,1
4207,4248,1,3,3,4,3,4,4,3,5,3.4
4208,4249,3,3,3,3,3,4,4,1,1,1
4209,4250,4,4,4,4,4,4,4,0,0,0
4210,4251,3,2,2,2,2,2,2,-1,1,-0.6
4211,4252,2,2,2,1,1,1,1,-1,1,-0.6
4212,4253,2,3,2,2,3,2,3,1,5,1.8
4213,4254,2,3,2,3,3,2,3,1,5,1.8
4214,4255,2,1,2,1,1,1,1,-1,3,-0.2
4215,4256,4,4,4,3,4,4,4,0,2,0.4
4216,4257,3,3,3,3,4,3,3,0,2,0.4
4217,4258,1,2,2,2,2,2,1,0,2,0.4
4218,4259,2,1,1,1,1,1,1,-1,1,-0.6
4219,4260,1,1,1,1,1,1,1,0,0,0
4220,4261,3,2,2,2,3,3,2,-1,3,-0.2
4221,4262,2,1,2,1,1,1,1,-1,3,-0.2
4222,4263,1,2,2,2,2,1,2,1,3,1.4
4223,4264,3,4,4,4,4,4,4,1,1,1
4224,4265,4,4,4,4,3,4,4,0,2,0.4
4225,4266,1,1,1,1,1,1,1,0,0,0
4226,4267,2,4,2,4,2,1,2,0,10,2
4227,4268,2,2,2,2,2,2,2,0,0,0
4228,4269,2,1,2,2,2,2,2,0,2,0.4
4229,4270,4,4,4,4,4,4,4,0,0,0
4230,4271,4,4,4,3,3,4,4,0,2,0.4
4231,4272,2,3,3,2,2,3,3,1,3,1.4
4232,4273,4,4,4,4,4,4,4,0,0,0
4233,4274,3,3,3,3,2,2,2,-1,1,-0.6
4234,4275,4,4,4,4,4,4,4,0,0,0
4235,4276,2,3,3,3,3,3,3,1,1,1
4236,4277,3,2,3,3,3,3,3,0,2,0.4
4237,4278,4,4,4,4,4,4,3,-1,1,-0.6
4238,4279,3,3,3,2,3,2,1,-2,4,-0.8
4239,4280,4,4,4,3,4,4,4,0,2,0.4
4240,4281,2,3,3,3,3,4,3,1,3,1.4
4241,4282,3,2,3,3,3,3,3,0,2,0.4
4242,4283,1,2,4,4,4,4,4,3,3,3
4243,4284,2,2,2,2,2,3,2,0,2,0.4
4244,4285,4,3,3,2,2,2,3,-1,3,-0.2
4245,4286,4,4,4,4,4,4,4,0,0,0
4246,4287,3,3,3,2,3,2,3,0,4,0.8
4247,4288,4,4,4,3,3,3,3,-1,1,-0.6
4248,4289,4,4,4,4,4,4,4,0,0,0
4249,4291,2,1,3,2,3,2,2,0,6,1.2
4250,4292,1,1,2,1,2,2,1,0,4,0.8
4251,4293,3,4,3,3,3,4,4,1,3,1.4
4252,4294,2,2,2,2,2,2,2,0,0,0
4253,4295,3,3,3,3,3,3,3,0,0,0
4254,4296,1,2,2,2,2,1,1,0,2,0.4
4255,4297,2,3,3,3,3,2,4,2,4,2.4
4256,4298,2,2,3,3,2,2,2,0,2,0.4
4257,4299,2,1,1,1,1,2,2,0,2,0.4
4258,4300,3,3,4,3,3,3,2,-1,3,-0.2
4259,4301,4,3,3,3,3,2,2,-2,2,-1.2
4260,4302,4,3,4,4,3,4,4,0,4,0.8
4261,4303,3,3,2,1,2,2,1,-2,4,-0.8
4262,4304,3,3,3,2,2,2,2,-1,1,-0.6
4263,4305,2,3,4,4,4,4,3,1,3,1.4
4264,4306,2,2,2,2,2,2,2,0,0,0
4265,4307,2,2,2,2,3,3,3,1,1,1
4266,4308,3,4,4,4,4,4,4,1,1,1
4267,4309,2,2,2,1,1,2,2,0,2,0.4
4268,4310,3,2,3,4,3,1,2,-1,7,0.6
4269,4311,3,3,3,4,4,4,4,1,1,1
4270,4312,3,2,3,3,3,3,3,0,2,0.4
4271,4313,4,4,4,4,4,4,4,0,0,0
4272,4314,4,4,4,4,4,4,4,0,0,0
4273,4315,1,2,2,2,2,2,2,1,1,1
4274,4316,3,3,3,2,3,2,2,-1,3,-0.2
4275,4317,3,3,3,3,4,4,4,1,1,1
4276,4318,2,2,3,3,3,3,2,0,2,0.4
4277,4319,3,3,3,4,4,4,4,1,1,1
4278,4320,3,2,3,3,3,3,3,0,2,0.4
4279,4321,2,4,4,4,4,4,4,2,2,2
4280,4322,2,2,3,3,3,3,3,1,1,1
4281,4323,4,4,4,4,4,4,4,0,0,0
4282,4324,2,2,2,2,2,2,2,0,0,0
4283,4325,3,2,2,3,3,2,3,0,4,0.8
4284,4326,3,3,3,3,3,3,3,0,0,0
4285,4327,1,1,2,2,2,1,2,1,3,1.4
4286,4328,1,1,1,1,2,2,2,1,1,1
4287,4329,1,1,1,1,1,1,1,0,0,0
4288,4330,3,3,4,4,4,4,4,1,1,1
4289,4331,4,4,4,3,4,4,4,0,2,0.4
4290,4332,1,1,2,2,1,2,1,0,4,0.8
4291,4333,3,3,3,4,4,3,4,1,3,1.4
4292,4334,2,2,2,2,2,2,2,0,0,0
4293,4335,4,4,4,3,3,3,3,-1,1,-0.6
4294,4336,3,3,3,3,3,3,3,0,0,0
4295,4337,3,3,3,3,3,3,3,0,0,0
4296,4338,1,1,1,1,1,1,1,0,0,0
4297,4339,4,4,4,4,4,4,4,0,0,0
4298,4340,2,2,1,1,1,2,2,0,2,0.4
4299,4341,1,1,1,1,1,1,1,0,0,0
4300,4342,4,4,4,4,3,2,1,-3,3,-1.8
4301,4343,3,3,2,3,2,3,2,-1,5,0.2
4302,4344,1,1,1,1,1,1,2,1,1,1
4303,4345,1,2,2,2,3,3,3,2,2,2
4304,4346,2,2,2,2,2,3,3,1,1,1
4305,4347,1,1,1,2,3,2,2,1,3,1.4
4306,4348,1,1,1,1,1,1,1,0,0,0
4307,4349,2,2,2,2,2,2,2,0,0,0
4308,4350,2,3,3,3,3,3,3,1,1,1
4309,4351,4,4,4,4,4,4,4,0,0,0
4310,4352,3,4,4,4,4,4,4,1,1,1
4311,4353,4,4,4,4,4,4,4,0,0,0
4312,4354,3,3,2,3,3,2,2,-1,3,-0.2
4313,4355,3,2,2,2,3,3,2,-1,3,-0.2
4314,4356,2,1,1,2,1,1,1,-1,3,-0.2
4315,4357,1,1,1,1,1,1,1,0,0,0
4316,4358,1,1,1,1,1,1,1,0,0,0
4317,4359,4,4,4,4,4,4,4,0,0,0
4318,4360,1,2,2,2,2,2,2,1,1,1
4319,4361,1,1,3,2,2,1,1,0,4,0.8
4320,4362,2,2,2,2,1,1,1,-1,1,-0.6
4321,4363,3,2,3,4,3,3,3,0,4,0.8
4322,4364,1,1,1,2,1,1,1,0,2,0.4
4323,4365,1,1,1,1,1,1,1,0,0,0
4324,4366,2,2,2,2,2,3,2,0,2,0.4
4325,4367,2,3,3,3,3,3,3,1,1,1
4326,4368,1,2,2,1,2,1,2,1,5,1.8
4327,4369,1,1,1,1,1,1,1,0,0,0
4328,4370,4,4,4,4,4,4,4,0,0,0
4329,4371,2,2,2,1,2,1,1,-1,3,-0.2
4330,4372,4,4,4,4,4,4,4,0,0,0
4331,4373,3,4,3,3,3,4,4,1,3,1.4
4332,4374,3,4,4,4,3,4,3,0,4,0.8
4333,4375,1,1,1,2,2,1,2,1,3,1.4
4334,4376,2,2,2,2,2,2,2,0,0,0
4335,4377,4,3,4,4,4,4,4,0,2,0.4
4336,4378,2,2,2,3,1,2,2,0,4,0.8
4337,4379,4,3,3,3,4,4,3,-1,3,-0.2
4338,4380,3,3,2,2,2,2,3,0,2,0.4
4339,4381,2,3,2,1,1,3,3,1,5,1.8
4340,4382,1,1,1,1,1,1,1,0,0,0
4341,4383,2,1,1,1,1,1,1,-1,1,-0.6
4342,4384,1,1,1,1,1,1,1,0,0,0
4343,4385,4,4,4,4,4,4,3,-1,1,-0.6
4344,4386,1,1,4,4,4,4,4,3,3,3
4345,4387,2,3,3,2,2,3,2,0,4,0.8
4346,4388,2,2,2,1,3,2,2,0,4,0.8
4347,4389,2,2,2,3,3,3,3,1,1,1
4348,4390,3,3,4,4,4,4,1,-2,4,-0.8
4349,4391,4,3,3,3,3,4,3,-1,3,-0.2
4350,4392,4,4,4,3,4,4,4,0,2,0.4
4351,4393,2,2,2,1,1,1,2,0,2,0.4
4352,4394,2,2,2,2,2,2,2,0,0,0
4353,4396,3,2,2,2,2,2,2,-1,1,-0.6
4354,4397,2,1,2,2,2,1,1,-1,3,-0.2
4355,4398,3,2,3,3,3,3,3,0,2,0.4
4356,4399,1,1,1,1,1,1,1,0,0,0
4357,4400,4,4,4,4,4,3,4,0,2,0.4
4358,4401,4,4,4,3,4,4,4,0,2,0.4
4359,4402,3,3,3,3,3,3,3,0,0,0
4360,4403,3,2,2,1,1,2,2,-1,3,-0.2
4361,4404,2,2,2,2,2,2,3,1,1,1
4362,4405,4,4,4,4,4,4,4,0,0,0
4363,4406,1,1,1,1,1,1,1,0,0,0
4364,4407,3,4,4,4,4,4,4,1,1,1
4365,4408,1,2,1,1,1,2,1,0,4,0.8
4366,4409,1,1,2,2,1,2,2,1,3,1.4
4367,4410,2,1,2,2,2,2,2,0,2,0.4
4368,4411,1,3,4,4,4,4,4,3,3,3
4369,4412,1,1,1,1,1,1,1,0,0,0
4370,4413,2,2,3,3,2,2,2,0,2,0.4
4371,4414,2,1,3,4,3,3,4,2,6,2.8
4372,4415,3,3,3,3,3,4,4,1,1,1
4373,4416,4,4,4,4,4,4,4,0,0,0
4374,4417,1,1,2,2,2,2,2,1,1,1
4375,4418,3,3,3,4,3,4,3,0,4,0.8
4376,4420,3,3,4,4,3,4,4,1,3,1.4
4377,4421,4,3,3,4,4,4,4,0,2,0.4
4378,4422,1,1,1,1,1,1,1,0,0,0
4379,4423,4,4,4,4,4,4,4,0,0,0
4380,4424,3,3,3,2,3,4,4,1,3,1.4
4381,4426,4,4,4,4,4,4,4,0,0,0
4382,4427,1,1,1,1,1,1,1,0,0,0
4383,4428,1,1,2,2,2,3,2,1,3,1.4
4384,4429,4,4,4,4,4,4,4,0,0,0
4385,4430,1,1,1,1,1,1,3,2,2,2
4386,4431,3,4,3,4,4,4,3,0,4,0.8
4387,4432,2,2,2,1,1,1,1,-1,1,-0.6
4388,4433,1,1,1,1,1,1,1,0,0,0
4389,4434,2,2,3,2,2,2,2,0,2,0.4
4390,4435,2,2,2,2,2,2,2,0,0,0
4391,4436,3,3,3,3,3,4,4,1,1,1
4392,4437,3,4,3,3,3,3,4,1,3,1.4
4393,4438,2,2,2,2,2,1,1,-1,1,-0.6
4394,4439,2,2,2,2,2,2,2,0,0,0
4395,4440,4,4,4,4,4,4,4,0,0,0
4396,4441,2,3,3,2,2,1,1,-1,3,-0.2
4397,4442,3,3,3,3,3,4,4,1,1,1
4398,4443,2,2,2,2,3,3,4,2,2,2
4399,4444,2,2,3,3,3,3,3,1,1,1
4400,4445,2,1,1,3,3,3,3,1,3,1.4
4401,4446,2,2,1,1,2,2,3,1,3,1.4
4402,4447,3,3,3,4,3,4,3,0,4,0.8
4403,4448,4,4,2,4,4,4,4,0,4,0.8
4404,4449,1,2,1,1,1,1,1,0,2,0.4
4405,4450,2,2,3,2,3,2,3,1,5,1.8
4406,4451,3,3,2,2,2,2,3,0,2,0.4
4407,4452,2,3,1,2,2,2,2,0,4,0.8
4408,4453,3,2,3,1,2,1,2,-1,7,0.6
4409,4454,2,2,3,2,2,3,2,0,4,0.8
4410,4455,2,2,2,2,2,2,2,0,0,0
4411,4456,2,1,1,1,1,1,1,-1,1,-0.6
4412,4457,3,3,3,3,3,3,3,0,0,0
4413,4458,2,3,3,2,3,3,3,1,3,1.4
4414,4459,3,3,2,2,3,3,3,0,2,0.4
4415,4460,4,3,4,2,2,3,3,-1,5,0.2
4416,4461,3,2,2,2,2,2,1,-2,2,-1.2
4417,4462,4,4,4,3,4,3,3,-1,3,-0.2
4418,4463,1,1,1,1,1,1,1,0,0,0
4419,4464,2,2,2,2,3,1,2,0,4,0.8
4420,4465,1,1,1,1,1,1,1,0,0,0
4421,4466,2,1,2,2,1,2,2,0,4,0.8
4422,4467,3,4,4,2,3,3,3,0,4,0.8
4423,4468,4,4,4,4,4,4,4,0,0,0
4424,4469,3,1,2,2,2,4,4,1,5,1.8
4425,4470,1,1,1,1,2,1,1,0,2,0.4
4426,4472,1,3,2,2,2,2,2,1,3,1.4
4427,4473,1,1,1,1,1,1,1,0,0,0
4428,4474,4,4,4,4,4,2,2,-2,2,-1.2
4429,4475,2,1,1,1,1,2,2,0,2,0.4
4430,4476,1,2,2,1,2,1,1,0,4,0.8
4431,4477,1,1,1,1,3,4,3,2,4,2.4
4432,4478,2,3,3,2,3,3,4,2,4,2.4
4433,4479,1,1,1,1,1,1,1,0,0,0
4434,4480,3,4,4,4,4,3,3,0,2,0.4
4435,4481,1,1,1,2,1,2,3,2,4,2.4
4436,4482,2,2,1,3,3,4,3,1,5,1.8
4437,4483,2,1,2,1,2,2,2,0,4,0.8
4438,4484,3,2,2,3,2,3,2,-1,5,0.2
4439,4485,2,2,2,2,2,2,1,-1,1,-0.6
4440,4486,1,2,2,3,2,2,2,1,3,1.4
4441,4487,2,3,2,2,2,3,3,1,3,1.4
4442,4488,2,1,2,1,1,1,1,-1,3,-0.2
4443,4489,3,4,3,3,3,3,3,0,2,0.4
4444,4490,2,1,1,1,1,2,1,-1,3,-0.2
4445,4491,2,3,4,4,2,1,2,0,6,1.2
4446,4492,1,1,2,2,1,1,1,0,2,0.4
4447,4493,4,4,4,3,3,4,3,-1,3,-0.2
4448,4494,2,2,2,1,2,1,1,-1,3,-0.2
4449,4495,4,3,3,2,2,2,2,-2,2,-1.2
4450,4496,1,1,2,2,3,2,1,0,4,0.8
4451,4497,4,4,4,4,4,4,4,0,0,0
4452,4498,4,4,4,4,4,4,4,0,0,0
4453,4499,2,2,2,2,2,1,2,0,2,0.4
4454,4500,2,2,2,3,3,3,3,1,1,1
4455,4501,2,2,2,2,2,1,2,0,2,0.4
4456,4502,2,4,4,4,3,4,4,2,4,2.4
4457,4503,3,3,2,3,3,3,3,0,2,0.4
4458,4504,1,1,1,1,1,1,1,0,0,0
4459,4505,1,1,2,2,2,3,2,1,3,1.4
4460,4506,4,4,3,3,3,4,3,-1,3,-0.2
4461,4507,2,3,3,3,3,2,3,1,3,1.4
4462,4508,1,2,4,4,4,4,1,0,6,1.2
4463,4509,1,2,1,2,2,3,3,2,4,2.4
4464,4510,4,4,4,4,4,4,4,0,0,0
4465,4511,1,2,2,2,2,2,1,0,2,0.4
4466,4512,2,2,2,2,3,3,2,0,2,0.4
4467,4513,1,1,2,1,2,1,1,0,4,0.8
4468,4514,3,3,3,4,3,4,3,0,4,0.8
4469,4515,4,4,4,4,4,4,4,0,0,0
4470,4516,2,2,3,3,3,3,3,1,1,1
4471,4517,2,1,2,1,1,1,1,-1,3,-0.2
4472,4518,2,2,2,2,1,1,1,-1,1,-0.6
4473,4519,1,1,1,1,1,1,2,1,1,1
4474,4520,1,1,1,1,1,1,1,0,0,0
4475,4521,3,3,4,3,3,2,4,1,5,1.8
4476,4522,4,4,4,4,4,4,4,0,0,0
4477,4523,1,1,1,1,1,1,1,0,0,0
4478,4524,3,3,2,3,3,3,3,0,2,0.4
4479,4525,1,1,2,2,1,2,2,1,3,1.4
4480,4526,4,4,4,3,4,4,4,0,2,0.4
4481,4527,1,1,1,1,1,1,1,0,0,0
4482,4528,3,3,3,2,3,3,3,0,2,0.4
4483,4529,3,2,2,2,2,2,3,0,2,0.4
4484,4530,4,3,3,3,4,3,4,0,4,0.8
4485,4531,2,3,3,3,2,2,2,0,2,0.4
4486,4532,1,1,1,1,1,1,1,0,0,0
4487,4533,4,4,4,4,4,4,4,0,0,0
4488,4535,1,2,2,3,3,3,2,1,3,1.4
4489,4536,1,1,1,1,2,1,2,1,3,1.4
4490,4537,1,1,1,1,2,2,1,0,2,0.4
4491,4538,3,3,3,3,3,2,3,0,2,0.4
4492,4539,1,1,1,1,1,1,1,0,0,0
4493,4540,4,4,4,4,3,3,3,-1,1,-0.6
4494,4541,2,1,1,2,3,4,4,2,4,2.4
4495,4542,2,2,3,2,2,2,2,0,2,0.4
4496,4543,3,3,3,3,3,3,3,0,0,0
4497,4544,4,4,4,4,4,4,4,0,0,0
4498,4545,1,1,1,1,2,1,1,0,2,0.4
4499,4546,3,3,3,2,2,2,2,-1,1,-0.6
4500,4547,2,3,3,2,2,3,3,1,3,1.4
4501,4548,1,2,1,1,2,1,1,0,4,0.8
4502,4549,1,2,4,4,3,3,4,3,5,3.4
4503,4550,2,2,2,2,3,2,2,0,2,0.4
4504,4551,4,4,4,4,4,4,4,0,0,0
4505,4552,1,1,2,1,2,1,2,1,5,1.8
4506,4553,3,2,1,2,2,1,1,-2,4,-0.8
4507,4554,3,3,4,3,3,3,3,0,2,0.4
4508,4555,3,2,2,3,2,2,3,0,4,0.8
4509,4556,4,4,4,3,3,3,4,0,2,0.4
4510,4557,3,2,2,2,2,3,3,0,2,0.4
4511,4558,1,1,2,1,2,2,1,0,4,0.8
4512,4559,3,3,3,3,4,3,3,0,2,0.4
4513,4560,1,1,1,1,1,2,2,1,1,1
4514,4561,1,1,2,2,2,2,2,1,1,1
4515,4562,3,3,3,3,4,4,4,1,1,1
4516,4563,2,2,2,2,2,2,2,0,0,0
4517,4564,3,3,3,1,2,2,2,-1,3,-0.2
4518,4565,3,3,3,3,4,3,2,-1,3,-0.2
4519,4566,4,3,4,4,4,4,4,0,2,0.4
4520,4567,3,4,3,4,4,4,4,1,3,1.4
4521,4568,2,2,2,2,2,1,1,-1,1,-0.6
4522,4569,4,4,4,4,4,4,4,0,0,0
4523,4570,1,3,3,3,2,3,3,2,4,2.4
4524,4571,1,1,1,1,2,1,2,1,3,1.4
4525,4572,3,2,2,2,2,2,3,0,2,0.4
4526,4573,1,2,3,2,3,2,2,1,5,1.8
4527,4574,4,4,4,4,4,4,4,0,0,0
4528,4575,2,2,2,2,2,2,1,-1,1,-0.6
4529,4576,1,2,1,2,2,2,2,1,3,1.4
4530,4577,4,4,4,3,4,4,4,0,2,0.4
4531,4578,3,4,4,3,3,2,2,-1,3,-0.2
4532,4579,1,1,1,2,1,2,2,1,3,1.4
4533,4580,1,1,1,1,2,1,1,0,2,0.4
4534,4581,3,3,2,3,2,3,2,-1,5,0.2
4535,4582,2,2,1,2,1,1,1,-1,3,-0.2
4536,4583,2,2,2,1,2,2,2,0,2,0.4
4537,4584,3,4,4,3,4,4,4,1,3,1.4
4538,4585,3,3,2,3,3,3,2,-1,3,-0.2
4539,4586,3,2,1,2,2,2,1,-2,4,-0.8
4540,4587,2,2,2,2,2,1,1,-1,1,-0.6
4541,4588,1,1,1,1,1,1,1,0,0,0
4542,4589,1,1,1,1,1,1,1,0,0,0
4543,4590,2,2,2,2,3,3,3,1,1,1
4544,4591,3,2,2,3,2,2,2,-1,3,-0.2
4545,4592,1,1,1,2,2,1,1,0,2,0.4
4546,4593,2,2,2,2,2,2,3,1,1,1
4547,4594,2,3,2,3,3,3,3,1,3,1.4
4548,4595,1,2,2,2,2,2,2,1,1,1
4549,4596,4,4,4,4,4,4,4,0,0,0
4550,4597,2,2,2,2,1,1,1,-1,1,-0.6
4551,4598,3,3,3,4,3,4,3,0,4,0.8
4552,4599,3,4,4,3,3,2,2,-1,3,-0.2
4553,4600,1,3,4,4,3,3,4,3,5,3.4
4554,4601,2,2,3,3,2,3,1,-1,5,0.2
4555,4602,3,3,3,4,3,4,3,0,4,0.8
4556,4603,2,2,3,3,2,4,4,2,4,2.4
4557,4604,4,3,4,4,3,3,4,0,4,0.8
4558,4605,2,2,2,1,1,2,1,-1,3,-0.2
4559,4606,1,1,1,2,1,2,2,1,3,1.4
4560,4607,4,3,4,4,3,3,4,0,4,0.8
4561,4608,1,2,2,1,1,2,2,1,3,1.4
4562,4609,3,2,3,3,2,3,3,0,4,0.8
4563,4610,2,1,2,2,2,1,1,-1,3,-0.2
4564,4611,3,3,4,4,4,4,4,1,1,1
4565,4612,1,1,1,1,1,1,1,0,0,0
4566,4613,3,4,4,3,4,4,3,0,4,0.8
4567,4614,1,1,2,1,1,1,1,0,2,0.4
4568,4615,1,1,1,1,1,1,1,0,0,0
4569,4616,2,2,2,2,1,2,2,0,2,0.4
4570,4617,3,3,4,3,4,3,3,0,4,0.8
4571,4618,2,2,1,1,1,1,1,-1,1,-0.6
4572,4619,3,3,3,2,2,3,3,0,2,0.4
4573,4620,2,2,1,2,2,2,2,0,2,0.4
4574,4621,4,4,4,4,4,4,4,0,0,0
4575,4622,4,3,4,3,3,3,3,-1,3,-0.2
4576,4623,1,2,3,3,4,4,4,3,3,3
4577,4624,1,2,2,1,2,1,2,1,5,1.8
4578,4625,2,3,4,3,3,3,3,1,3,1.4
4579,4626,2,2,2,1,2,2,2,0,2,0.4
4580,4627,3,3,3,3,3,2,3,0,2,0.4
4581,4628,3,3,3,3,4,3,4,1,3,1.4
4582,4629,2,2,1,2,3,3,2,0,4,0.8
4583,4630,1,1,1,1,1,1,1,0,0,0
4584,4631,4,3,4,3,3,3,3,-1,3,-0.2
4585,4632,1,1,2,4,4,4,4,3,3,3
4586,4633,1,1,1,1,1,1,1,0,0,0
4587,4634,4,4,4,4,3,4,4,0,2,0.4
4588,4635,4,4,4,4,4,4,4,0,0,0
4589,4636,2,2,2,3,3,3,2,0,2,0.4
4590,4637,1,2,3,2,3,2,2,1,5,1.8
4591,4638,2,3,2,2,2,2,3,1,3,1.4
4592,4639,4,4,3,3,3,3,3,-1,1,-0.6
4593,4640,1,1,1,1,2,2,1,0,2,0.4
4594,4641,4,4,4,4,4,4,4,0,0,0
4595,4642,2,2,3,2,2,3,4,2,4,2.4
4596,4643,3,3,3,3,3,3,3,0,0,0
4597,4644,4,4,4,4,4,4,4,0,0,0
4598,4645,3,3,4,3,3,3,3,0,2,0.4
4599,4646,4,4,4,4,4,4,4,0,0,0
4600,4647,2,2,2,2,2,4,4,2,2,2
4601,4648,3,3,3,2,3,3,3,0,2,0.4
4602,4649,3,3,2,3,2,3,3,0,4,0.8
4603,4650,1,2,2,2,1,2,2,1,3,1.4
4604,4651,1,1,1,1,1,1,1,0,0,0
4605,4652,1,1,1,1,1,1,1,0,0,0
4606,4653,3,4,4,4,4,4,4,1,1,1
4607,4654,2,1,2,2,2,2,2,0,2,0.4
4608,4655,2,2,1,1,1,2,2,0,2,0.4
4609,4656,1,1,1,1,1,1,1,0,0,0
4610,4657,3,3,4,4,4,4,4,1,1,1
4611,4658,1,2,2,2,3,4,4,3,3,3
4612,4659,1,2,1,2,2,2,2,1,3,1.4
4613,4660,1,2,2,3,2,3,2,1,5,1.8
4614,4661,1,2,2,1,2,1,1,0,4,0.8
4615,4662,2,3,2,2,1,1,1,-1,3,-0.2
4616,4663,1,1,1,2,2,1,1,0,2,0.4
4617,4664,1,1,1,1,1,1,1,0,0,0
4618,4665,3,3,2,2,2,2,2,-1,1,-0.6
4619,4666,1,1,1,1,1,1,1,0,0,0
4620,4667,4,4,4,4,4,4,4,0,0,0
4621,4668,2,2,2,2,2,1,2,0,2,0.4
4622,4669,4,4,4,4,4,4,4,0,0,0
4623,4670,3,3,3,3,4,4,4,1,1,1
4624,4671,2,2,2,2,3,2,3,1,3,1.4
4625,4672,2,2,2,2,2,2,2,0,0,0
4626,4673,4,4,4,3,4,4,4,0,2,0.4
4627,4674,3,4,3,3,3,3,3,0,2,0.4
4628,4675,1,1,1,1,1,1,1,0,0,0
4629,4676,2,2,2,2,2,2,3,1,1,1
4630,4677,1,1,1,1,1,1,1,0,0,0
4631,4678,1,1,2,2,2,3,2,1,3,1.4
4632,4679,2,1,1,2,2,2,2,0,2,0.4
4633,4680,2,1,3,2,2,2,2,0,4,0.8
4634,4681,2,2,1,2,3,3,3,1,3,1.4
4635,4682,2,2,2,3,2,2,2,0,2,0.4
4636,4683,2,2,3,2,2,3,4,2,4,2.4
4637,4684,1,1,1,1,2,2,2,1,1,1
4638,4685,3,3,4,3,3,3,3,0,2,0.4
4639,4686,3,3,3,2,3,2,2,-1,3,-0.2
4640,4687,3,3,3,3,3,3,4,1,1,1
4641,4688,3,3,3,3,3,3,3,0,0,0
4642,4689,1,1,1,1,1,1,1,0,0,0
4643,4690,2,2,3,2,2,2,2,0,2,0.4
4644,4691,3,3,3,3,3,2,3,0,2,0.4
4645,4692,4,4,4,4,4,3,3,-1,1,-0.6
4646,4693,2,3,2,2,2,2,2,0,2,0.4
4647,4694,3,4,4,4,4,4,4,1,1,1
4648,4695,3,2,2,2,4,3,3,0,4,0.8
4649,4696,3,3,3,3,3,3,3,0,0,0
4650,4697,1,1,3,4,3,4,4,3,5,3.4
4651,4698,4,4,4,4,4,4,4,0,0,0
4652,4699,1,1,1,1,1,1,1,0,0,0
4653,4700,1,3,3,3,2,2,2,1,3,1.4
4654,4701,4,4,4,4,3,3,3,-1,1,-0.6
4655,4702,2,2,2,2,2,3,3,1,1,1
4656,4703,2,2,2,2,2,2,2,0,0,0
4657,4704,4,4,4,4,4,4,4,0,0,0
4658,4705,3,3,3,2,3,3,3,0,2,0.4
4659,4706,3,3,3,3,3,4,4,1,1,1
4660,4707,2,2,2,2,3,2,3,1,3,1.4
4661,4708,3,3,3,3,3,3,2,-1,1,-0.6
4662,4709,1,1,1,1,1,1,1,0,0,0
4663,4710,1,2,1,1,1,1,1,0,2,0.4
4664,4711,1,2,1,1,1,1,2,1,3,1.4
4665,4712,2,2,3,2,2,1,1,-1,3,-0.2
4666,4713,2,2,2,1,2,2,2,0,2,0.4
4667,4714,3,2,2,1,2,2,2,-1,3,-0.2
4668,4715,3,3,3,3,4,3,4,1,3,1.4
4669,4716,4,4,4,4,4,4,4,0,0,0
4670,4717,4,4,4,4,4,4,4,0,0,0
4671,4718,2,2,2,2,2,2,3,1,1,1
4672,4719,1,2,1,2,2,2,2,1,3,1.4
4673,4720,2,2,3,1,2,1,2,0,6,1.2
4674,4721,3,4,4,4,3,4,4,1,3,1.4
4675,4722,1,2,2,1,2,1,1,0,4,0.8
4676,4723,3,3,2,2,2,2,3,0,2,0.4
4677,4724,2,3,2,2,2,2,2,0,2,0.4
4678,4725,2,2,2,3,4,3,3,1,3,1.4
4679,4726,1,2,1,2,1,2,2,1,5,1.8
4680,4727,1,1,2,3,4,3,4,3,5,3.4
4681,4728,3,4,3,2,3,3,3,0,4,0.8
4682,4729,3,4,3,3,3,3,3,0,2,0.4
4683,4730,1,1,1,1,1,1,1,0,0,0
4684,4731,1,2,2,3,4,4,4,3,3,3
4685,4732,2,2,2,2,3,3,2,0,2,0.4
4686,4733,1,1,1,1,1,1,1,0,0,0
4687,4734,2,2,2,2,2,2,3,1,1,1
4688,4735,1,1,3,2,3,3,3,2,4,2.4
4689,4736,2,2,2,1,2,1,2,0,4,0.8
4690,4737,1,1,2,1,2,2,2,1,3,1.4
4691,4738,3,2,2,3,3,3,2,-1,3,-0.2
4692,4739,1,1,2,1,1,1,1,0,2,0.4
4693,4740,2,1,1,2,2,2,3,1,3,1.4
4694,4741,1,1,1,1,1,1,1,0,0,0
