,°í°´¹øÈ£,±â_ÃÑ±¸¸Å¾×1,±â_ÃÑ±¸¸Å¾×2,±â_ÃÑ±¸¸Å¾×3,±â_ÃÑ±¸¸Å¾×4,±â_ÃÑ±¸¸Å¾×5,±â_ÃÑ±¸¸Å¾×6,±â_ÃÑ±¸¸Å¾×7,±â_ÃÑ±¸¸Å¾×8,±â_ÃÑ±¸¸ÅÈ½¼ö1,±â_ÃÑ±¸¸ÅÈ½¼ö2,±â_ÃÑ±¸¸ÅÈ½¼ö3,±â_ÃÑ±¸¸ÅÈ½¼ö4,±â_ÃÑ±¸¸ÅÈ½¼ö5,±â_ÃÑ±¸¸ÅÈ½¼ö6,±â_ÃÑ±¸¸ÅÈ½¼ö7,±â_ÃÑ±¸¸ÅÈ½¼ö8
2147,2171,446258.0,486715.0,709792.0,143490.0,37066.0,98119.0,62967.0,44534.0,22.0,39.0,41.0,13.0,5.0,5.0,3.0,4.0
2148,2172,38771.0,5562.0,29375.0,166192.0,137847.0,49435.0,123323.0,37841.0,3.0,1.0,2.0,3.0,10.0,2.0,5.0,4.0
2149,2173,17418.0,13701.0,18416.0,10997.0,574036.0,1823.0,0.0,7601.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,2.0
2150,2174,49989.0,37700.0,177381.0,72542.0,44702.0,161923.0,216347.0,80475.0,5.0,5.0,11.0,12.0,7.0,13.0,17.0,7.0
2151,2175,0.0,0.0,31635.0,10642.0,0.0,0.0,7320.0,80641.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,17.0
2152,2176,25389.0,0.0,65190.0,15964.0,50771.0,46111.0,161614.0,117324.0,1.0,0.0,2.0,4.0,7.0,6.0,8.0,12.0
2153,2177,52647.0,25545.0,416550.0,290591.0,367536.0,131104.0,107105.0,171114.0,3.0,5.0,13.0,23.0,16.0,11.0,8.0,15.0
2154,2178,0.0,8343.0,68918.0,28822.0,242725.0,12332.0,34913.0,17847.0,0.0,2.0,4.0,7.0,9.0,1.0,2.0,1.0
2155,2179,1023152.0,143439.0,478643.0,1932371.0,103967.0,902181.0,1003099.0,694584.0,9.0,3.0,17.0,13.0,5.0,9.0,9.0,16.0
2156,2180,0.0,23692.0,29036.0,29266.0,187305.0,73134.0,109457.0,30240.0,0.0,1.0,3.0,6.0,11.0,12.0,11.0,6.0
2157,2181,4920.0,28944.0,60692.0,63320.0,80484.0,128015.0,103543.0,113272.0,1.0,6.0,11.0,10.0,8.0,19.0,17.0,18.0
2158,2182,33360.0,0.0,67789.0,8159.0,7606.0,82554.0,172219.0,8674.0,5.0,0.0,1.0,2.0,5.0,22.0,19.0,5.0
2159,2183,0.0,0.0,0.0,36981.0,0.0,0.0,7320.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2160,2184,0.0,165330.0,19207.0,58531.0,75346.0,190340.0,758370.0,102453.0,0.0,6.0,1.0,3.0,2.0,7.0,9.0,7.0
2161,2185,75870.0,152927.0,238322.0,92098.0,520586.0,116338.0,115834.0,297281.0,5.0,11.0,11.0,4.0,8.0,6.0,5.0,12.0
2162,2186,13285.0,39082.0,78928.0,49184.0,87281.0,155725.0,214322.0,83054.0,1.0,2.0,4.0,3.0,10.0,8.0,7.0,5.0
2163,2187,138260.0,55213.0,153202.0,121496.0,109124.0,224548.0,212181.0,102454.0,8.0,6.0,8.0,6.0,6.0,9.0,8.0,5.0
2164,2188,0.0,0.0,0.0,0.0,3944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2165,2189,16237.0,34610.0,58977.0,1064.0,0.0,94580.0,45050.0,38337.0,1.0,4.0,4.0,1.0,0.0,4.0,5.0,3.0
2166,2190,11612.0,0.0,0.0,37424.0,49051.0,266477.0,93476.0,9914.0,1.0,0.0,0.0,7.0,9.0,3.0,9.0,4.0
2167,2191,31214.0,161724.0,239858.0,145796.0,81920.0,54261.0,119493.0,8279.0,3.0,9.0,18.0,17.0,4.0,6.0,9.0,2.0
2168,2192,86695.0,41204.0,53779.0,15076.0,49354.0,85038.0,171299.0,77998.0,6.0,3.0,6.0,1.0,3.0,8.0,14.0,7.0
2169,2193,370202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2170,2195,103209.0,349405.0,708152.0,376028.0,288287.0,265725.0,156208.0,46268.0,9.0,17.0,13.0,23.0,13.0,10.0,9.0,4.0
2171,2196,15745.0,0.0,349563.0,10376.0,51983.0,678256.0,334206.0,129165.0,2.0,0.0,2.0,3.0,9.0,11.0,17.0,9.0
2172,2197,199163.0,79028.0,232571.0,245830.0,224360.0,367491.0,348388.0,245088.0,10.0,4.0,8.0,12.0,6.0,9.0,6.0,9.0
2173,2198,9152.0,31417.0,25986.0,0.0,0.0,0.0,27670.0,43625.0,2.0,3.0,2.0,0.0,0.0,0.0,7.0,4.0
2174,2199,589054.0,51814.0,0.0,0.0,0.0,281961.0,27029.0,69404.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0
2175,2200,246899.0,33992.0,92080.0,86733.0,123174.0,39141.0,279641.0,182019.0,6.0,2.0,4.0,7.0,8.0,4.0,12.0,18.0
2176,2201,29226.0,0.0,0.0,4434.0,6574.0,63807.0,53495.0,9832.0,1.0,0.0,0.0,1.0,2.0,13.0,8.0,2.0
2177,2202,69010.0,75094.0,9038.0,74142.0,44703.0,398803.0,85368.0,137569.0,9.0,5.0,1.0,10.0,4.0,17.0,8.0,11.0
2178,2203,49203.0,10301.0,0.0,0.0,0.0,8579.0,23786.0,5784.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,3.0
2179,2204,0.0,25546.0,68806.0,110899.0,131434.0,87611.0,69150.0,68659.0,0.0,6.0,8.0,16.0,20.0,12.0,9.0,10.0
2180,2205,93288.0,38370.0,31657.0,22171.0,12136.0,108521.0,0.0,78493.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,3.0
2181,2206,37394.0,100433.0,28245.0,8868.0,117823.0,64340.0,209817.0,461999.0,1.0,2.0,2.0,1.0,4.0,3.0,7.0,13.0
2182,2207,136636.0,182891.0,101400.0,166768.0,78077.0,121282.0,67912.0,21317.0,4.0,8.0,4.0,6.0,3.0,5.0,6.0,1.0
2183,2208,225250.0,0.0,29149.0,4434.0,5057.0,13833.0,0.0,86175.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0
2184,2209,80544.0,48208.0,52648.0,59063.0,50568.0,36352.0,42233.0,15533.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,2.0
2185,2210,0.0,36671.0,11863.0,44784.0,38027.0,10509.0,35364.0,173510.0,0.0,3.0,1.0,4.0,3.0,1.0,2.0,1.0
2186,2211,0.0,40174.0,30505.0,7095.0,67761.0,15014.0,68474.0,37180.0,0.0,3.0,3.0,3.0,1.0,5.0,4.0,5.0
2187,2212,12694.0,26474.0,15027.0,15520.0,26800.0,18015.0,35499.0,9253.0,2.0,4.0,2.0,3.0,6.0,3.0,2.0,3.0
2188,2213,0.0,0.0,0.0,84870.0,176410.0,40212.0,107443.0,0.0,0.0,0.0,0.0,11.0,5.0,4.0,5.0,0.0
2189,2214,66522.0,0.0,0.0,33700.0,30213.0,36190.0,57211.0,93365.0,2.0,0.0,0.0,2.0,4.0,4.0,5.0,5.0
2190,2215,0.0,0.0,0.0,0.0,5057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2191,2216,14761.0,19056.0,45757.0,63409.0,119644.0,27945.0,217374.0,122118.0,1.0,2.0,2.0,3.0,6.0,3.0,6.0,7.0
2192,2217,63964.0,0.0,61180.0,12416.0,87787.0,42251.0,81990.0,103445.0,2.0,0.0,4.0,2.0,9.0,4.0,8.0,5.0
2193,2218,138062.0,95283.0,190248.0,249909.0,149630.0,314410.0,108005.0,109890.0,5.0,4.0,8.0,11.0,7.0,17.0,7.0,8.0
2194,2219,0.0,99610.0,240526.0,86467.0,59771.0,9887.0,48316.0,427462.0,0.0,7.0,9.0,4.0,3.0,1.0,2.0,11.0
2195,2220,17713.0,0.0,27680.0,0.0,0.0,30497.0,25903.0,46103.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,5.0
2196,2221,53628.0,155957.0,343008.0,38932.0,942646.0,918973.0,33222.0,281466.0,9.0,16.0,17.0,6.0,5.0,11.0,6.0,4.0
2197,2222,50088.0,0.0,244489.0,268533.0,242625.0,87825.0,183464.0,4544.0,6.0,0.0,6.0,6.0,9.0,6.0,7.0,1.0
2198,2223,0.0,96931.0,0.0,42568.0,18204.0,0.0,1293474.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,3.0,0.0
2199,2224,322229.0,44541.0,99422.0,18623.0,22250.0,10723.0,98107.0,106254.0,6.0,3.0,7.0,3.0,1.0,1.0,4.0,5.0
2200,2225,148297.0,223499.0,146422.0,274193.0,191044.0,81390.0,156321.0,246713.0,6.0,10.0,4.0,10.0,9.0,8.0,6.0,12.0
2201,2226,55599.0,51298.0,78521.0,57290.0,44501.0,42358.0,96856.0,77666.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0
2202,2227,0.0,7005.0,0.0,19954.0,0.0,0.0,33111.0,452184.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0
2203,2228,163747.0,196024.0,270849.0,167613.0,222064.0,237191.0,205110.0,101016.0,6.0,11.0,9.0,6.0,13.0,15.0,7.0,7.0
2204,2229,83349.0,285591.0,33894.0,90280.0,148468.0,263044.0,301269.0,488222.0,2.0,11.0,2.0,6.0,9.0,14.0,18.0,30.0
2205,2230,79708.0,88587.0,89254.0,89038.0,189114.0,171573.0,173663.0,185079.0,3.0,5.0,4.0,8.0,5.0,8.0,9.0,13.0
2206,2231,0.0,18541.0,24065.0,59108.0,190842.0,64662.0,36264.0,10162.0,0.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0
2207,2232,249960.0,92729.0,127758.0,81244.0,51468.0,25222.0,154856.0,106486.0,10.0,6.0,6.0,7.0,4.0,2.0,8.0,9.0
2208,2233,21649.0,42275.0,415532.0,135687.0,76560.0,109218.0,85595.0,0.0,2.0,5.0,2.0,6.0,4.0,5.0,4.0,0.0
2209,2234,479628.0,0.0,4519.0,469936.0,46522.0,0.0,18583.0,0.0,3.0,0.0,1.0,6.0,2.0,0.0,1.0,0.0
2210,2235,228201.0,388238.0,572248.0,240332.0,346997.0,613753.0,277930.0,179294.0,9.0,10.0,15.0,9.0,14.0,13.0,11.0,11.0
2211,2236,18402.0,9991.0,20901.0,6031.0,54755.0,38604.0,11443.0,11154.0,2.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0
2212,2237,450384.0,113515.0,273154.0,201755.0,44499.0,75772.0,184815.0,21482.0,12.0,4.0,10.0,6.0,3.0,4.0,4.0,2.0
2213,2238,435838.0,432120.0,490303.0,299750.0,197112.0,500181.0,989731.0,406015.0,13.0,12.0,12.0,16.0,9.0,21.0,12.0,18.0
2214,2239,0.0,0.0,9038.0,24388.0,10164.0,7506.0,74782.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0
2215,2240,258019.0,86322.0,88917.0,103758.0,200856.0,93293.0,65883.0,97909.0,9.0,9.0,6.0,6.0,17.0,6.0,7.0,10.0
2216,2241,45070.0,109807.0,125601.0,129080.0,158682.0,107792.0,73204.0,360240.0,3.0,8.0,8.0,14.0,9.0,6.0,5.0,15.0
2217,2242,6692.0,9065.0,0.0,97729.0,102045.0,126107.0,116039.0,11402.0,1.0,1.0,0.0,3.0,6.0,3.0,20.0,2.0
2218,2243,27554.0,365175.0,435619.0,95033.0,349423.0,511715.0,86608.0,198214.0,2.0,24.0,18.0,6.0,10.0,52.0,9.0,10.0
2219,2244,25389.0,120571.0,77957.0,223836.0,26093.0,1052985.0,74218.0,995623.0,1.0,4.0,1.0,10.0,1.0,9.0,3.0,13.0
2220,2245,56975.0,21322.0,11863.0,32104.0,123683.0,152054.0,309599.0,207052.0,8.0,3.0,2.0,5.0,20.0,20.0,35.0,31.0
2221,2246,3936.0,0.0,4858.0,0.0,5866.0,23914.0,26015.0,10989.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,2.0
2222,2247,0.0,0.0,5649.0,5498.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2223,2248,1041799.0,0.0,101683.0,384594.0,535250.0,0.0,227047.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0
2224,2249,113757.0,0.0,56491.0,44609.0,9609.0,51368.0,65996.0,17516.0,7.0,0.0,3.0,11.0,5.0,13.0,6.0,3.0
2225,2250,0.0,0.0,0.0,0.0,0.0,12332.0,60816.0,104849.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0
2226,2251,30506.0,0.0,73325.0,126551.0,470703.0,283738.0,384041.0,139054.0,2.0,0.0,4.0,28.0,40.0,36.0,34.0,13.0
2227,2252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,2253,0.0,18542.0,0.0,0.0,0.0,0.0,33224.0,69817.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
2229,2254,0.0,152617.0,4406.0,180461.0,68874.0,69917.0,64309.0,92043.0,0.0,4.0,1.0,8.0,3.0,6.0,5.0,4.0
2230,2255,34295.0,20396.0,30506.0,32016.0,51429.0,28632.0,150847.0,37510.0,4.0,1.0,3.0,13.0,14.0,5.0,9.0,5.0
2231,2256,858490.0,387932.0,1067555.0,1175813.0,280206.0,359556.0,537325.0,834830.0,8.0,6.0,11.0,17.0,9.0,10.0,11.0,16.0
2232,2257,17713.0,0.0,16947.0,0.0,21642.0,16621.0,16218.0,46021.0,1.0,0.0,1.0,0.0,4.0,4.0,3.0,4.0
2233,2258,9841.0,185415.0,432603.0,15963.0,35803.0,30241.0,37166.0,12806.0,1.0,5.0,6.0,1.0,4.0,4.0,3.0,2.0
2234,2259,370594.0,117688.0,288439.0,178165.0,408740.0,76458.0,454320.0,48500.0,14.0,7.0,10.0,8.0,12.0,5.0,11.0,5.0
2235,2260,70232.0,71168.0,104801.0,44625.0,50437.0,24449.0,60862.0,46352.0,6.0,3.0,5.0,3.0,3.0,1.0,3.0,4.0
2236,2261,229284.0,178987.0,316742.0,161272.0,293234.0,421354.0,399281.0,775267.0,6.0,5.0,9.0,6.0,8.0,11.0,13.0,22.0
2237,2262,0.0,60775.0,10168.0,21638.0,328185.0,49360.0,7884.0,25696.0,0.0,3.0,1.0,3.0,9.0,3.0,1.0,6.0
2238,2263,0.0,0.0,0.0,0.0,0.0,0.0,16905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2239,2264,0.0,0.0,893904.0,3991.0,4551.0,10123.0,0.0,6610.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,2.0
2240,2265,44087.0,0.0,9490.0,30135.0,78118.0,113669.0,36546.0,41391.0,3.0,0.0,2.0,3.0,5.0,8.0,5.0,8.0
2241,2266,1857454.0,133911.0,88689.0,66690.0,469786.0,216400.0,450279.0,135750.0,6.0,3.0,3.0,2.0,13.0,7.0,9.0,6.0
2242,2267,0.0,0.0,0.0,0.0,0.0,0.0,17276.0,3305.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2243,2268,9841.0,14421.0,10055.0,68551.0,22048.0,141549.0,48878.0,46022.0,1.0,2.0,2.0,6.0,2.0,1.0,5.0,8.0
2244,2269,631270.0,0.0,29375.0,424263.0,93853.0,70131.0,680177.0,380896.0,3.0,0.0,1.0,5.0,10.0,12.0,20.0,7.0
2245,2270,0.0,0.0,0.0,0.0,0.0,32170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2246,2271,0.0,0.0,3163.0,7095.0,11125.0,12332.0,11262.0,20243.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0
2247,2272,63374.0,191802.0,176431.0,78574.0,173600.0,83535.0,98545.0,4957.0,4.0,13.0,11.0,4.0,4.0,4.0,5.0,1.0
2248,2273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2249,2274,76264.0,91472.0,159642.0,195991.0,82425.0,108305.0,185940.0,8511.0,4.0,6.0,8.0,8.0,6.0,6.0,16.0,2.0
2250,2275,81676.0,53564.0,149134.0,16850.0,74942.0,335108.0,234818.0,80805.0,5.0,5.0,6.0,1.0,2.0,8.0,9.0,5.0
2251,2276,0.0,12979.0,105524.0,61369.0,48546.0,24653.0,13515.0,5783.0,0.0,2.0,5.0,1.0,2.0,2.0,1.0,2.0
2252,2277,0.0,49444.0,0.0,284675.0,129454.0,164926.0,195964.0,0.0,0.0,2.0,0.0,5.0,4.0,4.0,3.0,0.0
2253,2278,484351.0,88484.0,212630.0,23058.0,560293.0,89004.0,3379.0,21069.0,5.0,4.0,4.0,2.0,6.0,3.0,1.0,2.0
2254,2279,0.0,0.0,0.0,2217.0,5461.0,33457.0,195176.0,248531.0,0.0,0.0,0.0,1.0,2.0,6.0,5.0,8.0
2255,2280,88664.0,41203.0,131227.0,204814.0,73182.0,42357.0,103162.0,10741.0,8.0,2.0,5.0,5.0,4.0,2.0,4.0,1.0
2256,2281,0.0,0.0,13558.0,65537.0,128441.0,18766.0,68080.0,99974.0,0.0,0.0,1.0,8.0,13.0,1.0,7.0,9.0
2257,2282,0.0,16276.0,7909.0,50372.0,1517.0,97154.0,0.0,1239.0,0.0,3.0,1.0,4.0,1.0,5.0,0.0,1.0
2258,2283,0.0,0.0,0.0,13746.0,69784.0,44610.0,177944.0,19003.0,0.0,0.0,0.0,3.0,4.0,5.0,7.0,4.0
2259,2284,213323.0,78802.0,11298.0,69031.0,725396.0,97861.0,118705.0,42551.0,10.0,4.0,1.0,6.0,1.0,5.0,6.0,3.0
2260,2285,0.0,0.0,0.0,1774.0,67761.0,4290.0,25340.0,163430.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0
2261,2286,415430.0,44398.0,54004.0,215413.0,95239.0,266798.0,593523.0,440467.0,5.0,5.0,2.0,11.0,5.0,5.0,4.0,5.0
2262,2287,609199.0,334778.0,0.0,61192.0,1854666.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0
2263,2288,76068.0,306967.0,355889.0,71744.0,224218.0,456817.0,501172.0,281251.0,3.0,10.0,6.0,3.0,5.0,5.0,5.0,7.0
2264,2289,52352.0,177330.0,417521.0,106509.0,138354.0,354463.0,402401.0,305792.0,2.0,3.0,8.0,4.0,3.0,9.0,8.0,10.0
2265,2290,0.0,70509.0,53101.0,962306.0,89131.0,55247.0,112521.0,0.0,0.0,3.0,2.0,3.0,7.0,3.0,7.0,0.0
2266,2291,0.0,0.0,0.0,35918.0,36916.0,49115.0,18582.0,73039.0,0.0,0.0,0.0,9.0,12.0,8.0,4.0,4.0
2267,2292,82662.0,46415.0,270536.0,117951.0,137230.0,154310.0,42909.0,20655.0,9.0,5.0,14.0,12.0,5.0,10.0,5.0,4.0
2268,2293,236094.0,209126.0,321475.0,509719.0,352409.0,290326.0,111081.0,224000.0,14.0,16.0,16.0,14.0,17.0,12.0,4.0,14.0
2269,2294,0.0,0.0,12993.0,29709.0,30645.0,47205.0,9010.0,14046.0,0.0,0.0,1.0,5.0,7.0,5.0,1.0,2.0
2270,2295,3700.0,0.0,13896.0,42124.0,43995.0,21983.0,74219.0,20490.0,1.0,0.0,3.0,4.0,5.0,2.0,7.0,3.0
2271,2296,239819.0,112897.0,303579.0,408653.0,296127.0,327600.0,171818.0,95347.0,18.0,9.0,18.0,19.0,11.0,11.0,5.0,7.0
2272,2297,0.0,9168.0,68239.0,18447.0,31252.0,7399.0,3942.0,0.0,0.0,1.0,6.0,4.0,3.0,1.0,1.0,0.0
2273,2298,13482.0,35744.0,0.0,112628.0,6877.0,31098.0,34687.0,21482.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0
2274,2299,86495.0,90135.0,411252.0,72811.0,164143.0,181867.0,775294.0,149828.0,12.0,8.0,8.0,19.0,16.0,12.0,11.0,6.0
2275,2300,933977.0,235489.0,815495.0,1122787.0,1281469.0,9458.0,353319.0,327934.0,10.0,5.0,4.0,7.0,8.0,1.0,7.0,2.0
2276,2301,0.0,48374.0,52536.0,52323.0,137686.0,0.0,167076.0,65108.0,0.0,4.0,3.0,2.0,6.0,0.0,5.0,4.0
2277,2302,198729.0,135868.0,90216.0,144112.0,1365220.0,151843.0,105415.0,58333.0,6.0,6.0,4.0,7.0,8.0,6.0,8.0,5.0
2278,2303,148298.0,0.0,0.0,8868.0,94967.0,10616.0,37616.0,38337.0,4.0,0.0,0.0,1.0,4.0,1.0,4.0,4.0
2279,2304,12399.0,0.0,0.0,23501.0,0.0,3217.0,0.0,143021.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0
2280,2305,0.0,76329.0,64400.0,32460.0,16182.0,6435.0,61605.0,26852.0,0.0,5.0,13.0,10.0,6.0,3.0,5.0,4.0
2281,2306,90178.0,11331.0,317476.0,58088.0,43083.0,32063.0,73992.0,26191.0,2.0,1.0,5.0,2.0,7.0,5.0,6.0,2.0
2282,2307,0.0,0.0,14123.0,0.0,0.0,0.0,7884.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2283,2308,32770.0,0.0,44627.0,37247.0,5057.0,21984.0,8897.0,16938.0,4.0,0.0,3.0,2.0,1.0,5.0,1.0,3.0
2284,2309,178607.0,240319.0,237261.0,294786.0,480788.0,164067.0,73655.0,199040.0,5.0,9.0,9.0,9.0,7.0,6.0,3.0,6.0
2285,2310,47235.0,105583.0,44334.0,77172.0,235919.0,157678.0,161062.0,43376.0,2.0,4.0,2.0,4.0,10.0,8.0,8.0,6.0
2286,2311,19583.0,36671.0,30843.0,51480.0,0.0,7506.0,14021.0,19830.0,2.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0
2287,2312,0.0,15452.0,24856.0,160340.0,62300.0,9651.0,596102.0,129471.0,0.0,2.0,4.0,6.0,4.0,2.0,4.0,2.0
2288,2313,184806.0,180728.0,61913.0,294519.0,211333.0,272908.0,151546.0,40650.0,10.0,7.0,2.0,13.0,7.0,9.0,7.0,6.0
2289,2314,125014.0,226452.0,308642.0,290724.0,234675.0,205631.0,333161.0,91796.0,5.0,12.0,17.0,18.0,12.0,17.0,20.0,9.0
2290,2315,16237.0,15966.0,16778.0,217603.0,228566.0,69167.0,398684.0,88406.0,1.0,1.0,2.0,10.0,7.0,3.0,6.0,6.0
2291,2316,8660.0,58715.0,18077.0,118037.0,127834.0,2681.0,42796.0,40319.0,1.0,2.0,1.0,5.0,4.0,1.0,3.0,5.0
2292,2317,0.0,0.0,0.0,43454.0,46523.0,16086.0,18019.0,16524.0,0.0,0.0,0.0,9.0,9.0,3.0,3.0,4.0
2293,2318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2294,2319,132798.0,120521.0,350806.0,177988.0,264975.0,40749.0,411523.0,189209.0,5.0,3.0,9.0,9.0,6.0,5.0,9.0,8.0
2295,2320,5904.0,56141.0,100079.0,64545.0,252344.0,89754.0,270365.0,111138.0,1.0,6.0,5.0,8.0,11.0,7.0,14.0,14.0
2296,2321,31982.0,183458.0,0.0,88522.0,79283.0,92436.0,354534.0,167231.0,3.0,7.0,0.0,4.0,7.0,4.0,8.0,8.0
2297,2322,75575.0,11331.0,193197.0,3548.0,91933.0,180476.0,16442.0,39081.0,3.0,1.0,3.0,2.0,7.0,5.0,2.0,3.0
2298,2323,0.0,3708.0,0.0,0.0,0.0,6423.0,37109.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0
2299,2324,48730.0,0.0,22596.0,40176.0,13148.0,12332.0,56311.0,30984.0,1.0,0.0,1.0,10.0,6.0,2.0,3.0,3.0
2300,2325,17713.0,65409.0,58073.0,43899.0,190032.0,134261.0,131878.0,87744.0,2.0,9.0,6.0,7.0,8.0,15.0,17.0,13.0
2301,2326,18599.0,0.0,43047.0,94713.0,131529.0,169312.0,100290.0,68039.0,2.0,0.0,6.0,12.0,19.0,18.0,16.0,11.0
2302,2327,3838.0,25825.0,23895.0,0.0,73142.0,0.0,5068.0,59902.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,3.0
2303,2328,0.0,0.0,0.0,566422.0,6068.0,27023.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
2304,2329,10234.0,47899.0,357585.0,95778.0,66446.0,162995.0,47301.0,52053.0,1.0,2.0,8.0,4.0,4.0,5.0,2.0,3.0
2305,2330,0.0,30903.0,0.0,424076.0,0.0,40417.0,51739.0,4536.0,0.0,1.0,0.0,2.0,0.0,5.0,2.0,1.0
2306,2331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2307,2332,12153.0,8241.0,2825.0,11458.0,25809.0,0.0,10924.0,2479.0,3.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0
2308,2333,1658113.0,24217.0,36390.0,23058.0,9102.0,81605.0,498446.0,155597.0,10.0,5.0,4.0,2.0,1.0,2.0,11.0,14.0
2309,2334,0.0,103420.0,105185.0,8691.0,21238.0,126589.0,37898.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,3.0,0.0
2310,2335,75989.0,573242.0,60446.0,9578.0,101944.0,157249.0,52482.0,138396.0,4.0,7.0,4.0,1.0,5.0,6.0,3.0,8.0
2311,2336,9939.0,0.0,155574.0,4345.0,27307.0,0.0,18020.0,207882.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,6.0
2312,2337,0.0,11022.0,4519.0,7095.0,48039.0,27881.0,53608.0,33049.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,3.0
2313,2338,97127.0,232635.0,387637.0,120167.0,357817.0,360929.0,239324.0,744191.0,3.0,7.0,6.0,6.0,13.0,17.0,11.0,18.0
2314,2339,100865.0,111249.0,241282.0,327375.0,194343.0,534345.0,219502.0,338955.0,5.0,6.0,10.0,15.0,9.0,18.0,10.0,16.0
2315,2340,0.0,0.0,0.0,332873.0,61440.0,64340.0,0.0,32224.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0
2316,2341,0.0,0.0,0.0,35740.0,6978.0,55977.0,169949.0,16941.0,0.0,0.0,0.0,5.0,3.0,7.0,3.0,5.0
2317,2342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2318,2343,944694.0,813664.0,1566479.0,220734.0,426915.0,587308.0,925681.0,473105.0,48.0,29.0,17.0,15.0,18.0,14.0,18.0,21.0
2319,2344,0.0,13391.0,91855.0,45850.0,146949.0,282562.0,240787.0,27348.0,0.0,1.0,6.0,8.0,13.0,10.0,4.0,4.0
2320,2345,68195.0,19263.0,127317.0,390208.0,0.0,416819.0,164319.0,44037.0,4.0,2.0,9.0,5.0,0.0,11.0,18.0,4.0
2321,2346,136155.0,138609.0,0.0,45760.0,21441.0,124584.0,49441.0,30942.0,4.0,5.0,0.0,3.0,3.0,11.0,7.0,5.0
2322,2347,0.0,0.0,0.0,5321.0,0.0,20589.0,13965.0,27101.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2323,2348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
