,°í°´¹øÈ£,±â_ÃÑ±¸¸Å¾×1,±â_ÃÑ±¸¸Å¾×2,±â_ÃÑ±¸¸Å¾×3,±â_ÃÑ±¸¸Å¾×4,±â_ÃÑ±¸¸Å¾×5,±â_ÃÑ±¸¸Å¾×6,±â_ÃÑ±¸¸Å¾×7,±â_ÃÑ±¸¸Å¾×8
3260,3294,3,3,4,4,4,3,4,3
3261,3295,2,2,4,2,3,4,3,0
3262,3296,2,4,4,3,2,3,2,2
3263,3297,2,2,1,3,4,3,4,1
3264,3298,3,4,4,2,4,4,0,2
3265,3299,2,2,3,4,3,3,3,3
3266,3300,0,0,0,0,0,0,0,0
3267,3301,3,3,4,4,3,0,0,2
3268,3302,3,3,4,1,1,3,2,1
3269,3303,3,4,4,3,3,3,2,3
3270,3304,4,2,0,3,0,3,4,3
3271,3305,4,3,4,2,2,4,3,4
3272,3306,4,3,3,4,4,3,3,4
3273,3307,2,2,3,3,4,3,0,2
3274,3308,4,2,3,3,4,4,4,4
3275,3309,4,4,4,4,4,4,4,0
3276,3310,3,3,3,2,2,3,3,2
3277,3311,4,4,4,4,4,4,4,4
3278,3312,2,0,3,2,3,2,1,2
3279,3313,3,2,4,2,2,3,4,3
3280,3314,0,2,0,3,4,4,2,2
3281,3315,0,2,2,3,0,0,3,4
3282,3316,2,2,2,3,4,0,4,2
3283,3317,3,3,3,3,3,2,4,3
3284,3318,3,3,3,4,3,4,4,4
3285,3319,4,4,4,4,4,4,4,4
3286,3320,1,0,3,1,2,1,2,2
3287,3321,2,3,3,4,4,4,4,4
3288,3322,2,3,0,3,3,4,3,2
3289,3323,0,1,0,2,3,4,2,3
3290,3324,0,0,0,1,0,2,3,2
3291,3325,4,4,3,3,3,3,3,3
3292,3326,2,3,3,2,3,3,1,2
3293,3327,4,4,4,4,4,4,4,4
3294,3328,0,1,2,2,4,1,1,0
3295,3329,0,3,3,2,3,3,3,0
3296,3330,0,0,3,3,2,2,3,2
3297,3331,4,4,3,3,2,3,3,3
3298,3332,2,4,4,3,3,4,4,4
3299,3333,0,2,0,3,1,0,1,4
3300,3334,0,4,0,2,2,2,3,2
3301,3335,4,4,4,4,4,4,3,4
3302,3336,0,2,3,3,4,4,4,4
3303,3337,3,0,4,3,3,3,2,3
3304,3338,0,0,0,1,0,0,0,0
3305,3339,0,0,0,0,0,0,0,0
3306,3340,4,4,4,3,4,3,4,4
3307,3341,2,4,2,2,2,2,2,4
3308,3342,3,4,4,4,3,3,4,4
3309,3343,3,3,3,4,3,3,3,4
3310,3344,0,2,0,3,4,3,3,0
3311,3345,4,2,4,3,4,4,4,4
3312,3346,0,3,3,4,3,4,4,4
3313,3347,2,2,4,3,4,4,3,2
3314,3348,3,4,3,2,2,3,3,4
3315,3349,2,1,0,1,2,2,3,2
3316,3350,2,3,4,2,4,3,3,3
3317,3351,4,3,4,4,4,4,4,3
3318,3352,2,2,2,4,4,4,2,3
3319,3353,0,0,0,0,0,0,0,0
3320,3354,3,3,4,4,4,4,4,4
3321,3355,2,4,4,4,4,4,4,4
3322,3356,3,4,2,4,3,4,3,3
3323,3357,0,0,2,2,1,0,2,1
3324,3358,3,0,0,0,3,3,2,0
3325,3359,4,3,3,4,3,4,4,4
3326,3360,3,2,4,3,3,3,4,3
3327,3361,4,3,3,3,3,3,3,3
3328,3362,4,4,4,3,3,3,3,2
3329,3363,0,0,0,2,2,3,2,0
3330,3364,2,3,3,3,3,4,3,2
3331,3365,3,3,4,4,4,4,4,3
3332,3366,2,3,0,2,3,0,3,2
3333,3367,2,1,2,2,3,4,3,2
3334,3368,0,0,0,2,2,0,2,3
3335,3369,4,3,3,4,4,4,4,4
3336,3370,4,2,1,2,2,3,3,2
3337,3371,4,0,4,0,3,3,4,0
3338,3372,3,2,4,1,2,3,3,3
3339,3373,3,4,4,3,4,2,2,3
3340,3374,2,2,0,1,2,2,2,1
3341,3375,0,2,3,2,2,2,2,0
3342,3376,3,3,3,3,3,3,3,3
3343,3377,3,3,2,4,3,4,4,3
3344,3378,4,2,0,1,3,3,0,2
3345,3379,3,3,3,3,3,3,2,3
3346,3380,1,4,0,2,3,3,1,4
3347,3381,3,2,3,3,3,3,4,3
3348,3382,3,3,4,3,3,1,2,3
3349,3383,3,3,4,2,4,4,4,4
3350,3384,0,0,0,2,1,0,2,2
3351,3385,3,3,3,4,1,1,2,1
3352,3386,4,2,3,3,4,4,3,3
3353,3387,0,2,0,0,2,3,3,0
3354,3388,3,4,1,2,3,2,3,4
3355,3389,4,4,3,3,4,4,4,3
3356,3390,3,3,3,3,3,3,4,4
3357,3391,3,4,3,3,3,4,4,4
3358,3392,3,2,2,2,3,4,3,2
3359,3393,4,0,0,0,0,3,2,4
3360,3394,0,0,0,3,2,0,2,0
3361,3395,3,1,2,3,3,2,3,4
3362,3396,3,4,3,3,4,4,3,3
3363,3397,3,3,4,3,3,3,3,3
3364,3398,0,0,0,3,0,0,0,3
3365,3399,4,4,4,3,4,4,4,4
3366,3400,3,4,4,4,4,4,4,4
3367,3401,3,3,3,3,2,2,3,2
3368,3402,2,2,3,2,2,2,2,3
3369,3403,2,2,0,0,0,1,4,2
3370,3404,0,3,4,4,2,3,4,3
3371,3405,2,3,2,3,2,4,3,2
3372,3406,3,4,3,3,4,3,3,3
3373,3407,4,4,4,4,4,4,4,4
3374,3408,3,2,3,3,3,4,3,2
3375,3409,4,4,4,4,4,4,4,4
3376,3410,0,0,0,0,2,0,0,0
3377,3411,3,0,3,4,3,4,4,4
3378,3412,4,4,4,4,4,4,4,4
3379,3413,0,4,4,0,0,0,3,4
3380,3414,3,3,2,3,3,3,3,3
3381,3415,0,2,2,3,3,3,3,3
3382,3416,4,4,4,4,4,4,4,4
3383,3417,0,0,2,0,0,2,2,0
3384,3418,2,3,0,0,4,2,3,2
3385,3419,4,3,4,2,2,3,4,4
3386,3420,0,0,0,0,0,0,2,2
3387,3421,3,2,3,4,3,4,3,4
3388,3422,0,0,0,2,2,3,1,2
3389,3423,0,0,0,4,2,2,2,3
3390,3424,1,2,2,2,2,2,3,2
3391,3425,0,3,2,4,1,4,1,4
3392,3426,0,1,0,0,0,0,0,0
3393,3427,2,4,1,3,4,3,4,2
3394,3428,3,3,4,4,3,4,3,3
3395,3429,2,3,2,2,0,1,3,1
3396,3431,2,2,0,2,3,2,2,2
3397,3432,2,3,3,2,4,3,2,2
3398,3433,0,2,1,3,4,2,2,4
3399,3434,3,3,4,2,2,3,3,3
3400,3435,4,3,4,4,3,3,4,3
3401,3436,2,0,0,2,3,2,3,3
3402,3437,3,3,4,3,2,2,2,1
3403,3438,4,3,3,3,2,4,4,4
3404,3439,4,4,3,4,1,3,2,0
3405,3440,2,0,2,2,3,3,3,3
3406,3441,2,2,3,3,2,3,2,3
3407,3442,4,4,4,3,4,4,3,3
3408,3443,3,4,4,3,3,4,3,3
3409,3444,0,2,4,3,1,2,3,4
3410,3445,1,0,2,2,2,3,3,2
3411,3446,2,2,2,4,3,3,3,2
3412,3447,4,4,4,2,3,3,3,3
3413,3448,2,3,4,3,4,4,4,3
3414,3450,4,4,4,4,4,4,4,4
3415,3451,4,4,4,4,4,4,4,4
3416,3452,4,4,3,3,3,4,4,3
3417,3453,3,4,0,2,1,1,0,0
3418,3454,3,3,4,3,3,3,2,3
3419,3455,3,3,3,3,3,3,3,3
3420,3456,0,2,3,3,4,3,4,3
3421,3457,3,3,2,3,3,3,3,3
3422,3458,3,2,4,4,2,2,3,1
3423,3459,4,4,4,4,4,4,4,4
3424,3460,4,0,3,3,3,4,4,2
3425,3461,0,4,3,2,0,0,0,3
3426,3462,3,3,4,4,4,4,0,2
3427,3463,0,4,2,2,2,2,3,2
3428,3464,2,2,0,2,3,3,4,0
3429,3465,0,3,3,0,0,0,3,0
3430,3466,4,4,4,4,4,4,4,4
3431,3467,3,4,4,3,4,4,4,1
3432,3468,1,2,2,1,2,2,2,4
3433,3469,2,0,0,4,2,1,0,3
3434,3470,3,2,1,4,0,3,3,3
3435,3471,4,3,3,4,3,4,4,3
3436,3472,4,4,3,4,4,3,2,3
3437,3473,0,3,0,0,3,4,2,0
3438,3474,0,1,0,2,1,2,2,1
3439,3475,1,2,3,2,0,0,0,0
3440,3476,4,3,4,2,4,4,4,3
3441,3477,0,0,0,0,0,0,0,4
3442,3478,4,0,4,1,2,2,3,2
3443,3479,2,0,0,0,0,1,0,1
3444,3480,3,2,2,4,3,4,3,3
3445,3481,0,0,0,3,0,0,0,4
3446,3482,0,2,2,0,1,3,2,2
3447,3483,3,3,4,4,4,2,3,1
3448,3484,2,2,2,2,3,2,2,4
3449,3485,0,3,0,1,0,0,0,0
3450,3486,2,0,3,1,3,1,3,1
3451,3487,4,0,3,4,4,4,4,4
3452,3488,0,0,0,3,2,3,2,1
3453,3489,3,2,0,3,0,3,4,2
3454,3490,3,4,2,3,2,3,2,3
3455,3491,4,4,4,4,0,3,1,3
3456,3492,3,4,2,3,3,4,4,4
3457,3493,2,1,4,2,1,3,3,3
3458,3494,0,0,0,2,0,0,2,1
3459,3495,0,2,0,0,2,0,2,2
3460,3496,4,3,3,3,3,0,3,3
3461,3497,3,4,3,3,4,4,2,3
3462,3498,0,0,0,0,1,3,0,0
3463,3499,0,0,0,0,2,1,2,2
3464,3500,4,3,3,4,4,4,3,3
3465,3501,0,1,0,4,2,0,2,2
3466,3502,0,4,4,4,2,3,3,4
3467,3503,2,0,0,1,2,3,3,3
3468,3504,4,4,4,4,4,4,4,3
3469,3505,4,4,4,4,4,4,4,4
3470,3506,4,4,4,4,4,4,3,4
3471,3507,0,0,2,2,0,0,0,1
3472,3508,0,3,0,1,0,2,2,3
3473,3509,4,4,3,3,3,2,1,1
3474,3510,2,3,2,4,4,4,4,0
3475,3511,3,4,3,4,3,3,4,3
3476,3512,2,3,3,3,3,2,1,2
3477,3513,0,1,3,2,2,4,3,3
3478,3514,3,4,4,4,4,3,3,3
3479,3515,0,0,0,0,0,0,0,0
3480,3516,2,1,2,4,4,3,3,3
3481,3517,4,0,0,2,0,0,4,0
3482,3518,4,4,4,4,4,4,4,4
3483,3519,3,2,2,3,2,3,3,3
3484,3520,0,0,0,0,0,0,0,0
3485,3521,0,0,0,0,0,0,0,0
3486,3522,0,4,0,3,0,2,2,2
3487,3523,0,0,0,0,0,2,2,0
3488,3524,0,3,0,0,0,0,0,3
3489,3525,4,3,2,4,2,4,4,3
3490,3526,3,3,4,4,4,4,4,4
3491,3527,3,0,0,3,3,3,3,3
3492,3528,0,0,3,0,2,0,3,0
3493,3529,2,0,2,0,2,0,2,1
3494,3530,4,4,4,4,4,4,4,4
3495,3531,3,3,3,3,3,4,3,3
3496,3532,2,2,2,3,3,4,4,2
3497,3533,0,0,0,0,0,0,0,1
3498,3534,4,3,0,4,4,3,4,2
3499,3535,3,0,4,3,4,4,4,3
3500,3536,3,3,4,4,4,4,4,3
3501,3537,4,4,4,4,4,3,3,3
3502,3538,0,3,3,2,1,2,2,2
3503,3539,2,3,1,2,1,3,2,3
3504,3540,3,1,0,3,3,1,2,2
3505,3541,3,4,3,3,3,3,3,3
3506,3543,3,3,4,4,4,4,2,3
3507,3544,2,2,3,2,2,2,2,2
3508,3545,3,3,3,4,4,4,2,3
3509,3546,3,0,2,0,4,0,0,0
3510,3547,0,0,0,0,0,0,0,2
3511,3548,2,2,3,1,3,3,4,3
3512,3549,0,0,0,0,0,0,0,2
3513,3550,3,3,3,3,3,2,0,2
3514,3551,2,3,3,4,4,4,2,3
3515,3552,3,3,3,3,4,4,4,3
3516,3553,0,0,4,4,4,4,4,3
3517,3554,0,4,0,0,4,4,4,0
3518,3555,4,4,4,3,3,2,2,3
3519,3556,0,2,3,2,0,2,3,0
3520,3557,0,2,3,3,2,3,2,1
3521,3558,4,3,2,0,2,3,1,2
3522,3559,3,0,0,4,3,2,4,3
3523,3560,1,2,2,2,4,2,0,2
3524,3561,0,0,0,2,3,2,3,2
3525,3562,4,4,4,4,3,4,3,3
3526,3563,3,0,2,1,0,3,2,2
3527,3564,2,3,0,3,3,4,3,3
3528,3565,4,3,0,3,3,3,4,3
3529,3566,4,4,4,4,4,4,3,3
3530,3567,0,1,0,2,2,3,1,2
3531,3568,2,0,2,3,3,3,2,3
3532,3569,2,3,2,2,3,3,4,2
3533,3570,0,0,0,0,0,0,0,0
3534,3571,3,0,0,2,4,3,3,2
3535,3572,2,0,3,3,2,2,2,1
3536,3573,0,0,0,0,0,0,0,0
3537,3574,3,4,3,0,2,2,0,2
3538,3575,3,3,4,3,4,4,4,4
3539,3576,3,4,4,4,4,4,3,4
3540,3577,2,2,0,2,2,3,3,1
3541,3578,4,2,2,4,2,4,0,0
3542,3579,0,0,2,1,4,3,4,3
3543,3580,3,3,3,4,2,2,3,4
3544,3581,1,4,2,2,2,0,1,4
3545,3582,3,0,2,4,4,3,4,2
3546,3583,3,2,2,1,2,3,0,1
3547,3584,0,0,3,4,3,1,2,3
3548,3585,2,4,0,1,2,2,2,4
3549,3586,3,2,2,2,2,3,3,3
3550,3587,2,3,2,3,2,3,3,2
3551,3588,0,1,0,2,1,3,3,3
3552,3589,4,4,3,4,2,3,2,1
3553,3590,4,0,2,3,3,3,3,3
3554,3591,2,4,4,4,4,4,4,4
3555,3592,2,2,3,2,3,4,3,2
3556,3593,4,4,2,3,2,4,4,4
3557,3594,4,4,4,4,4,4,4,3
3558,3595,3,3,4,3,4,2,2,2
3559,3596,2,0,0,0,3,0,0,0
3560,3597,4,2,3,3,4,4,4,2
3561,3598,0,0,0,0,0,0,0,0
3562,3599,2,2,1,4,3,3,2,3
3563,3600,2,2,0,0,3,2,3,3
3564,3601,2,3,2,3,3,0,2,3
3565,3602,0,0,0,0,0,1,0,1
3566,3603,4,2,0,2,0,0,0,0
3567,3604,2,2,0,0,1,1,1,2
3568,3605,2,1,1,1,3,4,0,0
3569,3606,0,0,0,3,3,0,0,0
3570,3607,3,2,3,3,2,3,3,1
3571,3608,0,0,0,0,3,1,1,1
3572,3609,1,2,3,3,0,4,3,4
3573,3610,4,2,3,4,4,4,3,3
3574,3611,0,0,2,2,2,2,1,2
3575,3612,0,1,1,0,2,3,0,3
3576,3613,0,2,0,2,3,2,4,1
3577,3614,4,4,4,4,4,4,4,4
3578,3615,0,0,0,0,0,0,0,0
3579,3616,4,3,0,4,4,2,3,4
3580,3617,1,0,0,3,0,3,2,1
3581,3618,0,0,0,0,0,3,0,0
3582,3619,3,2,4,4,4,4,4,3
3583,3620,2,2,0,0,0,4,0,0
3584,3621,2,3,4,3,3,4,4,3
3585,3622,0,0,0,0,0,0,0,0
3586,3623,2,2,2,3,4,4,3,4
3587,3624,3,3,3,3,3,3,4,4
3588,3625,3,3,2,4,4,2,4,2
3589,3626,0,0,2,3,4,2,2,4
3590,3627,0,0,0,3,4,2,3,3
3591,3628,2,2,0,0,0,0,0,2
3592,3629,2,3,4,3,2,2,3,2
3593,3630,1,3,4,3,3,4,4,3
3594,3631,3,4,4,4,4,4,4,3
3595,3632,3,1,4,4,4,3,2,3
3596,3633,3,0,2,2,3,3,2,0
3597,3634,2,2,0,2,4,3,3,3
3598,3635,2,2,2,2,3,4,4,2
3599,3636,4,4,4,4,4,4,4,4
3600,3637,4,4,4,4,3,3,4,3
3601,3638,0,0,0,2,2,1,2,0
3602,3639,3,0,2,0,0,3,4,0
3603,3640,0,0,0,0,0,2,2,0
3604,3641,4,4,4,4,4,4,4,4
3605,3642,0,0,0,0,2,0,2,2
3606,3643,0,0,0,0,0,0,0,0
3607,3644,2,3,4,4,4,4,4,3
3608,3645,4,3,3,3,2,4,4,3
3609,3646,0,3,4,2,2,3,3,0
3610,3647,2,3,0,4,3,1,4,4
3611,3648,2,3,3,4,4,3,3,3
3612,3649,0,2,3,2,3,2,4,4
3613,3650,0,0,4,2,3,3,0,2
3614,3651,1,0,0,4,1,4,4,2
3615,3652,2,2,0,2,1,4,2,4
3616,3653,3,3,1,2,3,3,3,2
3617,3654,3,4,3,3,3,3,3,3
3618,3655,4,4,4,4,4,4,4,3
3619,3656,1,4,4,3,2,1,3,2
3620,3657,3,3,4,4,3,3,4,4
3621,3658,3,4,3,4,4,4,1,0
3622,3659,3,4,2,1,2,2,3,1
3623,3660,0,0,0,0,0,1,0,1
3624,3661,3,3,0,3,4,3,4,3
3625,3662,4,3,3,3,2,2,2,1
3626,3663,0,0,2,3,3,4,3,3
3627,3664,4,2,4,3,2,4,4,4
3628,3665,3,4,3,3,3,4,3,3
3629,3666,2,2,0,3,3,3,4,2
3630,3667,3,3,4,4,2,3,4,2
3631,3668,2,3,1,3,2,0,4,0
3632,3669,0,0,2,0,2,1,3,0
3633,3670,2,0,2,0,2,2,2,2
3634,3671,0,0,0,0,0,0,0,0
3635,3672,3,3,1,2,2,3,3,3
3636,3673,1,3,0,2,3,0,4,0
3637,3674,4,4,4,3,3,3,2,4
3638,3675,1,0,0,0,0,0,0,0
3639,3676,4,4,4,4,4,4,4,4
3640,3677,3,3,4,3,2,3,3,2
3641,3678,0,3,2,2,2,3,3,2
3642,3679,3,3,3,2,3,3,0,3
3643,3680,0,0,0,0,4,2,0,0
3644,3681,1,2,3,2,0,4,0,2
3645,3682,3,3,4,4,4,4,4,4
3646,3683,4,4,4,4,4,4,4,4
3647,3684,2,0,0,0,0,0,4,1
3648,3685,1,2,2,2,0,0,0,3
3649,3686,3,3,4,3,3,3,4,4
3650,3687,0,0,0,3,2,3,2,2
3651,3688,3,2,2,3,2,0,3,1
3652,3689,3,0,3,1,3,2,2,2
3653,3690,4,4,3,4,3,3,4,1
3654,3691,0,0,3,2,2,2,0,2
3655,3692,0,0,0,2,2,3,3,3
3656,3693,4,4,3,3,3,4,4,4
3657,3694,0,3,0,3,2,2,3,0
3658,3695,3,3,3,3,3,2,3,4
3659,3696,0,0,0,0,1,1,2,3
3660,3697,2,3,2,0,0,3,3,2
3661,3698,3,4,3,4,2,4,4,3
3662,3699,4,4,4,4,4,4,4,4
3663,3700,3,4,3,3,2,3,2,3
3664,3701,0,0,0,0,0,0,2,2
3665,3702,2,3,4,4,3,4,4,4
3666,3703,2,0,0,4,3,3,3,3
3667,3704,4,3,3,2,4,4,4,3
3668,3706,3,2,3,3,3,2,3,3
3669,3707,4,2,0,2,0,2,1,4
3670,3708,0,2,0,2,3,4,3,2
3671,3709,4,0,0,4,0,0,0,0
3672,3710,4,4,4,4,4,4,3,3
3673,3711,4,4,4,4,2,4,4,3
3674,3712,0,1,2,1,3,3,4,3
3675,3713,2,1,2,2,3,2,3,3
3676,3714,4,4,4,4,4,3,4,4
3677,3715,0,4,0,2,1,2,3,1
3678,3716,0,4,4,0,1,0,0,0
3679,3717,2,0,3,0,2,2,2,2
3680,3718,0,0,0,0,0,4,0,0
3681,3719,3,4,3,2,4,3,2,3
3682,3720,0,2,2,2,4,2,3,3
3683,3721,3,3,4,3,3,2,2,3
3684,3722,0,0,0,2,4,0,2,3
3685,3723,2,3,3,3,2,3,3,0
3686,3724,2,2,0,0,2,2,2,2
3687,3725,2,2,3,3,3,4,2,3
3688,3726,4,4,4,4,4,4,4,4
3689,3727,0,0,4,1,0,0,4,0
3690,3728,4,1,3,3,2,3,2,1
3691,3729,2,3,3,3,3,3,3,4
3692,3730,0,2,2,2,2,2,0,1
3693,3731,3,4,2,1,2,3,2,2
3694,3732,0,2,2,2,2,2,2,0
3695,3733,0,0,3,0,2,3,1,1
3696,3734,0,0,0,2,2,2,2,2
3697,3735,4,2,1,4,3,3,3,4
3698,3736,1,2,0,2,3,1,2,1
3699,3737,4,4,3,3,4,4,4,3
3700,3738,2,2,0,3,0,2,2,2
3701,3739,2,4,4,4,4,4,4,4
3702,3740,3,4,3,2,2,2,4,2
3703,3741,0,1,2,0,2,0,3,2
3704,3742,4,3,0,4,4,3,4,4
3705,3743,3,2,3,3,2,2,4,3
3706,3744,3,3,3,4,4,4,3,3
3707,3745,3,3,3,3,3,4,3,4
3708,3746,0,0,2,0,0,0,0,0
3709,3747,4,4,4,4,4,4,4,4
3710,3748,0,4,4,4,3,4,3,4
3711,3749,0,3,3,3,2,0,2,1
3712,3750,0,0,0,0,0,0,0,0
3713,3751,3,0,4,2,4,2,4,2
3714,3752,0,0,3,3,3,3,3,0
3715,3754,3,3,3,3,3,2,4,3
3716,3755,4,4,4,4,4,4,4,4
3717,3756,4,4,4,3,4,3,4,3
3718,3757,0,0,0,0,3,3,4,4
3719,3758,3,0,0,3,2,1,2,1
3720,3759,0,4,0,2,2,4,0,2
3721,3760,3,3,4,3,3,4,2,1
3722,3761,2,2,2,0,3,0,2,2
3723,3762,3,4,4,2,4,4,4,4
3724,3763,3,0,0,2,2,3,3,2
3725,3764,0,3,3,2,2,2,2,3
3726,3765,4,4,4,4,4,4,4,4
3727,3766,0,0,0,0,0,0,0,0
3728,3767,0,0,0,0,0,0,0,0
3729,3768,2,2,1,3,3,3,4,0
3730,3769,1,2,0,3,4,3,4,4
3731,3770,2,2,3,3,3,4,4,3
3732,3771,3,4,3,4,3,4,4,4
3733,3772,0,0,2,3,0,0,0,0
3734,3773,3,2,4,3,3,3,0,2
3735,3774,3,3,3,4,3,4,3,3
3736,3775,0,0,0,0,0,0,0,0
3737,3776,0,0,0,2,1,3,2,2
3738,3777,3,3,3,0,1,2,2,0
3739,3778,2,2,3,2,2,3,2,2
3740,3779,0,1,1,2,2,2,3,3
3741,3780,2,2,0,3,0,0,2,0
3742,3781,4,4,4,3,4,4,0,4
3743,3782,3,2,2,4,4,4,4,4
3744,3783,0,4,4,3,1,2,4,2
3745,3784,4,1,2,3,4,3,4,4
3746,3785,1,2,2,2,2,2,3,2
3747,3786,2,4,4,3,4,3,3,4
3748,3787,2,4,3,4,3,4,4,3
3749,3788,4,4,4,4,4,4,4,4
3750,3789,4,4,4,4,4,4,4,4
3751,3790,0,0,0,3,0,2,2,3
3752,3791,4,4,4,4,4,4,4,4
3753,3792,0,0,0,2,2,2,3,3
3754,3793,0,0,0,0,0,0,0,0
3755,3794,4,2,0,4,2,2,3,0
3756,3795,4,3,4,3,4,4,3,4
3757,3796,1,4,4,4,2,4,4,4
3758,3797,3,3,3,4,3,4,4,4
3759,3798,2,3,3,3,3,2,3,3
3760,3799,4,2,3,4,2,3,2,4
3761,3800,3,3,2,1,3,3,3,4
3762,3801,1,2,3,3,3,3,0,2
3763,3802,1,2,1,3,3,4,4,4
3764,3803,0,0,0,0,0,0,0,0
3765,3804,3,0,0,1,3,2,3,2
3766,3805,4,4,4,4,4,4,4,4
3767,3806,0,4,3,2,0,2,0,0
3768,3807,2,2,2,2,2,4,4,2
3769,3808,0,0,0,0,0,0,0,0
3770,3809,3,3,3,2,4,4,4,3
3771,3810,0,0,0,0,0,0,0,0
3772,3811,2,4,2,4,3,4,4,4
3773,3812,3,4,3,4,4,4,3,3
3774,3813,2,3,2,0,3,4,4,3
3775,3814,4,3,3,3,3,3,4,3
3776,3815,0,0,0,0,0,2,0,0
3777,3816,3,4,4,4,4,3,2,4
3778,3817,0,2,2,1,2,2,2,1
3779,3818,4,3,3,4,4,3,3,4
3780,3819,2,3,4,4,4,4,3,3
3781,3820,0,0,2,0,0,2,0,0
3782,3821,0,0,0,2,0,0,0,0
3783,3822,3,0,3,3,3,4,4,4
3784,3823,0,3,2,3,3,3,2,2
3785,3824,2,2,0,0,0,2,3,3
3786,3825,3,2,2,3,4,4,4,3
3787,3826,4,4,4,3,4,4,3,4
3788,3827,3,4,4,3,3,3,4,3
3789,3828,2,3,3,3,4,4,3,3
3790,3829,0,2,0,3,4,3,2,2
3791,3830,0,0,0,2,1,2,1,2
3792,3831,2,3,2,2,0,0,3,1
3793,3832,4,3,4,3,4,4,4,3
3794,3833,0,4,0,4,0,0,2,1
3795,3834,0,1,0,3,4,2,3,2
3796,3835,3,4,4,4,4,4,3,2
3797,3836,4,4,3,3,3,3,2,3
3798,3837,3,0,3,2,3,4,4,4
3799,3838,0,0,0,0,0,0,1,0
3800,3839,4,4,4,3,3,4,3,3
3801,3840,3,4,3,3,3,0,2,3
3802,3841,3,3,4,4,3,2,2,3
3803,3842,0,0,0,0,2,3,3,2
3804,3843,0,0,0,0,0,2,0,0
3805,3844,0,0,0,0,0,0,0,0
3806,3845,0,0,0,0,2,0,0,0
3807,3846,4,4,0,2,4,4,4,4
3808,3847,1,3,4,3,3,2,4,4
3809,3848,3,0,0,1,2,1,2,1
3810,3849,2,0,4,3,3,2,3,4
3811,3850,0,0,2,2,2,2,2,3
3812,3851,4,4,4,4,4,4,4,4
3813,3852,4,4,3,3,3,4,4,3
3814,3853,0,2,0,2,3,1,2,2
3815,3854,3,0,2,3,4,3,2,2
3816,3855,2,0,0,2,3,3,4,3
3817,3856,0,0,0,1,2,1,2,0
3818,3857,4,4,4,4,3,4,4,3
3819,3858,0,0,1,2,3,4,1,0
3820,3859,4,2,3,3,4,4,4,4
3821,3860,4,3,3,3,3,3,3,2
3822,3861,3,4,4,4,4,4,4,4
3823,3862,3,3,4,3,3,3,3,4
3824,3863,4,0,0,0,4,1,0,0
3825,3864,0,2,0,2,4,3,3,3
3826,3865,4,2,4,4,4,4,4,4
3827,3866,3,2,3,3,3,4,4,4
3828,3867,2,0,0,0,0,0,0,1
3829,3868,4,4,3,4,3,3,3,4
3830,3869,3,3,4,3,3,4,2,2
3831,3870,0,0,0,0,2,2,2,1
3832,3871,0,0,0,1,2,0,0,0
3833,3872,3,2,2,3,4,4,4,4
3834,3873,3,3,3,3,3,4,3,2
3835,3874,3,3,3,3,4,4,3,4
3836,3875,0,2,2,4,2,0,2,4
3837,3876,0,3,4,4,4,4,4,4
3838,3877,2,4,3,4,4,4,4,3
3839,3878,0,3,2,2,4,3,3,3
3840,3879,3,4,4,3,4,4,4,3
3841,3880,3,0,3,2,4,4,1,4
3842,3881,4,4,4,4,4,4,4,4
3843,3882,4,4,4,4,4,4,4,4
3844,3883,1,2,3,2,3,3,3,4
3845,3884,0,0,0,0,0,2,0,0
3846,3885,2,2,3,3,3,3,3,3
3847,3886,2,0,3,2,2,0,2,3
3848,3887,3,2,2,2,2,2,0,2
3849,3888,4,2,2,4,4,3,3,4
3850,3889,0,0,0,0,0,0,0,0
3851,3890,3,3,4,4,4,4,3,3
3852,3891,4,2,4,4,1,2,2,2
3853,3892,3,3,4,4,4,4,4,4
3854,3893,0,2,2,2,2,3,3,0
3855,3894,2,3,2,4,4,3,4,3
3856,3895,3,3,4,2,4,3,2,4
3857,3896,4,4,4,4,4,4,3,4
3858,3897,0,0,0,0,2,1,1,1
3859,3898,4,4,4,4,1,3,4,2
3860,3899,4,2,4,3,4,3,3,4
3861,3900,2,0,0,3,3,4,3,2
3862,3901,0,0,0,4,2,2,2,3
3863,3902,0,0,4,4,4,4,4,4
3864,3903,0,0,0,0,0,3,0,2
3865,3904,2,2,2,3,3,2,4,4
3866,3905,3,3,4,4,4,3,4,2
3867,3906,3,3,3,3,2,3,3,1
3868,3907,0,0,0,2,3,3,3,3
3869,3908,3,4,3,4,3,4,4,3
3870,3909,2,3,3,3,3,3,2,3
3871,3910,1,0,0,3,0,2,2,0
3872,3911,3,3,4,2,3,3,3,2
3873,3912,4,0,2,4,2,3,0,0
3874,3913,0,2,4,2,4,4,4,3
3875,3914,0,0,0,0,0,0,1,0
3876,3915,2,3,3,1,3,3,3,2
3877,3916,3,4,4,2,4,3,3,3
3878,3917,0,0,0,2,0,0,0,0
3879,3918,3,3,2,0,3,2,1,2
3880,3919,4,2,3,3,3,4,4,4
3881,3920,2,0,2,3,3,2,0,2
3882,3921,4,4,4,4,2,0,2,2
3883,3922,4,3,4,4,4,3,4,2
3884,3923,0,2,0,3,3,3,3,3
3885,3924,1,2,3,4,4,2,4,2
3886,3925,1,0,1,3,2,3,2,2
3887,3926,2,0,2,3,2,2,2,2
