,°í°´¹øÈ£,¼±_ÃÑ±¸¸Å¾×1,¼±_ÃÑ±¸¸Å¾×2,¼±_ÃÑ±¸¸Å¾×3,¼±_ÃÑ±¸¸Å¾×4,¼±_ÃÑ±¸¸Å¾×5,¼±_ÃÑ±¸¸Å¾×6,¼±_ÃÑ±¸¸Å¾×7,¼±_ÃÑ±¸¸Å¾×8
5528,5584,4,4,4,4,4,4,4,4
5529,5585,1,1,1,3,0,1,1,2
5530,5586,1,0,1,1,1,1,1,1
5531,5587,1,1,2,1,1,2,2,2
5532,5588,1,1,1,1,0,0,0,0
5533,5589,3,4,3,3,4,4,3,4
5534,5590,4,4,4,4,4,4,4,4
5535,5591,3,2,1,2,2,1,2,2
5536,5592,4,4,4,4,4,4,4,4
5537,5593,3,4,4,4,3,4,4,4
5538,5594,4,4,4,4,4,4,4,4
5539,5595,2,1,2,1,1,1,1,1
5540,5596,3,4,3,3,4,4,4,3
5541,5597,2,3,3,3,3,4,3,4
5542,5598,3,3,3,4,4,4,4,4
5543,5599,1,0,1,1,1,1,1,1
5544,5600,1,1,2,2,0,1,0,1
5545,5601,4,3,4,4,4,4,4,2
5546,5602,4,3,3,4,4,4,4,3
5547,5603,1,1,1,1,1,2,1,2
5548,5604,1,2,1,2,1,1,1,2
5549,5605,2,2,1,1,3,2,1,2
5550,5606,4,4,4,4,4,4,4,3
5551,5607,3,3,3,4,3,3,3,4
5552,5608,0,0,1,0,0,0,1,1
5553,5609,4,4,4,4,4,4,4,4
5554,5611,3,2,2,1,2,2,2,2
5555,5612,3,3,3,3,2,3,3,3
5556,5613,1,1,1,2,1,2,1,1
5557,5614,2,1,2,2,2,2,2,1
5558,5615,3,3,2,2,1,3,3,0
5559,5616,4,3,3,3,4,4,4,3
5560,5617,4,4,4,4,4,4,4,4
5561,5618,2,2,2,1,1,2,2,2
5562,5619,4,4,4,3,4,4,4,3
5563,5620,1,1,2,2,1,2,2,1
5564,5621,3,3,3,3,3,3,3,3
5565,5622,2,3,3,3,3,3,2,4
5566,5623,4,4,4,4,4,4,4,4
5567,5624,4,4,4,4,4,4,4,4
5568,5625,0,1,2,1,1,3,2,2
5569,5626,1,1,1,1,1,1,1,1
5570,5627,4,2,2,3,1,3,3,2
5571,5628,2,2,1,2,2,1,0,2
5572,5629,4,4,4,3,3,3,3,3
5573,5630,4,4,4,4,4,4,4,4
5574,5631,2,3,3,3,2,3,3,3
5575,5632,3,3,3,2,3,3,3,3
5576,5633,2,2,3,2,3,1,2,2
5577,5634,4,3,4,3,3,4,3,3
5578,5635,1,1,0,2,0,0,1,1
5579,5636,3,3,3,4,3,3,4,3
5580,5637,3,4,3,3,3,3,4,4
5581,5638,3,4,3,4,4,4,4,4
5582,5639,4,4,4,4,2,4,4,4
5583,5640,1,1,2,1,1,1,1,1
5584,5641,2,2,2,3,1,2,2,2
5585,5642,4,4,4,4,4,4,4,4
5586,5643,4,4,4,4,4,4,4,4
5587,5644,4,4,4,4,4,4,3,3
5588,5645,4,4,4,4,4,4,4,4
5589,5646,2,2,3,3,2,3,2,2
5590,5647,4,3,3,4,3,3,3,4
5591,5648,4,4,4,4,4,4,3,4
5592,5649,3,2,2,3,2,3,2,2
5593,5650,1,1,1,1,3,2,1,1
5594,5651,4,4,3,4,4,4,3,3
5595,5652,2,3,3,3,4,3,2,3
5596,5653,2,2,3,2,1,2,2,1
5597,5654,2,3,3,3,3,3,3,3
5598,5655,3,3,3,3,3,3,3,3
5599,5656,3,1,0,2,1,1,0,1
5600,5657,4,4,3,4,4,3,3,3
5601,5658,4,4,4,4,4,4,4,4
5602,5659,1,1,1,0,1,0,1,0
5603,5660,1,2,1,1,1,3,2,2
5604,5661,3,4,3,3,4,3,3,3
5605,5662,2,3,3,4,4,3,3,3
5606,5663,3,4,4,4,4,4,4,4
5607,5664,4,4,4,4,3,4,4,3
5608,5665,1,1,1,1,1,2,1,1
5609,5666,4,3,3,3,2,2,2,3
5610,5667,3,3,2,3,2,3,3,2
5611,5668,1,1,3,3,0,3,0,1
5612,5669,4,4,4,2,4,2,2,3
5613,5670,4,4,4,4,4,4,3,4
5614,5671,4,4,4,4,4,4,2,4
5615,5672,1,1,2,3,2,1,2,1
5616,5673,1,3,4,4,2,3,3,3
5617,5674,2,2,2,1,2,2,2,3
5618,5675,1,2,0,1,1,1,2,1
5619,5676,2,2,2,3,1,1,3,3
5620,5677,0,0,0,0,1,1,0,1
5621,5678,4,4,4,3,3,3,4,3
5622,5679,4,4,4,4,4,4,4,3
5623,5680,3,2,3,3,3,3,2,3
5624,5681,4,4,4,4,4,4,4,4
5625,5682,4,3,3,4,4,3,3,4
5626,5683,4,4,4,4,4,4,4,4
5627,5684,2,1,2,2,1,2,1,2
5628,5685,2,1,2,1,3,2,2,2
5629,5686,4,4,4,4,4,4,4,4
5630,5687,4,4,4,4,3,4,3,3
5631,5688,2,2,2,2,3,2,2,2
5632,5689,3,3,2,3,2,3,3,3
5633,5690,4,3,4,4,4,4,3,3
5634,5691,4,4,4,4,4,4,4,4
5635,5692,3,2,2,1,1,1,2,1
5636,5693,3,4,3,4,4,4,3,4
5637,5694,3,3,4,4,3,4,4,3
5638,5695,3,3,3,3,3,3,2,3
5639,5696,3,3,3,2,3,3,2,3
5640,5697,4,4,4,4,4,4,4,4
5641,5698,4,4,4,4,4,4,4,4
5642,5699,3,4,3,4,4,4,4,4
5643,5700,2,2,2,2,2,1,2,2
5644,5701,2,3,3,3,3,3,2,2
5645,5702,4,4,4,4,4,4,4,4
5646,5703,3,3,3,4,3,4,4,3
5647,5705,3,3,2,3,2,3,2,2
5648,5706,2,1,1,1,2,2,1,1
5649,5707,4,4,4,4,4,4,3,4
5650,5708,4,4,4,4,4,4,4,4
5651,5709,2,1,1,1,0,0,1,1
5652,5710,3,3,3,3,4,4,3,3
5653,5711,3,3,3,4,4,3,3,3
5654,5712,3,3,3,3,2,3,3,3
5655,5713,3,4,3,4,4,3,3,3
5656,5714,2,0,1,2,1,2,0,2
5657,5715,4,4,4,4,4,4,3,4
5658,5716,4,4,4,4,2,4,4,3
5659,5717,4,4,3,4,4,2,4,3
5660,5718,2,2,0,1,2,2,3,2
5661,5719,1,2,2,1,2,2,1,1
5662,5720,2,2,1,1,2,1,2,2
5663,5721,3,3,3,3,3,3,3,3
5664,5722,3,3,2,2,2,3,3,3
5665,5723,3,1,1,3,1,1,0,3
5666,5724,3,4,4,4,3,4,3,4
5667,5725,4,4,4,4,4,4,4,4
5668,5726,4,4,4,4,4,4,4,4
5669,5727,3,4,4,4,4,4,4,4
5670,5728,2,2,2,2,2,2,2,2
5671,5729,2,2,1,2,3,1,2,1
5672,5730,3,3,3,3,3,3,4,4
5673,5731,4,3,3,3,3,4,3,4
5674,5732,2,2,3,3,2,2,2,2
5675,5733,1,1,1,2,1,2,1,1
5676,5734,1,1,2,2,2,1,0,2
5677,5735,1,1,1,1,1,1,2,0
5678,5736,4,4,3,4,4,4,3,2
5679,5737,2,2,2,2,1,2,2,1
5680,5738,2,3,2,2,2,2,3,2
5681,5739,4,4,4,4,3,3,4,4
5682,5740,4,4,4,4,4,4,4,4
5683,5741,1,1,1,2,2,1,2,1
5684,5742,3,4,3,4,3,4,3,3
5685,5743,2,3,1,3,2,2,2,2
5686,5744,3,3,3,3,3,3,3,3
5687,5745,3,2,2,2,2,2,1,2
5688,5746,3,3,3,3,3,3,4,3
5689,5747,4,4,4,4,4,4,4,4
5690,5748,2,1,1,1,2,1,1,1
5691,5749,1,2,1,2,1,1,1,1
5692,5750,3,3,2,2,1,2,3,2
5693,5751,4,4,4,4,4,4,4,4
5694,5752,3,3,3,3,3,3,3,3
5695,5753,4,4,3,3,4,4,3,3
5696,5754,4,4,4,4,4,4,4,4
5697,5755,1,1,1,2,3,1,1,2
5698,5756,1,2,2,2,2,2,2,2
5699,5757,2,3,3,3,3,1,2,4
5700,5758,2,2,1,2,2,3,3,2
5701,5759,3,4,3,3,4,4,4,4
5702,5760,4,4,4,4,4,4,4,4
5703,5761,3,3,3,4,2,3,3,4
5704,5762,4,4,4,4,4,4,4,4
5705,5763,1,2,2,2,2,2,2,2
5706,5764,1,1,1,1,1,0,1,0
5707,5765,1,1,1,2,3,1,2,2
5708,5766,2,3,1,1,1,1,1,0
5709,5767,3,3,2,2,2,2,2,2
5710,5768,3,4,4,4,4,3,3,3
5711,5769,0,1,0,2,0,0,1,0
5712,5770,4,4,4,4,4,4,4,4
5713,5771,1,0,1,0,0,2,2,1
5714,5772,2,1,3,2,2,2,2,2
5715,5773,2,2,3,3,2,3,3,2
5716,5775,3,3,3,3,3,3,3,3
5717,5776,2,1,1,1,2,0,0,2
5718,5777,2,2,2,2,2,2,2,2
5719,5778,2,2,2,2,2,2,1,1
5720,5780,2,2,1,1,2,2,1,2
5721,5781,4,3,3,3,3,3,3,3
5722,5782,2,3,3,3,3,3,3,3
5723,5783,2,2,3,3,3,2,3,2
5724,5784,4,4,4,4,4,3,3,4
5725,5785,2,2,2,1,0,1,2,1
5726,5786,2,3,1,3,1,3,1,2
5727,5787,4,4,4,4,4,4,3,4
5728,5788,2,1,1,1,1,1,2,0
5729,5789,3,3,3,3,2,3,2,2
5730,5790,3,3,3,3,3,3,3,3
5731,5791,4,4,4,4,4,4,4,4
5732,5792,4,4,4,4,4,4,3,4
5733,5793,4,4,4,4,4,4,4,4
5734,5794,4,4,4,4,4,4,4,3
5735,5795,0,0,3,0,3,1,2,1
5736,5796,2,2,2,1,2,2,2,2
5737,5797,4,4,4,4,4,4,4,4
5738,5798,3,2,2,2,2,2,2,2
5739,5799,1,2,1,2,2,2,3,2
5740,5800,1,2,2,1,2,2,2,1
5741,5801,3,2,3,3,2,3,3,3
5742,5802,0,0,1,1,1,1,1,1
5743,5803,3,2,3,2,2,3,2,2
5744,5804,3,4,4,4,4,3,4,4
5745,5805,1,1,1,2,1,1,3,2
5746,5806,0,0,0,0,1,1,1,1
5747,5807,3,4,3,4,4,4,3,3
5748,5808,4,3,3,3,4,4,4,4
5749,5809,2,3,2,2,2,2,2,2
5750,5810,4,4,4,4,4,4,4,4
5751,5811,3,3,3,4,4,4,4,4
5752,5812,2,3,2,2,1,1,0,2
5753,5813,4,3,3,4,4,4,4,4
5754,5814,4,4,4,4,4,4,4,4
5755,5815,0,1,0,0,0,1,1,0
5756,5816,3,4,4,3,4,4,4,4
5757,5817,4,4,4,4,3,3,4,3
5758,5818,1,1,2,2,2,2,2,2
5759,5819,4,4,3,4,3,3,4,4
5760,5820,4,3,4,3,4,4,4,4
5761,5821,1,1,1,1,1,2,1,1
5762,5822,2,2,2,2,2,1,1,2
5763,5823,4,4,4,4,4,4,4,4
5764,5824,4,4,4,4,4,4,4,4
5765,5825,4,4,4,4,4,4,4,4
5766,5826,4,3,2,3,4,3,3,3
5767,5827,3,3,3,3,3,3,2,3
5768,5828,3,4,3,3,3,4,3,3
5769,5829,4,4,4,4,4,4,4,4
5770,5830,4,4,4,4,4,4,4,4
5771,5831,3,3,2,3,3,2,3,2
5772,5832,2,2,2,2,3,3,3,2
5773,5833,3,2,3,3,2,3,2,3
5774,5834,2,2,3,3,2,2,3,3
5775,5835,4,4,4,4,4,4,4,2
5776,5836,0,1,1,2,0,2,1,2
5777,5837,2,2,2,3,1,3,2,3
5778,5838,4,2,2,1,1,2,2,1
5779,5839,3,4,3,3,4,4,4,4
5780,5840,2,2,2,3,3,3,3,2
5781,5841,3,3,4,3,2,3,4,2
5782,5842,4,4,4,4,4,4,3,3
5783,5843,0,0,2,1,1,3,2,2
5784,5844,3,2,3,2,2,2,2,1
5785,5845,2,1,0,2,2,3,2,3
5786,5846,4,4,4,4,4,4,4,4
5787,5847,4,4,4,4,4,4,4,4
5788,5848,3,4,2,3,2,4,2,3
5789,5849,3,3,3,3,2,2,1,2
5790,5850,4,4,4,4,4,3,4,3
5791,5851,4,4,4,4,4,4,3,4
5792,5852,4,4,4,4,3,3,4,3
5793,5853,3,4,4,4,4,4,3,3
5794,5854,2,2,2,2,2,1,2,2
5795,5855,2,2,2,2,2,3,3,2
5796,5856,2,2,3,3,3,2,3,2
5797,5857,0,0,0,1,0,2,2,2
5798,5858,2,2,2,1,3,2,2,1
5799,5859,2,3,3,3,3,3,3,3
5800,5860,3,3,3,2,2,3,3,4
5801,5861,1,4,4,4,4,4,4,4
5802,5862,1,2,2,1,2,2,1,1
5803,5863,4,3,2,3,3,3,3,4
5804,5864,0,1,1,0,1,1,1,2
5805,5865,3,3,3,3,3,4,3,3
5806,5866,1,2,1,1,1,1,2,2
5807,5867,2,2,3,1,2,2,2,2
5808,5868,4,4,4,4,3,4,4,3
5809,5869,2,1,2,2,3,2,2,3
5810,5870,4,4,4,4,4,4,4,4
5811,5871,2,2,2,2,1,2,3,2
5812,5872,4,4,4,4,4,4,4,4
5813,5873,1,2,2,2,2,1,1,2
5814,5874,4,4,4,1,3,0,1,2
5815,5875,3,4,4,4,4,4,4,4
5816,5876,3,3,3,3,3,4,3,3
5817,5877,4,4,4,4,4,4,4,4
5818,5878,4,4,4,4,4,4,4,4
5819,5879,3,3,3,3,3,3,3,3
5820,5880,2,2,2,2,2,3,2,2
5821,5881,4,4,4,4,4,4,4,3
5822,5882,2,0,1,1,0,0,1,0
5823,5883,3,2,2,2,1,2,2,2
5824,5884,4,4,4,4,4,4,4,4
5825,5885,1,3,4,3,4,4,3,3
5826,5886,4,4,3,3,4,4,4,4
5827,5887,2,2,2,1,1,2,1,2
5828,5888,2,3,1,3,3,3,3,3
5829,5889,3,4,3,4,3,3,3,3
5830,5890,0,1,2,0,1,1,1,1
5831,5891,4,4,4,4,4,4,3,4
5832,5892,2,2,0,2,2,0,0,2
5833,5893,1,1,2,1,2,2,2,2
5834,5894,4,4,4,4,4,4,4,4
5835,5895,4,4,4,4,4,4,4,4
5836,5896,2,0,1,1,1,1,1,1
5837,5897,4,4,4,4,4,4,4,3
5838,5898,2,1,1,1,1,2,2,1
5839,5899,3,4,4,4,3,4,3,3
5840,5900,4,4,3,4,4,4,4,4
5841,5901,4,4,4,4,4,4,4,4
5842,5902,2,3,3,3,1,3,2,2
5843,5903,4,4,4,4,4,4,4,4
5844,5904,2,3,2,2,2,1,2,2
5845,5905,3,2,2,1,1,3,1,1
5846,5906,1,1,1,2,0,1,1,1
5847,5907,3,3,2,2,1,1,0,1
5848,5908,1,2,1,1,2,1,1,1
5849,5909,4,4,4,4,4,4,4,4
5850,5910,2,3,3,3,2,2,2,2
5851,5911,4,4,4,4,3,3,3,3
5852,5912,2,2,1,2,2,2,1,2
5853,5913,1,2,2,1,1,2,2,2
5854,5914,3,3,4,3,3,3,4,4
5855,5915,4,4,4,4,4,4,4,4
5856,5916,2,2,3,3,3,3,3,3
5857,5917,3,3,2,3,1,3,2,3
5858,5918,2,3,3,3,3,3,3,3
5859,5919,4,4,4,4,4,4,4,4
5860,5920,2,1,0,1,1,3,2,1
5861,5921,1,1,2,1,1,1,1,1
5862,5922,4,4,4,4,4,4,4,4
5863,5924,4,4,4,4,4,3,3,4
5864,5925,3,2,3,3,3,3,3,3
5865,5926,1,1,2,1,0,0,3,0
5866,5927,4,4,4,3,4,4,4,4
5867,5928,0,1,0,1,0,1,0,0
5868,5929,1,1,1,2,2,2,2,1
5869,5930,4,4,3,4,4,4,4,4
5870,5931,1,1,1,1,1,1,1,2
5871,5932,3,3,3,4,4,4,4,4
5872,5933,2,1,3,2,1,1,1,0
5873,5934,4,4,3,3,4,4,4,4
5874,5935,1,2,2,1,2,1,2,2
5875,5936,4,4,4,4,4,4,4,4
5876,5937,3,3,3,3,1,2,2,3
5877,5938,4,4,4,4,3,4,4,4
5878,5939,3,4,3,4,3,4,3,4
5879,5940,3,2,3,3,2,3,3,3
5880,5941,1,2,3,1,1,1,3,2
5881,5942,4,4,4,4,4,4,4,4
5882,5943,3,3,2,2,2,2,2,2
5883,5944,4,4,4,4,4,4,4,4
5884,5945,3,3,2,3,3,3,3,2
5885,5946,0,1,2,1,1,2,1,2
5886,5947,4,4,4,4,4,4,4,4
5887,5948,4,4,4,4,4,4,4,4
5888,5949,1,1,2,1,0,2,0,1
5889,5950,4,4,4,4,3,4,0,0
5890,5951,2,1,1,2,1,2,2,1
5891,5952,2,1,2,2,1,2,2,2
5892,5953,4,4,4,4,4,4,4,4
5893,5954,4,4,4,4,4,4,3,4
5894,5955,2,1,1,1,0,0,3,1
5895,5956,4,4,3,4,4,4,4,4
5896,5957,4,4,4,4,4,4,4,4
5897,5958,2,2,2,1,3,2,1,2
5898,5959,2,2,2,2,3,2,3,3
5899,5960,2,3,3,3,3,3,3,2
5900,5961,1,1,1,1,1,2,1,1
5901,5962,1,1,1,1,1,2,0,1
5902,5963,4,4,4,4,4,4,4,3
5903,5964,2,1,1,1,1,1,1,1
5904,5965,4,4,4,4,4,4,4,4
5905,5966,3,3,3,4,4,3,4,3
5906,5967,4,4,4,4,4,4,4,4
5907,5968,3,3,3,3,3,3,3,4
5908,5969,0,1,1,2,0,1,1,0
5909,5970,4,4,4,4,4,4,4,4
5910,5971,4,4,4,4,4,4,3,4
5911,5972,2,3,3,3,3,3,2,3
5912,5973,3,2,2,2,3,2,3,1
5913,5974,2,2,2,2,3,2,2,2
5914,5975,4,4,3,4,4,3,4,4
5915,5976,3,4,4,4,4,4,4,4
5916,5977,4,4,4,3,3,3,3,4
5917,5978,3,2,2,3,3,2,3,3
5918,5979,3,2,2,2,2,3,2,3
5919,5980,2,2,2,3,2,2,2,2
5920,5981,2,4,3,4,1,0,2,3
5921,5982,2,2,1,2,2,2,1,1
5922,5983,3,3,2,4,3,2,2,3
5923,5984,3,3,3,3,2,3,3,3
5924,5985,1,2,1,2,0,1,2,2
5925,5986,0,0,1,1,1,1,0,1
5926,5987,2,2,2,2,1,2,1,2
5927,5988,4,4,4,4,3,3,3,3
5928,5989,0,1,1,1,1,2,1,2
5929,5990,2,3,3,3,3,3,0,3
5930,5991,3,2,2,2,2,0,1,0
5931,5992,1,1,0,1,1,0,1,2
5932,5994,1,1,1,0,0,1,0,0
5933,5995,2,1,1,3,0,2,2,3
5934,5996,3,3,3,3,4,3,3,2
5935,5997,4,1,2,2,3,2,2,2
5936,5998,1,2,2,2,2,2,2,1
5937,5999,4,4,4,4,4,4,4,4
5938,6000,3,3,4,4,3,3,3,3
5939,6001,4,3,4,3,4,3,2,3
5940,6002,1,1,1,1,0,0,0,1
5941,6003,2,3,2,2,3,2,2,3
5942,6004,2,2,3,1,4,3,2,3
5943,6005,4,4,4,4,4,4,3,3
5944,6006,4,4,4,3,3,4,4,4
5945,6007,1,1,2,1,2,2,1,1
5946,6008,4,4,4,4,4,4,4,4
5947,6009,1,2,1,1,1,1,2,2
5948,6010,2,1,1,1,1,2,1,2
5949,6011,4,4,4,4,4,4,4,4
5950,6012,4,4,4,4,4,4,4,4
5951,6013,0,0,2,2,4,4,4,4
5952,6014,1,1,0,2,1,1,2,1
5953,6015,4,4,4,4,4,4,4,4
5954,6016,1,2,1,1,0,2,0,1
5955,6017,2,1,2,2,2,1,2,2
5956,6018,2,1,0,1,0,1,0,1
5957,6019,4,4,4,4,4,4,4,4
5958,6020,4,4,4,4,4,4,4,4
5959,6021,4,4,3,3,3,4,3,3
5960,6022,3,4,4,4,4,3,4,3
5961,6023,3,3,4,3,4,3,3,4
5962,6024,1,2,2,4,4,4,4,4
5963,6025,2,3,1,2,3,3,2,3
5964,6026,2,3,2,3,3,3,4,3
5965,6027,1,2,1,1,2,1,2,2
5966,6028,1,1,0,0,0,0,1,1
5967,6029,4,4,4,3,4,4,4,4
5968,6030,1,1,1,1,1,1,1,1
5969,6031,0,2,2,1,3,1,2,2
5970,6032,2,1,2,1,1,3,1,2
5971,6033,3,3,3,3,2,3,3,3
5972,6034,0,0,0,1,0,0,0,1
5973,6035,3,3,3,3,3,3,3,3
5974,6036,4,3,3,4,4,4,2,4
5975,6037,3,3,2,2,2,2,1,2
5976,6038,2,4,3,4,4,4,4,3
5977,6039,2,1,1,1,0,2,2,3
5978,6040,0,0,1,0,1,0,0,1
5979,6041,4,4,3,3,4,3,4,3
5980,6042,3,4,3,4,4,4,2,2
5981,6043,2,2,2,2,2,2,2,2
5982,6044,3,1,2,3,3,2,2,2
5983,6045,2,2,2,1,1,1,1,1
5984,6046,3,3,3,3,3,3,3,3
5985,6047,3,3,2,4,3,3,3,3
5986,6048,1,1,1,1,1,0,1,1
5987,6049,1,1,3,0,1,2,2,3
5988,6050,3,3,3,3,4,3,3,3
5989,6051,4,4,4,4,4,4,4,4
5990,6052,1,1,0,1,1,0,1,1
5991,6053,1,1,1,2,3,2,1,2
5992,6054,1,2,1,1,2,2,2,2
5993,6055,3,3,3,3,3,3,3,3
5994,6056,4,4,4,4,4,4,4,4
5995,6057,1,1,2,1,1,1,2,1
5996,6058,1,2,2,1,1,1,1,2
5997,6059,4,4,4,4,4,4,3,3
5998,6060,2,2,2,2,3,2,3,2
5999,6061,1,1,2,2,1,3,3,0
6000,6062,2,2,3,1,2,2,2,2
6001,6063,2,2,2,2,1,2,2,2
6002,6064,1,0,1,1,1,1,1,1
6003,6065,1,3,2,1,2,2,2,2
6004,6066,2,1,2,3,3,3,1,3
6005,6067,3,3,3,4,2,4,3,3
6006,6068,4,4,3,4,3,4,4,3
6007,6069,2,3,3,3,3,3,2,2
6008,6070,4,4,4,4,4,4,4,4
6009,6071,4,3,3,4,3,4,2,3
6010,6072,4,4,4,4,4,4,4,4
6011,6073,2,2,2,2,2,3,3,3
6012,6074,2,2,2,2,3,3,2,3
6013,6075,1,1,1,2,2,2,2,1
6014,6076,3,3,3,3,3,3,3,2
6015,6077,2,2,2,2,2,2,2,2
6016,6078,3,4,3,3,4,3,4,3
6017,6079,3,4,4,3,3,4,3,4
6018,6080,3,3,4,3,3,3,3,4
6019,6082,2,1,2,1,1,1,2,2
6020,6083,4,4,4,4,4,4,4,4
6021,6084,1,1,1,1,2,1,1,1
6022,6085,1,3,2,2,2,2,3,3
6023,6086,2,2,2,2,2,2,2,2
6024,6087,4,4,4,4,4,4,4,4
6025,6088,4,4,4,4,4,4,3,4
6026,6089,2,1,1,3,3,2,2,1
6027,6090,2,2,2,2,2,2,2,2
6028,6091,2,2,1,3,2,2,2,2
6029,6092,2,3,3,3,3,4,3,4
6030,6093,2,2,2,1,1,2,2,2
6031,6094,3,3,3,3,3,2,3,3
6032,6095,2,2,3,3,2,3,3,1
6033,6096,3,4,4,4,4,4,3,4
6034,6097,3,1,2,2,2,2,2,3
6035,6099,3,4,3,3,3,3,3,3
6036,6100,3,4,4,4,4,4,4,4
6037,6101,2,2,2,2,1,3,3,3
6038,6102,3,4,3,4,3,3,4,4
6039,6103,3,2,3,3,2,2,3,2
6040,6104,2,1,1,1,0,0,1,1
6041,6105,2,2,2,2,1,3,2,2
6042,6106,2,2,0,1,0,3,1,3
6043,6107,4,4,4,4,4,4,4,3
6044,6108,1,1,1,1,1,2,1,2
6045,6109,4,4,4,4,4,4,4,4
6046,6110,3,4,4,4,4,4,4,4
6047,6111,3,2,2,2,2,1,1,2
6048,6112,2,2,2,2,3,2,2,2
6049,6113,4,3,4,4,3,4,4,3
6050,6114,3,3,4,3,3,4,3,4
6051,6115,1,2,2,1,2,2,2,2
6052,6116,4,3,3,4,3,4,3,3
6053,6117,2,3,3,3,2,3,2,1
6054,6119,3,3,3,3,3,3,3,4
6055,6120,1,2,1,1,1,2,1,1
6056,6121,4,4,4,4,4,3,3,3
6057,6122,0,0,1,2,0,2,0,0
6058,6123,4,4,4,4,4,4,4,4
6059,6124,3,4,4,4,3,3,3,4
6060,6125,4,4,4,4,4,4,4,4
6061,6126,2,1,1,1,3,4,4,3
6062,6127,2,2,2,1,3,1,3,3
6063,6128,4,4,4,4,4,4,4,4
6064,6129,3,3,3,3,3,3,3,3
6065,6130,3,3,3,3,2,2,2,2
6066,6131,3,3,3,3,3,2,3,3
6067,6132,4,4,3,4,4,4,4,4
6068,6133,4,4,4,4,4,4,4,4
6069,6134,4,4,4,4,4,4,4,4
6070,6135,3,2,2,3,3,3,3,2
6071,6136,4,4,4,4,4,4,4,4
6072,6137,4,4,4,4,4,4,4,4
6073,6138,4,4,3,4,4,4,3,3
6074,6139,4,4,4,4,4,4,3,3
6075,6140,2,2,2,2,2,1,2,2
6076,6141,4,3,3,4,3,3,4,3
6077,6142,4,4,4,4,3,4,4,4
6078,6143,3,3,3,2,1,1,2,1
6079,6144,4,3,3,4,3,4,4,4
6080,6145,2,2,2,2,2,2,2,2
6081,6146,4,4,4,3,4,4,4,4
6082,6147,1,2,2,3,2,2,2,2
6083,6148,3,2,1,2,1,2,2,2
6084,6149,4,4,4,4,4,4,4,3
6085,6150,3,3,2,3,2,3,3,3
6086,6151,2,2,2,2,2,3,2,3
6087,6152,4,4,4,4,4,4,4,4
6088,6153,3,3,3,3,3,3,3,3
6089,6154,2,2,2,3,2,3,2,2
6090,6155,3,3,3,3,2,3,3,2
6091,6156,0,1,0,0,0,0,0,0
6092,6157,3,4,4,4,3,4,3,4
6093,6158,2,3,2,3,3,3,3,3
6094,6159,2,2,3,3,3,3,3,3
6095,6160,4,4,4,4,4,4,4,4
6096,6161,3,3,3,2,2,2,3,2
6097,6162,3,3,3,3,2,3,3,3
6098,6163,3,3,3,3,2,3,3,3
6099,6164,3,4,3,3,4,3,4,4
6100,6165,3,3,4,4,3,3,3,4
6101,6166,2,0,1,0,1,0,1,1
6102,6167,2,3,3,2,3,2,3,3
6103,6168,4,4,3,4,4,4,3,3
6104,6169,4,4,4,4,4,4,4,4
6105,6170,2,2,2,1,2,1,2,2
6106,6171,3,4,3,3,3,4,3,3
6107,6172,1,1,1,2,2,2,2,3
6108,6173,3,4,3,4,4,4,4,4
6109,6174,3,3,2,3,2,2,3,3
6110,6175,2,2,2,2,3,2,2,2
6111,6176,4,4,4,4,4,4,4,4
6112,6177,3,3,3,3,3,4,3,4
6113,6178,1,1,2,1,1,2,1,2
6114,6179,1,4,3,3,4,4,4,3
6115,6180,2,2,3,2,2,2,2,2
6116,6181,4,4,4,4,3,4,4,4
6117,6182,0,0,2,1,1,2,1,1
6118,6183,4,4,4,4,4,4,4,4
6119,6184,1,3,3,2,3,3,4,2
6120,6185,3,2,3,3,4,3,3,3
6121,6186,2,2,2,2,3,3,3,2
6122,6187,3,2,3,3,3,3,3,4
6123,6188,2,3,3,3,3,3,2,2
6124,6189,2,2,3,3,3,3,2,2
6125,6190,2,2,3,3,2,2,2,1
6126,6191,2,1,2,2,2,2,2,2
6127,6192,4,4,4,4,4,4,4,4
6128,6193,3,3,3,3,1,2,2,2
6129,6194,3,4,2,3,3,2,3,0
6130,6195,1,2,1,1,2,3,2,3
6131,6196,4,4,4,4,4,4,4,4
6132,6197,1,2,2,2,2,2,1,2
6133,6198,3,4,3,3,3,3,2,2
6134,6199,1,1,1,2,3,1,2,1
6135,6200,4,4,2,4,4,4,4,4
6136,6201,2,3,3,3,2,2,2,2
6137,6202,4,4,4,4,4,4,4,4
6138,6203,2,3,2,3,2,2,3,2
6139,6204,1,1,2,3,1,1,3,1
6140,6205,3,3,3,2,3,2,3,3
6141,6206,1,1,1,1,3,1,1,1
6142,6207,2,2,2,2,2,2,2,2
6143,6208,2,2,1,3,1,2,3,3
6144,6209,0,0,1,1,1,0,1,0
6145,6210,2,4,1,3,2,3,4,3
6146,6211,4,4,4,4,3,4,3,3
6147,6212,2,2,2,2,2,2,1,1
6148,6213,4,4,3,3,3,3,3,3
6149,6214,3,4,3,4,4,4,4,4
6150,6215,2,3,3,2,2,3,2,2
6151,6216,4,4,4,4,4,4,4,4
6152,6217,3,4,3,4,4,3,4,3
6153,6218,3,4,4,3,3,4,3,4
6154,6219,3,3,2,2,1,2,2,2
