,고객번호,편_총구매액1,편_총구매액2,편_총구매액3,편_총구매액4,편_총구매액5,편_총구매액6,편_총구매액7,편의품_증감율,편의품_변동율,편_(증감*0.8)+(변동*0.2)
3697,3735,2,3,2,3,2,4,4,2,6,2.8
3698,3736,2,1,2,1,2,2,3,1,5,1.8
3699,3737,2,2,3,2,3,3,4,2,4,2.4
3700,3738,2,1,2,1,2,3,4,2,6,2.8
3701,3739,1,1,1,1,1,1,1,0,0,0
3702,3740,2,2,2,1,1,2,2,0,2,0.4
3703,3741,4,2,2,1,2,2,3,-1,5,0.2
3704,3742,4,4,4,2,3,3,4,0,4,0.8
3705,3743,3,3,3,2,3,3,4,1,3,1.4
3706,3744,2,2,2,1,2,1,1,-1,3,-0.2
3707,3745,3,2,2,2,3,2,1,-2,4,-0.8
3708,3746,3,3,3,1,2,3,3,0,4,0.8
3709,3747,1,1,2,4,4,4,4,3,3,3
3710,3748,4,4,4,4,4,4,4,0,0,0
3711,3749,2,2,3,4,3,4,4,2,4,2.4
3712,3750,3,2,3,2,3,3,4,1,5,1.8
3713,3751,2,3,3,2,2,2,2,0,2,0.4
3714,3752,1,1,1,1,1,1,1,0,0,0
3715,3754,2,3,4,3,3,3,4,2,4,2.4
3716,3755,1,2,3,3,2,1,2,1,5,1.8
3717,3756,1,1,2,1,2,1,2,1,5,1.8
3718,3757,1,1,2,2,2,2,1,0,2,0.4
3719,3758,1,2,1,1,1,1,1,0,2,0.4
3720,3759,2,2,2,1,3,2,2,0,4,0.8
3721,3760,1,1,1,1,1,1,1,0,0,0
3722,3761,1,2,2,1,2,2,2,1,3,1.4
3723,3762,2,1,1,1,3,2,4,2,6,2.8
3724,3763,3,2,4,3,3,4,4,1,5,1.8
3725,3764,4,4,4,3,4,4,4,0,2,0.4
3726,3765,4,2,1,2,4,4,1,-3,9,-0.6
3727,3766,4,4,4,4,4,4,4,0,0,0
3728,3767,4,4,4,4,4,4,4,0,0,0
3729,3768,2,1,2,1,2,1,1,-1,5,0.2
3730,3769,1,3,3,1,1,2,1,0,6,1.2
3731,3770,1,2,2,1,2,3,3,2,4,2.4
3732,3771,3,4,4,2,4,3,4,1,7,2.2
3733,3772,2,4,4,4,4,4,4,2,2,2
3734,3773,2,4,4,3,2,3,2,0,6,1.2
3735,3774,4,3,3,4,2,2,2,-2,4,-0.8
3736,3775,4,4,4,4,4,4,4,0,0,0
3737,3776,3,3,2,2,3,2,1,-2,4,-0.8
3738,3777,2,3,2,2,1,3,3,1,5,1.8
3739,3778,1,2,1,1,1,1,1,0,2,0.4
3740,3779,2,2,2,1,2,3,3,1,3,1.4
3741,3780,1,3,3,1,3,3,2,1,7,2.2
3742,3781,4,4,4,4,4,4,4,0,0,0
3743,3782,3,2,3,1,3,2,2,-1,7,0.6
3744,3783,2,2,3,2,3,3,3,1,3,1.4
3745,3784,3,4,4,3,4,4,3,0,4,0.8
3746,3785,3,2,3,2,4,3,4,1,7,2.2
3747,3786,1,1,2,2,2,1,2,1,3,1.4
3748,3787,3,3,4,4,2,3,3,0,4,0.8
3749,3788,3,2,3,4,3,2,4,1,7,2.2
3750,3789,1,2,3,2,3,4,3,2,6,2.8
3751,3790,2,2,3,2,3,4,4,2,4,2.4
3752,3791,2,2,4,2,1,1,4,2,8,3.2
3753,3792,2,2,3,2,2,2,3,1,3,1.4
3754,3793,3,3,2,2,3,3,4,1,3,1.4
3755,3794,4,4,4,4,4,4,4,0,0,0
3756,3795,4,3,4,2,4,2,3,-1,9,1
3757,3796,3,3,3,4,4,4,4,1,1,1
3758,3797,3,2,3,2,1,1,2,-1,5,0.2
3759,3798,4,4,4,3,4,4,4,0,2,0.4
3760,3799,3,2,4,3,3,4,4,1,5,1.8
3761,3800,1,1,1,1,1,1,1,0,0,0
3762,3801,3,3,4,2,2,4,3,0,6,1.2
3763,3802,4,3,4,4,4,3,3,-1,3,-0.2
3764,3803,3,3,3,2,3,3,3,0,2,0.4
3765,3804,4,3,3,3,4,4,4,0,2,0.4
3766,3805,4,4,4,4,4,4,4,0,0,0
3767,3806,3,3,4,1,2,4,4,1,7,2.2
3768,3807,2,2,1,2,1,4,4,2,6,2.8
3769,3808,2,2,3,1,2,1,2,0,6,1.2
3770,3809,2,3,1,1,1,2,1,-1,5,0.2
3771,3810,4,4,4,3,4,4,4,0,2,0.4
3772,3811,4,4,4,4,4,4,4,0,0,0
3773,3812,2,1,1,1,2,2,2,0,2,0.4
3774,3813,1,3,4,2,1,2,3,2,8,3.2
3775,3814,1,1,1,1,1,1,1,0,0,0
3776,3815,3,3,2,2,3,3,3,0,2,0.4
3777,3816,3,3,3,3,3,3,4,1,1,1
3778,3817,1,1,2,1,2,1,2,1,5,1.8
3779,3818,2,2,4,3,2,3,4,2,6,2.8
3780,3819,2,1,2,3,3,4,3,1,5,1.8
3781,3820,3,4,4,3,4,3,4,1,5,1.8
3782,3821,3,4,4,1,2,4,4,1,7,2.2
3783,3822,4,2,4,1,4,2,4,0,14,2.8
3784,3823,4,2,4,4,4,2,4,0,8,1.6
3785,3824,4,4,4,4,4,4,4,0,0,0
3786,3825,3,2,1,2,3,2,3,0,6,1.2
3787,3826,4,3,4,4,3,4,3,-1,5,0.2
3788,3827,3,3,1,2,1,2,3,0,6,1.2
3789,3828,1,3,1,1,1,1,4,3,7,3.8
3790,3829,1,1,1,3,3,4,3,2,4,2.4
3791,3830,2,3,3,2,1,2,1,-1,5,0.2
3792,3831,1,2,1,1,2,2,1,0,4,0.8
3793,3832,2,2,3,2,2,1,1,-1,3,-0.2
3794,3833,4,4,4,4,4,4,4,0,0,0
3795,3834,1,4,3,2,3,3,3,2,6,2.8
3796,3835,1,1,1,1,1,1,1,0,0,0
3797,3836,3,4,4,3,4,4,4,1,3,1.4
3798,3837,4,4,3,4,2,4,3,-1,7,0.6
3799,3838,2,2,2,1,1,1,2,0,2,0.4
3800,3839,2,2,3,2,2,3,2,0,4,0.8
3801,3840,1,1,4,1,1,1,2,1,7,2.2
3802,3841,4,4,4,4,4,4,4,0,0,0
3803,3842,3,4,4,4,4,4,4,1,1,1
3804,3843,4,4,4,4,4,4,4,0,0,0
3805,3844,1,1,2,2,2,2,2,1,1,1
3806,3845,3,2,2,3,4,3,4,1,5,1.8
3807,3846,4,3,3,2,3,3,2,-2,4,-0.8
3808,3847,4,4,4,4,4,4,4,0,0,0
3809,3848,2,1,2,1,2,2,3,1,5,1.8
3810,3849,2,3,4,3,3,3,2,0,4,0.8
3811,3850,3,2,2,2,2,3,4,1,3,1.4
3812,3851,1,2,3,1,3,3,4,3,7,3.8
3813,3852,2,3,2,1,1,2,2,0,4,0.8
3814,3853,2,2,2,2,3,2,3,1,3,1.4
3815,3854,1,1,2,2,2,3,3,2,2,2
3816,3855,1,1,1,1,2,1,1,0,2,0.4
3817,3856,3,3,3,3,3,2,2,-1,1,-0.6
3818,3857,4,3,3,1,1,3,3,-1,5,0.2
3819,3858,1,2,3,2,1,2,3,2,6,2.8
3820,3859,4,2,4,1,4,3,4,0,12,2.4
3821,3860,4,3,4,3,4,4,4,0,4,0.8
3822,3861,3,3,3,2,4,3,3,0,4,0.8
3823,3862,4,3,4,2,4,2,4,0,10,2
3824,3863,4,4,4,4,4,4,4,0,0,0
3825,3864,2,3,4,2,3,3,3,1,5,1.8
3826,3865,2,1,2,3,2,3,3,1,5,1.8
3827,3866,4,2,4,2,4,4,4,0,8,1.6
3828,3867,4,3,3,2,2,3,2,-2,4,-0.8
3829,3868,3,4,4,3,2,1,1,-2,4,-0.8
3830,3869,2,4,4,4,3,4,2,0,6,1.2
3831,3870,4,4,4,3,4,4,4,0,2,0.4
3832,3871,4,4,4,3,3,2,3,-1,3,-0.2
3833,3872,1,2,2,1,2,2,2,1,3,1.4
3834,3873,1,1,2,1,2,1,1,0,4,0.8
3835,3874,2,3,3,2,1,2,3,1,5,1.8
3836,3875,1,2,4,2,3,3,3,2,6,2.8
3837,3876,1,1,1,1,1,2,1,0,2,0.4
3838,3877,1,1,3,1,2,2,2,1,5,1.8
3839,3878,1,1,1,1,2,2,2,1,1,1
3840,3879,1,1,2,1,2,2,3,2,4,2.4
3841,3880,4,4,4,3,3,4,3,-1,3,-0.2
3842,3881,2,2,3,2,3,3,4,2,4,2.4
3843,3882,1,2,2,1,1,3,1,0,6,1.2
3844,3883,2,3,4,3,2,3,2,0,6,1.2
3845,3884,2,2,3,2,2,2,3,1,3,1.4
3846,3885,2,2,3,2,1,2,3,1,5,1.8
3847,3886,1,1,2,2,3,3,4,3,3,3
3848,3887,1,2,2,1,2,2,2,1,3,1.4
3849,3888,4,4,4,4,4,4,4,0,0,0
3850,3889,4,4,4,3,3,4,4,0,2,0.4
3851,3890,4,4,4,4,4,4,4,0,0,0
3852,3891,3,3,2,2,1,2,3,0,4,0.8
3853,3892,3,3,4,3,3,1,2,-1,5,0.2
3854,3893,1,1,1,1,1,2,1,0,2,0.4
3855,3894,4,4,4,4,4,4,4,0,0,0
3856,3895,3,2,4,3,3,3,4,1,5,1.8
3857,3896,4,4,4,4,4,4,4,0,0,0
3858,3897,1,1,1,1,2,2,2,1,1,1
3859,3898,2,1,3,2,3,2,4,2,8,3.2
3860,3899,2,2,4,3,3,3,4,2,4,2.4
3861,3900,2,2,2,2,3,2,3,1,3,1.4
3862,3901,2,3,3,2,4,4,4,2,4,2.4
3863,3902,4,4,4,4,4,4,4,0,0,0
3864,3903,4,4,4,4,4,4,4,0,0,0
3865,3904,4,4,4,4,4,4,4,0,0,0
3866,3905,2,3,4,3,4,4,4,2,4,2.4
3867,3906,1,1,2,2,2,2,1,0,2,0.4
3868,3907,4,4,4,4,4,4,4,0,0,0
3869,3908,1,1,2,1,2,2,1,0,4,0.8
3870,3909,2,1,1,1,1,1,1,-1,1,-0.6
3871,3910,4,4,4,3,4,3,4,0,4,0.8
3872,3911,4,4,3,3,3,2,3,-1,3,-0.2
3873,3912,1,1,1,1,1,1,1,0,0,0
3874,3913,2,3,3,2,3,3,4,2,4,2.4
3875,3914,1,2,2,2,1,2,3,2,4,2.4
3876,3915,2,3,3,2,3,4,4,2,4,2.4
3877,3916,3,4,4,3,4,4,4,1,3,1.4
3878,3917,1,2,1,2,3,2,2,1,5,1.8
3879,3918,2,3,1,3,3,3,3,1,5,1.8
3880,3919,3,3,3,1,2,1,1,-2,4,-0.8
3881,3920,3,3,4,2,1,1,3,0,6,1.2
3882,3921,2,2,2,1,1,2,2,0,2,0.4
3883,3922,4,3,4,3,4,4,4,0,4,0.8
3884,3923,4,4,4,4,4,4,4,0,0,0
3885,3924,1,1,1,1,1,2,1,0,2,0.4
3886,3925,2,2,3,3,3,3,3,1,1,1
3887,3926,3,3,3,3,3,2,4,1,3,1.4
3888,3927,1,1,1,1,1,1,1,0,0,0
3889,3928,4,4,4,3,4,4,4,0,2,0.4
3890,3929,2,1,1,1,1,2,3,1,3,1.4
3891,3930,4,3,4,3,4,4,4,0,4,0.8
3892,3931,4,4,4,3,4,4,3,-1,3,-0.2
3893,3932,3,2,3,2,2,3,3,0,4,0.8
3894,3933,2,2,3,2,2,2,1,-1,3,-0.2
3895,3934,2,1,1,1,3,2,2,0,4,0.8
3896,3935,1,2,2,3,4,1,1,0,6,1.2
3897,3936,3,4,4,4,4,4,4,1,1,1
3898,3937,2,3,2,3,4,3,4,2,6,2.8
3899,3938,2,2,3,1,2,3,3,1,5,1.8
3900,3939,1,1,1,1,1,1,1,0,0,0
3901,3940,4,4,4,4,4,4,4,0,0,0
3902,3941,4,4,4,3,4,4,3,-1,3,-0.2
3903,3942,1,1,1,1,2,2,1,0,2,0.4
3904,3943,4,4,4,4,4,4,4,0,0,0
3905,3944,3,3,4,4,4,4,4,1,1,1
3906,3945,2,2,3,2,2,1,3,1,5,1.8
3907,3946,2,2,3,2,2,2,4,2,4,2.4
3908,3947,2,1,1,1,1,2,3,1,3,1.4
3909,3948,4,2,4,2,4,2,3,-1,11,1.4
3910,3949,3,2,3,3,3,3,4,1,3,1.4
3911,3950,3,4,4,4,4,4,4,1,1,1
3912,3951,2,2,2,1,2,2,2,0,2,0.4
3913,3952,2,2,3,2,1,1,3,1,5,1.8
3914,3953,4,3,4,4,4,3,2,-2,4,-0.8
3915,3954,2,3,3,2,2,3,4,2,4,2.4
3916,3955,4,4,4,3,2,3,4,0,4,0.8
3917,3956,4,3,4,4,4,4,4,0,2,0.4
3918,3957,2,2,1,2,1,1,3,1,5,1.8
3919,3958,4,4,3,3,4,3,4,0,4,0.8
3920,3959,1,1,1,1,1,1,1,0,0,0
3921,3960,3,3,3,2,3,2,2,-1,3,-0.2
3922,3961,4,4,4,3,3,3,2,-2,2,-1.2
3923,3962,2,1,1,1,1,2,1,-1,3,-0.2
3924,3963,1,1,1,1,1,1,1,0,0,0
3925,3964,2,1,4,2,3,3,3,1,7,2.2
3926,3965,1,1,1,1,3,2,1,0,4,0.8
3927,3966,4,4,4,2,4,2,4,0,8,1.6
3928,3967,2,1,2,1,3,2,2,0,6,1.2
3929,3968,1,3,3,3,4,4,3,2,4,2.4
3930,3969,2,3,3,1,2,2,3,1,5,1.8
3931,3970,2,2,2,2,3,3,4,2,2,2
3932,3971,2,3,3,3,3,4,3,1,3,1.4
3933,3972,4,4,4,4,4,4,4,0,0,0
3934,3973,3,4,3,3,2,4,2,-1,7,0.6
3935,3974,1,1,0,1,1,1,1,0,2,0.4
3936,3975,4,4,4,4,4,4,4,0,0,0
3937,3976,3,3,4,2,4,4,4,1,5,1.8
3938,3977,3,4,3,2,3,4,4,1,5,1.8
3939,3978,3,4,4,3,3,2,2,-1,3,-0.2
3940,3979,1,2,4,2,3,3,2,1,7,2.2
3941,3980,4,4,2,2,3,2,2,-2,4,-0.8
3942,3981,4,1,1,1,2,1,4,0,8,1.6
3943,3982,4,4,4,4,4,4,4,0,0,0
3944,3983,1,1,1,1,2,2,3,2,2,2
3945,3984,3,4,4,4,4,3,4,1,3,1.4
3946,3985,4,4,4,4,4,4,4,0,0,0
3947,3987,3,4,4,4,4,3,3,0,2,0.4
3948,3988,3,4,3,3,3,3,3,0,2,0.4
3949,3989,1,1,3,2,4,3,4,3,7,3.8
3950,3990,4,4,4,3,4,4,4,0,2,0.4
3951,3991,3,2,1,1,2,1,3,0,6,1.2
3952,3992,1,1,2,1,1,1,1,0,2,0.4
3953,3993,3,4,4,4,2,2,2,-1,3,-0.2
3954,3994,2,1,2,2,2,4,2,0,6,1.2
3955,3995,4,3,3,3,4,4,4,0,2,0.4
3956,3996,4,4,3,4,4,4,4,0,2,0.4
3957,3997,3,3,4,4,4,4,4,1,1,1
3958,3998,4,4,4,4,4,4,4,0,0,0
3959,3999,4,3,3,3,4,4,4,0,2,0.4
3960,4000,1,1,2,1,2,2,2,1,3,1.4
3961,4001,4,4,4,2,3,3,3,-1,3,-0.2
3962,4002,1,1,1,1,1,1,1,0,0,0
3963,4003,4,2,4,3,3,1,4,0,10,2
3964,4004,3,3,3,3,4,4,4,1,1,1
3965,4005,2,3,4,3,3,4,4,2,4,2.4
3966,4006,1,3,3,3,4,4,4,3,3,3
3967,4007,2,2,2,1,2,2,2,0,2,0.4
3968,4008,3,2,4,4,3,4,3,0,6,1.2
3969,4009,3,4,4,3,4,4,4,1,3,1.4
3970,4010,1,1,1,3,2,2,3,2,4,2.4
3971,4011,4,4,4,2,4,3,3,-1,5,0.2
3972,4012,3,4,4,3,4,3,4,1,5,1.8
3973,4013,3,3,4,3,3,4,4,1,3,1.4
3974,4014,2,2,3,3,3,3,4,2,2,2
3975,4015,1,3,2,1,1,1,1,0,4,0.8
3976,4016,2,1,2,4,1,3,3,1,9,2.6
3977,4017,3,2,3,2,2,3,4,1,5,1.8
3978,4018,4,4,4,4,4,4,4,0,0,0
3979,4019,2,3,2,1,2,2,2,0,4,0.8
3980,4020,1,3,2,3,2,4,3,2,8,3.2
3981,4021,2,1,2,1,2,1,2,0,6,1.2
3982,4022,4,3,4,3,3,3,4,0,4,0.8
3983,4023,2,1,1,1,1,1,1,-1,1,-0.6
3984,4024,2,2,3,2,2,1,1,-1,3,-0.2
3985,4025,3,3,2,2,3,4,4,1,3,1.4
3986,4026,1,3,1,1,1,1,1,0,4,0.8
3987,4027,3,2,3,4,4,4,4,1,3,1.4
3988,4028,2,2,3,3,2,3,2,0,4,0.8
3989,4029,4,1,2,2,1,1,1,-3,5,-1.4
3990,4030,3,3,4,3,4,4,4,1,3,1.4
3991,4031,4,2,3,3,4,3,3,-1,5,0.2
3992,4032,3,4,4,4,4,4,4,1,1,1
3993,4033,4,3,4,2,4,4,4,0,6,1.2
3994,4034,3,3,4,2,3,3,3,0,4,0.8
3995,4035,3,4,3,3,3,4,4,1,3,1.4
3996,4036,3,3,2,2,3,4,4,1,3,1.4
3997,4037,3,2,2,4,3,3,4,1,5,1.8
3998,4038,2,1,2,1,1,1,1,-1,3,-0.2
3999,4039,4,4,4,4,4,4,3,-1,1,-0.6
4000,4040,4,4,4,4,4,4,4,0,0,0
4001,4041,2,3,3,1,3,4,1,-1,9,1
4002,4042,3,3,2,1,3,3,3,0,4,0.8
4003,4043,3,2,4,2,4,3,4,1,9,2.6
4004,4044,1,1,1,1,1,3,4,3,3,3
4005,4045,4,1,3,2,4,3,2,-2,10,0.4
4006,4046,1,1,0,1,0,1,1,0,4,0.8
4007,4047,4,3,3,3,4,4,4,0,2,0.4
4008,4048,2,2,3,1,3,3,2,0,6,1.2
4009,4049,2,2,4,1,1,1,1,-1,5,0.2
4010,4050,1,1,2,2,2,2,2,1,1,1
4011,4051,2,3,3,2,3,1,1,-1,5,0.2
4012,4052,4,4,4,3,4,4,4,0,2,0.4
4013,4053,3,2,4,2,3,3,4,1,7,2.2
4014,4054,2,2,2,2,2,3,3,1,1,1
4015,4055,1,1,4,1,1,3,3,2,8,3.2
4016,4056,2,1,2,2,3,4,4,2,4,2.4
4017,4057,2,3,2,2,2,3,3,1,3,1.4
4018,4058,4,4,4,4,4,4,4,0,0,0
4019,4059,3,3,4,1,1,2,2,-1,5,0.2
4020,4060,2,3,3,3,3,4,3,1,3,1.4
4021,4061,4,4,4,4,4,3,2,-2,2,-1.2
4022,4062,4,4,4,4,4,4,4,0,0,0
4023,4063,2,3,3,1,1,1,1,-1,3,-0.2
4024,4064,4,4,3,2,2,2,3,-1,3,-0.2
4025,4065,2,2,4,4,3,3,3,1,3,1.4
4026,4066,1,1,3,2,2,2,3,2,4,2.4
4027,4067,1,1,1,1,2,2,3,2,2,2
4028,4068,1,2,1,1,1,1,1,0,2,0.4
4029,4069,4,4,4,4,4,4,4,0,0,0
4030,4070,4,3,4,3,3,3,4,0,4,0.8
4031,4071,1,2,1,1,2,3,2,1,5,1.8
4032,4072,1,1,3,3,2,3,2,1,5,1.8
4033,4073,4,4,4,4,3,4,4,0,2,0.4
4034,4074,3,1,2,3,3,2,3,0,6,1.2
4035,4075,1,1,1,1,1,1,1,0,0,0
4036,4076,3,2,4,3,3,4,4,1,5,1.8
4037,4077,1,1,2,1,1,1,1,0,2,0.4
4038,4078,4,4,4,3,4,3,4,0,4,0.8
4039,4079,1,1,1,1,1,1,4,3,3,3
4040,4080,4,4,4,4,4,4,4,0,0,0
4041,4081,1,1,1,1,1,2,3,2,2,2
4042,4082,3,2,4,3,3,3,3,0,4,0.8
4043,4083,4,3,4,4,4,4,4,0,2,0.4
4044,4084,1,2,2,2,3,2,3,2,4,2.4
4045,4085,1,2,1,1,1,3,2,1,5,1.8
4046,4086,2,4,4,3,3,4,4,2,4,2.4
4047,4087,3,3,4,3,4,4,4,1,3,1.4
4048,4088,3,3,3,3,4,3,3,0,2,0.4
4049,4089,1,1,1,1,1,1,1,0,0,0
4050,4090,1,2,1,2,1,1,2,1,5,1.8
4051,4091,3,3,4,3,3,3,4,1,3,1.4
4052,4092,4,4,4,3,4,4,4,0,2,0.4
4053,4093,1,1,3,3,3,4,4,3,3,3
4054,4094,4,3,4,4,4,4,4,0,2,0.4
4055,4095,4,4,4,3,4,4,4,0,2,0.4
4056,4096,2,3,1,2,2,3,3,1,5,1.8
4057,4097,1,3,1,1,1,1,1,0,4,0.8
4058,4098,2,2,2,2,3,3,2,0,2,0.4
4059,4099,4,4,4,4,4,4,4,0,0,0
4060,4100,3,2,2,3,3,4,3,0,4,0.8
4061,4101,4,4,4,3,3,4,4,0,2,0.4
4062,4102,1,1,1,1,1,3,3,2,2,2
4063,4103,4,4,4,4,4,4,4,0,0,0
4064,4104,3,3,4,3,4,3,4,1,5,1.8
4065,4105,4,4,4,4,4,4,4,0,0,0
4066,4106,1,1,2,2,1,2,2,1,3,1.4
4067,4107,4,4,4,4,4,4,4,0,0,0
4068,4108,4,3,4,3,4,4,4,0,4,0.8
4069,4109,4,4,4,3,4,2,4,0,6,1.2
4070,4110,3,3,3,3,1,1,4,1,5,1.8
4071,4111,1,1,2,2,1,1,1,0,2,0.4
4072,4112,4,4,4,4,4,4,4,0,0,0
4073,4113,3,4,4,3,4,4,4,1,3,1.4
4074,4114,2,2,2,2,2,3,3,1,1,1
4075,4115,3,4,4,4,4,4,4,1,1,1
4076,4116,3,3,2,3,3,2,3,0,4,0.8
4077,4117,4,3,4,4,4,4,4,0,2,0.4
4078,4118,4,3,4,4,4,4,4,0,2,0.4
4079,4119,1,4,1,2,1,2,3,2,10,3.6
4080,4120,2,3,3,1,2,1,1,-1,5,0.2
4081,4121,2,3,4,1,4,4,3,1,9,2.6
4082,4122,3,2,2,2,2,2,2,-1,1,-0.6
4083,4123,4,4,4,4,4,4,4,0,0,0
4084,4124,2,3,2,1,2,3,2,0,6,1.2
4085,4125,4,1,1,1,1,4,4,0,6,1.2
4086,4126,2,1,2,2,2,2,2,0,2,0.4
4087,4127,1,2,2,1,1,2,2,1,3,1.4
4088,4128,3,3,4,4,4,3,4,1,3,1.4
4089,4129,1,2,2,1,2,1,1,0,4,0.8
4090,4130,3,2,3,2,3,3,3,0,4,0.8
4091,4131,1,1,1,1,2,1,1,0,2,0.4
4092,4132,1,1,2,1,1,1,2,1,3,1.4
4093,4133,3,1,4,1,4,2,4,1,15,3.8
4094,4134,4,4,4,4,4,2,2,-2,2,-1.2
4095,4135,4,2,1,1,1,2,2,-2,4,-0.8
4096,4136,2,3,4,3,2,3,3,1,5,1.8
4097,4137,2,3,3,3,3,3,4,2,2,2
4098,4138,2,2,1,1,1,1,2,0,2,0.4
4099,4139,2,1,3,1,4,1,1,-1,11,1.4
4100,4140,2,3,4,2,1,3,2,0,8,1.6
4101,4141,1,1,1,1,1,1,1,0,0,0
4102,4142,4,4,4,4,4,4,4,0,0,0
4103,4143,2,2,3,3,3,4,4,2,2,2
4104,4144,1,2,2,2,2,2,2,1,1,1
4105,4145,4,4,4,3,2,3,3,-1,3,-0.2
4106,4146,2,1,3,3,4,4,4,2,4,2.4
4107,4147,4,4,4,4,2,1,1,-3,3,-1.8
4108,4148,1,1,2,2,1,2,2,1,3,1.4
4109,4149,3,4,4,3,4,4,4,1,3,1.4
4110,4150,3,3,4,2,4,4,4,1,5,1.8
4111,4151,4,4,4,4,4,4,4,0,0,0
4112,4152,4,4,4,4,4,3,4,0,2,0.4
4113,4153,3,3,4,2,3,3,3,0,4,0.8
4114,4154,4,4,4,4,4,4,4,0,0,0
4115,4155,1,1,2,2,2,3,1,0,4,0.8
4116,4156,3,1,4,2,4,4,4,1,9,2.6
4117,4157,3,4,3,2,4,3,4,1,7,2.2
4118,4158,3,4,4,3,2,2,2,-1,3,-0.2
4119,4159,4,4,4,3,4,4,4,0,2,0.4
4120,4160,3,4,4,2,2,2,2,-1,3,-0.2
4121,4161,2,3,2,1,1,2,1,-1,5,0.2
4122,4162,1,1,2,1,1,1,1,0,2,0.4
4123,4163,2,2,2,3,2,4,4,2,4,2.4
4124,4164,3,3,3,3,3,3,4,1,1,1
4125,4165,1,1,1,2,1,2,2,1,3,1.4
4126,4166,1,2,1,1,2,1,1,0,4,0.8
4127,4167,1,1,3,2,3,2,3,2,6,2.8
4128,4168,1,2,2,2,1,1,1,0,2,0.4
4129,4169,1,3,1,2,1,2,3,2,8,3.2
4130,4170,1,1,1,1,1,1,1,0,0,0
4131,4171,1,1,0,0,1,1,1,0,2,0.4
4132,4172,4,4,4,4,3,3,4,0,2,0.4
4133,4173,2,2,1,2,3,3,4,2,4,2.4
4134,4174,1,1,3,1,1,1,2,1,5,1.8
4135,4175,2,4,3,1,3,1,1,-1,9,1
4136,4176,2,3,3,2,3,4,1,-1,7,0.6
4137,4177,1,1,1,1,2,2,2,1,1,1
4138,4178,1,1,2,1,1,1,3,2,4,2.4
4139,4179,4,4,4,3,3,3,4,0,2,0.4
4140,4180,3,4,4,3,3,3,2,-1,3,-0.2
4141,4181,2,2,2,1,2,2,2,0,2,0.4
4142,4182,1,1,1,1,1,1,1,0,0,0
4143,4183,1,1,1,1,2,2,3,2,2,2
4144,4184,1,1,1,2,2,1,3,2,4,2.4
4145,4185,4,4,4,3,4,4,4,0,2,0.4
4146,4186,2,2,3,2,2,3,4,2,4,2.4
4147,4187,1,4,4,2,1,1,1,0,6,1.2
4148,4188,3,1,2,2,2,3,2,-1,5,0.2
4149,4189,1,1,2,1,1,1,2,1,3,1.4
4150,4190,2,2,2,1,2,1,4,2,6,2.8
4151,4191,3,3,4,2,4,4,4,1,5,1.8
4152,4192,4,3,4,2,1,1,2,-2,6,-0.4
4153,4193,4,4,4,3,2,1,2,-2,4,-0.8
4154,4194,2,2,3,2,3,3,3,1,3,1.4
4155,4195,3,4,4,3,4,4,4,1,3,1.4
4156,4196,1,1,1,1,2,2,2,1,1,1
4157,4197,4,2,4,4,4,4,4,0,4,0.8
4158,4198,4,4,4,3,3,4,4,0,2,0.4
4159,4199,2,1,1,1,1,1,1,-1,1,-0.6
4160,4200,4,4,4,4,3,4,3,-1,3,-0.2
4161,4201,4,4,4,4,4,4,2,-2,2,-1.2
4162,4202,4,4,4,3,4,4,4,0,2,0.4
4163,4203,2,2,3,2,2,3,4,2,4,2.4
4164,4204,1,1,1,1,1,1,1,0,0,0
4165,4205,2,3,2,1,3,1,1,-1,7,0.6
4166,4206,1,3,3,2,3,2,3,2,6,2.8
4167,4207,4,3,4,4,4,4,4,0,2,0.4
4168,4208,3,3,3,2,3,2,3,0,4,0.8
4169,4209,1,2,1,2,1,1,2,1,5,1.8
4170,4210,4,3,4,2,2,2,4,0,6,1.2
4171,4211,4,4,4,3,4,4,4,0,2,0.4
4172,4212,3,2,3,1,1,1,2,-1,5,0.2
4173,4213,3,3,4,4,4,4,4,1,1,1
4174,4214,3,3,2,2,2,2,3,0,2,0.4
4175,4215,4,2,4,1,4,3,4,0,12,2.4
4176,4216,1,1,2,2,1,3,3,2,4,2.4
4177,4217,4,4,4,4,4,4,4,0,0,0
4178,4218,3,2,4,4,4,4,4,1,3,1.4
4179,4219,1,1,3,1,3,1,3,2,10,3.6
4180,4220,1,1,1,1,1,1,1,0,0,0
4181,4221,4,4,4,3,4,4,4,0,2,0.4
4182,4222,2,2,2,4,3,3,4,2,4,2.4
4183,4223,4,3,4,3,4,4,4,0,4,0.8
4184,4224,3,2,2,2,2,2,2,-1,1,-0.6
4185,4225,1,3,4,3,3,3,3,2,4,2.4
4186,4226,3,3,4,2,3,4,2,-1,7,0.6
4187,4227,1,2,2,2,2,1,1,0,2,0.4
4188,4228,1,1,1,1,1,3,3,2,2,2
4189,4229,3,4,4,4,4,4,4,1,1,1
4190,4230,2,2,2,2,3,3,2,0,2,0.4
4191,4231,2,2,1,1,1,2,2,0,2,0.4
4192,4232,1,1,2,1,2,1,1,0,4,0.8
4193,4233,2,4,4,3,2,3,3,1,5,1.8
4194,4234,1,1,1,1,1,4,3,2,4,2.4
4195,4235,4,3,3,2,3,4,3,-1,5,0.2
