,°í°´¹øÈ£,½ÄÇ°_ÃÑ±¸¸Å¾×1,½ÄÇ°_ÃÑ±¸¸Å¾×2,½ÄÇ°_ÃÑ±¸¸Å¾×3,½ÄÇ°_ÃÑ±¸¸Å¾×4,½ÄÇ°_ÃÑ±¸¸Å¾×5,½ÄÇ°_ÃÑ±¸¸Å¾×6,½ÄÇ°_ÃÑ±¸¸Å¾×7,½ÄÇ°_ÃÑ±¸¸Å¾×8,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö1,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö2,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö3,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö4,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö5,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö6,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö7,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö8
4185,4225,322134.0,1180341.0,1575632.0,1148950.0,1165593.0,1243432.0,1331549.0,642303.0,100.0,293.0,332.0,331.0,295.0,313.0,319.0,201.0
4186,4226,716727.0,670402.0,1098607.0,542507.0,825733.0,681559.0,380507.0,691483.0,83.0,96.0,128.0,83.0,91.0,91.0,48.0,112.0
4187,4227,312487.0,436665.0,548005.0,454961.0,440503.0,149806.0,412141.0,111844.0,42.0,54.0,48.0,70.0,46.0,19.0,57.0,11.0
4188,4228,122126.0,81903.0,138432.0,375172.0,281699.0,838363.0,1182256.0,750680.0,25.0,16.0,30.0,96.0,30.0,83.0,114.0,86.0
4189,4229,897268.0,1425961.0,1566963.0,1806549.0,1885259.0,2186241.0,2075365.0,1904723.0,98.0,120.0,145.0,185.0,143.0,160.0,142.0,170.0
4190,4230,771695.0,750671.0,723972.0,815631.0,944530.0,733228.0,812838.0,573783.0,52.0,57.0,32.0,62.0,71.0,47.0,55.0,42.0
4191,4231,714279.0,612115.0,317882.0,513938.0,650854.0,754555.0,705119.0,548174.0,88.0,75.0,28.0,57.0,58.0,54.0,52.0,62.0
4192,4232,427379.0,349479.0,471288.0,352508.0,516726.0,583318.0,410497.0,234103.0,43.0,37.0,38.0,35.0,53.0,60.0,43.0,33.0
4193,4233,884225.0,1391651.0,1040874.0,866812.0,652663.0,910503.0,767977.0,1000100.0,190.0,227.0,176.0,172.0,141.0,130.0,113.0,217.0
4194,4234,177618.0,321466.0,285884.0,330327.0,340931.0,782679.0,444214.0,341879.0,19.0,31.0,30.0,36.0,32.0,84.0,66.0,50.0
4195,4235,1420522.0,1434238.0,1061117.0,644466.0,1020043.0,2075039.0,1197374.0,1976751.0,245.0,290.0,182.0,180.0,179.0,267.0,164.0,210.0
4196,4236,1202238.0,804961.0,840431.0,975235.0,861007.0,665800.0,1299836.0,693508.0,244.0,153.0,170.0,218.0,209.0,187.0,246.0,183.0
4197,4237,1001100.0,794801.0,1097809.0,842418.0,2282618.0,1571642.0,1619999.0,1128097.0,134.0,99.0,102.0,117.0,135.0,86.0,97.0,102.0
4198,4238,1173721.0,1034355.0,1167840.0,940097.0,1210080.0,1392096.0,1430322.0,1052958.0,174.0,149.0,171.0,149.0,174.0,215.0,232.0,210.0
4199,4239,541997.0,432977.0,805747.0,397672.0,735021.0,595004.0,1145692.0,821261.0,104.0,92.0,105.0,88.0,137.0,113.0,149.0,205.0
4200,4241,992059.0,1199429.0,1659133.0,790339.0,1014527.0,869894.0,1133456.0,768345.0,163.0,173.0,162.0,132.0,145.0,142.0,152.0,123.0
4201,4242,1669611.0,2016422.0,1774473.0,1340473.0,1407261.0,1775165.0,1787223.0,1543251.0,405.0,480.0,386.0,334.0,295.0,391.0,348.0,411.0
4202,4243,1630642.0,1023195.0,2174324.0,1085397.0,2028560.0,1586027.0,2160884.0,1511526.0,194.0,121.0,222.0,141.0,229.0,232.0,269.0,287.0
4203,4244,549840.0,418800.0,653539.0,524940.0,495657.0,635569.0,658937.0,145088.0,91.0,71.0,110.0,108.0,103.0,112.0,116.0,37.0
4204,4245,883764.0,1352780.0,1524877.0,1326974.0,1644500.0,1639811.0,1359232.0,919135.0,226.0,335.0,297.0,321.0,294.0,297.0,255.0,228.0
4205,4246,72328.0,217309.0,217374.0,127616.0,271984.0,266325.0,450853.0,157926.0,9.0,30.0,7.0,14.0,23.0,28.0,15.0,11.0
4206,4247,454475.0,857648.0,924728.0,867533.0,784640.0,834911.0,876486.0,587648.0,106.0,181.0,198.0,193.0,137.0,172.0,164.0,127.0
4207,4248,106042.0,719073.0,973231.0,1155032.0,1075791.0,1366805.0,1307515.0,913133.0,15.0,136.0,162.0,203.0,174.0,225.0,206.0,185.0
4208,4249,622435.0,894610.0,643099.0,646215.0,849837.0,993912.0,1069254.0,470768.0,133.0,150.0,126.0,131.0,183.0,190.0,221.0,103.0
4209,4250,651311.0,739121.0,986615.0,705065.0,871160.0,659710.0,871040.0,467967.0,174.0,209.0,218.0,238.0,221.0,182.0,224.0,154.0
4210,4251,3034396.0,148302.0,339530.0,371530.0,226627.0,359449.0,202179.0,99666.0,60.0,36.0,30.0,45.0,43.0,53.0,30.0,25.0
4211,4252,404593.0,521784.0,525330.0,293971.0,228466.0,576941.0,334647.0,310961.0,57.0,44.0,57.0,35.0,29.0,49.0,20.0,43.0
4212,4253,554595.0,661257.0,547995.0,455407.0,486553.0,517509.0,841204.0,330302.0,132.0,132.0,91.0,119.0,116.0,113.0,155.0,85.0
4213,4254,992908.0,992529.0,845073.0,787844.0,1136880.0,816014.0,1122983.0,1068307.0,127.0,159.0,112.0,128.0,154.0,101.0,146.0,174.0
4214,4255,517721.0,167699.0,482090.0,180977.0,24727.0,103248.0,267768.0,426579.0,55.0,29.0,51.0,20.0,3.0,14.0,18.0,34.0
4215,4256,1219292.0,1607554.0,1205637.0,556147.0,1377392.0,1683299.0,1106818.0,1200464.0,259.0,304.0,204.0,145.0,289.0,355.0,210.0,334.0
4216,4257,1107169.0,1023351.0,1218561.0,737391.0,1094307.0,880888.0,1271640.0,756139.0,171.0,181.0,203.0,140.0,229.0,168.0,195.0,179.0
4217,4258,447011.0,840693.0,780074.0,766913.0,798904.0,941278.0,492100.0,499396.0,40.0,68.0,51.0,67.0,67.0,66.0,41.0,38.0
4218,4259,949064.0,480285.0,377232.0,310523.0,367467.0,363327.0,208465.0,210262.0,66.0,38.0,21.0,26.0,44.0,17.0,13.0,23.0
4219,4260,187497.0,247148.0,195068.0,83440.0,131194.0,247657.0,130732.0,125885.0,48.0,48.0,22.0,21.0,18.0,16.0,25.0,13.0
4220,4261,798409.0,629087.0,820287.0,476851.0,1241334.0,978072.0,1204881.0,550380.0,115.0,92.0,66.0,62.0,143.0,138.0,109.0,94.0
4221,4262,1591039.0,1087868.0,1363524.0,1177069.0,693840.0,663113.0,1263076.0,366031.0,83.0,54.0,68.0,56.0,42.0,33.0,53.0,26.0
4222,4263,505868.0,956958.0,922726.0,753277.0,1070139.0,527065.0,994303.0,542414.0,47.0,80.0,60.0,73.0,89.0,47.0,79.0,45.0
4223,4264,809738.0,1073210.0,1174827.0,1117852.0,1064643.0,1384554.0,1327511.0,910817.0,169.0,214.0,216.0,227.0,198.0,246.0,190.0,226.0
4224,4265,845908.0,1121690.0,1244454.0,798893.0,716313.0,1238620.0,1077647.0,712479.0,208.0,250.0,246.0,219.0,159.0,279.0,219.0,232.0
4225,4266,96930.0,91678.0,152410.0,74404.0,109734.0,345787.0,122759.0,275145.0,4.0,4.0,22.0,6.0,9.0,12.0,7.0,19.0
4226,4267,1085745.0,1656162.0,1144503.0,1529785.0,795200.0,676111.0,1125946.0,676319.0,119.0,211.0,107.0,183.0,87.0,50.0,106.0,96.0
4227,4268,585211.0,470609.0,528714.0,584215.0,676304.0,357408.0,799713.0,575738.0,83.0,81.0,65.0,86.0,61.0,62.0,71.0,96.0
4228,4269,397744.0,322540.0,429813.0,426018.0,373842.0,463772.0,508795.0,250585.0,77.0,53.0,71.0,84.0,73.0,88.0,92.0,52.0
4229,4270,2824862.0,1715584.0,2661094.0,1934522.0,3478789.0,1789767.0,2948447.0,1323866.0,254.0,210.0,236.0,205.0,230.0,244.0,214.0,196.0
4230,4271,1263238.0,1351232.0,1797741.0,1100099.0,950968.0,1411521.0,1393074.0,912873.0,235.0,230.0,252.0,188.0,163.0,217.0,224.0,171.0
4231,4272,447647.0,697641.0,914058.0,429555.0,524375.0,700822.0,520807.0,430157.0,87.0,122.0,106.0,97.0,95.0,157.0,111.0,97.0
4232,4273,1303005.0,878199.0,1205483.0,803778.0,1004152.0,1165992.0,1352327.0,806764.0,304.0,205.0,244.0,212.0,220.0,262.0,255.0,198.0
4233,4274,1299089.0,1831528.0,1651068.0,1201295.0,876820.0,1017454.0,891791.0,552717.0,145.0,187.0,159.0,160.0,93.0,119.0,98.0,79.0
4234,4275,1295375.0,1968426.0,1939639.0,1752799.0,1564524.0,1551998.0,2034063.0,1562825.0,230.0,257.0,261.0,248.0,244.0,224.0,237.0,282.0
4235,4276,1033485.0,2461316.0,1719773.0,2540596.0,1587195.0,1052903.0,1271324.0,944658.0,104.0,147.0,127.0,192.0,137.0,116.0,134.0,129.0
4236,4277,2105645.0,836920.0,2002787.0,1350757.0,2059707.0,1748479.0,1737644.0,1102486.0,146.0,108.0,136.0,160.0,158.0,174.0,138.0,192.0
4237,4278,1183517.0,1672800.0,1593477.0,1354784.0,1183524.0,1485238.0,1254469.0,511171.0,225.0,308.0,264.0,269.0,216.0,243.0,188.0,105.0
4238,4279,865402.0,965272.0,674589.0,389509.0,501722.0,365666.0,221971.0,223810.0,204.0,200.0,141.0,120.0,143.0,100.0,62.0,82.0
4239,4280,1221032.0,1195663.0,1217782.0,703639.0,1283062.0,1635037.0,1625186.0,869800.0,288.0,254.0,226.0,187.0,276.0,362.0,313.0,233.0
4240,4281,560469.0,885204.0,964161.0,1017826.0,1324988.0,1629902.0,1455934.0,1417526.0,123.0,153.0,142.0,171.0,184.0,226.0,189.0,231.0
4241,4282,566254.0,699483.0,855893.0,953254.0,1142209.0,1434804.0,1417219.0,1081225.0,104.0,110.0,156.0,158.0,144.0,161.0,173.0,174.0
4242,4283,135393.0,337782.0,1459285.0,1403444.0,1190770.0,1106689.0,1245873.0,754183.0,26.0,61.0,311.0,330.0,247.0,227.0,262.0,227.0
4243,4284,598929.0,412102.0,435817.0,344875.0,433234.0,673983.0,685974.0,454218.0,113.0,87.0,74.0,77.0,63.0,108.0,90.0,72.0
4244,4285,906623.0,918399.0,851070.0,338106.0,375478.0,407588.0,817977.0,351848.0,189.0,167.0,126.0,64.0,86.0,73.0,137.0,82.0
4245,4286,966451.0,1336755.0,1810453.0,1313489.0,1640564.0,1393242.0,1843673.0,1170147.0,236.0,284.0,338.0,302.0,351.0,282.0,348.0,289.0
4246,4287,590293.0,571303.0,553543.0,399401.0,483747.0,375109.0,537979.0,207618.0,118.0,119.0,108.0,86.0,107.0,90.0,101.0,48.0
4247,4288,840985.0,857083.0,886776.0,807026.0,3156562.0,848761.0,3571328.0,534711.0,224.0,232.0,215.0,190.0,142.0,183.0,160.0,150.0
4248,4289,1027367.0,1212313.0,1130339.0,1258922.0,1178959.0,1203058.0,1304705.0,1013894.0,215.0,210.0,200.0,219.0,241.0,228.0,240.0,232.0
4249,4291,794537.0,617080.0,1727375.0,744053.0,1215041.0,896448.0,1512472.0,865920.0,93.0,48.0,125.0,93.0,134.0,99.0,96.0,125.0
4250,4292,297066.0,452225.0,888612.0,144535.0,613729.0,1040605.0,253523.0,346540.0,28.0,58.0,88.0,18.0,67.0,118.0,45.0,50.0
4251,4293,946572.0,1491289.0,1454899.0,868921.0,993988.0,1528600.0,1913557.0,847543.0,131.0,194.0,167.0,156.0,137.0,253.0,244.0,140.0
4252,4294,1123837.0,1095462.0,704318.0,823422.0,1200783.0,1040833.0,1126611.0,832131.0,102.0,106.0,71.0,89.0,125.0,114.0,122.0,115.0
4253,4295,880413.0,1032452.0,1379952.0,903439.0,1303114.0,1334077.0,1533199.0,683796.0,133.0,141.0,129.0,121.0,198.0,175.0,194.0,138.0
4254,4296,217280.0,656015.0,532936.0,395921.0,485499.0,446872.0,367555.0,357670.0,20.0,78.0,67.0,54.0,68.0,47.0,34.0,42.0
4255,4297,1139803.0,1389708.0,1035147.0,1429251.0,1364879.0,1010654.0,1857357.0,1154523.0,92.0,119.0,104.0,171.0,132.0,82.0,193.0,167.0
4256,4298,591524.0,635655.0,1038763.0,915050.0,550077.0,672459.0,426218.0,188870.0,106.0,92.0,134.0,153.0,99.0,112.0,62.0,51.0
4257,4299,485333.0,367179.0,290442.0,94503.0,266013.0,496602.0,763642.0,305749.0,71.0,51.0,33.0,26.0,48.0,83.0,105.0,68.0
4258,4300,715510.0,692444.0,882382.0,430051.0,437715.0,588654.0,424942.0,417294.0,122.0,147.0,192.0,152.0,105.0,121.0,89.0,107.0
4259,4301,929251.0,717301.0,623760.0,580842.0,618781.0,519494.0,485037.0,711118.0,220.0,162.0,139.0,160.0,163.0,121.0,116.0,162.0
4260,4302,653984.0,609476.0,828731.0,510700.0,465896.0,742370.0,1008267.0,574219.0,187.0,169.0,227.0,166.0,140.0,193.0,296.0,211.0
4261,4303,1544147.0,1249332.0,1073546.0,663137.0,870441.0,1123246.0,495630.0,648801.0,150.0,124.0,93.0,48.0,64.0,127.0,35.0,72.0
4262,4304,736214.0,778818.0,862091.0,483242.0,750027.0,574466.0,587108.0,217347.0,118.0,112.0,131.0,109.0,108.0,100.0,99.0,53.0
4263,4305,183305.0,248181.0,445358.0,379077.0,587103.0,464873.0,360413.0,251298.0,61.0,58.0,149.0,172.0,196.0,175.0,140.0,138.0
4264,4306,511848.0,845088.0,928911.0,721889.0,868033.0,1018516.0,855201.0,504631.0,71.0,103.0,89.0,96.0,107.0,98.0,76.0,62.0
4265,4307,410832.0,456464.0,763313.0,751023.0,839569.0,1038340.0,1445752.0,642321.0,63.0,63.0,113.0,109.0,125.0,130.0,142.0,134.0
4266,4308,695164.0,1012966.0,1038824.0,714123.0,760908.0,949657.0,1151362.0,796794.0,183.0,239.0,245.0,214.0,214.0,244.0,259.0,227.0
4267,4309,1630028.0,627561.0,1149166.0,384709.0,500387.0,748883.0,898271.0,1022390.0,104.0,58.0,88.0,41.0,42.0,60.0,84.0,96.0
4268,4310,1440857.0,1043336.0,1617969.0,1573913.0,1320329.0,370847.0,689769.0,814200.0,173.0,125.0,153.0,232.0,171.0,58.0,85.0,137.0
4269,4311,515749.0,571633.0,836285.0,928009.0,1045926.0,1353408.0,1285032.0,754980.0,149.0,196.0,197.0,271.0,270.0,329.0,277.0,217.0
4270,4312,606974.0,471141.0,948448.0,656524.0,897220.0,1055811.0,1193120.0,610602.0,120.0,105.0,139.0,117.0,149.0,192.0,202.0,138.0
4271,4313,1583535.0,1506528.0,1943943.0,1155426.0,1372480.0,1776968.0,1536575.0,748757.0,268.0,313.0,330.0,309.0,273.0,320.0,290.0,277.0
4272,4314,1757526.0,1346611.0,2161399.0,1728861.0,1778378.0,2070129.0,2665960.0,1503667.0,323.0,228.0,342.0,347.0,300.0,360.0,442.0,324.0
4273,4315,182467.0,430806.0,402239.0,353849.0,282480.0,649943.0,499537.0,347673.0,36.0,71.0,61.0,66.0,65.0,102.0,89.0,66.0
4274,4316,1184712.0,1316103.0,1290011.0,1127285.0,1311954.0,1189819.0,1223656.0,888671.0,136.0,150.0,138.0,129.0,129.0,131.0,118.0,112.0
4275,4317,1262110.0,1253237.0,1420359.0,1120625.0,1271101.0,1483574.0,1854184.0,949054.0,209.0,211.0,202.0,216.0,215.0,223.0,263.0,202.0
4276,4318,860051.0,771774.0,1044436.0,1094262.0,1475887.0,1094608.0,742021.0,539692.0,78.0,70.0,152.0,184.0,168.0,157.0,81.0,53.0
4277,4319,464548.0,499240.0,629811.0,625519.0,1025216.0,1097783.0,981867.0,781728.0,118.0,148.0,170.0,191.0,240.0,254.0,252.0,267.0
4278,4320,889628.0,753451.0,951199.0,1043786.0,1042022.0,1451916.0,1351286.0,745667.0,180.0,122.0,151.0,142.0,140.0,176.0,173.0,145.0
4279,4321,226283.0,1143428.0,1276139.0,1422307.0,1458995.0,1611136.0,1328046.0,590162.0,74.0,292.0,278.0,340.0,307.0,302.0,233.0,189.0
4280,4322,908120.0,865357.0,1553116.0,1220507.0,1675694.0,1381668.0,1853481.0,421435.0,80.0,69.0,110.0,124.0,109.0,115.0,157.0,48.0
4281,4323,782115.0,932723.0,1022932.0,975725.0,1020626.0,1158618.0,1076748.0,698455.0,250.0,286.0,343.0,435.0,344.0,339.0,351.0,322.0
4282,4324,3529666.0,1164223.0,4813198.0,1430794.0,2935286.0,1779231.0,1272164.0,1912441.0,114.0,91.0,81.0,104.0,85.0,114.0,89.0,65.0
4283,4325,2180375.0,719218.0,1214497.0,1182121.0,3332566.0,1047355.0,2812581.0,1018550.0,140.0,67.0,91.0,134.0,157.0,69.0,185.0,152.0
4284,4326,947353.0,663466.0,869454.0,703896.0,879423.0,792405.0,904927.0,532471.0,133.0,120.0,137.0,132.0,126.0,127.0,139.0,142.0
4285,4327,1550707.0,874504.0,1439127.0,1038548.0,1560800.0,497514.0,1699740.0,648547.0,51.0,51.0,71.0,61.0,75.0,27.0,62.0,52.0
4286,4328,608206.0,301386.0,307714.0,307862.0,495831.0,821441.0,974640.0,420251.0,56.0,38.0,36.0,38.0,79.0,85.0,129.0,68.0
4287,4329,753355.0,606455.0,704990.0,313787.0,708159.0,677867.0,2008223.0,729478.0,33.0,51.0,18.0,30.0,46.0,58.0,49.0,55.0
4288,4330,763926.0,279699.0,888786.0,1532967.0,1954786.0,1740834.0,1070381.0,592795.0,119.0,79.0,210.0,396.0,407.0,391.0,257.0,180.0
4289,4331,734225.0,700150.0,776482.0,475373.0,605783.0,588121.0,720127.0,501527.0,211.0,185.0,211.0,145.0,190.0,176.0,184.0,173.0
4290,4332,603789.0,618611.0,1324822.0,986790.0,600836.0,1670104.0,833748.0,630844.0,42.0,41.0,70.0,80.0,50.0,104.0,54.0,51.0
4291,4333,908596.0,893405.0,1179214.0,933000.0,1130847.0,1083598.0,1126779.0,565731.0,170.0,163.0,188.0,221.0,195.0,183.0,189.0,141.0
4292,4334,490478.0,495091.0,754259.0,429494.0,622195.0,501825.0,735054.0,538817.0,96.0,92.0,121.0,80.0,84.0,75.0,97.0,122.0
4293,4335,972296.0,1213164.0,1026500.0,628590.0,1286410.0,705093.0,923407.0,695575.0,176.0,198.0,153.0,110.0,138.0,126.0,117.0,158.0
4294,4336,537211.0,631820.0,737907.0,662930.0,771655.0,1085326.0,1098331.0,821424.0,139.0,140.0,143.0,158.0,140.0,193.0,186.0,155.0
4295,4337,819161.0,549608.0,525392.0,421881.0,672630.0,746919.0,767923.0,548715.0,200.0,150.0,148.0,148.0,203.0,190.0,159.0,164.0
4296,4338,111789.0,533461.0,113545.0,206542.0,329693.0,294594.0,293921.0,217962.0,9.0,10.0,5.0,13.0,14.0,12.0,17.0,17.0
4297,4339,522050.0,756440.0,478597.0,459780.0,436993.0,689881.0,618986.0,338993.0,141.0,196.0,80.0,85.0,91.0,104.0,91.0,88.0
4298,4340,1529163.0,1588291.0,1039299.0,370707.0,1641430.0,957393.0,1965034.0,439987.0,40.0,79.0,7.0,23.0,43.0,63.0,66.0,36.0
4299,4341,131125.0,196128.0,349992.0,135820.0,292513.0,229318.0,616845.0,172785.0,13.0,17.0,27.0,19.0,37.0,29.0,24.0,25.0
4300,4342,1528973.0,1313098.0,1606307.0,1220045.0,1174708.0,287710.0,347716.0,154738.0,233.0,242.0,234.0,224.0,154.0,55.0,50.0,25.0
4301,4343,829410.0,1103409.0,1495712.0,884654.0,922368.0,971492.0,691267.0,214356.0,129.0,154.0,99.0,142.0,87.0,117.0,67.0,33.0
4302,4344,555690.0,664439.0,406313.0,446520.0,592607.0,162760.0,781670.0,342543.0,27.0,38.0,32.0,38.0,25.0,17.0,70.0,24.0
4303,4345,314462.0,568068.0,410428.0,553993.0,868222.0,921088.0,1192358.0,618425.0,37.0,83.0,72.0,83.0,136.0,130.0,173.0,108.0
4304,4346,649152.0,553655.0,473881.0,459398.0,438732.0,760215.0,794186.0,416770.0,121.0,96.0,91.0,84.0,86.0,118.0,123.0,80.0
4305,4347,467931.0,193412.0,361407.0,436871.0,1435499.0,1214218.0,1236866.0,600986.0,47.0,22.0,47.0,52.0,136.0,86.0,96.0,71.0
4306,4348,203996.0,117759.0,442016.0,194544.0,497714.0,693543.0,618263.0,184242.0,23.0,17.0,35.0,23.0,45.0,54.0,34.0,21.0
4307,4349,552548.0,498997.0,451300.0,495786.0,584208.0,775852.0,682902.0,614757.0,101.0,82.0,70.0,81.0,98.0,114.0,82.0,121.0
4308,4350,658306.0,1229882.0,1858997.0,1279221.0,1722959.0,1814617.0,2133996.0,1035551.0,68.0,137.0,172.0,135.0,190.0,182.0,180.0,111.0
4309,4351,935800.0,961606.0,1130929.0,753918.0,1001119.0,1240765.0,908992.0,742973.0,295.0,326.0,341.0,287.0,320.0,397.0,233.0,279.0
4310,4352,671574.0,768234.0,952865.0,656961.0,773381.0,1165489.0,1025978.0,770297.0,190.0,191.0,241.0,234.0,240.0,283.0,235.0,227.0
4311,4353,1225282.0,1303722.0,1148747.0,1060222.0,1058865.0,1244398.0,1589724.0,1039364.0,328.0,373.0,334.0,330.0,314.0,355.0,368.0,288.0
4312,4354,740049.0,407455.0,345442.0,467037.0,466624.0,416889.0,543666.0,748433.0,158.0,110.0,96.0,142.0,119.0,78.0,99.0,145.0
4313,4355,438665.0,472013.0,485627.0,381560.0,563732.0,671518.0,465145.0,304646.0,111.0,121.0,86.0,122.0,144.0,182.0,99.0,95.0
4314,4356,892010.0,538994.0,582914.0,889815.0,229488.0,564543.0,407989.0,480101.0,81.0,32.0,44.0,65.0,34.0,54.0,38.0,51.0
4315,4357,238831.0,295420.0,455459.0,257761.0,416247.0,280053.0,424933.0,423738.0,38.0,37.0,55.0,54.0,28.0,36.0,53.0,65.0
4316,4358,292204.0,224151.0,220919.0,155805.0,214628.0,276678.0,93142.0,128710.0,47.0,48.0,36.0,28.0,41.0,36.0,11.0,23.0
4317,4359,1277561.0,1276929.0,1278546.0,1131876.0,1298884.0,1568375.0,1417431.0,1017379.0,264.0,288.0,241.0,316.0,325.0,310.0,272.0,313.0
4318,4360,593025.0,705658.0,1212500.0,511242.0,564172.0,990479.0,774313.0,445678.0,51.0,59.0,87.0,61.0,95.0,99.0,88.0,63.0
4319,4361,102830.0,234896.0,1572040.0,834069.0,851893.0,496654.0,383051.0,275308.0,17.0,31.0,128.0,92.0,115.0,39.0,40.0,38.0
4320,4362,819471.0,551754.0,823400.0,653976.0,356252.0,337665.0,524521.0,255871.0,91.0,71.0,73.0,65.0,29.0,21.0,37.0,21.0
4321,4363,1195342.0,677921.0,1037244.0,1121855.0,982739.0,1114980.0,1685847.0,1062238.0,172.0,105.0,125.0,187.0,112.0,170.0,187.0,147.0
4322,4364,171491.0,183548.0,236266.0,422515.0,299932.0,265683.0,125955.0,297186.0,32.0,30.0,35.0,56.0,48.0,35.0,28.0,52.0
4323,4365,779725.0,1077101.0,2619749.0,432490.0,1236923.0,792317.0,1364079.0,660070.0,57.0,29.0,48.0,43.0,29.0,47.0,58.0,58.0
4324,4366,248429.0,321866.0,475874.0,479724.0,243422.0,753716.0,570737.0,287240.0,62.0,76.0,103.0,125.0,70.0,143.0,105.0,81.0
4325,4367,692275.0,1019066.0,820994.0,563847.0,757997.0,834604.0,836384.0,549528.0,106.0,146.0,129.0,128.0,148.0,132.0,126.0,119.0
4326,4368,476539.0,707823.0,615756.0,500639.0,419740.0,216774.0,643609.0,180448.0,42.0,57.0,58.0,49.0,55.0,24.0,56.0,22.0
4327,4369,395325.0,185220.0,139274.0,269006.0,405199.0,758950.0,453082.0,382399.0,32.0,18.0,15.0,21.0,30.0,30.0,37.0,27.0
4328,4370,1153880.0,1277643.0,1546438.0,863317.0,1203252.0,1714101.0,2025411.0,1151220.0,291.0,329.0,318.0,218.0,292.0,384.0,446.0,356.0
4329,4371,956940.0,912470.0,1144623.0,525426.0,896639.0,729903.0,529224.0,478519.0,107.0,79.0,91.0,58.0,99.0,62.0,45.0,48.0
4330,4372,945151.0,939681.0,1478738.0,977065.0,1383319.0,1523843.0,2130371.0,1518750.0,189.0,174.0,210.0,176.0,263.0,288.0,285.0,275.0
4331,4373,821585.0,1089574.0,816585.0,675240.0,833912.0,1119911.0,1226674.0,537205.0,191.0,210.0,171.0,166.0,184.0,204.0,214.0,144.0
4332,4374,1377783.0,2376509.0,2650659.0,1756211.0,1289754.0,1765662.0,1901699.0,1576432.0,176.0,305.0,268.0,227.0,169.0,226.0,209.0,234.0
4333,4375,343029.0,355916.0,610243.0,927906.0,2089627.0,632198.0,1134828.0,564155.0,26.0,31.0,20.0,67.0,118.0,40.0,108.0,74.0
4334,4376,579513.0,367244.0,729955.0,404746.0,442289.0,422351.0,361078.0,406469.0,90.0,74.0,107.0,84.0,72.0,65.0,52.0,78.0
4335,4377,783237.0,755560.0,941601.0,749780.0,950168.0,947068.0,1143014.0,629142.0,234.0,179.0,182.0,216.0,221.0,227.0,205.0,192.0
4336,4378,799422.0,968770.0,754429.0,1199888.0,439291.0,691218.0,967711.0,443631.0,73.0,103.0,58.0,128.0,38.0,70.0,96.0,57.0
4337,4379,740932.0,685344.0,7475548.0,726105.0,7100884.0,981695.0,8977175.0,1253772.0,140.0,106.0,166.0,128.0,170.0,200.0,182.0,155.0
4338,4380,724889.0,579091.0,669122.0,638520.0,628803.0,725759.0,1036292.0,536196.0,130.0,132.0,112.0,119.0,112.0,134.0,133.0,103.0
4339,4381,2555754.0,2600872.0,2296459.0,926298.0,1156082.0,3075422.0,4534675.0,1310658.0,68.0,131.0,69.0,56.0,24.0,155.0,195.0,149.0
4340,4382,23371.0,135456.0,311580.0,83815.0,189812.0,826472.0,460200.0,427241.0,2.0,11.0,21.0,10.0,15.0,43.0,23.0,35.0
4341,4383,970288.0,601128.0,253303.0,526730.0,1003539.0,475206.0,753289.0,503627.0,70.0,31.0,19.0,29.0,56.0,37.0,38.0,63.0
4342,4384,108521.0,188125.0,368568.0,181216.0,290101.0,322925.0,252534.0,416291.0,15.0,17.0,23.0,29.0,33.0,34.0,22.0,30.0
4343,4385,1253180.0,1323303.0,972146.0,744592.0,981297.0,969208.0,695100.0,550739.0,383.0,371.0,238.0,303.0,257.0,281.0,134.0,154.0
4344,4386,218789.0,242975.0,1595521.0,1694584.0,1757966.0,1850224.0,2725787.0,1365263.0,32.0,54.0,277.0,412.0,429.0,354.0,442.0,339.0
4345,4387,545679.0,700492.0,817337.0,575323.0,460761.0,760139.0,684225.0,463427.0,94.0,115.0,139.0,89.0,68.0,118.0,107.0,102.0
4346,4388,648636.0,436231.0,513040.0,292318.0,801638.0,391652.0,569598.0,203748.0,95.0,69.0,71.0,54.0,116.0,57.0,104.0,42.0
4347,4389,482325.0,544700.0,499124.0,840922.0,843433.0,955463.0,833695.0,543301.0,72.0,85.0,72.0,139.0,121.0,122.0,127.0,93.0
4348,4390,586992.0,615240.0,807043.0,826526.0,954653.0,1364268.0,82530.0,94981.0,189.0,183.0,235.0,230.0,280.0,298.0,11.0,21.0
4349,4391,1541872.0,1192647.0,1484419.0,1056647.0,1690981.0,2143052.0,1859425.0,137221.0,212.0,141.0,174.0,187.0,174.0,232.0,181.0,34.0
4350,4392,993111.0,1125617.0,965415.0,619205.0,984218.0,892794.0,944934.0,544193.0,241.0,269.0,228.0,173.0,246.0,222.0,209.0,190.0
4351,4393,621372.0,546132.0,341982.0,203414.0,316399.0,117387.0,241582.0,256407.0,110.0,96.0,62.0,37.0,47.0,27.0,51.0,58.0
