,고객번호,1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,8기구매등급,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,7기구매횟수,8기구매횟수
1669,2604,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,204.0,247.0,300.0,228.0,228.0,251.0,140.0,205.0
8214,2605,5.0,4.0,5.0,5.0,6.0,6.0,6.0,7.0,103.0,131.0,110.0,130.0,108.0,132.0,97.0,103.0
14269,2606,8.0,8.0,9.0,10.0,8.0,6.0,8.0,9.0,81.0,121.0,86.0,59.0,128.0,156.0,113.0,91.0
7622,2607,5.0,6.0,8.0,5.0,8.0,4.0,5.0,7.0,250.0,269.0,187.0,210.0,161.0,194.0,219.0,174.0
4923,2608,3.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,96.0,89.0,106.0,126.0,104.0,162.0,178.0,148.0
10899,2609,6.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,205.0,234.0,213.0,221.0,215.0,243.0,288.0,220.0
15033,2610,8.0,10.0,9.0,9.0,8.0,9.0,6.0,6.0,129.0,117.0,107.0,142.0,209.0,201.0,206.0,182.0
9488,2611,6.0,6.0,5.0,6.0,6.0,6.0,4.0,5.0,398.0,370.0,387.0,401.0,374.0,410.0,427.0,362.0
6922,2612,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,24.0,24.0,57.0,58.0,66.0,87.0,116.0,96.0
1179,2613,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,68.0,77.0,83.0,68.0,126.0,125.0,157.0,138.0
16867,2614,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,152.0,164.0,168.0,140.0,179.0,169.0,132.0,152.0
6133,2615,4.0,5.0,5.0,5.0,7.0,5.0,8.0,5.0,200.0,194.0,138.0,131.0,113.0,174.0,117.0,140.0
1409,2616,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,140.0,97.0,118.0,92.0,100.0,110.0,104.0,91.0
16392,2617,9.0,4.0,8.0,8.0,6.0,7.0,7.0,5.0,154.0,152.0,125.0,137.0,211.0,234.0,264.0,203.0
3781,2618,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,363.0,483.0,405.0,379.0,415.0,458.0,467.0,413.0
3327,2619,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,110.0,95.0,189.0,179.0,96.0,82.0,95.0,68.0
9992,2620,6.0,7.0,7.0,7.0,8.0,6.0,8.0,8.0,190.0,190.0,207.0,227.0,187.0,229.0,155.0,120.0
7904,2622,5.0,5.0,6.0,4.0,6.0,4.0,5.0,5.0,289.0,259.0,231.0,301.0,281.0,338.0,225.0,264.0
4939,2623,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,49.0,59.0,78.0,80.0,84.0,51.0,88.0,96.0
5056,2624,3.0,6.0,9.0,6.0,3.0,4.0,8.0,5.0,68.0,59.0,36.0,54.0,80.0,99.0,67.0,112.0
5297,2625,3.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,138.0,153.0,188.0,170.0,181.0,140.0,184.0,152.0
3273,2626,2.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,37.0,92.0,64.0,73.0,57.0,100.0,76.0,35.0
12101,2627,7.0,5.0,5.0,4.0,6.0,9.0,9.0,8.0,63.0,155.0,108.0,109.0,71.0,72.0,78.0,70.0
10349,2628,6.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,151.0,161.0,169.0,209.0,266.0,289.0,211.0,195.0
4394,2629,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,453.0,583.0,539.0,624.0,469.0,492.0,527.0,425.0
13317,2630,8.0,10.0,9.0,7.0,6.0,8.0,5.0,5.0,167.0,89.0,202.0,189.0,251.0,223.0,295.0,289.0
8141,2631,5.0,3.0,7.0,5.0,5.0,5.0,3.0,6.0,60.0,71.0,50.0,87.0,80.0,105.0,98.0,88.0
2607,2632,2.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,226.0,282.0,163.0,118.0,188.0,117.0,101.0,73.0
3254,2633,2.0,3.0,5.0,4.0,8.0,5.0,5.0,7.0,118.0,150.0,123.0,132.0,67.0,96.0,92.0,89.0
2983,2634,2.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,84.0,73.0,79.0,122.0,63.0,112.0,113.0,131.0
10231,2635,6.0,7.0,6.0,5.0,4.0,6.0,5.0,5.0,172.0,196.0,245.0,213.0,184.0,334.0,261.0,303.0
16551,2636,9.0,7.0,6.0,4.0,5.0,8.0,6.0,4.0,150.0,197.0,234.0,338.0,282.0,199.0,246.0,239.0
13973,2637,8.0,7.0,7.0,7.0,9.0,7.0,7.0,5.0,123.0,178.0,164.0,193.0,186.0,242.0,203.0,183.0
1117,2638,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,82.0,100.0,147.0,95.0,79.0,67.0,54.0,90.0
4456,2639,3.0,2.0,6.0,4.0,9.0,3.0,3.0,4.0,114.0,134.0,101.0,139.0,75.0,130.0,58.0,73.0
1208,2640,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64.0,89.0,77.0,99.0,114.0,109.0,120.0,174.0
1436,2641,1.0,1.0,2.0,4.0,3.0,2.0,2.0,3.0,100.0,84.0,78.0,34.0,70.0,79.0,69.0,73.0
2651,2642,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,56.0,90.0,73.0,79.0,64.0,61.0,56.0,55.0
502,2643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,109.0,140.0,121.0,167.0,108.0,105.0,114.0,117.0
3563,2644,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,317.0,277.0,294.0,316.0,304.0,357.0,350.0,372.0
969,2645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,182.0,153.0,143.0,195.0,140.0,87.0,99.0,39.0
3495,2646,2.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,197.0,154.0,135.0,162.0,162.0,166.0,115.0,147.0
6203,2647,4.0,6.0,5.0,7.0,7.0,6.0,6.0,6.0,343.0,289.0,325.0,216.0,161.0,285.0,279.0,237.0
6392,2648,4.0,6.0,4.0,5.0,6.0,4.0,3.0,5.0,227.0,171.0,205.0,191.0,173.0,268.0,308.0,198.0
5063,2649,3.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,194.0,185.0,197.0,187.0,180.0,182.0,153.0,143.0
12340,2650,7.0,5.0,6.0,7.0,4.0,5.0,5.0,6.0,162.0,183.0,204.0,181.0,205.0,290.0,285.0,136.0
13452,2651,8.0,7.0,8.0,7.0,5.0,4.0,4.0,4.0,208.0,200.0,199.0,223.0,254.0,256.0,319.0,261.0
3648,2652,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,274.0,321.0,187.0,270.0,263.0,271.0,267.0,282.0
1737,2653,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,37.0,54.0,76.0,69.0,54.0,60.0,58.0,84.0
2854,2654,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,89.0,116.0,143.0,194.0,223.0,430.0,371.0,414.0
3314,2655,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,41.0,32.0,70.0,37.0,61.0,103.0,38.0,71.0
2322,2656,2.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,52.0,66.0,42.0,89.0,68.0,59.0,41.0,63.0
25,2657,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,123.0,123.0,89.0,109.0,118.0,122.0,132.0,115.0
11369,2658,7.0,6.0,7.0,7.0,7.0,5.0,4.0,5.0,233.0,238.0,180.0,160.0,216.0,287.0,354.0,254.0
9526,2659,6.0,5.0,6.0,7.0,7.0,5.0,7.0,4.0,231.0,256.0,264.0,249.0,281.0,315.0,227.0,316.0
2564,2660,2.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,101.0,228.0,130.0,84.0,138.0,162.0,160.0,147.0
1761,2661,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,219.0,205.0,101.0,130.0,84.0,70.0,105.0,123.0
2053,2662,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.0,84.0,80.0,85.0,73.0,95.0,73.0,104.0
4329,2663,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,68.0,94.0,108.0,88.0,84.0,104.0,66.0,66.0
6247,2664,4.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,116.0,167.0,132.0,91.0,131.0,158.0,127.0,132.0
1258,2665,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,128.0,184.0,110.0,92.0,79.0,89.0,81.0
6451,2666,4.0,4.0,4.0,5.0,6.0,5.0,4.0,5.0,275.0,228.0,161.0,141.0,214.0,225.0,228.0,202.0
9656,2667,6.0,5.0,6.0,5.0,4.0,6.0,10.0,5.0,200.0,170.0,162.0,135.0,131.0,112.0,73.0,135.0
17614,2668,10.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0,207.0,164.0,194.0,186.0,300.0,298.0,357.0,306.0
5133,2669,3.0,7.0,8.0,5.0,9.0,6.0,5.0,8.0,82.0,65.0,82.0,81.0,58.0,105.0,102.0,63.0
6910,2670,4.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,426.0,492.0,540.0,505.0,538.0,573.0,512.0,494.0
379,2671,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,134.0,131.0,208.0,91.0,95.0,86.0,143.0,190.0
15867,2672,9.0,9.0,8.0,9.0,6.0,8.0,8.0,10.0,116.0,150.0,121.0,91.0,128.0,122.0,111.0,80.0
14530,2673,8.0,5.0,7.0,4.0,9.0,3.0,6.0,5.0,96.0,140.0,121.0,123.0,134.0,187.0,236.0,195.0
16616,2674,9.0,9.0,9.0,8.0,10.0,9.0,10.0,7.0,116.0,207.0,177.0,187.0,143.0,202.0,134.0,246.0
918,2675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,92.0,136.0,98.0,75.0,99.0,98.0,63.0,44.0
10210,2676,6.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,399.0,360.0,286.0,279.0,290.0,373.0,361.0,343.0
1174,2677,1.0,2.0,1.0,1.0,1.0,6.0,3.0,3.0,100.0,69.0,102.0,70.0,52.0,41.0,28.0,39.0
9519,2678,6.0,7.0,6.0,4.0,7.0,6.0,6.0,6.0,156.0,130.0,172.0,212.0,231.0,243.0,216.0,253.0
177,2679,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.0,129.0,100.0,137.0,95.0,131.0,98.0,134.0
16542,2680,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,91.0,119.0,113.0,107.0,115.0,93.0,75.0,56.0
15155,2681,9.0,5.0,7.0,5.0,7.0,6.0,8.0,9.0,269.0,261.0,255.0,287.0,270.0,275.0,274.0,241.0
4556,2682,3.0,2.0,5.0,4.0,3.0,4.0,10.0,2.0,64.0,135.0,58.0,68.0,83.0,54.0,35.0,115.0
1365,2683,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,244.0,224.0,237.0,269.0,322.0,287.0,267.0,281.0
9127,2684,5.0,5.0,6.0,5.0,4.0,4.0,3.0,5.0,174.0,163.0,149.0,179.0,294.0,249.0,303.0,167.0
6907,2685,4.0,4.0,1.0,3.0,5.0,4.0,6.0,2.0,140.0,172.0,183.0,183.0,187.0,174.0,193.0,272.0
338,2686,1.0,1.0,1.0,1.0,1.0,2.0,10.0,1.0,152.0,159.0,175.0,120.0,138.0,134.0,68.0,134.0
6742,2687,4.0,3.0,4.0,5.0,4.0,6.0,6.0,4.0,170.0,266.0,178.0,163.0,186.0,133.0,149.0,129.0
7059,2688,4.0,4.0,6.0,7.0,8.0,6.0,7.0,6.0,509.0,380.0,371.0,288.0,275.0,259.0,311.0,307.0
11632,2689,7.0,8.0,4.0,9.0,7.0,9.0,8.0,8.0,261.0,269.0,363.0,284.0,261.0,301.0,269.0,296.0
3809,2690,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,122.0,103.0,78.0,129.0,106.0,115.0,117.0,104.0
12598,2691,7.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,81.0,115.0,59.0,63.0,105.0,141.0,101.0,61.0
3771,2692,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,49.0,82.0,101.0,73.0,61.0,81.0,119.0,92.0
14443,2693,8.0,2.0,8.0,3.0,9.0,10.0,10.0,9.0,87.0,96.0,135.0,127.0,145.0,139.0,90.0,109.0
1222,2694,1.0,1.0,1.0,6.0,5.0,4.0,2.0,1.0,480.0,487.0,362.0,38.0,75.0,54.0,59.0,93.0
325,2695,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,254.0,166.0,186.0,192.0,163.0,217.0,309.0,240.0
10638,2696,6.0,7.0,10.0,8.0,8.0,3.0,6.0,7.0,54.0,56.0,44.0,37.0,59.0,128.0,65.0,78.0
1401,2697,1.0,2.0,2.0,3.0,2.0,5.0,3.0,4.0,103.0,103.0,75.0,104.0,36.0,48.0,54.0,46.0
6853,2698,4.0,4.0,5.0,6.0,7.0,5.0,4.0,3.0,121.0,123.0,81.0,76.0,90.0,102.0,155.0,150.0
10605,2699,6.0,6.0,9.0,8.0,5.0,5.0,5.0,6.0,244.0,244.0,177.0,197.0,268.0,281.0,292.0,220.0
5279,2700,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,245.0,272.0,240.0,246.0,202.0,161.0,180.0,184.0
10115,2701,6.0,8.0,6.0,5.0,7.0,5.0,6.0,7.0,272.0,216.0,253.0,236.0,255.0,394.0,333.0,254.0
7885,2702,5.0,6.0,5.0,4.0,7.0,5.0,6.0,5.0,107.0,86.0,128.0,101.0,82.0,138.0,110.0,95.0
9732,2703,6.0,6.0,7.0,7.0,4.0,4.0,5.0,5.0,273.0,280.0,230.0,278.0,268.0,286.0,264.0,295.0
9659,2704,6.0,8.0,8.0,6.0,5.0,7.0,7.0,9.0,121.0,130.0,208.0,153.0,220.0,173.0,219.0,147.0
10435,2705,6.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,129.0,110.0,100.0,108.0,98.0,111.0,97.0,109.0
3430,2706,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,141.0,120.0,106.0,164.0,166.0,88.0,93.0,121.0
1391,2707,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,134.0,100.0,107.0,99.0,87.0,136.0,131.0,91.0
6281,2708,4.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,83.0,122.0,97.0,150.0,106.0,111.0,115.0,151.0
10815,2710,6.0,5.0,5.0,6.0,5.0,4.0,3.0,5.0,94.0,103.0,121.0,156.0,194.0,169.0,253.0,198.0
6455,2711,4.0,5.0,4.0,7.0,7.0,6.0,5.0,5.0,296.0,299.0,297.0,209.0,221.0,215.0,239.0,254.0
3279,2712,2.0,4.0,4.0,4.0,3.0,7.0,4.0,2.0,186.0,147.0,156.0,139.0,134.0,117.0,142.0,175.0
13458,2713,8.0,7.0,9.0,6.0,6.0,5.0,5.0,5.0,192.0,149.0,137.0,276.0,222.0,331.0,304.0,273.0
15411,2714,9.0,8.0,8.0,10.0,8.0,7.0,6.0,9.0,113.0,164.0,190.0,86.0,144.0,192.0,231.0,133.0
7133,2715,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,175.0,202.0,181.0,193.0,191.0,247.0,193.0,201.0
962,2716,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,77.0,82.0,111.0,126.0,164.0,128.0,96.0,113.0
9620,2717,6.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,31.0,65.0,85.0,78.0,56.0,64.0,39.0,103.0
9291,2718,5.0,10.0,9.0,9.0,9.0,5.0,4.0,3.0,44.0,74.0,63.0,83.0,68.0,117.0,117.0,72.0
11373,2719,7.0,8.0,6.0,7.0,5.0,6.0,6.0,8.0,281.0,235.0,271.0,231.0,268.0,311.0,280.0,257.0
38,2720,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,86.0,97.0,109.0,56.0,58.0,115.0,49.0,82.0
6725,2721,4.0,3.0,3.0,4.0,5.0,3.0,6.0,4.0,121.0,187.0,125.0,111.0,97.0,162.0,77.0,116.0
6655,2722,4.0,3.0,5.0,4.0,6.0,4.0,3.0,5.0,190.0,262.0,199.0,228.0,173.0,181.0,176.0,184.0
7694,2723,5.0,3.0,3.0,5.0,9.0,6.0,3.0,4.0,90.0,211.0,293.0,236.0,105.0,231.0,248.0,138.0
17753,2724,10.0,2.0,10.0,3.0,4.0,4.0,3.0,1.0,18.0,11.0,17.0,69.0,137.0,183.0,172.0,132.0
635,2725,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,79.0,91.0,73.0,59.0,46.0,74.0,70.0,68.0
1594,2726,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,65.0,107.0,78.0,76.0,66.0,144.0,66.0,62.0
6610,2727,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,249.0,239.0,275.0,240.0,249.0,273.0,215.0,257.0
16914,2728,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,147.0,178.0,191.0,205.0,213.0,223.0,271.0,191.0
16574,2729,9.0,6.0,8.0,6.0,5.0,6.0,7.0,9.0,67.0,74.0,89.0,120.0,137.0,179.0,146.0,76.0
13836,2730,8.0,5.0,8.0,5.0,8.0,4.0,6.0,8.0,145.0,128.0,156.0,161.0,143.0,218.0,211.0,184.0
10811,2731,6.0,8.0,10.0,5.0,5.0,10.0,9.0,8.0,94.0,95.0,84.0,102.0,102.0,63.0,66.0,83.0
8030,2732,5.0,5.0,7.0,5.0,9.0,8.0,8.0,9.0,207.0,198.0,229.0,189.0,161.0,204.0,240.0,125.0
8534,2733,5.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,176.0,202.0,179.0,208.0,181.0,190.0,253.0,216.0
11647,2734,7.0,9.0,6.0,7.0,6.0,7.0,7.0,7.0,296.0,181.0,234.0,212.0,331.0,245.0,306.0,236.0
1997,2735,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,92.0,113.0,54.0,131.0,67.0,151.0,72.0,165.0
15353,2736,9.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,113.0,97.0,82.0,45.0,41.0,88.0,71.0,96.0
5356,2737,3.0,1.0,4.0,5.0,3.0,4.0,4.0,4.0,222.0,145.0,181.0,192.0,183.0,228.0,177.0,167.0
4762,2738,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,359.0,448.0,385.0,348.0,349.0,427.0,454.0,338.0
10353,2739,6.0,8.0,9.0,7.0,4.0,6.0,4.0,5.0,121.0,134.0,84.0,132.0,168.0,123.0,207.0,177.0
16108,2740,9.0,10.0,7.0,8.0,7.0,6.0,8.0,3.0,131.0,136.0,219.0,188.0,202.0,222.0,224.0,209.0
6474,2741,4.0,1.0,4.0,1.0,6.0,3.0,3.0,2.0,46.0,123.0,115.0,154.0,49.0,85.0,71.0,53.0
5816,2742,4.0,8.0,7.0,4.0,2.0,5.0,10.0,4.0,55.0,13.0,18.0,25.0,25.0,23.0,16.0,30.0
11406,2743,7.0,6.0,6.0,6.0,6.0,6.0,5.0,8.0,288.0,393.0,401.0,347.0,368.0,424.0,524.0,316.0
14547,2744,8.0,7.0,8.0,9.0,8.0,8.0,8.0,5.0,110.0,156.0,125.0,108.0,116.0,131.0,178.0,154.0
8286,2745,5.0,4.0,5.0,6.0,6.0,4.0,5.0,8.0,196.0,197.0,236.0,184.0,211.0,248.0,204.0,122.0
10295,2746,6.0,8.0,9.0,9.0,8.0,8.0,7.0,10.0,188.0,155.0,128.0,118.0,143.0,175.0,177.0,92.0
12545,2747,7.0,6.0,6.0,6.0,5.0,9.0,8.0,6.0,247.0,306.0,201.0,212.0,222.0,235.0,172.0,190.0
12938,2748,7.0,7.0,9.0,10.0,9.0,9.0,10.0,8.0,290.0,259.0,207.0,203.0,184.0,215.0,183.0,232.0
3417,2749,2.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,134.0,174.0,137.0,187.0,142.0,172.0,242.0,149.0
11886,2750,7.0,6.0,6.0,5.0,8.0,5.0,6.0,8.0,201.0,228.0,207.0,191.0,186.0,290.0,213.0,156.0
4211,2751,3.0,3.0,6.0,4.0,4.0,3.0,5.0,7.0,159.0,218.0,160.0,206.0,161.0,128.0,136.0,86.0
8948,2752,5.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,171.0,138.0,159.0,106.0,126.0,145.0,132.0,105.0
2499,2753,2.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,129.0,118.0,125.0,69.0,102.0,130.0,92.0,79.0
5227,2754,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,175.0,217.0,333.0,453.0,328.0,234.0,362.0,384.0
11366,2755,7.0,6.0,7.0,10.0,8.0,9.0,7.0,5.0,241.0,275.0,253.0,121.0,194.0,201.0,162.0,214.0
3637,2756,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,208.0,207.0,149.0,209.0,194.0,161.0,188.0,194.0
13925,2757,8.0,5.0,4.0,8.0,6.0,10.0,8.0,8.0,95.0,102.0,95.0,66.0,68.0,52.0,30.0,41.0
10198,2758,6.0,8.0,9.0,10.0,5.0,3.0,2.0,4.0,63.0,56.0,53.0,45.0,168.0,251.0,305.0,249.0
3943,2759,3.0,3.0,3.0,4.0,3.0,1.0,3.0,2.0,177.0,216.0,164.0,122.0,137.0,197.0,173.0,277.0
2876,2760,2.0,1.0,5.0,3.0,3.0,5.0,7.0,1.0,130.0,89.0,115.0,112.0,124.0,158.0,127.0,122.0
411,2761,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,148.0,105.0,212.0,153.0,196.0,142.0,151.0,161.0
12071,2762,7.0,7.0,6.0,5.0,7.0,8.0,6.0,7.0,116.0,120.0,134.0,155.0,133.0,128.0,163.0,113.0
3295,2763,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,126.0,144.0,87.0,137.0,112.0,167.0,175.0,143.0
17338,2764,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,127.0,190.0,176.0,211.0,194.0,192.0,192.0,171.0
15563,2765,9.0,9.0,10.0,8.0,8.0,7.0,8.0,7.0,140.0,158.0,142.0,139.0,214.0,152.0,161.0,218.0
11674,2766,7.0,6.0,8.0,8.0,9.0,8.0,9.0,6.0,332.0,307.0,225.0,224.0,188.0,238.0,231.0,272.0
5582,2767,3.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,123.0,157.0,186.0,194.0,198.0,208.0,166.0,111.0
5024,2768,3.0,5.0,7.0,5.0,6.0,4.0,7.0,4.0,147.0,106.0,98.0,134.0,127.0,186.0,106.0,131.0
8313,2769,5.0,6.0,5.0,4.0,7.0,5.0,5.0,4.0,370.0,373.0,380.0,344.0,354.0,363.0,427.0,400.0
6522,2770,4.0,5.0,4.0,4.0,7.0,7.0,8.0,10.0,179.0,206.0,227.0,171.0,143.0,178.0,153.0,127.0
12193,2771,7.0,6.0,4.0,8.0,3.0,3.0,9.0,2.0,70.0,63.0,47.0,66.0,94.0,172.0,44.0,35.0
15146,2772,9.0,8.0,6.0,5.0,5.0,6.0,6.0,10.0,79.0,52.0,129.0,201.0,125.0,139.0,114.0,72.0
843,2774,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,165.0,245.0,243.0,186.0,130.0,148.0,122.0,87.0
12977,2775,7.0,7.0,8.0,7.0,7.0,9.0,8.0,9.0,127.0,121.0,76.0,103.0,91.0,125.0,105.0,66.0
508,2776,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,87.0,49.0,39.0,57.0,79.0,91.0,83.0,107.0
6818,2777,4.0,5.0,7.0,5.0,1.0,2.0,3.0,2.0,131.0,40.0,19.0,22.0,210.0,174.0,229.0,258.0
3525,2778,2.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,65.0,68.0,53.0,78.0,74.0,123.0,58.0,82.0
693,2779,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,305.0,289.0,400.0,396.0,349.0,445.0,416.0,330.0
12577,2780,7.0,6.0,9.0,10.0,8.0,8.0,7.0,8.0,42.0,51.0,50.0,47.0,61.0,54.0,73.0,59.0
1824,2781,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,83.0,146.0,145.0,123.0,144.0,192.0,176.0,182.0
9803,2782,6.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,92.0,126.0,163.0,135.0,122.0,97.0,56.0,122.0
17992,2783,10.0,3.0,10.0,9.0,9.0,9.0,8.0,6.0,54.0,100.0,104.0,105.0,116.0,155.0,199.0,188.0
12471,2784,7.0,7.0,8.0,5.0,6.0,5.0,5.0,5.0,245.0,239.0,210.0,371.0,298.0,384.0,308.0,264.0
8805,2785,5.0,10.0,10.0,7.0,5.0,9.0,5.0,5.0,28.0,44.0,51.0,118.0,149.0,113.0,147.0,131.0
497,2786,1.0,1.0,2.0,2.0,4.0,2.0,3.0,2.0,87.0,82.0,99.0,92.0,44.0,76.0,86.0,73.0
5161,2787,3.0,5.0,5.0,6.0,6.0,6.0,7.0,8.0,156.0,225.0,207.0,196.0,196.0,219.0,273.0,197.0
16848,2788,9.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,206.0,199.0,296.0,184.0,225.0,320.0,334.0,235.0
13593,2789,8.0,7.0,7.0,6.0,8.0,7.0,9.0,7.0,222.0,183.0,251.0,247.0,264.0,252.0,195.0,197.0
12657,2790,7.0,8.0,10.0,8.0,10.0,8.0,8.0,8.0,229.0,224.0,145.0,199.0,184.0,273.0,226.0,184.0
4264,2791,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,158.0,180.0,158.0,188.0,184.0,108.0,181.0,175.0
15042,2792,8.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,234.0,208.0,188.0,224.0,142.0,194.0,211.0,163.0
5794,2793,4.0,3.0,4.0,5.0,5.0,8.0,5.0,7.0,323.0,265.0,318.0,300.0,181.0,125.0,177.0,139.0
3877,2794,3.0,5.0,3.0,4.0,6.0,3.0,2.0,1.0,117.0,110.0,161.0,124.0,37.0,73.0,107.0,110.0
12233,2795,7.0,2.0,4.0,8.0,8.0,9.0,9.0,8.0,122.0,105.0,208.0,141.0,169.0,180.0,153.0,134.0
5514,2796,3.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,79.0,82.0,74.0,94.0,100.0,209.0,152.0,153.0
1932,2797,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,153.0,184.0,171.0,199.0,210.0,251.0,197.0,194.0
7204,2798,4.0,5.0,5.0,10.0,7.0,7.0,6.0,8.0,97.0,74.0,92.0,106.0,112.0,165.0,200.0,142.0
13966,2799,8.0,8.0,10.0,8.0,9.0,9.0,10.0,7.0,288.0,265.0,241.0,258.0,250.0,263.0,155.0,289.0
9491,2800,6.0,1.0,4.0,3.0,2.0,3.0,2.0,1.0,32.0,73.0,53.0,91.0,71.0,93.0,114.0,142.0
2891,2801,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,66.0,65.0,57.0,90.0,83.0,124.0,132.0,168.0
9069,2802,5.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,187.0,257.0,250.0,343.0,292.0,363.0,262.0,246.0
18100,2803,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,70.0,79.0,89.0,96.0,101.0,128.0,123.0,83.0
12638,2804,7.0,2.0,3.0,2.0,5.0,1.0,3.0,3.0,45.0,110.0,78.0,116.0,59.0,106.0,66.0,80.0
