고객번호,편의품구매횟수,선매품구매횟수,전문품구매횟수,기타구매횟수,편의품구매등급,선매품구매등급,전문품구매등급,기타구매등급
1884,1072,27,0,2,9,10,6,10
1885,546,238,7,64,6,3,3,4
1886,1142,152,1,16,2,3,4,7
1887,1213,36,0,11,5,8,6,7
1888,538,288,3,11,5,1,3,5
1889,477,238,4,38,8,1,2,2
1890,1602,30,0,0,3,10,6,10
1891,1193,20,0,6,6,8,6,8
1892,692,86,0,0,10,6,6,10
1893,3015,34,0,39,4,9,6,8
1894,460,262,0,37,4,3,6,5
1895,427,287,33,26,4,1,1,4
1896,1710,172,8,40,1,2,3,6
1897,1890,57,1,42,6,7,5,8
1898,357,226,7,27,9,1,2,6
1899,1726,157,2,19,2,4,2,7
1900,1086,426,9,9,3,1,2,9
1901,167,303,4,32,10,2,2,6
1902,2379,88,0,1,2,5,6,10
1903,1556,120,1,25,3,6,5,7
1904,2889,61,0,128,2,6,6,2
1905,2464,99,0,13,2,7,6,9
1906,1090,68,0,9,7,6,6,9
1907,121,396,70,35,10,1,1,4
1908,1722,274,9,61,1,3,2,2
1909,1204,358,13,5,1,2,1,6
1910,1821,117,8,37,2,4,2,6
1911,422,277,3,22,8,2,4,6
1912,707,158,2,20,9,7,4,7
1913,723,227,5,91,4,1,1,2
1914,1165,64,1,33,8,7,5,6
1915,1517,56,0,24,6,7,6,8
1916,741,100,1,48,6,5,5,6
1917,795,154,2,7,7,4,5,6
1918,1428,129,1,6,1,3,5,5
1919,1095,22,0,3,8,10,6,8
1920,336,287,9,38,8,3,1,3
1921,1531,49,0,4,5,7,6,9
1922,854,328,20,62,1,1,1,2
1923,687,81,1,29,4,4,4,6
1924,2449,319,4,121,1,2,3,1
1925,496,219,7,76,3,2,1,1
1926,348,268,4,11,10,2,2,8
1928,520,110,0,18,3,4,6,6
1929,1720,43,0,3,6,4,6,9
1930,542,189,6,21,6,3,2,2
1931,1972,15,0,0,6,10,6,10
1932,685,183,7,71,4,3,2,2
1933,2205,11,0,1,4,9,6,5
1934,219,284,11,19,3,2,1,5
1935,2978,106,3,18,1,6,5,7
1936,1102,109,1,44,5,6,5,5
1937,158,258,2,48,10,3,4,3
1938,337,277,3,54,5,1,5,1
1939,2061,279,16,65,1,1,1,4
1940,912,144,0,20,9,5,6,8
1941,907,204,1,59,3,2,3,3
1942,2051,41,2,8,2,8,5,8
1943,1111,210,0,21,4,4,6,4
1944,967,333,8,44,3,3,3,3
1945,1534,220,25,99,1,2,1,1
1946,2105,132,1,44,1,4,4,4
1947,796,114,0,12,8,6,6,6
1948,599,66,0,1,2,5,6,10
1949,305,86,2,32,10,5,3,7
1950,2080,60,0,56,5,8,6,5
1951,2092,178,0,14,3,6,6,8
1952,239,243,2,21,10,3,5,4
1953,267,168,12,50,1,2,2,3
1954,175,277,13,49,9,1,1,1
1955,1578,37,0,3,2,7,6,5
1956,413,236,1,21,1,1,3,6
1957,939,320,21,109,3,2,1,1
1958,2009,166,5,170,2,5,3,1
1959,1862,30,0,2,3,8,6,9
1960,1394,64,1,16,6,9,5,8
1961,2753,98,0,5,3,3,6,3
1962,3094,9,0,1,2,10,6,8
1963,674,189,0,26,6,2,6,3
1964,1344,156,3,32,5,5,5,7
1965,316,201,3,93,7,2,3,2
1966,1527,48,0,14,4,7,6,9
1967,527,23,0,14,8,8,6,5
1968,794,161,11,15,4,2,2,5
1969,771,116,0,55,7,4,6,2
1970,1409,10,0,1,8,9,6,10
1971,148,419,4,4,10,1,3,9
1972,3248,29,0,6,2,9,6,8
1973,955,97,1,15,2,5,5,7
1974,237,405,15,79,7,2,2,2
1975,628,68,0,17,9,6,6,9
1976,461,269,22,39,4,1,1,5
1977,1025,100,0,48,8,7,6,6
1978,1959,68,0,18,5,5,6,7
1979,501,171,6,14,1,5,4,8
1980,533,185,0,11,6,4,6,3
1981,388,218,22,40,7,3,1,4
1982,1861,160,2,101,3,4,3,2
1983,1951,29,0,1,3,9,6,10
1984,333,213,32,11,2,1,1,4
1985,306,267,8,22,10,3,2,7
1986,693,85,2,74,10,6,4,6
1987,1306,213,4,68,3,2,3,3
1988,840,215,11,148,1,1,1,1
1989,1032,392,9,38,4,2,2,6
1990,403,151,1,48,2,2,5,2
1991,707,47,0,59,9,6,6,6
1992,433,470,15,47,3,1,1,5
1993,636,255,5,19,6,2,2,5
1994,2950,43,0,105,2,7,6,5
1995,987,79,0,4,1,4,6,8
1996,1416,230,2,63,1,3,5,2
1997,2262,91,0,19,2,6,6,5
1998,496,268,4,131,7,1,3,1
1999,295,224,1,45,9,4,5,6
2000,2906,14,0,3,5,10,6,9
2001,968,33,0,15,1,8,6,8
2002,1424,407,61,114,1,1,1,1
2003,1088,5,0,0,7,10,6,10
2004,970,181,0,7,6,5,6,8
2005,894,41,0,31,9,9,6,4
2006,774,237,26,19,7,1,1,8
2007,415,253,8,135,8,1,2,1
2008,1115,217,7,32,1,1,3,6
2009,1982,336,2,119,2,1,2,2
2010,1059,290,6,45,3,2,2,3
2011,907,58,1,30,9,6,5,7
2012,855,97,2,26,4,4,4,5
2013,490,264,0,64,1,1,6,2
2014,1366,71,0,65,7,8,6,4
2015,2628,86,0,23,2,5,6,8
2016,263,313,20,28,9,1,1,5
2017,762,301,34,51,2,1,1,3
2018,1615,76,1,15,4,5,5,7
2020,1772,62,0,1,2,6,6,10
2021,1794,73,6,9,4,6,4,8
2022,2037,136,0,8,3,4,6,8
2023,438,339,21,47,5,1,2,2
2024,2358,146,0,32,2,4,6,7
2025,153,512,1,35,3,1,4,3
2026,1379,103,1,10,2,5,4,5
2027,1267,257,10,5,2,2,1,6
2028,1310,89,0,39,5,7,6,6
2029,1647,300,0,18,1,1,6,2
2030,1425,75,1,17,6,5,5,7
2031,1427,33,0,15,7,8,6,5
2032,1722,42,0,10,3,7,6,6
2033,1145,87,4,70,5,6,3,3
2034,2206,121,0,104,2,4,6,3
2035,268,295,16,15,9,1,1,6
2036,393,183,1,46,1,2,5,3
2037,297,305,1,25,10,2,4,5
2038,337,152,12,57,7,2,1,4
2039,2583,61,0,9,2,7,6,9
2040,1306,126,3,22,3,4,3,7
2041,1457,73,0,17,3,6,6,7
2042,875,81,3,28,7,5,5,6
2043,1099,70,0,37,5,5,6,4
2044,897,15,0,23,9,10,6,8
2045,353,430,2,13,2,2,4,5
2046,184,596,9,40,10,1,1,3
2047,865,38,1,6,8,9,5,9
2048,1276,59,0,18,6,8,6,8
2049,181,406,18,21,8,1,1,5
2050,1009,413,5,64,5,1,3,3
2051,116,361,58,55,6,1,1,1
2052,1642,214,3,34,2,3,4,5
2053,2321,58,0,5,4,8,6,8
2054,835,317,6,58,4,1,3,2
2055,1768,78,0,13,3,7,6,8
2056,486,287,0,12,2,2,6,5
2057,1514,499,3,66,5,2,4,2
2058,294,284,5,39,6,1,3,1
2059,1270,86,1,1,8,6,5,9
2060,480,261,6,7,6,3,1,9
2061,1877,23,0,10,5,7,6,4
2062,1512,533,10,46,3,2,2,4
2063,721,79,0,73,6,6,6,5
2064,229,365,49,11,1,1,1,5
2065,1056,14,0,0,6,10,6,10
2066,805,47,0,33,5,9,6,2
2067,185,472,3,4,10,1,2,9
2068,570,211,3,48,6,3,5,5
2069,2521,79,0,11,3,6,6,8
2070,662,422,5,58,1,1,2,3
2071,571,384,4,54,8,1,3,3
2072,917,96,0,62,4,4,6,2
2073,1906,224,6,208,2,4,2,1
2074,1655,270,4,27,4,2,3,4
2075,1064,49,0,17,8,7,6,8
2076,869,233,1,66,5,1,4,4
2077,1828,116,0,9,2,5,6,8
2078,973,144,2,142,7,4,4,4
2079,1367,103,3,79,6,5,4,3
2080,670,193,3,4,9,3,4,10
2081,2720,101,1,40,1,4,6,7
2082,1680,44,0,32,6,8,6,8
2083,330,72,0,25,9,6,6,5
2084,2253,56,0,41,3,9,6,1
2085,752,413,5,38,2,1,3,5
2086,1785,22,0,1,6,8,6,7
2087,312,117,4,107,10,4,2,3
2088,1790,118,0,248,1,5,6,1
2089,474,298,7,124,6,1,2,1
2090,206,276,5,33,8,2,2,4
2091,1471,172,4,79,1,1,1,1
2092,820,294,5,26,7,4,4,6
2093,327,249,15,26,4,2,1,2
2094,1393,14,0,0,5,9,6,10
2095,615,265,5,48,2,2,2,3
2096,1578,40,0,2,6,9,6,10
2097,518,244,6,74,4,2,2,4
2098,1059,268,1,9,6,3,4,6
2099,596,189,0,31,8,3,6,3
2100,1182,123,0,113,2,4,6,3
2101,1092,77,1,33,8,8,5,7
2102,642,136,3,81,6,4,4,3
2103,2996,47,0,5,1,9,6,10
2104,1911,39,0,11,4,7,6,8
2105,1462,219,3,117,1,2,3,2
2106,1000,27,1,6,3,9,3,9
2107,536,149,1,36,6,4,2,6
2108,947,305,61,61,4,1,1,2
2109,400,152,14,344,9,3,1,1
2110,999,238,0,52,4,2,6,7
2111,1595,81,0,50,5,5,6,5
2112,1830,505,12,163,1,1,1,1
2113,2105,20,0,15,6,8,6,4
2114,358,189,5,96,9,2,2,2
2115,2079,92,0,11,7,5,6,7
2116,476,83,6,79,9,4,3,3
2117,1786,222,5,79,2,3,4,4
2118,1286,23,0,1,3,8,6,10
2119,540,75,13,34,2,2,2,6
2120,1523,131,4,82,5,4,3,1
2121,444,245,0,6,7,2,6,7
2122,281,239,2,110,10,1,2,3
2123,821,121,1,1,2,3,4,10
2124,342,272,22,18,2,1,1,7
2125,612,278,7,31,8,3,4,3
2126,605,382,4,28,6,1,2,2
2127,1163,29,0,4,5,8,6,8
2128,465,238,78,8,4,2,1,6
2129,1664,77,2,37,5,6,5,6
2130,650,78,0,11,3,6,6,9
2131,1662,23,0,4,4,5,6,3
2132,2181,41,0,42,4,8,6,8
2133,375,187,0,6,10,2,6,3
2134,2278,104,1,25,2,5,3,5
2135,1256,151,2,34,7,6,4,4
2136,529,176,4,53,9,3,2,5
2137,834,202,0,62,1,4,6,3
2138,75,491,25,27,9,1,1,2
2139,1285,172,10,124,1,1,1,1
2140,2600,5,0,1,4,9,6,10
2141,952,103,0,16,9,5,6,8
2142,538,67,4,19,9,6,4,6
2143,474,466,4,7,7,1,3,4
2144,998,275,6,69,4,3,1,2
2145,450,281,6,41,4,1,1,4
2146,1395,7,0,0,4,10,6,10
2147,775,415,0,46,6,1,6,2
2148,1969,253,2,44,1,2,3,4
2149,716,115,4,81,9,5,4,2
2150,963,94,0,22,1,6,6,8
2151,1609,38,0,4,2,9,6,8
2152,891,321,0,25,2,1,6,5
2153,694,29,1,9,5,8,6,8
2154,651,234,7,39,1,2,3,4
2155,478,81,0,9,8,5,6,8
2156,791,292,11,70,6,1,2,2
2157,1304,129,1,27,3,5,4,7
2158,138,278,14,14,10,2,1,7
2159,550,213,5,106,10,2,3,4
2160,1602,116,0,16,2,5,6,9
2161,394,205,1,51,7,3,4,3
2162,802,358,3,71,6,1,4,2
2163,1882,147,0,39,4,5,6,8
2164,2053,101,1,64,2,6,6,6
2165,1094,57,1,21,8,7,4,5
2166,2330,28,0,62,2,9,6,6
2167,2211,75,2,34,3,7,5,6
2168,1035,160,1,33,1,2,1,3
2169,554,116,5,67,9,4,3,5
2170,1141,258,1,47,5,3,5,4
2171,522,268,3,132,8,2,3,2
2172,570,269,15,30,7,1,1,5
2173,1038,78,0,16,8,6,6,5
2174,1647,171,0,77,5,6,6,4
2175,692,105,1,20,9,5,4,8
2176,1654,44,2,40,6,7,3,6
2177,1207,217,2,94,2,2,3,2
2178,606,261,0,26,1,1,6,6
2179,646,253,7,81,5,1,2,1
2180,3828,119,1,50,1,6,3,6
2181,2616,249,3,90,1,3,2,5
2182,1727,26,0,59,5,9,6,6
2183,3358,63,1,2,2,7,5,9
2184,363,399,21,35,10,1,1,3
2185,844,254,7,62,2,1,2,2
2186,559,230,1,40,8,3,4,5
2187,258,208,91,56,10,1,1,3
2188,3077,2,0,1,2,10,6,10
2189,578,109,2,22,7,4,3,7
2190,1568,111,6,33,5,5,2,6
2191,1733,94,0,68,4,6,6,4
2192,378,135,4,48,9,4,3,5
2193,1662,12,0,1,4,9,6,7
2195,594,474,21,98,2,1,1,1
2196,846,190,1,53,8,5,6,2
2197,793,182,6,64,6,3,2,2
2198,295,145,0,18,10,4,6,8
2199,656,161,1,12,2,3,4,4
2200,497,112,0,61,8,4,6,3
2201,945,98,0,27,7,6,6,8
2202,823,227,10,65,6,1,1,4
2203,2268,69,0,13,2,8,6,9
2204,701,119,0,81,9,6,6,5
2205,433,317,22,14,5,1,1,6
2206,590,163,8,33,3,2,1,4
2207,1199,486,6,37,2,1,2,4
2208,1247,62,0,12,8,8,6,7
2209,1063,231,4,26,4,2,2,6
2210,1104,44,0,15,4,7,6,7
2211,747,119,0,24,9,6,6,7
2212,1787,65,0,25,6,8,6,8
2213,972,68,2,25,8,8,5,6
2214,1592,137,0,22,4,4,6,7
2215,1732,9,0,1,4,10,6,10
2216,289,266,7,30,9,2,2,5
2217,335,209,16,34,10,3,3,6
2218,1257,258,17,67,3,2,2,3
2219,233,224,8,37,9,1,2,4
2220,1677,62,0,10,3,4,6,8
2221,1483,308,0,74,2,2,6,1
2222,1259,152,3,41,5,6,4,3
2223,504,368,9,9,7,1,1,2
2224,705,259,3,30,3,2,2,5
2225,300,275,4,65,8,3,3,2
2226,1296,269,8,30,1,2,1,6
2227,1413,34,2,6,2,6,5,6
2228,225,250,7,74,10,3,1,2
2229,1241,133,7,92,2,4,1,2
2230,1369,387,4,55,1,1,1,3
2231,1666,231,27,20,2,2,1,6
2232,758,99,0,52,8,6,6,4
2233,384,301,2,28,10,2,4,4
2234,439,340,1,13,4,2,5,4
2235,727,328,1,92,7,2,2,1
2236,1079,152,5,18,7,4,2,8
2237,1033,185,2,45,4,3,3,3
2238,2354,180,25,113,1,3,1,1
2239,371,310,12,6,6,1,2,8
2240,1129,68,0,70,4,6,6,4
2241,1739,165,2,68,3,3,4,3
2242,1901,113,1,36,2,4,5,6
2243,499,163,2,131,9,5,5,2
2244,401,348,23,42,6,1,1,1
2245,801,37,0,124,6,8,6,4
2246,3163,9,0,13,5,10,6,9
2247,1596,12,0,2,8,10,6,10
2248,45,427,9,10,10,2,2,1
2249,1707,126,0,48,5,4,6,7
2250,1346,8,0,8,7,10,6,8
2251,958,110,0,157,8,7,6,2
2252,1592,19,0,0,7,8,6,10
2253,2155,75,0,5,5,7,6,8
2254,375,372,5,31,9,2,3,5
2255,886,155,0,54,9,8,6,6
2256,151,308,50,88,8,1,1,1
2257,1073,76,1,17,4,7,5,8
2258,337,281,10,26,1,3,2,5
2259,652,235,25,72,9,1,1,2
2260,573,307,1,28,8,3,4,6
2261,414,174,25,80,1,1,1,1
2262,947,328,12,26,7,1,2,6
2263,2182,14,0,1,3,9,6,10
2264,896,20,0,12,10,10,6,4
2265,1887,36,0,34,2,8,6,7
2266,418,468,21,49,1,1,1,1
2267,2795,12,0,3,4,9,6,10
2268,1515,291,1,27,7,4,5,7
2269,3120,148,3,58,1,3,4,1
2270,1406,61,0,1,8,6,6,9
2271,2190,151,0,9,6,7,6,9
2272,777,208,3,46,10,4,3,4
2273,1602,30,0,0,4,5,6,10
2274,2731,390,19,56,1,1,1,4
2275,649,303,0,41,1,2,6,4
2276,950,206,8,15,4,3,3,7
2277,1333,316,2,18,3,2,3,4
2278,534,116,2,27,1,3,2,2
2279,1026,37,0,22,6,9,6,6
2280,540,267,10,31,8,2,1,5
2281,684,74,0,39,9,6,6,6
2282,1080,43,0,15,8,9,6,8
2283,630,62,2,23,9,8,5,7
2284,630,254,5,36,1,1,2,3
2285,2459,66,0,11,2,7,6,7
2286,1236,144,26,42,3,5,2,1
2287,313,348,4,10,9,1,2,1
2288,743,269,9,44,7,2,1,1
2289,569,136,0,47,7,4,6,2
2290,171,493,71,25,8,1,1,3
2291,1096,48,0,37,5,8,6,8
2292,671,215,2,64,10,5,5,4
2293,163,285,6,107,10,2,4,1
2294,1183,98,0,21,6,7,6,8
2295,369,244,0,25,6,4,6,8
2296,1015,105,1,98,2,4,5,2
2297,1517,34,1,16,2,6,4,8
2298,1382,78,0,11,4,6,6,7
2299,1819,76,1,92,4,5,5,2
2300,230,597,3,44,8,1,3,1
2301,1168,360,27,24,1,1,1,6
2302,700,205,2,50,4,2,5,1
2303,519,114,0,18,9,5,6,7
2304,2109,63,0,10,3,9,6,8
2305,683,56,0,46,9,8,6,7
2306,927,191,1,30,7,5,5,5
2307,2418,10,0,2,4,10,6,10
2308,1125,106,0,19,7,8,6,8
2309,1255,263,4,54,2,1,2,2
2310,996,306,5,44,5,1,2,4
2311,473,311,3,14,10,1,4,8
2312,421,275,1,24,8,4,5,4
2313,536,233,9,61,3,2,1,3
2314,260,191,28,110,10,3,1,2
2315,2405,403,11,36,2,1,1,4
2316,659,124,3,22,7,7,4,6
2317,1097,20,0,28,9,9,6,8
2318,1313,20,0,0,8,10,6,10
2319,798,315,3,54,7,2,5,2
2320,827,162,5,66,5,3,3,4
2321,1030,81,0,41,7,6,6,4
2322,469,36,0,26,10,9,6,5
2323,471,50,5,5,6,6,4,9
2324,1324,194,4,26,5,4,3,8
2325,765,251,0,77,9,3,6,5
2326,1223,55,0,84,3,9,6,5
2327,573,233,11,12,6,2,2,8
2328,983,47,1,6,8,8,5,5
2329,202,340,0,29,9,1,6,4
2330,1047,81,1,11,2,5,5,5
2331,1816,17,0,0,6,9,6,10
2332,523,80,0,13,8,4,6,9
2333,441,283,0,49,8,4,6,1
2334,712,253,5,13,3,2,2,6
2335,489,279,1,38,9,2,5,3
2336,426,266,33,14,6,1,1,6
2337,187,278,13,16,8,1,1,8
2338,1131,160,0,81,1,5,6,1
2339,429,135,3,89,3,3,2,2
2340,627,168,5,10,8,1,2,6
2341,1871,155,0,23,1,2,6,7
2342,1385,10,0,0,7,10,6,10
2343,1852,484,7,180,1,2,2,1
2344,1889,163,5,46,4,5,4,4
2345,354,332,44,53,2,1,1,3
2346,1375,232,9,38,2,3,3,6
2347,1134,36,0,6,3,9,6,9
2348,1187,6,0,0,1,10,6,10
2349,2211,17,0,4,4,9,6,8
2350,1626,77,0,20,4,4,6,4
2351,1540,126,0,10,2,6,6,8
2352,1408,94,1,30,3,7,4,7
2353,1894,99,0,12,6,4,6,9
2354,444,311,1,28,1,1,4,5
2355,980,23,0,1,4,8,6,10
2356,953,56,0,3,7,7,6,9
2357,1253,5,0,1,8,10,6,10
2358,1095,13,0,2,2,10,6,9
2359,1234,51,1,4,8,7,6,9
2360,111,12,0,1,10,10,6,9
2361,746,117,1,18,3,3,2,7
2362,1055,228,1,102,1,1,3,1
2363,1447,11,0,0,6,9,6,10
2364,1108,338,0,51,2,1,7,2
2365,285,383,1,6,4,1,5,6
2367,3132,243,0,24,2,7,8,7
2368,822,390,22,77,3,1,1,2
2369,1250,115,2,8,7,5,3,8
2370,483,343,11,46,3,1,2,2
2371,1506,46,0,17,6,8,10,8
2372,309,123,0,132,9,5,10,5
2373,1515,176,7,8,3,4,4,9
2374,443,198,10,71,8,3,1,2
2375,483,256,5,20,9,1,1,4
2376,496,232,11,28,8,4,3,5
2377,2012,68,0,17,2,7,10,7
2378,952,213,7,116,2,3,4,1
2379,774,39,0,25,7,8,10,8
2380,1544,171,1,49,3,4,3,5
2381,1096,84,1,59,8,8,6,4
2382,2934,54,0,24,1,7,10,8
2383,1047,242,12,44,3,2,1,5
2384,393,438,5,36,8,2,4,2
2385,642,361,62,32,3,1,1,6
2386,1126,50,0,18,5,5,10,7
2387,552,42,0,22,2,5,10,6
2388,1082,13,0,1,5,8,10,10
2389,947,76,0,7,5,5,10,9
2390,559,160,10,65,1,2,2,2
2391,463,77,0,9,7,4,10,6
2392,2338,113,8,56,1,4,1,3
2393,1809,640,28,48,3,1,1,1
2394,245,264,3,67,10,2,4,1
2395,1648,25,0,5,4,8,10,9
2396,245,177,32,65,10,2,1,3
2397,1124,134,0,15,8,6,10,9
2398,2352,96,0,16,4,7,10,5
2399,635,2,0,7,9,10,10,9
2400,439,130,1,38,10,5,4,7
2401,2099,39,1,2,3,5,3,10
2402,917,205,12,46,1,3,2,3
2403,1351,75,1,10,6,8,4,8
2404,435,193,14,16,9,2,2,6
2405,3280,35,0,0,2,6,10,10
2406,1215,73,0,27,5,6,10,8
2407,897,121,0,23,6,6,10,6
2408,2968,75,1,13,1,8,5,9
2409,673,265,2,64,1,1,3,2
2410,1688,19,2,0,6,9,5,10
2411,319,389,40,26,6,1,1,2
2412,1189,185,1,63,2,3,5,3
2413,466,205,1,78,8,3,4,3
2414,1056,247,4,70,5,3,2,5
2415,1634,122,1,54,2,3,5,2
2416,673,272,13,59,1,2,1,1
2417,1004,41,0,25,5,8,10,8
2418,1792,23,0,5,4,7,10,9
2419,1683,76,1,32,4,5,4,3
2420,2106,363,3,88,1,2,3,3
2421,2595,51,0,5,3,8,10,7
2422,656,213,21,84,3,2,1,2
2423,173,253,0,30,10,2,10,4
2424,2924,36,0,31,2,10,10,7
2425,1306,68,0,43,2,5,10,4
2426,507,23,0,4,8,7,10,5
2427,691,134,0,23,2,1,10,4
2428,812,133,0,38,8,5,10,5
2429,251,343,38,22,1,1,1,4
2430,844,342,14,43,3,2,2,4
2431,778,218,0,31,8,4,10,5
2432,1629,124,2,59,1,5,5,4
2433,1483,162,6,51,6,4,2,3
2434,503,256,8,33,2,2,1,4
2435,1956,336,11,5,2,1,1,8
2436,1973,48,0,1,1,6,10,10
2437,421,271,19,7,9,2,1,8
2438,209,419,11,20,3,1,1,2
2439,795,344,14,95,9,2,1,3
2440,850,219,5,25,1,4,4,2
2441,2466,42,0,11,3,9,10,9
2442,920,46,1,41,9,7,4,5
2443,155,374,7,13,10,1,2,4
2444,1932,60,0,24,4,7,10,6
2445,793,86,1,61,8,5,5,7
2446,318,199,8,46,10,4,2,6
2447,1713,98,0,60,3,8,10,5
2448,1888,58,1,5,3,8,5,9
2449,170,248,7,58,9,4,4,2
2450,608,20,0,0,1,8,10,10
2451,546,312,4,76,6,2,3,1
2452,868,50,0,28,9,7,10,8
2453,259,303,1,50,10,3,3,3
2454,1606,32,0,42,3,9,10,2
2455,3437,19,0,3,1,10,10,10
2456,1518,263,4,185,2,2,4,1
2457,325,180,15,3,3,2,1,6
2458,521,151,24,133,1,2,1,1
2459,1437,171,1,37,5,4,5,6
2460,392,236,49,17,3,1,1,5
2461,1127,290,13,40,1,3,1,3
2462,327,378,7,18,3,1,2,2
2463,473,206,3,61,8,4,4,3
2464,718,157,0,32,5,3,10,5
2465,602,339,1,11,4,2,4,4
2466,1562,58,0,8,3,8,10,9
2467,2349,4,0,0,3,10,10,10
2468,1028,72,0,243,8,5,10,1
2469,2281,109,2,23,1,6,4,6
2470,1032,61,0,25,2,9,10,7
2471,565,491,16,13,7,1,2,2
2472,228,255,60,25,6,1,1,5
2473,396,245,3,59,2,2,2,2
2474,191,240,10,35,10,3,1,4
2475,2787,141,1,84,1,4,4,6
2476,1340,53,0,5,6,7,10,9
2477,227,275,8,30,10,1,1,5
2478,350,193,3,55,10,4,4,4
2479,1156,70,2,7,8,9,2,9
2480,1946,56,0,18,1,8,10,4
2481,316,160,8,103,10,4,3,1
2482,548,69,0,7,8,5,10,9
2483,907,146,2,27,5,7,3,6
2484,659,354,3,49,3,1,2,2
2485,654,147,4,36,7,4,3,5
2486,784,356,12,55,2,1,2,3
2487,1338,152,1,41,5,5,5,4
2488,238,427,15,41,10,1,1,3
2489,777,15,0,51,7,10,10,6
2490,1346,260,0,69,2,2,10,2
2491,1583,80,3,35,2,6,5,5
2492,1205,186,4,38,4,4,3,2
2493,500,172,44,24,9,3,1,6
2494,372,310,0,50,3,1,10,3
2495,955,170,1,75,6,4,4,5
2496,212,368,13,38,10,1,1,2
2497,253,233,22,54,2,1,1,3
2498,1043,150,2,16,1,1,3,3
2499,215,414,16,72,10,1,2,2
2500,2605,50,0,4,1,6,10,9
2501,432,341,4,36,8,1,3,3
2502,468,284,16,51,2,2,1,2
2503,470,258,8,46,7,1,1,1
2504,1607,243,2,9,3,3,5,7
2505,1920,219,4,88,1,3,4,2
2506,867,363,7,18,5,1,3,2
2507,949,186,5,95,4,3,1,1
2508,939,45,0,22,9,8,10,9
2509,657,140,0,67,1,4,10,4
2510,258,260,0,79,8,2,10,1
2511,2151,8,0,1,8,10,10,10
2512,953,25,0,20,7,9,10,8
2513,357,309,12,41,5,1,2,1
2514,1275,199,6,59,1,4,2,2
2515,1468,181,12,51,2,3,1,4
2516,1189,57,1,10,8,7,4,9
2517,450,271,0,13,4,2,10,5
2518,1572,60,0,32,5,6,10,6
2519,1170,62,2,44,8,8,5,6
2520,2161,251,1,27,1,4,6,6
2521,414,371,10,116,8,1,2,2
2522,299,234,0,16,7,1,10,7
2523,421,59,0,204,9,7,10,1
2524,2482,115,2,43,3,6,3,6
2525,537,244,2,85,2,2,4,1
2526,920,291,4,34,2,1,2,4
2527,1148,332,9,46,1,1,2,2
2528,2672,141,0,41,2,5,9,6
2529,1905,282,0,33,4,4,9,7
2530,752,44,0,30,7,8,9,9
2531,4393,126,1,28,1,4,4,6
2532,1514,13,0,8,4,6,9,8
2533,1497,82,0,114,2,8,9,2
2534,160,431,10,87,10,2,2,1
2535,957,69,0,16,7,9,9,8
2536,923,206,0,11,9,5,10,8
2537,988,15,0,9,9,10,10,9
2538,838,197,71,51,6,2,1,2
2539,503,190,1,50,10,4,4,6
2540,703,299,6,13,7,3,3,8
2541,405,353,10,115,9,1,2,1
2542,1780,190,1,35,2,5,5,4
2543,1573,125,1,60,3,4,5,1
2544,834,203,8,44,5,2,2,4
2545,1790,13,0,6,8,10,10,8
2546,320,238,0,4,9,2,10,4
2547,2005,68,1,21,2,6,5,3
2548,656,317,4,16,6,2,3,4
2549,2352,16,0,2,6,10,9,10
2550,1195,138,2,16,6,6,4,8
2551,1236,149,0,31,7,6,9,7
2552,583,490,5,60,1,1,2,2
2553,586,74,2,49,8,6,4,2
2554,616,165,1,30,7,5,5,5
2555,875,59,0,27,9,6,9,5
2556,493,153,4,65,8,3,4,1
2557,488,251,13,81,4,1,1,1
2558,1083,142,0,2,2,3,9,10
2559,624,253,1,22,1,2,3,3
2560,2137,45,0,15,4,8,9,8
2561,921,197,7,78,7,4,2,2
2562,1340,10,0,6,6,10,9,9
2563,973,125,1,43,9,6,5,4
2564,1577,102,0,40,3,7,9,4
2565,1567,112,0,53,5,6,9,2
2566,1600,234,8,24,1,1,1,6
2567,1273,64,0,25,5,6,9,7
2568,1473,58,2,24,3,8,4,4
2569,775,53,0,2,8,5,9,9
2570,1117,209,22,39,2,2,1,3
2571,2961,262,1,111,1,3,3,1
2572,1828,173,1,22,1,4,4,6
2573,448,231,10,42,6,2,2,3
2574,849,293,3,44,1,1,2,3
2575,590,327,9,18,1,1,2,6
2576,1776,166,6,21,4,5,3,3
2577,625,59,0,14,6,7,9,7
2578,1321,200,3,100,1,2,2,1
2579,1529,79,1,40,7,6,6,8
2580,144,358,3,20,10,1,1,1
2581,421,396,14,15,6,2,2,7
2582,1205,30,0,3,5,8,9,10
2583,1339,125,3,8,1,4,2,8
2584,2707,150,0,21,1,6,10,5
2585,975,95,0,144,9,7,10,2
2586,2328,130,0,109,1,4,10,2
2587,919,222,8,26,5,3,3,6
2588,1467,25,0,5,4,9,10,9
2589,891,156,2,39,9,6,5,2
2590,2145,232,1,67,1,2,4,3
2591,837,290,76,41,6,1,1,4
2592,352,477,4,12,8,1,4,7
2593,157,276,1,61,10,4,6,1
2594,1785,25,0,2,4,6,10,6
2595,744,313,2,80,7,3,5,3
2596,1132,62,0,20,6,8,10,8
2597,445,326,1,31,7,3,4,7
2598,218,385,5,59,6,1,2,1
2599,1466,73,0,47,6,7,10,7
2600,1838,104,0,90,4,6,10,5
2601,617,482,3,14,8,1,1,3
2602,2068,85,1,30,4,6,4,4
