고객번호,편의품_증감율,편의품_변동율,편의품CV,선매품_증감율,선매품_변동율,선매품CV,전문품_증감율,전문품_변동율,전문품CV,기타_증감율,기타_변동율,기타CV,A증감율,A변동율,A_CV,B증감율,B변동율,B_CV,식품_증감율,식품_변동율,식품CV,의류_증감율,의류_변동율,의류CV,생활_증감율,생활_변동율,생활CV
2288,1,7,0.408518414,1,3,0.552787236,3,3,1.739688675,1,3,0.599161958,0,4,0.057016867,0,0,0.046999094,0,4,0.290803826,1,3,0.715288049,2,8,1.12991226
2289,1,5,0.250108131,0,2,0.590531432,0,0,0,1,3,0.644145824,0,0,0.0209186,0,0,0,0,2,0.229014141,-1,7,0.592736201,-1,5,0.913940453
2290,0,0,0.79482385,0,0,0.645078779,1,1,1.149931627,3,5,1.780412544,0,0,0.047923223,1,5,0.692402429,0,0,0.732782925,0,0,0.650433338,1,5,0.983398831
2291,2,4,0.227096556,-1,5,1.160509578,0,0,0,2,4,1.034741875,-2,6,0.692643726,0,0,0.008958773,1,5,0.251181268,-2,4,1.086221941,1,1,0.209241312
2292,0,2,0.260808484,0,4,1.308300645,0,4,2.645751311,0,4,0.644045293,-1,3,0.085786351,0,0,0.022802859,1,1,0.24517223,-1,5,1.576955709,0,4,0.887448092
2293,0,0,0.494221567,0,4,0.3660419,-2,4,1.699577086,-1,1,0.432982102,0,0,0.02421012,-2,6,0.938010712,0,0,0.223408592,0,0,0.377122992,2,8,1.089483137
2294,1,5,0.217292975,1,3,0.585668603,0,0,0,2,4,0.961946127,3,9,1.247305364,0,0,0.019313796,1,3,0.183249874,1,3,0.641100273,1,9,1.092025706
2295,-3,3,0.639188003,1,1,0.476543478,0,0,0,2,6,0.926281455,0,0,0.011995223,3,5,0.689486142,-3,3,0.734113918,1,1,0.552311225,-2,2,0.521720303
2296,0,2,0.249839386,0,2,0.398914102,0,4,2.645751311,0,2,0.374547919,0,0,0.01777764,0,6,2.645751311,0,4,0.200686476,0,6,0.486947559,1,13,0.83767882
2297,0,0,0.195193329,0,6,0.969348861,0,6,2.645751311,1,5,1.201756461,2,6,0.686578979,0,2,0.01631535,0,0,0.150761942,2,4,1.252738889,1,7,0.848995962
2298,1,5,0.311564807,0,4,0.49331199,0,0,0,0,8,1.123808802,0,2,0.094862018,0,2,0.018684122,1,7,0.310873149,0,2,0.527142783,2,4,0.352949938
2299,-2,6,0.238225026,0,8,1.317726509,2,2,2.645751311,1,3,1.01106366,0,12,0.709751945,0,2,0.01299159,0,4,0.250789263,0,4,0.761476045,-2,4,0.24284966
2300,-1,3,0.729379594,0,0,0.388017729,-3,9,1.08352188,0,4,0.710188962,0,2,0.021878663,0,0,0,0,0,0.526738032,0,0,0.550885576,0,8,0.861216219
2301,0,0,0.289433727,0,0,0.565224936,4,14,1.292398472,4,10,0.981513595,0,2,0.035993307,-3,15,1.253842972,0,2,0.41015926,0,2,0.559865639,0,2,0.483564351
2302,0,6,0.267530717,0,0,0.830513254,0,10,2.608464223,-1,3,1.486190776,1,1,0.035775723,1,5,0.442557188,0,4,0.289962973,0,0,0.431885841,0,4,0.324219386
2303,1,3,0.377561388,0,2,0.730650403,0,0,0,-2,8,1.336362734,0,6,0.9416866,0,2,0.029133947,0,0,0.530151773,-1,3,0.884893687,1,7,0.879258397
2304,0,2,0.11125793,-1,1,0.504523859,0,0,0,-2,8,1.629971152,0,4,2.645751311,0,2,0.007934107,-1,5,0.110389411,-1,7,0.751208639,0,4,0.192007866
2305,0,4,0.535805973,1,7,0.911631748,0,0,0,3,7,0.835209996,0,0,0.050486153,0,0,0,0,4,0.630879799,0,6,0.911093682,-1,5,0.552448004
2306,0,4,0.301371145,0,2,0.371032879,0,6,2.645751311,0,6,1.161370399,0,6,0.684773296,0,4,0.021732676,-1,9,0.47408824,0,2,0.751617466,0,8,0.568422348
2307,2,6,0.247234677,0,4,1.123370089,0,0,0,1,5,1.801348102,2,2,2.645751311,1,11,0.691594791,1,3,0.222182207,0,2,0.964818193,1,7,0.501687292
2308,-1,3,0.277621074,-2,6,1.173343451,0,0,0,0,8,0.805508497,0,4,2.645751311,0,0,0.026537184,-1,1,0.181193647,-2,4,1.365458158,-1,1,0.393787325
2309,1,5,0.38374218,-1,1,0.537386253,-4,12,1.761077424,-1,1,0.536348352,-1,1,0.035006654,0,0,0.037513192,1,5,0.263368306,0,0,0.710547724,2,4,0.862655991
2310,2,4,0.218197406,1,1,0.413316692,2,10,1.144427178,1,1,0.592970265,0,4,0.042340509,0,0,0.026581076,1,5,0.301666621,2,2,0.466546172,2,10,1.266464216
2311,0,0,0.270328404,0,0,0.37758239,3,11,2.013285086,0,6,0.782271614,0,2,0.019425357,0,12,1.252227703,0,0,0.397348286,0,0,0.392371018,1,9,1.167887648
2312,0,2,0.361618432,0,4,0.314111324,2,2,2.645751311,4,8,1.734724124,0,0,0.024015938,0,6,2.645751311,1,3,0.398312821,0,4,0.322064252,-3,7,1.134510843
2313,2,10,1.109051447,0,2,0.419456086,-2,8,2.069822975,0,2,0.400130339,0,2,0.021942169,0,2,0.0774842,0,6,0.274034494,-1,1,0.571701566,1,5,1.663185179
2314,0,2,0.353535876,-1,1,0.372097577,1,7,1.217675577,1,1,0.288481639,0,0,0.020835622,-2,8,1.248438014,0,2,0.39851316,1,1,0.536899007,0,8,0.488781189
2315,0,2,0.175131375,0,0,0.267565866,-1,7,1.68489212,2,4,1.076707729,-1,3,0.015789139,0,0,0.020457241,0,0,0.157327967,0,0,0.431631646,0,0,0.372769126
2316,1,3,0.311039657,0,4,0.428298612,0,12,1.800698791,0,6,0.949682829,0,2,0.060065017,0,2,0.025525684,1,3,0.324588974,0,2,0.478473862,1,7,0.675569261
2317,-1,3,0.104320192,0,2,2.1428281,0,0,0,2,4,1.136858133,0,6,2.645751311,0,0,0.00695807,0,0,0.10882357,0,4,2.166610447,1,3,0.858159984
2318,0,2,0.175684878,0,0,0.951654585,0,0,0,0,0,0,2,6,1.264818978,0,4,1.709446834,0,2,0.194541535,1,3,1.445677651,1,3,0.374145235
2319,1,3,0.259404279,-1,3,0.528048201,-2,16,2.517655847,1,5,0.623384716,0,2,0.0482947,0,0,0.022741332,0,6,0.328612122,-1,3,0.565883554,2,6,0.679471367
2320,1,3,0.329599058,0,6,1.146419332,3,7,2.449577827,3,5,0.84529452,0,2,0.053995623,1,3,0.060196443,1,3,0.34654492,0,4,0.779927731,3,3,0.457079784
2321,0,0,0.122027951,1,3,0.702706257,0,0,0,2,10,1.001043949,2,12,0.702741235,0,2,0.01656533,0,6,0.226128189,1,5,1.044365827,-3,9,0.678101666
2322,0,2,0.415045451,-2,2,1.6190233,0,0,0,-1,11,0.968544979,-3,11,0.959203154,0,0,0.03252061,0,2,0.360908042,-2,2,1.844175781,-1,3,0.655189852
2323,1,9,0.663489978,-2,4,1.179864291,2,10,1.108772057,2,4,2.01843442,0,0,0.03818314,2,6,0.940706744,1,9,0.733840915,-2,4,0.731498432,-1,7,0.937921469
2324,1,5,0.549841213,0,0,0.403950134,0,6,2.645751311,0,6,0.762186615,0,0,0.037395463,0,2,0.027888985,2,4,0.599208101,0,0,0.421067945,1,3,0.857352064
2325,1,5,0.207272559,0,2,0.255421734,0,0,0,1,3,0.671068041,0,4,0.072741376,0,4,0.014867196,0,4,0.189277726,-1,1,0.35020499,2,2,1.074840034
2326,0,4,0.38806934,-1,3,0.615822041,0,0,0,1,7,0.773931643,0,4,2.645751311,0,2,0.024147913,2,4,0.342004107,0,0,0.339180269,0,4,0.715933153
2327,0,2,0.382584879,2,4,0.721207206,0,8,2.277607703,0,10,1.396736382,0,2,0.067326291,-1,3,0.129572402,0,2,0.345653822,0,2,0.858242089,1,5,0.674395326
2328,-1,5,0.461163223,-1,3,0.652115318,0,4,2.645751311,0,10,2.478057287,-2,12,0.95304902,0,0,0.057386106,-2,8,0.466660401,-1,7,0.94610247,-1,5,0.7130912
2329,0,8,0.610061426,0,2,0.469931084,0,0,0,1,5,1.050133746,0,2,0.035096766,0,0,0,0,2,0.760987406,0,0,0.380128598,2,8,1.61161811
2330,1,3,0.26847365,-2,8,0.935911636,0,4,2.645751311,3,15,1.970572465,-1,7,0.450669991,0,2,0.015498774,0,2,0.285148598,-2,10,0.942946877,0,4,0.369539048
2331,0,4,0.217678717,1,3,1.654007798,0,0,0,0,0,0,2,2,2.645751311,0,8,1.252433984,-1,3,0.277465244,1,7,1.623011274,0,2,0.431919915
2332,-1,3,0.391024976,1,5,1.387164177,0,0,0,0,6,0.81212417,0,0,0.049320174,0,12,0.946935431,-1,5,0.408572391,0,4,0.794464963,-1,9,0.614067112
2333,-1,1,0.484932615,-1,3,0.618420363,-3,3,2.645751311,0,4,1.831145259,0,0,0.043512368,0,10,0.939209061,-1,1,0.532889793,-2,4,0.666864604,-1,7,0.611891117
2334,2,2,0.496171933,0,2,0.970772407,0,12,2.030629112,2,6,0.912028454,-1,1,0.039808437,0,0,0,2,4,0.682221082,-1,5,1.774046629,0,2,0.632675707
2335,1,3,0.289746967,0,2,0.464085818,0,4,2.645751311,0,6,1.312445906,-1,1,0.029410527,0,2,0.034930332,1,3,0.510602003,0,2,0.428359404,-1,1,0.28602455
2336,-1,7,0.280961812,0,0,0.358473351,-4,6,1.111650101,0,14,1.819769587,0,2,0.025447933,0,4,2.645751311,0,4,0.26698922,0,0,0.559931085,-1,7,0.622170925
2337,3,7,1.252409412,0,0,0.519673674,1,13,1.163861557,3,7,1.00146116,1,5,0.029019282,2,2,2.645751311,3,11,1.267846374,0,0,0.621707815,-2,2,0.87589359
2338,-1,3,0.306569085,0,2,0.450638402,0,0,0,1,3,0.459107019,0,0,0.012139826,-2,4,0.693704526,-1,3,0.351633785,0,0,0.523694197,-2,2,0.699420251
2339,3,13,0.839317775,1,3,0.595205946,3,9,1.62550539,1,1,0.601362525,1,3,0.047333908,2,4,1.707956115,3,15,0.925875183,1,1,0.450995182,2,10,1.268791299
2340,0,4,0.299163321,0,2,0.768486984,3,15,1.361917809,0,8,1.855323065,-1,3,0.050127558,1,13,0.685591351,1,3,0.330376226,0,0,0.793233358,0,6,0.563125097
2341,1,1,0.222208106,1,9,1.572275536,0,0,0,4,6,1.614406269,0,4,0.185383115,0,2,0.014368448,2,2,0.296251467,0,10,0.823211897,0,2,0.375529279
2342,1,3,0.327278266,1,5,1.582811758,0,0,0,0,0,0,0,4,2.645751311,0,4,2.645751311,1,3,0.258430847,0,2,0.63613758,3,3,1.043437504
2343,0,0,0.184414803,0,0,0.293844882,-2,10,1.824036623,0,0,0.556851045,0,2,0.026293125,0,4,0.00852185,0,2,0.223460017,0,0,0.372213731,0,0,0.4327865
2344,2,6,0.169069679,1,1,0.306612093,0,6,1.790157147,4,4,0.944816786,1,7,0.444607002,0,2,0.014007216,1,3,0.169591607,1,1,0.380429185,0,6,0.338035445
2345,3,5,1.500995845,0,0,0.556761192,0,8,1.826761174,1,11,1.002833528,0,2,0.036210492,0,4,0.122844413,3,3,0.847331352,0,0,0.459821001,3,3,1.671418548
2346,1,3,0.204378356,0,2,0.426862916,3,11,0.982123337,0,8,0.787826921,0,0,0.039210847,1,1,0.012181951,2,6,0.315993805,0,2,0.369671368,0,2,0.432710098
2347,0,2,0.239788077,1,3,1.025050339,0,0,0,2,4,1.468912892,0,0,0,0,2,0.016036633,0,2,0.242552421,0,4,0.698053833,2,6,0.736034912
2348,0,0,0.809036088,0,6,1.875851331,0,0,0,0,0,0,0,6,2.645751311,0,2,0.107325067,0,0,0.70396026,0,8,1.3914824,0,8,0.956081161
2349,0,4,0.150476184,-1,5,1.362473015,0,0,0,3,3,1.726248697,0,4,2.645751311,0,0,0.041306526,1,3,0.185150688,0,4,1.402877972,0,8,0.471600687
2350,0,4,0.299670703,1,5,0.553483364,0,0,0,2,14,1.941180964,0,6,0.686342481,0,2,0.020956481,1,3,0.317043479,2,6,0.86077436,0,2,0.549289401
2351,2,6,0.332285997,0,2,0.588178521,0,0,0,1,7,1.287929593,0,2,0.075314139,0,0,0.022044092,2,4,0.305401107,-1,3,0.861576478,-1,5,0.401848444
2352,1,7,0.34513129,2,2,1.013599848,0,0,0,0,2,0.498761463,0,4,0.445436761,0,2,0.02305271,0,4,0.186926116,1,7,0.81312901,-1,7,1.800167607
2353,1,1,0.155826837,0,4,1.411800464,0,0,0,-1,7,1.251072426,0,0,0.07414274,0,0,0.01045617,0,4,0.176509407,0,2,0.376030345,2,6,0.478775309
2354,0,12,0.942028309,0,0,0.460168382,0,0,0,2,4,0.811432421,0,4,0.034729525,0,10,1.264262167,0,14,1.042307402,0,0,0.593299144,0,4,0.789632307
2355,-2,8,0.297953098,-2,6,1.113726073,0,0,0,1,1,2.645751311,-1,7,0.69183018,0,12,0.689811083,0,6,0.316820958,-2,8,1.5220617,2,4,0.410062208
2356,0,2,0.172028985,-1,7,1.243237358,0,0,0,2,6,1.744503726,-3,9,1.708258826,0,0,0.015097802,0,2,0.165177461,-1,9,1.319935026,1,5,1.116415078
2357,0,0,0.087772174,-1,7,2.079660343,0,0,0,0,4,2.645751311,-3,3,2.645751311,-2,6,1.711405998,1,3,0.06171054,-1,5,2.599740972,0,6,0.478651422
2358,0,12,0.638876149,1,1,1.393725955,0,0,0,0,6,2.645751311,0,8,1.25805518,-2,2,2.645751311,-1,3,0.235770169,0,4,1.717889972,0,16,0.914073313
2359,0,4,0.251258767,-2,2,0.973561737,0,0,0,0,10,2.154507626,-1,7,0.467561396,0,0,0.016205894,0,4,0.295954243,-2,6,1.177466911,1,7,0.712458047
2360,0,0,1.09595552,1,1,1.421939004,0,0,0,3,3,2.645751311,2,2,1.716337867,1,1,0.0594158,0,0,1.208480296,0,0,0,0,2,2.030422611
2361,1,3,0.328119299,-1,3,0.477649526,0,6,2.645751311,2,8,1.307637177,0,0,0.02428392,0,4,2.645751311,2,2,0.290638458,-2,4,0.639765036,0,8,0.625623745
2362,0,2,0.967208397,0,0,0.488669148,0,6,2.645751311,0,0,0.518021422,1,3,0.039895464,1,1,0.076046818,0,2,1.048513498,0,0,0.587684553,0,4,0.394529828
2363,-1,3,0.116535943,0,4,1.491553411,0,6,2.645751311,0,0,0,0,6,2.645751311,0,4,2.645751311,0,4,0.140318463,-1,5,1.463012984,0,4,0.362564273
2364,0,2,0.412225587,-1,1,0.492863799,0,6,2.645751311,-1,3,0.554817376,-1,1,0.049764121,0,2,0.148257065,1,1,0.317565589,-3,3,0.583996695,-2,2,0.682659106
2365,0,6,0.564088319,0,0,0.404062106,-3,3,2.645751311,0,16,1.680104421,-1,3,0.021779305,2,6,1.70846508,0,0,0.962047108,0,0,0.339761547,0,0,0.595555093
2367,0,4,0.218376932,0,2,0.42463667,0,0,0,1,7,0.870145749,0,4,2.645751311,0,2,0.014888858,0,2,0.242996007,1,5,1.262042699,0,0,0.191986809
2368,1,9,0.589827749,0,0,0.656388407,-3,7,1.568849245,1,1,0.574654726,0,2,0.038517042,1,1,0.055647065,-1,5,0.229328067,0,0,0.738008895,1,5,1.049695392
2369,-1,7,0.224224938,0,2,0.461840727,-3,3,2.645751311,-4,8,2.178853251,0,2,0.067715987,0,0,0.022676146,-1,5,0.225669729,0,4,0.482223492,-1,7,0.627538189
2370,-1,11,0.428841555,0,2,0.592518465,3,15,1.372013195,0,4,0.788590147,0,4,0.056085129,1,9,0.941303131,0,6,0.444241803,0,4,0.759560225,0,4,0.599321365
2371,1,1,0.128197843,0,4,0.558773659,0,0,0,0,6,1.252620992,0,4,2.645751311,0,2,0.008773296,1,1,0.189445317,0,4,0.649398274,1,3,0.211175588
2372,2,2,0.589454127,1,3,0.721849586,0,0,0,-1,5,0.604934246,0,0,0.043553287,-1,9,0.949095676,0,2,0.472197761,1,5,1.040396297,3,5,1.575332037
2373,0,2,0.148842735,1,1,0.537720934,2,10,1.102308682,-1,7,1.12485612,0,0,0.046109621,0,0,0.013628049,1,5,0.134110538,1,5,0.793419102,0,6,0.473998765
2374,0,6,0.372866405,1,3,0.398513901,-2,12,1.786555344,0,0,0.277217468,0,4,0.04012945,1,3,0.056831559,1,7,0.294872912,0,2,0.400602036,-1,3,1.076147143
2375,1,3,0.28582643,0,0,0.452752884,0,10,1.622699443,1,11,1.656482986,0,2,0.031481175,0,0,0,2,4,0.426074083,0,0,0.507152932,0,4,2.373540244
2376,-1,3,0.393474528,0,2,0.452233715,2,14,1.726843732,0,4,0.67063723,0,0,0.033187617,0,4,2.645751311,-1,5,0.531507555,0,2,0.53800556,2,8,1.081026202
2377,0,2,0.209052527,0,6,1.075351038,0,0,0,0,6,0.693195612,2,6,1.25287404,0,2,0.014843027,0,2,0.279568177,1,3,1.028838098,-1,1,0.259326959
2378,0,0,0.216666392,1,1,0.480324239,3,9,1.840768832,0,0,0.549856607,0,2,0.036957945,0,2,0.022331059,0,0,0.240091062,0,4,0.454264156,0,2,0.563792111
2379,1,5,0.210866223,-1,3,1.195784435,0,0,0,3,3,1.106452654,-2,2,2.645751311,0,0,0.013237565,2,4,0.279474362,0,4,1.32543849,1,1,0.912878941
2380,1,3,0.276447578,0,4,0.499855582,0,6,2.645751311,0,8,0.736494143,0,0,0.039020774,0,0,0.024078751,0,4,0.182730952,0,4,0.614127517,2,2,0.697529338
2381,1,3,0.253449609,0,4,0.605589727,0,0,0,0,4,0.684741113,2,2,2.645751311,0,0,0.019311179,1,3,0.307306255,0,4,0.614800854,0,4,1.061224371
2382,0,0,0.140857197,1,5,0.775453085,0,0,0,3,3,1.182101703,1,3,0.122999763,0,2,0.010781208,0,0,0.161734505,-1,3,0.777007019,1,3,0.291463673
2383,2,2,0.269593483,1,5,0.285714018,0,4,1.069843351,1,3,0.882637091,0,4,0.030015327,3,7,0.685231994,3,3,0.428049217,1,1,0.304811778,2,8,0.557419019
2384,2,4,0.689581798,1,1,0.495723694,0,10,2.179860282,4,6,1.53421511,0,4,0.048931431,0,6,1.713175476,2,6,0.724028219,1,1,0.555678432,1,7,0.785859468
2385,0,10,0.570279716,0,0,0.364369364,-1,3,0.76859146,0,2,0.781231178,0,0,0.024569828,1,3,0.0739122,0,8,0.568686718,0,0,0.533823084,-1,3,1.132032064
2386,2,4,0.213492809,2,4,0.854653151,0,0,0,-2,8,1.106674333,0,0,0.031344072,-2,2,1.249266915,1,3,0.206321248,1,7,1.10732685,2,4,0.596147199
2387,0,4,0.319566694,-1,3,0.551044557,0,0,0,-1,7,1.134219048,0,0,0.032436807,0,4,2.645751311,0,2,0.348723511,-1,3,0.659893113,-1,5,1.461431177
2388,-1,7,0.26140598,-1,7,1.577312347,0,0,0,0,4,2.645751311,-1,7,1.308302409,1,7,0.683422316,1,5,0.327811726,-1,7,1.60929737,-2,2,0.743449814
2389,-1,1,0.370762144,0,2,0.471195591,0,0,0,2,6,1.221510779,0,0,0.027799741,1,1,0.063342243,0,2,0.3502203,0,4,0.474903119,0,6,1.042898044
2390,-1,5,0.526275088,-1,1,0.394773262,-3,3,1.320664657,1,3,0.572703282,-1,1,0.030327508,0,4,2.645751311,-2,2,0.456564251,-1,5,0.639573566,0,10,0.628803677
2391,-1,5,0.195851003,0,4,0.60573016,-3,3,1.708449415,0,14,1.813147971,0,0,0.028621466,3,7,0.688656846,-1,5,0.249707168,0,4,0.75750264,-1,1,0.494931409
2392,0,0,0.195782145,0,2,0.537164261,1,7,1.365170996,1,3,0.799836557,0,0,0.030867355,0,2,0.009745875,0,0,0.251058772,-1,3,0.915720776,-1,3,0.479829721
2393,2,4,0.196736624,0,0,0.226799634,1,5,0.96788002,0,4,1.825447654,0,0,0.013931002,0,0,0.028865908,1,1,0.325152004,0,0,0.413723017,0,0,0.378832788
2394,0,0,0.287618977,0,2,0.446176193,2,8,2.287848683,-1,3,0.794790341,0,2,0.037395752,3,3,0.446027818,0,0,0.303349468,0,2,0.430243923,-3,7,0.959839094
2395,1,7,0.23901972,-2,4,1.321019582,0,0,0,2,6,1.432829888,-3,5,0.697504615,0,2,0.018690161,1,3,0.202990086,-3,5,1.390521172,0,6,0.86093255
2396,0,0,0.473087124,0,2,0.398738305,0,0,0.590597524,0,2,0.471929036,0,0,0.022172655,0,4,2.645751311,0,0,0.509843037,0,4,0.664010085,3,3,0.67602606
2397,0,0,0.111243893,-1,1,0.516169027,0,0,0,2,4,1.028260925,0,0,0,0,0,0.017275744,0,0,0.110641561,-1,1,0.565472203,2,6,0.674271651
2398,-1,3,0.152592848,-1,3,0.880234601,0,0,0,0,12,1.617590943,-1,9,0.950726939,0,2,0.011208202,-1,3,0.196813973,-1,3,1.161208982,1,3,0.206562693
2399,1,3,0.39000409,0,4,2.377937186,0,0,0,2,4,1.490680359,0,0,0.029471455,3,5,0.452985807,2,4,0.353397656,0,2,2.645751311,1,7,1.024975693
2400,0,2,0.424300616,0,0,0.360065713,3,3,2.645751311,-1,3,0.63853264,0,0,0.020057074,1,3,0.087652259,1,1,0.420625964,0,0,0.42229659,-1,3,0.530169139
2401,1,3,0.210611713,2,6,1.97378176,0,6,2.645751311,1,3,1.727959941,3,3,1.711691675,0,2,0.058530086,1,3,0.181248675,2,6,1.616486239,1,7,0.761376525
2402,1,5,0.753858864,0,0,0.381572188,3,11,1.48353476,1,9,0.827783545,0,2,0.01646526,0,0,0.04014903,1,3,0.981049359,0,2,0.454742961,-2,12,1.3022152
2403,-1,5,0.27550556,-1,1,0.350589211,0,6,2.645751311,4,8,2.47068189,3,7,0.943578635,0,2,0.021794253,-2,4,0.356311955,-1,1,0.535199483,1,5,0.53245367
2404,-1,5,0.556119512,0,0,0.613118131,3,9,1.406975398,-1,15,1.170958138,0,2,0.025465166,2,4,1.708960157,-1,3,0.568826396,0,0,0.313696737,-1,5,0.905969369
2405,0,2,0.204122992,3,3,2.491053106,0,0,0,0,0,0,3,3,2.645751311,-2,2,2.645751311,0,2,0.221815717,3,5,2.574860083,1,3,0.246750556
2406,0,4,0.215356707,0,4,0.648653172,0,0,0,0,2,0.640470322,-3,3,1.712590784,0,2,0.018708667,0,4,0.174253004,0,6,0.707975937,0,4,0.664782705
2407,-1,3,0.292583004,-1,1,0.366876912,0,0,0,2,6,1.015198425,0,4,2.645751311,0,2,0.017206064,-1,5,0.335603504,-2,4,0.809089316,-1,7,0.44001284
2408,0,0,0.203850439,1,7,1.093175285,0,0,0,2,4,0.980393502,0,6,2.645751311,0,4,0.016043738,0,0,0.210368949,0,6,1.452183929,0,10,0.483240461
2409,0,2,0.266551646,0,0,0.168139899,0,12,1.794356476,0,2,0.395214877,0,2,0.009559041,0,0,0,0,2,0.297825385,0,0,0.285653604,3,5,1.007003028
2410,1,3,0.241689871,-1,5,1.458951995,-2,2,2.645751311,0,0,0,-3,7,0.691393338,-2,2,2.645751311,1,5,0.209076076,-3,11,1.577096754,1,3,0.691972627
2411,0,8,0.690169062,0,0,0.39148379,0,2,1.132693618,-2,6,0.874697291,0,4,0.025112659,-1,1,0.092647903,0,2,0.759518061,0,0,0.446948462,-2,2,0.786964856
2412,0,0,0.181249073,-1,3,0.294769747,0,0,0,0,2,0.661478082,0,0,0.015507044,0,6,0.443090384,0,0,0.209378283,0,0,0.371799829,0,0,0.466257602
2413,0,8,0.476481434,-1,5,0.222034489,0,4,2.645751311,2,4,0.712349494,0,0,0.02162635,0,2,0.069931941,0,4,0.376221147,-1,5,0.314118182,0,14,1.360443191
2414,3,3,0.297135873,0,4,0.786242604,-3,9,1.711287267,2,4,0.705045491,0,2,0.057799585,0,2,0.021344369,2,2,0.337507591,0,4,0.332978901,2,2,0.515693407
2415,1,5,0.613204709,3,5,1.433721651,0,4,2.645751311,1,9,1.261498744,1,1,0.194144735,0,0,0.031616085,0,6,0.642463324,2,2,1.224369245,1,5,0.683826731
2416,0,4,0.30923953,0,0,0.481707619,-1,15,1.644910722,0,4,0.922182586,-1,1,0.038749216,2,8,0.689740784,0,4,0.320567577,0,0,0.634242399,0,4,0.776418029
2417,-3,7,0.44864901,-2,6,1.325114354,0,0,0,0,6,1.701779832,0,2,0.165376248,-1,1,0.154347704,-3,5,0.480808207,-1,5,1.326520032,0,10,0.61895666
2418,0,4,0.183576142,0,2,0.458486091,0,0,0,2,2,1.710236954,0,2,0.113829084,-2,2,2.645751311,0,2,0.160223721,0,4,0.531241183,-1,3,0.67451482
2419,2,2,0.171724859,1,7,0.885347592,3,3,2.645751311,1,3,0.756228095,3,11,0.971393453,0,2,0.012812102,2,4,0.236643654,0,4,1.569276307,2,4,0.326492269
2420,1,1,0.366099791,1,1,1.104347011,0,10,1.857493047,0,4,0.529824782,1,1,0.048842184,1,1,0.020861698,1,3,0.411233439,1,1,0.422018272,0,2,0.813889964
2421,1,5,0.220170464,1,1,0.471310346,0,0,0,-2,6,2.504170036,0,6,1.71217492,1,1,0.124880767,1,5,0.142455406,1,5,1.098579135,1,3,0.681876577
2422,0,12,0.412046551,-1,3,0.978451638,3,5,1.224780651,1,1,0.406885386,-1,1,0.049575245,0,6,0.441998962,0,12,0.465715566,-1,1,0.490283714,-2,8,0.636294567
2423,-1,1,0.802803437,0,0,0.298975296,3,9,1.891344251,0,12,0.81859415,0,2,0.019413649,0,0,0,-1,1,0.840919733,0,0,0.388640995,-3,7,1.375758535
2424,0,4,0.198264816,-1,1,0.739137543,0,0,0,0,4,1.002114141,0,4,0.936949252,0,2,0.042131684,0,2,0.207014103,0,0,0.428722358,1,7,0.57570404
2425,0,2,0.158243031,2,8,0.903574132,0,0,0,1,7,0.962958368,0,0,0.023881232,0,0,0,0,0,0.167648629,1,7,1.165165954,-1,3,0.399682373
2426,-1,5,0.260539102,-3,9,1.538780865,0,0,0,3,5,2.616102842,0,0,0.0295264,0,0,0,-1,3,0.275681422,-1,11,1.437417385,0,6,1.971732956
2427,-3,5,0.640535529,0,2,1.581915724,0,8,2.645751311,-3,7,1.482120965,0,4,0.075882607,-3,5,0.68425218,-2,2,0.832304055,0,4,0.89830537,-1,13,1.323180108
2428,2,4,0.334003905,0,2,0.501077285,0,0,0,0,0,0.358240316,0,0,0.031244752,1,1,0.127420931,2,6,0.348138534,-1,5,0.666632187,1,7,0.584951774
2429,-2,6,0.731559065,0,0,0.545042015,0,2,1.951595975,-1,3,0.795608825,0,4,0.039193526,-3,9,0.692427049,-3,11,0.959353582,0,0,0.377608782,0,2,0.659710769
2430,2,6,0.43001892,1,1,0.36015477,1,3,0.675703305,0,4,1.015909671,0,2,0.026784583,0,6,0.447908063,1,5,0.503631664,0,0,0.305297198,0,6,0.361856043
2431,0,6,0.279636399,0,0,0.397741107,0,0,0,0,4,0.893713123,0,0,0.028894084,0,2,0.048966907,0,4,0.248147273,0,0,0.349981951,3,11,0.975362877
2432,0,0,0.247141977,0,2,0.689838472,2,6,1.85355917,1,3,0.375411059,0,0,0.015869997,0,2,0.06947952,0,0,0.256139748,-1,3,0.836537845,0,2,0.300558894
2433,0,4,0.114520557,0,2,0.319492705,-3,9,1.81927147,0,2,0.649603336,0,0,0.019969064,0,2,0.03169832,0,2,0.148328237,-1,5,0.603008919,-1,7,0.514461778
2434,3,7,0.562262009,0,2,1.070761476,0,8,1.525644516,0,6,0.97927556,0,2,0.050016427,3,7,0.941252802,2,6,0.506589832,0,0,1.033356984,2,6,1.062157778
2435,0,2,0.234134563,0,0,0.324418923,3,9,1.365765263,0,6,1.748951002,-1,3,0.023714344,0,0,0.025782042,0,0,0.220116947,0,0,0.342626939,0,8,1.035460771
2436,0,4,0.477167818,-1,7,0.869767718,0,0,0,0,2,2.645751311,-3,9,0.685616867,0,8,1.715725984,1,3,0.631012762,-2,10,1.000498199,-1,7,1.246246771
2437,1,3,0.324747376,1,3,0.556304099,0,8,1.371687373,2,8,1.29424889,0,0,0.037095778,1,1,0.084472565,1,3,0.424403593,0,4,0.578993823,-1,13,0.838249798
