고객번호,1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,8기구매등급,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,7기구매횟수,8기구매횟수
3164,2,2,1,1,2,1,2,2,147,176,180,225,170,142,100,103
3165,10,10,3,5,6,5,4,9,142,38,241,290,261,220,303,197
3166,7,5,5,6,6,7,7,7,303,387,374,286,267,343,310,269
3167,4,9,10,8,8,9,7,8,209,109,121,167,169,115,213,127
3168,1,2,1,2,2,2,2,4,112,57,107,82,81,63,61,45
3169,6,6,6,6,7,7,6,4,304,333,426,511,372,412,355,440
3170,6,6,7,7,7,5,5,5,200,196,157,159,178,191,179,134
3171,5,9,6,6,7,9,6,7,145,78,139,176,169,116,190,178
3172,7,8,7,4,7,7,7,5,203,145,193,235,194,127,196,139
3173,4,2,3,2,3,2,6,2,55,143,141,141,102,182,116,161
3174,4,5,3,4,5,8,4,4,211,190,251,160,164,117,246,198
3175,4,4,6,2,5,1,4,1,90,123,75,113,86,138,91,130
3176,3,2,2,2,2,3,3,3,162,184,215,253,187,254,227,237
3177,3,2,3,2,3,2,3,2,107,102,69,91,105,109,67,99
3178,1,1,1,2,1,1,1,3,84,98,76,68,87,108,81,41
3179,1,1,1,1,1,1,2,2,94,145,76,76,106,125,92,89
3180,1,1,1,1,1,1,1,1,64,89,89,77,89,150,103,65
3181,2,1,2,2,2,1,2,3,80,139,91,114,121,93,96,91
3182,7,9,8,8,8,10,9,9,293,256,264,271,223,170,272,211
3183,3,2,2,2,3,2,2,2,123,203,243,192,133,153,214,210
3184,3,5,5,4,4,3,5,3,255,296,314,302,285,277,335,319
3185,6,4,10,5,5,7,7,10,139,125,37,123,160,148,114,31
3186,8,9,9,9,8,8,7,6,131,106,116,69,139,129,151,154
3187,5,6,5,5,7,6,3,6,71,72,94,79,84,86,84,135
3188,9,8,8,9,6,9,8,10,174,198,189,163,173,163,188,152
3189,4,7,5,5,5,4,5,6,225,240,308,268,310,381,313,298
3190,6,6,6,7,7,7,8,8,421,342,387,362,287,300,251,206
3191,6,9,5,8,6,6,5,3,116,74,76,82,48,62,155,125
3192,4,6,6,6,7,7,8,7,104,93,87,87,64,91,73,59
3193,1,2,2,2,1,2,2,1,95,63,61,44,76,77,59,80
3194,4,4,4,5,5,4,4,4,463,493,438,463,479,540,530,512
3195,1,1,2,1,2,1,2,1,173,106,133,134,116,135,139,107
3196,2,1,2,1,2,1,3,2,42,73,48,66,65,89,74,53
3197,2,2,9,5,8,9,10,2,122,106,90,76,93,79,69,106
3198,2,2,2,2,3,2,1,3,301,250,236,179,165,223,218,139
3199,2,3,3,4,7,3,4,2,54,81,77,103,81,102,107,139
3200,5,6,6,6,6,8,7,7,234,206,230,255,208,177,253,223
3201,2,1,1,1,1,1,1,1,57,86,96,116,81,84,120,85
3202,8,8,6,6,8,7,8,7,282,277,350,247,302,363,311,287
3203,3,2,5,2,2,3,2,2,257,401,303,363,409,354,339,308
3204,2,1,4,1,1,1,3,1,84,169,44,86,73,114,65,157
3205,2,2,2,2,2,2,2,2,125,142,147,97,78,78,142,74
3206,3,3,3,2,2,2,2,3,134,104,133,98,135,79,92,80
3207,1,1,1,1,1,1,2,1,93,122,110,134,104,156,90,96
3208,3,2,2,2,3,3,2,3,137,107,60,115,107,75,43,47
3209,9,10,3,4,9,10,3,3,130,104,78,105,129,88,167,158
3210,1,2,1,1,1,1,2,2,173,249,261,195,208,224,191,227
3211,4,6,3,4,6,4,5,4,294,261,265,288,201,261,293,214
3212,2,3,2,1,1,2,3,4,130,153,199,168,198,154,160,136
3213,3,3,5,7,6,6,6,7,322,401,319,292,300,324,394,343
3214,1,1,2,2,1,1,4,1,64,101,59,71,71,94,42,69
3215,2,2,3,4,3,3,3,3,73,89,147,128,174,206,142,137
3216,7,7,7,9,8,9,9,10,182,197,241,179,254,183,141,136
3217,3,4,2,4,3,4,7,4,146,162,142,115,143,167,129,105
3218,6,7,9,8,8,9,9,4,208,233,154,170,158,197,217,179
3219,5,8,7,8,5,7,5,5,280,212,219,173,288,274,347,221
3220,8,8,8,8,8,8,7,7,146,138,131,160,152,191,198,175
3221,4,5,6,9,4,5,5,4,140,115,89,88,112,105,126,120
3222,6,8,3,6,6,5,8,5,151,128,167,167,109,184,148,155
3223,1,1,3,3,3,3,1,3,115,144,130,142,76,125,91,119
3224,5,5,4,4,6,9,10,10,272,264,334,309,227,86,49,51
3225,6,8,8,8,8,9,9,10,333,258,304,315,293,216,240,148
3226,5,7,8,9,7,10,7,7,214,169,137,138,160,80,150,153
3227,1,1,1,1,1,1,1,1,342,331,268,302,291,286,274,225
3228,1,2,2,3,2,2,3,2,265,226,172,124,127,213,154,182
3229,1,1,1,2,2,1,1,2,253,316,403,392,378,369,455,202
3230,3,4,3,3,3,3,3,4,347,313,374,381,364,401,436,366
3231,4,5,4,5,3,5,7,5,387,273,336,278,398,218,275,311
3232,6,7,7,8,8,7,8,9,249,264,215,185,184,222,208,167
3233,9,9,8,8,7,8,9,8,208,249,263,288,356,251,260,237
3234,2,2,2,1,2,2,2,1,121,186,292,231,217,303,301,215
3235,10,10,10,7,4,7,5,5,6,18,76,220,261,289,305,285
3236,10,10,7,10,10,8,9,9,6,174,204,190,173,155,240,265
3237,2,3,3,1,2,7,2,3,103,105,54,122,148,93,105,133
3238,4,4,3,1,1,3,1,3,112,146,170,272,189,182,108,157
3239,6,3,3,4,6,10,8,5,126,203,202,198,143,47,130,163
3240,1,3,4,4,3,2,1,2,187,225,157,207,199,77,113,127
3241,10,8,7,8,8,8,8,7,16,224,257,275,296,249,254,227
3242,5,5,7,5,4,5,6,6,362,396,330,416,418,417,412,224
3243,4,4,4,6,6,5,5,6,374,360,311,266,313,366,392,282
3244,10,10,10,10,10,10,3,7,57,52,55,26,55,64,154,189
3245,6,4,7,4,6,6,5,4,133,103,103,123,75,170,190,125
3246,1,2,1,2,2,3,3,3,210,247,272,196,236,189,190,188
3247,1,1,1,3,4,2,4,2,108,93,107,58,35,65,38,74
3248,7,5,5,5,8,9,7,5,283,302,356,352,264,187,292,310
3249,2,1,1,1,2,1,1,2,62,85,45,69,84,112,80,67
3250,4,3,2,2,3,2,2,2,133,161,163,172,170,194,130,126
3251,7,7,7,6,7,7,8,7,190,238,241,275,265,269,181,204
3252,7,4,5,8,4,8,7,7,60,78,74,67,71,71,96,59
3253,1,1,1,1,1,1,1,1,100,85,101,112,95,69,78,74
3254,6,8,9,9,5,10,5,8,212,212,207,235,215,158,212,154
3255,9,10,10,10,10,10,10,10,215,196,189,181,259,247,238,192
3256,7,6,7,7,9,8,8,7,216,215,243,238,212,211,229,288
3258,3,2,2,3,2,2,2,3,139,198,217,279,242,353,281,292
3259,4,5,7,4,8,3,4,2,136,147,118,93,134,195,194,176
3260,4,4,5,3,4,4,4,4,178,160,157,176,161,185,161,123
3261,6,6,7,6,7,8,7,8,185,196,189,208,228,163,202,160
3262,7,5,6,7,7,6,5,4,180,192,214,179,168,198,198,249
3263,6,8,9,9,10,10,9,8,225,195,153,124,133,133,173,175
3264,5,5,3,6,7,8,5,6,226,174,198,185,241,206,344,318
3265,3,3,3,1,3,5,3,1,200,187,181,207,196,92,125,108
3266,6,7,7,8,9,10,9,10,345,380,342,330,157,195,183,86
3267,1,2,2,1,1,2,2,1,104,76,98,81,86,61,222,184
3268,3,3,2,3,2,2,4,3,74,112,86,119,119,119,100,142
3269,7,6,7,7,5,6,7,5,155,216,206,221,228,264,257,243
3270,6,7,7,8,5,7,7,5,234,291,233,288,340,285,296,264
3271,1,1,1,1,1,1,1,1,176,284,271,283,267,247,256,240
3272,3,2,5,4,7,4,3,3,252,220,145,169,96,94,143,134
3273,7,8,4,8,9,6,7,6,199,187,220,169,180,190,189,268
3274,10,10,10,8,9,9,10,10,90,74,101,146,138,150,128,134
3275,3,5,4,2,3,4,3,4,119,96,98,183,96,160,128,90
3276,9,8,7,8,9,9,10,8,84,128,142,172,120,133,141,203
3277,3,2,1,2,2,3,2,2,71,140,108,62,61,133,83,69
3278,2,3,3,1,3,2,5,4,199,155,215,174,181,142,106,155
3279,1,3,1,3,1,1,1,2,90,51,94,60,93,117,63,55
3280,2,2,4,3,2,2,5,1,190,179,150,159,151,112,112,138
3281,9,8,9,10,10,4,9,9,325,361,270,330,99,119,198,253
3282,8,8,10,10,7,6,5,8,259,205,184,148,281,372,421,247
3283,1,1,1,1,1,1,1,1,115,74,94,143,147,126,130,98
3284,5,5,5,7,3,5,6,6,293,338,301,301,342,386,388,327
3285,3,8,5,3,4,6,4,5,193,120,155,180,213,203,193,161
3286,6,6,5,7,8,6,7,7,381,397,414,331,292,328,297,308
3287,4,6,5,7,7,9,8,10,123,94,125,96,128,103,95,95
3288,3,3,6,3,4,5,6,4,93,91,64,59,66,88,48,36
3289,7,9,9,7,9,8,8,6,253,208,165,189,183,228,194,123
3290,8,9,9,8,7,9,6,7,101,90,123,112,139,105,101,141
3291,3,5,3,3,2,3,3,2,130,96,100,104,102,119,85,90
3292,2,2,4,2,3,4,2,2,105,89,66,78,75,67,60,92
3293,8,3,8,10,10,10,9,10,161,202,139,83,92,74,98,61
3294,2,1,1,1,1,1,1,1,246,275,294,349,200,263,181,156
3295,1,2,1,2,1,1,2,2,62,81,72,71,86,102,67,52
3296,6,1,2,2,4,2,8,4,91,155,153,139,146,170,84,104
3297,1,4,3,3,1,1,1,1,157,144,221,194,198,174,186,136
3298,10,4,3,7,4,4,4,1,22,144,150,29,81,111,126,151
3299,6,5,5,2,2,4,4,5,218,283,203,331,193,337,301,222
3300,4,8,8,6,8,7,6,9,200,226,195,246,238,259,215,169
3301,3,4,4,5,6,10,8,10,257,227,187,191,132,40,95,46
3302,5,5,4,4,8,7,6,5,153,138,191,141,170,143,199,178
3303,1,1,1,2,1,1,3,2,122,148,113,107,128,201,113,203
3304,6,8,8,5,5,6,7,8,128,129,142,140,125,130,118,133
3305,2,2,2,2,2,1,10,2,49,73,41,90,51,67,40,79
3306,2,1,2,2,4,3,4,2,105,89,95,131,79,45,82,98
3307,4,4,2,3,3,5,8,7,100,128,202,137,114,98,76,59
3308,1,5,1,2,1,1,1,1,39,31,46,74,105,126,306,138
3309,3,4,2,2,3,3,4,2,68,111,105,108,112,80,70,86
3310,5,10,6,9,9,7,7,6,119,78,97,42,90,150,117,116
3311,1,2,2,1,1,2,3,2,168,173,204,164,121,104,101,125
3312,3,4,3,1,3,3,3,3,92,149,116,138,155,105,75,111
3313,6,6,6,6,6,6,6,6,162,180,174,171,156,231,213,204
3314,9,9,9,9,8,10,10,10,110,117,152,142,137,110,132,92
3315,10,10,10,8,8,7,10,7,4,34,13,13,9,19,7,17
3316,3,4,7,5,4,5,5,5,278,223,185,180,327,244,253,194
3317,2,2,1,2,2,2,2,2,98,78,83,83,75,87,81,109
3318,6,3,2,2,1,2,4,3,85,110,89,109,74,79,141,140
3319,5,6,7,5,5,5,4,5,224,155,145,252,267,235,329,218
3320,6,6,5,6,3,5,5,4,247,218,353,298,374,336,323,350
3321,4,3,1,3,3,3,2,1,50,56,63,127,126,120,158,110
3322,7,6,5,4,4,4,7,4,78,107,103,123,94,128,88,81
3323,7,7,9,8,4,4,9,6,119,150,106,151,181,196,115,153
3324,5,5,5,5,3,4,5,4,283,263,282,246,217,262,224,206
3325,2,1,1,2,3,1,2,4,158,154,124,114,88,164,154,132
3326,8,8,9,8,9,9,9,9,125,150,108,121,95,154,99,121
3327,3,1,3,2,2,2,1,1,38,78,52,68,52,65,57,49
3328,5,3,5,4,5,6,7,9,81,88,76,70,58,64,71,19
3329,1,3,3,2,1,3,2,4,252,186,243,193,96,141,163,119
3330,8,8,6,9,8,7,9,10,208,208,235,141,275,242,204,132
3331,2,3,5,4,7,5,3,3,210,259,183,161,135,157,198,162
3332,2,4,8,7,5,6,7,9,74,59,51,119,143,104,78,51
3333,7,9,9,10,7,10,10,7,104,81,75,66,57,69,94,158
3334,4,3,4,5,5,4,4,5,458,506,459,496,503,455,493,478
3335,1,2,1,3,1,1,1,1,166,161,176,128,152,147,105,168
3336,9,9,9,9,9,4,1,1,65,46,54,73,72,110,82,150
3337,8,7,7,7,7,8,9,9,274,284,326,280,296,280,119,135
3338,9,7,8,9,7,7,9,9,123,204,187,190,188,177,183,186
3339,10,10,10,9,10,10,10,10,22,70,199,311,283,307,268,229
3340,1,1,1,2,1,1,1,2,100,95,90,39,85,82,107,130
3341,7,5,7,6,4,5,6,5,301,317,278,311,253,311,277,228
3342,4,4,4,4,7,6,4,5,332,313,401,305,220,306,329,270
3343,4,2,4,3,3,3,4,3,88,71,46,60,63,96,98,86
3344,2,1,2,1,1,1,2,4,87,291,37,149,143,178,224,105
3345,3,3,2,2,4,2,3,3,274,236,230,208,187,215,187,245
3346,3,5,4,3,3,2,1,4,175,178,78,154,96,92,130,97
3347,8,8,6,9,7,7,6,7,120,134,155,117,131,168,189,94
3348,1,2,4,1,2,4,2,1,99,104,76,77,71,52,69,100
3349,5,6,6,7,5,6,6,7,301,295,275,233,241,292,282,243
3350,1,1,1,1,2,1,1,1,61,86,55,58,45,49,63,77
3351,3,5,5,2,2,2,6,3,107,121,119,113,135,115,107,108
3352,4,3,3,1,2,1,4,3,63,80,72,110,130,182,88,131
3353,10,10,10,10,10,10,10,10,141,149,191,179,159,197,193,144
3354,3,3,4,4,3,2,3,3,85,132,201,168,197,253,245,206
3355,1,1,1,1,1,1,1,1,101,108,89,110,112,92,96,147
3356,1,1,1,1,1,1,1,1,150,163,123,164,146,121,129,147
3357,8,5,7,5,7,4,9,3,137,270,189,221,149,228,199,210
3358,6,6,7,6,5,4,6,7,217,232,202,211,216,278,209,211
3359,5,2,5,4,6,9,6,3,85,108,81,109,75,39,81,88
3360,6,8,5,6,5,7,6,5,166,158,171,257,264,249,293,336
3361,4,5,9,10,6,7,9,10,177,123,110,102,165,171,126,53
3362,1,1,1,1,2,1,1,2,134,96,193,59,82,104,115,126
3363,5,5,5,6,4,5,4,6,556,418,445,391,524,478,482,377
3364,3,4,4,4,3,2,5,6,64,94,154,156,89,115,58,112
3365,1,1,3,2,2,1,3,3,203,193,88,170,186,259,229,142
3366,6,7,9,10,8,7,8,9,122,123,97,104,161,275,282,227
3367,9,6,4,4,5,4,7,7,145,221,309,310,334,246,235,93
3368,5,5,7,7,4,7,8,8,304,299,236,221,207,139,141,110
3369,3,2,2,2,2,2,2,1,87,118,134,149,160,266,180,246
3370,7,8,9,7,7,8,8,8,233,210,211,274,273,323,246,202
3371,4,5,4,4,5,6,5,7,415,439,368,352,314,348,356,229
3372,2,2,1,2,1,2,2,3,129,128,126,72,93,117,114,125
3373,1,1,1,1,1,1,1,2,103,172,160,131,146,157,143,99
3374,8,7,9,9,5,6,8,9,158,229,213,178,261,300,213,182
3375,10,5,6,6,6,4,6,7,16,69,102,204,197,279,309,285
3376,5,4,4,4,6,5,7,4,186,239,274,380,258,335,287,236
3377,4,4,4,5,5,6,6,6,519,610,480,410,437,424,360,336
3378,3,2,3,2,3,2,6,3,158,179,194,158,151,179,116,156
3379,4,6,5,6,7,6,9,5,128,147,90,97,131,119,43,54
3380,6,6,5,8,6,9,9,8,245,213,286,157,186,134,177,141
3381,8,10,9,10,10,9,9,8,68,54,103,100,109,134,129,144
3382,4,7,4,6,6,6,7,5,171,140,188,185,128,148,130,149
3383,3,2,2,3,3,3,2,2,48,112,120,35,70,111,191,167
3384,9,3,9,9,9,9,9,9,147,177,147,155,155,194,204,164
3385,10,5,9,5,10,9,10,9,53,88,65,87,78,76,49,69
3386,2,4,3,4,3,4,4,5,85,63,72,68,109,114,63,98
3387,9,7,3,9,6,7,4,8,202,217,202,276,330,243,312,256
3388,1,2,1,1,1,1,2,2,63,106,115,119,99,97,79,75
3389,4,4,6,5,3,6,4,5,457,360,279,440,392,356,347,324
3390,3,3,2,1,1,1,1,1,44,69,85,65,85,158,179,69
3391,1,1,1,1,1,1,1,1,132,126,97,128,74,87,67,106
3392,9,9,9,9,8,10,10,10,134,111,90,112,150,89,77,83
3393,3,2,3,3,2,2,2,3,97,141,128,96,113,174,136,116
3394,4,6,3,6,3,6,4,4,319,325,304,257,278,352,327,283
3395,3,4,6,5,3,5,5,3,245,220,174,284,327,256,293,224
3396,3,2,3,3,3,2,2,3,286,289,274,341,352,374,436,398
3397,2,3,2,2,2,2,1,2,105,153,181,216,220,110,137,94
3398,7,6,5,7,7,8,7,4,251,242,238,251,241,246,187,10
3399,1,1,2,2,2,1,1,1,71,100,83,86,106,105,149,116
3400,1,1,1,1,1,1,1,1,80,131,107,101,91,134,116,100
3401,2,1,2,2,2,2,1,1,139,235,248,186,112,148,214,182
3402,10,10,10,10,10,10,10,10,104,111,122,121,134,168,114,126
3403,3,7,10,7,3,6,4,4,97,85,53,79,107,109,115,150
3404,2,1,1,1,3,1,1,2,163,275,258,335,364,443,376,387
3405,2,4,3,6,7,4,8,7,84,162,144,154,99,131,140,123
3406,3,1,2,2,1,1,1,1,139,137,106,76,136,155,171,94
3407,1,4,1,1,1,1,1,1,36,51,58,51,107,57,94,63
3408,3,3,4,4,2,4,8,5,240,285,193,175,160,153,84,181
3409,7,7,7,8,7,8,9,9,102,140,123,104,94,90,103,65
3410,9,10,10,10,10,10,10,10,138,57,36,75,43,22,2,18
3411,2,3,4,2,3,4,2,2,104,69,89,131,105,148,159,146
3412,1,2,1,1,1,1,2,1,151,115,140,147,126,209,120,211
3413,9,10,10,10,9,10,8,7,146,69,99,109,148,96,147,132
3414,3,2,4,4,5,2,3,4,263,175,174,181,183,274,212,113
3415,4,5,4,4,6,8,7,6,282,178,197,206,161,154,196,200
3416,2,3,2,2,1,2,2,3,93,86,70,81,106,112,89,66
3417,9,10,10,10,10,10,10,8,106,98,98,105,127,134,151,147
3418,4,4,6,7,4,7,7,4,251,270,198,186,256,315,284,248
3419,2,1,2,3,2,2,4,2,98,128,116,84,97,108,77,124
3420,7,5,8,8,8,10,8,8,214,251,205,222,225,79,170,162
3421,3,4,3,4,3,3,3,3,260,321,334,278,358,242,383,335
3422,6,5,4,7,5,5,3,5,154,198,189,203,245,178,315,211
3423,2,1,1,2,2,1,3,2,81,150,131,140,128,137,89,95
3424,5,5,6,3,5,4,6,5,80,63,77,92,54,95,88,93
3425,6,9,6,7,10,9,9,6,153,160,174,175,121,148,177,196
3426,8,8,6,5,6,4,5,5,192,234,316,291,319,455,405,377
3427,5,3,6,3,6,5,4,5,198,306,177,173,182,255,354,225
3428,4,3,3,3,4,4,3,4,228,333,348,343,307,407,438,359
3429,2,1,2,2,2,3,7,10,195,276,283,248,235,299,145,107
3431,8,9,8,10,7,6,7,7,134,114,141,126,180,296,231,242
3432,2,8,8,10,6,3,4,5,73,68,77,71,70,166,145,70
3433,9,8,7,7,4,6,2,3,108,108,122,164,184,162,204,159
3434,1,1,2,2,2,2,1,1,195,359,285,230,204,228,214,255
3435,4,5,6,6,7,7,8,8,108,104,150,123,108,125,148,114
3436,3,6,5,7,5,6,4,4,217,161,228,151,200,251,197,237
3437,2,1,3,2,3,3,3,2,136,161,96,114,60,87,62,83
3438,1,3,2,4,2,4,2,1,84,77,55,69,97,66,93,104
3439,8,6,9,9,9,9,10,9,81,140,98,88,94,129,119,114
3440,4,4,4,4,4,5,4,5,211,181,231,239,250,242,262,207
3441,2,2,1,4,4,3,2,1,194,164,272,152,76,72,75,97
3442,5,6,5,9,9,7,7,8,135,116,94,54,34,53,23,155
3443,3,2,2,2,1,2,2,2,65,71,57,53,75,79,36,48
3444,4,5,3,6,8,10,10,6,293,285,367,180,118,119,102,64
3445,7,6,4,3,6,4,4,3,317,268,384,303,372,426,385,502
3446,7,4,7,4,5,6,7,5,95,109,99,165,165,170,116,86
3447,2,3,2,1,4,2,4,1,130,95,114,101,137,140,94,173
3448,1,1,1,2,1,1,1,1,230,266,261,232,269,197,188,152
3450,6,5,6,10,10,8,9,6,68,93,74,54,76,81,78,65
3451,3,4,3,4,3,3,4,1,334,397,483,447,369,417,317,367
3452,2,1,1,1,2,1,1,1,135,140,138,149,195,213,267,206
3453,5,6,7,6,7,6,7,6,181,145,169,170,191,241,173,185
3454,1,1,1,1,1,1,2,1,119,168,218,136,156,176,159,152
3455,5,5,4,5,3,5,4,4,142,154,137,181,173,182,168,122
3456,5,5,4,6,6,7,4,6,311,365,384,291,345,305,251,310
3457,1,1,3,1,1,2,2,2,118,75,29,100,89,60,90,83
3458,8,5,2,3,4,6,6,8,129,177,311,202,195,173,158,150
3459,2,1,1,2,2,1,2,3,279,349,286,292,260,354,316,208
3460,3,1,4,4,3,3,3,3,220,251,253,182,238,248,254,181
3461,8,7,10,8,9,8,9,6,75,63,54,69,81,70,61,66
3462,8,7,3,4,3,6,10,9,101,121,138,155,268,225,72,80
3463,8,6,7,10,7,5,3,9,114,122,77,79,133,184,199,95
3464,1,1,1,1,2,1,1,1,177,196,160,174,60,91,135,113
3465,9,6,9,7,8,8,7,8,143,287,282,354,267,318,323,271
3466,5,4,4,5,3,5,4,4,181,182,220,226,244,293,215,295
3467,1,2,1,2,2,3,3,3,90,95,158,150,112,134,99,40
3468,7,9,7,9,5,7,7,6,164,157,189,175,233,226,243,209
3469,3,3,4,3,2,3,5,4,182,233,181,236,235,239,209,189
3470,3,3,2,1,1,2,1,2,128,113,118,178,229,139,143,129
3471,3,4,4,4,3,3,5,1,252,289,238,281,276,254,192,246
3472,1,1,1,1,1,1,1,1,89,117,85,108,188,139,159,135
3473,9,7,10,10,10,10,10,10,216,232,247,202,155,65,109,124
3474,9,9,10,8,9,9,9,10,103,123,99,140,129,116,94,61
3475,5,6,7,5,6,5,6,6,271,224,204,236,191,231,189,165
3476,4,7,4,5,4,5,7,6,332,282,278,330,264,267,220,217
3477,10,9,7,9,8,9,10,9,186,262,283,288,254,315,247,181
3478,9,9,9,9,9,10,9,9,77,143,121,117,173,136,201,139
3479,7,8,8,7,8,9,8,7,249,219,210,231,251,263,256,250
3480,4,6,8,4,2,6,5,3,232,137,85,163,270,140,119,150
3481,8,8,9,10,10,10,10,9,86,104,86,101,92,78,132,105
3482,2,2,2,3,3,2,2,3,191,201,165,186,168,100,122,102
3483,2,3,3,2,2,6,4,3,134,119,109,156,111,77,116,47
3484,7,8,8,6,5,6,8,7,229,267,237,234,255,237,225,186
3485,4,4,5,5,6,4,9,6,295,300,239,270,244,293,188,312
3486,5,8,5,7,7,8,4,8,242,188,233,168,210,236,220,178
3487,2,3,2,2,2,2,3,3,478,487,440,452,411,458,469,343
3488,10,10,10,8,10,10,10,10,120,103,109,130,67,111,98,52
3489,4,3,2,3,4,3,3,4,152,119,122,120,157,144,157,171
3490,4,4,6,6,6,5,3,8,125,130,139,106,101,124,166,97
3491,1,2,2,3,1,2,2,2,202,238,192,137,105,162,109,169
3492,3,1,3,3,3,3,3,3,117,170,113,218,148,135,123,124
3493,5,5,5,6,6,6,6,6,365,391,366,326,327,347,313,260
3494,7,9,6,6,7,6,5,8,204,187,227,232,228,290,298,136
3495,8,8,9,9,9,7,7,8,186,184,143,152,150,218,219,222
3496,1,1,1,1,1,2,1,1,113,88,91,98,104,48,55,81
3497,2,2,1,3,1,1,1,3,192,180,167,143,228,303,227,114
3498,10,10,10,8,7,7,9,8,137,167,167,210,254,336,345,346
3499,9,7,9,9,10,9,5,8,150,209,185,153,169,181,183,209
3500,4,3,4,4,4,3,4,7,353,492,335,244,334,338,331,221
3501,9,8,5,8,8,5,6,9,82,243,319,193,217,360,288,135
3502,6,3,3,3,6,3,6,4,76,103,98,155,114,141,86,86
3503,10,8,9,5,4,6,7,5,47,90,102,65,146,170,204,147
3504,1,1,1,1,1,1,1,1,141,165,154,163,125,83,78,83
3505,2,2,1,3,2,3,1,3,62,87,64,48,61,41,67,78
3506,8,7,9,10,10,10,10,9,144,149,156,93,101,96,88,118
3507,7,7,5,7,8,8,6,8,226,235,265,211,201,153,317,188
3508,4,5,5,8,5,5,5,8,309,249,266,256,257,296,263,170
3509,3,2,2,4,3,6,10,5,169,106,80,62,79,30,15,49
3510,3,4,3,2,1,5,4,5,59,74,65,80,74,86,94,66
3511,8,4,8,5,5,6,7,5,122,189,156,191,143,286,219,341
3512,1,1,1,1,2,1,2,1,160,232,146,185,158,209,166,220
3513,7,6,6,6,6,5,6,7,252,236,309,187,226,247,252,204
3514,1,1,1,1,1,1,1,1,86,135,114,95,119,66,59,80
3515,9,9,9,8,9,8,10,9,164,154,225,308,249,251,235,245
3516,2,2,1,2,1,1,1,1,61,59,58,61,75,79,85,67
3517,4,5,3,5,4,4,4,5,315,338,339,271,306,276,336,264
3518,2,3,3,3,3,3,3,4,97,66,145,120,125,104,180,89
3519,4,4,3,3,4,3,2,3,268,267,309,311,240,323,307,235
3520,10,8,10,10,10,10,10,10,132,272,194,207,270,342,113,33
3521,9,8,10,9,10,10,10,10,205,238,174,202,195,211,142,74
3522,7,6,8,8,8,5,8,9,140,202,189,193,187,253,211,177
3523,8,9,9,8,9,8,8,8,304,345,374,411,336,414,428,393
3524,3,2,3,1,1,1,3,3,95,103,70,103,87,87,19,105
3525,4,4,9,3,6,4,5,7,65,122,69,72,26,95,125,47
3526,3,2,1,2,1,3,3,3,42,57,93,97,78,60,53,62
3527,10,10,10,8,9,10,10,7,50,23,60,149,148,121,128,162
3528,7,6,9,10,8,10,8,9,166,158,119,92,128,107,128,117
3529,7,7,6,9,10,10,10,9,295,192,325,232,141,102,178,143
3530,5,3,3,4,6,3,4,8,87,75,83,113,67,111,62,41
3531,8,8,9,7,7,8,2,4,189,224,192,160,187,145,137,150
3532,3,4,6,4,3,3,3,2,187,129,133,186,194,245,216,234
3533,9,9,8,7,6,8,7,7,313,258,326,401,379,358,350,332
3534,3,2,4,4,4,4,2,3,215,216,183,248,185,211,247,156
3535,6,6,5,4,4,5,5,4,113,121,145,191,132,125,127,119
3536,2,2,1,3,2,2,1,1,133,106,143,138,170,115,117,115
3537,4,3,5,3,3,4,3,3,275,249,159,306,283,273,387,425
3538,8,8,9,10,10,9,9,9,244,206,254,152,147,217,241,210
3539,3,2,7,4,10,4,2,4,108,163,51,89,45,89,105,75
3540,3,4,4,4,5,6,5,5,558,438,412,408,277,277,289,271
3541,2,2,2,3,2,3,3,4,68,106,131,223,111,163,145,156
3543,5,6,6,4,3,3,5,4,197,180,167,613,535,475,334,326
3544,9,9,9,10,10,10,10,10,202,235,193,205,182,240,195,201
3545,2,1,1,2,3,4,4,5,140,174,145,139,147,134,77,74
3546,1,1,1,1,1,1,1,1,162,145,229,153,159,238,258,89
3547,3,6,3,7,4,8,3,7,223,225,191,186,230,183,220,154
3548,5,5,2,5,5,5,4,7,120,161,168,177,222,204,216,184
3549,6,6,6,8,9,9,8,6,372,418,381,332,239,310,276,312
3550,5,6,4,4,7,10,4,7,109,91,183,159,64,43,97,113
3551,8,9,8,7,7,10,10,10,100,101,104,134,105,96,68,27
3552,8,7,6,5,5,3,4,4,149,147,201,300,271,383,315,294
3553,2,2,3,2,2,1,2,2,198,223,233,196,221,192,224,197
3554,3,2,1,5,3,1,1,5,58,89,102,34,50,195,83,29
3555,1,1,1,3,1,2,3,2,216,198,215,106,152,69,51,101
3556,1,2,2,2,1,1,1,1,107,129,97,129,193,216,216,132
3557,6,5,6,7,5,6,5,6,302,312,332,309,361,374,404,340
3558,1,2,2,1,1,3,2,2,108,112,76,152,175,96,113,135
3559,5,6,7,6,5,5,6,6,282,308,302,337,362,333,370,305
3560,6,7,5,10,6,6,8,7,59,83,74,81,96,121,89,89
3561,5,7,4,5,4,8,6,9,158,121,206,204,122,155,149,73
3562,1,1,1,2,2,1,1,1,133,122,196,91,116,124,172,134
3563,6,4,5,4,6,10,9,9,157,198,145,144,113,128,152,194
